ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	124,146,154,98,149,175	1,2,1,3,1,1	113,99,70,221,143,202	1,0,0,5,5,2	283	149
1	749,1277,895,758,1142,1015	2,1,2,2,0,0	809,754,634,1387,932,1258	1,0,2,2,2,1	227	149
2	314,394,290,244,368,319	0,0,0,0,0,0	306,252,230,472,405,477	0,0,0,1,0,0	246	149
3	174,230,164,124,197,172	0,0,1,0,0,1	195,210,175,313,233,292	0,0,0,0,0,3	329	149
4	3,3,2,1,2,1	0,0,0,0,0,0	8,4,0,6,1,7	0,0,0,0,2,0	204	149
5	1,0,2,0,0,0	0,0,0,0,0,0	5,1,0,0,1,2	1,0,0,0,0,0	226	149
6	1,0,2,0,1,1	0,0,0,0,0,0	0,0,0,2,3,1	0,0,1,0,0,0	246	149
7	24,29,32,32,32,34	13,19,17,5,10,10	25,23,19,28,25,41	8,5,15,5,16,14	263	149
8	37,44,55,30,44,39	1,0,0,0,0,2	24,22,32,44,33,56	0,1,0,2,2,2	263	149
9	34,49,22,26,36,27	2,0,0,0,0,0	23,16,32,32,36,39	0,0,0,0,0,0	282	149
10	19,20,14,18,21,13	1,0,1,0,0,0	15,2,17,19,17,22	0,0,0,0,0,3	195	149
12	0,1,0,0,0,0	0,0,0,2,1,1	0,0,0,0,1,0	0,0,0,0,0,1	323	149
13	426,723,527,374,501,519	0,2,1,0,0,0	476,426,343,757,497,622	2,1,2,1,2,0	277	149
14	35,91,47,52,82,65	0,0,0,0,0,0	64,50,33,104,54,76	0,0,0,1,0,0	302	149
15	38,52,49,45,67,63	3,0,0,0,2,2	44,40,58,81,56,77	3,2,0,1,0,0	209	149
16	53,69,59,57,84,27	0,0,0,0,0,0	48,43,28,26,37,93	0,0,0,0,1,0	252	149
17	297,313,168,201,214,218	1,0,0,0,0,0	196,264,168,351,286,276	0,0,0,1,0,0	269	149
18	67,85,68,41,69,61	0,0,0,0,0,0	103,66,67,84,86,116	0,0,0,0,0,1	243	149
19	0,9,12,0,2,2	0,0,0,0,0,0	0,20,0,5,1,0	0,2,0,0,0,1	467	149
20	21,18,24,17,20,18	19,42,21,25,34,27	13,5,14,14,29,25	30,18,24,26,29,23	170	149
21	1,23,0,6,16,7	2,0,0,0,0,0	7,5,8,0,9,8	0,0,0,0,0,0	277	149
22	66,74,80,61,128,84	0,0,0,0,2,0	77,76,62,118,87,137	0,0,0,0,0,0	218	149
23	32,57,41,28,37,44	0,2,0,0,0,0	40,36,20,48,37,54	0,0,0,0,0,0	248	149
24	75,85,66,26,79,52	8,6,1,2,11,8	24,43,47,79,31,60	1,4,6,5,7,8	275	149
25	90,132,80,60,124,117	0,1,0,0,0,0	102,76,58,99,93,121	0,0,0,0,0,0	306	149
26	38,69,52,34,87,56	0,0,0,0,0,0	46,43,41,55,65,104	0,0,0,0,0,1	278	149
27	48,121,100,76,117,120	0,0,0,0,0,2	97,85,58,78,93,130	0,0,0,0,0,1	400	149
29	1,1,2,0,0,1	3,3,0,2,0,0	2,1,2,8,0,1	1,3,2,0,1,2	211	149
30	28,58,51,25,70,43	0,0,0,0,0,0	38,31,36,40,38,75	0,0,0,0,2,0	277	149
31	81,88,60,55,91,115	0,0,1,0,0,0	107,64,69,71,125,110	0,0,0,0,0,0	224	149
32	31,38,27,35,39,46	0,0,0,0,0,0	35,45,31,33,42,55	0,0,0,0,0,1	263	149
33	2,0,0,0,0,1	0,0,0,0,0,0	0,0,1,1,2,0	0,0,0,0,0,2	323	149
34	6,15,14,0,5,3	0,0,0,0,0,0	7,6,3,4,12,3	0,0,0,0,1,1	263	149
35	291,386,318,233,264,310	0,1,1,0,0,0	195,210,164,104,234,277	1,0,0,0,0,0	2039	149
36	149,183,199,95,165,152	0,1,0,0,0,0	134,132,90,106,144,160	0,0,0,0,0,0	1222	149
37	1,5,0,0,2,2	0,0,2,0,0,7	5,6,0,5,2,0	0,2,2,0,0,0	446	149
38	22,22,33,23,33,20	31,55,31,34,38,37	22,30,9,32,42,43	23,33,27,12,28,53	197	149
39	0,2,3,3,0,1	9,20,11,7,21,19	1,1,0,2,2,4	17,12,13,16,7,22	269	149
40	32,61,93,26,83,62	0,1,0,0,0,0	79,65,53,59,92,93	0,3,0,0,0,0	336	149
41	3,6,3,1,2,3	0,2,0,0,0,0	1,2,2,1,5,6	0,1,0,1,0,0	239	149
42	28,36,21,20,39,41	0,0,1,0,0,0	18,25,27,25,15,31	1,0,0,0,0,0	251	149
43	45,70,53,29,41,53	0,0,0,0,0,0	42,26,56,35,44,66	0,2,0,2,0,0	393	149
