GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000000086	0		itsn1	intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000007663	0		amph	amphiphysin [Source:ZFIN;Acc:ZDB-GENE-040426-1711]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000010042	0		dnm1a	dynamin 1a [Source:NCBI gene;Acc:100307098]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000014137	0		picalmb	phosphatidylinositol binding clathrin assembly protein b [Source:ZFIN;Acc:ZDB-GENE-030131-6795]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000015931	0		snap91b	synaptosome associated protein 91b [Source:ZFIN;Acc:ZDB-GENE-041210-81]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000029170	0		si:ch211-200p22.4	si:ch211-200p22.4 [Source:ZFIN;Acc:ZDB-GENE-081104-61]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000057452	0		ston2	stonin 2 [Source:ZFIN;Acc:ZDB-GENE-050913-137]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000062330	0		si:ch211-233a24.2	si:ch211-233a24.2 [Source:NCBI gene;Acc:564367]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000069937	0		dnm2a	dynamin 2a [Source:ZFIN;Acc:ZDB-GENE-050913-84]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000077710	0		nlgn1	neuroligin 1 [Source:ZFIN;Acc:ZDB-GENE-090918-1]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000079251	0		nlgn2b	neuroligin 2b [Source:ZFIN;Acc:ZDB-GENE-090918-3]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000100145	0		CABZ01092282.1	
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000104786	0		nlgn3a	neuroligin 3a [Source:ZFIN;Acc:ZDB-GENE-071219-1]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000104945	0		sncb	synuclein, beta [Source:ZFIN;Acc:ZDB-GENE-040426-1615]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000025011	1		synj1	synaptojanin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9180]
GO:0048488	synaptic vesicle endocytosis	16	2	0.32	0.040	ENSDARG00000098809	1		snap91a	synaptosome associated protein 91a [Source:ZFIN;Acc:ZDB-GENE-100422-6]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000000086	0		itsn1	intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000007663	0		amph	amphiphysin [Source:ZFIN;Acc:ZDB-GENE-040426-1711]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000010042	0		dnm1a	dynamin 1a [Source:NCBI gene;Acc:100307098]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000014137	0		picalmb	phosphatidylinositol binding clathrin assembly protein b [Source:ZFIN;Acc:ZDB-GENE-030131-6795]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000015931	0		snap91b	synaptosome associated protein 91b [Source:ZFIN;Acc:ZDB-GENE-041210-81]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000029170	0		si:ch211-200p22.4	si:ch211-200p22.4 [Source:ZFIN;Acc:ZDB-GENE-081104-61]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000057452	0		ston2	stonin 2 [Source:ZFIN;Acc:ZDB-GENE-050913-137]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000062330	0		si:ch211-233a24.2	si:ch211-233a24.2 [Source:NCBI gene;Acc:564367]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000069937	0		dnm2a	dynamin 2a [Source:ZFIN;Acc:ZDB-GENE-050913-84]
GO:0036465	synaptic vesicle recycling	16	2	0.32	0.040	ENSDARG00000077710	0		nlgn1	neuroligin 1 [Source:ZFIN;Acc:ZDB-GENE-090918-1]
