GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0044798	nuclear transcription factor complex	10	2	0.2	0.016	ENSDARG00000004415,ENSDARG00000023217,ENSDARG00000023362,ENSDARG00000026806,ENSDARG00000036687,ENSDARG00000040917,ENSDARG00000052471,ENSDARG00000058630,ENSDARG00000070151,ENSDARG00000077870
GO:0016459	myosin complex	13	2	0.26	0.027	ENSDARG00000000103,ENSDARG00000003872,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000036179,ENSDARG00000061862,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000073732,ENSDARG00000073843,ENSDARG00000076075,ENSDARG00000076729,ENSDARG00000078313
GO:0015629	actin cytoskeleton	64	4	1.3	0.038	ENSDARG00000000103,ENSDARG00000003872,ENSDARG00000005162,ENSDARG00000007219,ENSDARG00000008487,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000013110,ENSDARG00000013755,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000016016,ENSDARG00000019845,ENSDARG00000020610,ENSDARG00000023988,ENSDARG00000024785,ENSDARG00000027600,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000030270,ENSDARG00000031388,ENSDARG00000034643,ENSDARG00000036179,ENSDARG00000037266,ENSDARG00000037954,ENSDARG00000045064,ENSDARG00000045180,ENSDARG00000045822,ENSDARG00000053956,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000056322,ENSDARG00000057882,ENSDARG00000061862,ENSDARG00000062481,ENSDARG00000063580,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000068457,ENSDARG00000068973,ENSDARG00000070991,ENSDARG00000071445,ENSDARG00000073732,ENSDARG00000073843,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000075733,ENSDARG00000076075,ENSDARG00000076729,ENSDARG00000078313,ENSDARG00000079895,ENSDARG00000087402,ENSDARG00000088168,ENSDARG00000090369,ENSDARG00000099197,ENSDARG00000101777,ENSDARG00000102081,ENSDARG00000103917,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000114870
GO:0019897	extrinsic component of plasma membrane	16	2	0.32	0.040	ENSDARG00000004378,ENSDARG00000004672,ENSDARG00000010002,ENSDARG00000014137,ENSDARG00000015931,ENSDARG00000029170,ENSDARG00000030824,ENSDARG00000039577,ENSDARG00000056831,ENSDARG00000061371,ENSDARG00000062972,ENSDARG00000075960,ENSDARG00000098809,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000103736
GO:0044428	nuclear part	99	5	2.01	0.046	ENSDARG00000000568,ENSDARG00000001829,ENSDARG00000004415,ENSDARG00000006621,ENSDARG00000007217,ENSDARG00000007315,ENSDARG00000016085,ENSDARG00000018460,ENSDARG00000018914,ENSDARG00000019969,ENSDARG00000021378,ENSDARG00000021483,ENSDARG00000022810,ENSDARG00000023217,ENSDARG00000023362,ENSDARG00000023852,ENSDARG00000026806,ENSDARG00000027357,ENSDARG00000028894,ENSDARG00000029609,ENSDARG00000029783,ENSDARG00000033437,ENSDARG00000036685,ENSDARG00000036687,ENSDARG00000036956,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000037503,ENSDARG00000037930,ENSDARG00000038066,ENSDARG00000038121,ENSDARG00000038505,ENSDARG00000038786,ENSDARG00000038863,ENSDARG00000039302,ENSDARG00000040303,ENSDARG00000040881,ENSDARG00000040917,ENSDARG00000041155,ENSDARG00000041226,ENSDARG00000041503,ENSDARG00000041609,ENSDARG00000044484,ENSDARG00000044692,ENSDARG00000045692,ENSDARG00000052471,ENSDARG00000052978,ENSDARG00000053101,ENSDARG00000055080,ENSDARG00000055350,ENSDARG00000055903,ENSDARG00000056642,ENSDARG00000056929,ENSDARG00000057986,ENSDARG00000058630,ENSDARG00000058696,ENSDARG00000058710,ENSDARG00000059246,ENSDARG00000059553,ENSDARG00000061062,ENSDARG00000061759,ENSDARG00000061774,ENSDARG00000062082,ENSDARG00000062799,ENSDARG00000062933,ENSDARG00000063068,ENSDARG00000063594,ENSDARG00000068064,ENSDARG00000069056,ENSDARG00000069283,ENSDARG00000070151,ENSDARG00000071018,ENSDARG00000075504,ENSDARG00000075687,ENSDARG00000075883,ENSDARG00000077038,ENSDARG00000077870,ENSDARG00000078497,ENSDARG00000078658,ENSDARG00000079013,ENSDARG00000079915,ENSDARG00000087489,ENSDARG00000087937,ENSDARG00000089480,ENSDARG00000089920,ENSDARG00000092503,ENSDARG00000093612,ENSDARG00000098375,ENSDARG00000098574,ENSDARG00000099039,ENSDARG00000099375,ENSDARG00000101579,ENSDARG00000102572,ENSDARG00000103296,ENSDARG00000104609,ENSDARG00000104649,ENSDARG00000105014,ENSDARG00000105127,ENSDARG00000110103
GO:0032991	protein-containing complex	366	12	7.42	0.048	ENSDARG00000000103,ENSDARG00000000476,ENSDARG00000000568,ENSDARG00000001710,ENSDARG00000001829,ENSDARG00000001880,ENSDARG00000002082,ENSDARG00000002131,ENSDARG00000002167,ENSDARG00000002494,ENSDARG00000003151,ENSDARG00000003189,ENSDARG00000003872,ENSDARG00000004415,ENSDARG00000004633,ENSDARG00000004714,ENSDARG00000005359,ENSDARG00000005513,ENSDARG00000005775,ENSDARG00000006257,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000008487,ENSDARG00000008852,ENSDARG00000008969,ENSDARG00000009724,ENSDARG00000009782,ENSDARG00000010002,ENSDARG00000010149,ENSDARG00000010186,ENSDARG00000010244,ENSDARG00000010280,ENSDARG00000010411,ENSDARG00000010918,ENSDARG00000011027,ENSDARG00000011152,ENSDARG00000011190,ENSDARG00000011493,ENSDARG00000011821,ENSDARG00000011885,ENSDARG00000011983,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000012603,ENSDARG00000012625,ENSDARG00000012801,ENSDARG00000012818,ENSDARG00000012824,ENSDARG00000013075,ENSDARG00000013095,ENSDARG00000013414,ENSDARG00000013475,ENSDARG00000013843,ENSDARG00000014085,ENSDARG00000014230,ENSDARG00000014248,ENSDARG00000014676,ENSDARG00000014867,ENSDARG00000015174,ENSDARG00000015524,ENSDARG00000015862,ENSDARG00000016016,ENSDARG00000016667,ENSDARG00000016835,ENSDARG00000016864,ENSDARG00000017219,ENSDARG00000017605,ENSDARG00000018032,ENSDARG00000018073,ENSDARG00000018914,ENSDARG00000018976,ENSDARG00000018997,ENSDARG00000019191,ENSDARG00000019230,ENSDARG00000019845,ENSDARG00000019969,ENSDARG00000020007,ENSDARG00000020197,ENSDARG00000020235,ENSDARG00000020345,ENSDARG00000020573,ENSDARG00000020610,ENSDARG00000020621,ENSDARG00000020847,ENSDARG00000021352,ENSDARG00000021378,ENSDARG00000021555,ENSDARG00000021720,ENSDARG00000021735,ENSDARG00000021938,ENSDARG00000022456,ENSDARG00000022810,ENSDARG00000023217,ENSDARG00000023362,ENSDARG00000023495,ENSDARG00000023852,ENSDARG00000023988,ENSDARG00000024398,ENSDARG00000025073,ENSDARG00000025581,ENSDARG00000025850,ENSDARG00000026654,ENSDARG00000026806,ENSDARG00000026967,ENSDARG00000027357,ENSDARG00000027600,ENSDARG00000027916,ENSDARG00000028000,ENSDARG00000028625,ENSDARG00000028661,ENSDARG00000028894,ENSDARG00000029500,ENSDARG00000029533,ENSDARG00000030053,ENSDARG00000030270,ENSDARG00000030604,ENSDARG00000030687,ENSDARG00000030775,ENSDARG00000031388,ENSDARG00000032614,ENSDARG00000032714,ENSDARG00000032725,ENSDARG00000032737,ENSDARG00000033551,ENSDARG00000033789,ENSDARG00000033899,ENSDARG00000033901,ENSDARG00000034270,ENSDARG00000034307,ENSDARG00000034897,ENSDARG00000035732,ENSDARG00000035871,ENSDARG00000036179,ENSDARG00000036438,ENSDARG00000036558,ENSDARG00000036684,ENSDARG00000036685,ENSDARG00000036687,ENSDARG00000036875,ENSDARG00000036956,ENSDARG00000037020,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000037238,ENSDARG00000037496,ENSDARG00000037498,ENSDARG00000037503,ENSDARG00000037905,ENSDARG00000037930,ENSDARG00000037954,ENSDARG00000038121,ENSDARG00000038505,ENSDARG00000038524,ENSDARG00000038695,ENSDARG00000038786,ENSDARG00000038863,ENSDARG00000038976,ENSDARG00000039007,ENSDARG00000039302,ENSDARG00000039346,ENSDARG00000040184,ENSDARG00000040303,ENSDARG00000040881,ENSDARG00000040917,ENSDARG00000040965,ENSDARG00000041140,ENSDARG00000041155,ENSDARG00000041226,ENSDARG00000041435,ENSDARG00000041503,ENSDARG00000042091,ENSDARG00000042484,ENSDARG00000042566,ENSDARG00000042670,ENSDARG00000042824,ENSDARG00000042837,ENSDARG00000043509,ENSDARG00000043701,ENSDARG00000043902,ENSDARG00000044484,ENSDARG00000044521,ENSDARG00000044605,ENSDARG00000045180,ENSDARG00000045618,ENSDARG00000045633,ENSDARG00000045639,ENSDARG00000045696,ENSDARG00000045822,ENSDARG00000046157,ENSDARG00000051748,ENSDARG00000051783,ENSDARG00000051824,ENSDARG00000051876,ENSDARG00000052061,ENSDARG00000052063,ENSDARG00000052471,ENSDARG00000052765,ENSDARG00000053070,ENSDARG00000053101,ENSDARG00000053365,ENSDARG00000053457,ENSDARG00000053665,ENSDARG00000054320,ENSDARG00000054578,ENSDARG00000054818,ENSDARG00000055350,ENSDARG00000055855,ENSDARG00000055903,ENSDARG00000056322,ENSDARG00000056515,ENSDARG00000056583,ENSDARG00000056642,ENSDARG00000056801,ENSDARG00000056831,ENSDARG00000056929,ENSDARG00000057882,ENSDARG00000057986,ENSDARG00000058203,ENSDARG00000058451,ENSDARG00000058543,ENSDARG00000058630,ENSDARG00000058695,ENSDARG00000058696,ENSDARG00000058710,ENSDARG00000058801,ENSDARG00000058953,ENSDARG00000059298,ENSDARG00000059368,ENSDARG00000059553,ENSDARG00000059613,ENSDARG00000059891,ENSDARG00000059897,ENSDARG00000060434,ENSDARG00000060594,ENSDARG00000060841,ENSDARG00000061371,ENSDARG00000061505,ENSDARG00000061631,ENSDARG00000061719,ENSDARG00000061759,ENSDARG00000061774,ENSDARG00000061817,ENSDARG00000061848,ENSDARG00000061862,ENSDARG00000062346,ENSDARG00000062744,ENSDARG00000063068,ENSDARG00000063649,ENSDARG00000067832,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000068166,ENSDARG00000068457,ENSDARG00000068973,ENSDARG00000069056,ENSDARG00000069093,ENSDARG00000069283,ENSDARG00000069440,ENSDARG00000069498,ENSDARG00000069946,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070151,ENSDARG00000070164,ENSDARG00000070408,ENSDARG00000070626,ENSDARG00000071331,ENSDARG00000073732,ENSDARG00000073843,ENSDARG00000073926,ENSDARG00000074255,ENSDARG00000074571,ENSDARG00000074572,ENSDARG00000075307,ENSDARG00000075687,ENSDARG00000075883,ENSDARG00000075960,ENSDARG00000076075,ENSDARG00000076729,ENSDARG00000077038,ENSDARG00000077139,ENSDARG00000077291,ENSDARG00000077560,ENSDARG00000077717,ENSDARG00000077737,ENSDARG00000077870,ENSDARG00000077967,ENSDARG00000078313,ENSDARG00000078497,ENSDARG00000078500,ENSDARG00000078599,ENSDARG00000078658,ENSDARG00000078760,ENSDARG00000078785,ENSDARG00000079295,ENSDARG00000079586,ENSDARG00000079847,ENSDARG00000079895,ENSDARG00000079915,ENSDARG00000086735,ENSDARG00000087206,ENSDARG00000087229,ENSDARG00000087937,ENSDARG00000088030,ENSDARG00000088841,ENSDARG00000089480,ENSDARG00000089836,ENSDARG00000089913,ENSDARG00000090369,ENSDARG00000091293,ENSDARG00000092503,ENSDARG00000095817,ENSDARG00000097451,ENSDARG00000098076,ENSDARG00000098317,ENSDARG00000098375,ENSDARG00000098816,ENSDARG00000098856,ENSDARG00000099045,ENSDARG00000099197,ENSDARG00000099203,ENSDARG00000099221,ENSDARG00000099236,ENSDARG00000099499,ENSDARG00000099741,ENSDARG00000099749,ENSDARG00000100084,ENSDARG00000100097,ENSDARG00000100371,ENSDARG00000100499,ENSDARG00000101324,ENSDARG00000101560,ENSDARG00000101579,ENSDARG00000101744,ENSDARG00000101777,ENSDARG00000101794,ENSDARG00000101799,ENSDARG00000102291,ENSDARG00000102312,ENSDARG00000102452,ENSDARG00000102490,ENSDARG00000102556,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000102773,ENSDARG00000103007,ENSDARG00000103038,ENSDARG00000103125,ENSDARG00000103296,ENSDARG00000103428,ENSDARG00000103464,ENSDARG00000103922,ENSDARG00000104011,ENSDARG00000104100,ENSDARG00000104306,ENSDARG00000104375,ENSDARG00000104609,ENSDARG00000104767,ENSDARG00000105014,ENSDARG00000105142,ENSDARG00000105296,ENSDARG00000110103,ENSDARG00000110991,ENSDARG00000113737,ENSDARG00000114870,ENSDARG00000115971
GO:0019898	extrinsic component of membrane	20	2	0.41	0.060	ENSDARG00000004378,ENSDARG00000004672,ENSDARG00000010002,ENSDARG00000014137,ENSDARG00000015931,ENSDARG00000029170,ENSDARG00000030824,ENSDARG00000038524,ENSDARG00000039577,ENSDARG00000056831,ENSDARG00000060380,ENSDARG00000060841,ENSDARG00000061371,ENSDARG00000062972,ENSDARG00000075960,ENSDARG00000098809,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000103038,ENSDARG00000103736
GO:0005667	transcription factor complex	22	2	0.45	0.072	ENSDARG00000004415,ENSDARG00000004714,ENSDARG00000021938,ENSDARG00000023217,ENSDARG00000023362,ENSDARG00000026806,ENSDARG00000035732,ENSDARG00000036687,ENSDARG00000037238,ENSDARG00000040917,ENSDARG00000042484,ENSDARG00000042824,ENSDARG00000052471,ENSDARG00000058630,ENSDARG00000063649,ENSDARG00000067832,ENSDARG00000069440,ENSDARG00000070151,ENSDARG00000077870,ENSDARG00000100097,ENSDARG00000102556,ENSDARG00000104609
GO:0044427	chromosomal part	24	2	0.49	0.083	ENSDARG00000010280,ENSDARG00000019969,ENSDARG00000020345,ENSDARG00000035732,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000038786,ENSDARG00000039302,ENSDARG00000040303,ENSDARG00000041155,ENSDARG00000058203,ENSDARG00000058710,ENSDARG00000061774,ENSDARG00000068064,ENSDARG00000068868,ENSDARG00000075883,ENSDARG00000077038,ENSDARG00000078497,ENSDARG00000079915,ENSDARG00000087636,ENSDARG00000092503,ENSDARG00000103922,ENSDARG00000105014,ENSDARG00000110991
GO:0005694	chromosome	26	2	0.53	0.096	ENSDARG00000007315,ENSDARG00000010280,ENSDARG00000019969,ENSDARG00000020345,ENSDARG00000021483,ENSDARG00000035732,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000038786,ENSDARG00000039302,ENSDARG00000040303,ENSDARG00000041155,ENSDARG00000058203,ENSDARG00000058710,ENSDARG00000061774,ENSDARG00000068064,ENSDARG00000068868,ENSDARG00000075883,ENSDARG00000077038,ENSDARG00000078497,ENSDARG00000079915,ENSDARG00000087636,ENSDARG00000092503,ENSDARG00000103922,ENSDARG00000105014,ENSDARG00000110991
