GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0000981	DNA-binding transcription factor activit...	68	4	1.33	0.041	ENSDARG00000002795,ENSDARG00000003971,ENSDARG00000004074,ENSDARG00000004415,ENSDARG00000004714,ENSDARG00000005453,ENSDARG00000006266,ENSDARG00000007812,ENSDARG00000008203,ENSDARG00000008209,ENSDARG00000009418,ENSDARG00000012078,ENSDARG00000013615,ENSDARG00000015536,ENSDARG00000016526,ENSDARG00000018025,ENSDARG00000021163,ENSDARG00000023217,ENSDARG00000023362,ENSDARG00000026453,ENSDARG00000028148,ENSDARG00000029263,ENSDARG00000029764,ENSDARG00000030012,ENSDARG00000030297,ENSDARG00000030583,ENSDARG00000031756,ENSDARG00000032578,ENSDARG00000034117,ENSDARG00000034181,ENSDARG00000035732,ENSDARG00000037154,ENSDARG00000040237,ENSDARG00000040321,ENSDARG00000042477,ENSDARG00000042824,ENSDARG00000052654,ENSDARG00000057231,ENSDARG00000061836,ENSDARG00000062338,ENSDARG00000063649,ENSDARG00000069440,ENSDARG00000069726,ENSDARG00000070151,ENSDARG00000070339,ENSDARG00000070348,ENSDARG00000074030,ENSDARG00000074442,ENSDARG00000075904,ENSDARG00000076533,ENSDARG00000078416,ENSDARG00000078459,ENSDARG00000086892,ENSDARG00000087330,ENSDARG00000087646,ENSDARG00000088332,ENSDARG00000089262,ENSDARG00000090914,ENSDARG00000095170,ENSDARG00000098236,ENSDARG00000098240,ENSDARG00000100097,ENSDARG00000101959,ENSDARG00000102556,ENSDARG00000103648,ENSDARG00000103862,ENSDARG00000104715,ENSDARG00000105127
GO:0003774	motor activity	18	2	0.35	0.047	ENSDARG00000000103,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000036179,ENSDARG00000037020,ENSDARG00000059818,ENSDARG00000061817,ENSDARG00000061862,ENSDARG00000062606,ENSDARG00000063385,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000073732,ENSDARG00000073843,ENSDARG00000076075,ENSDARG00000076729,ENSDARG00000078313,ENSDARG00000098936
GO:0051015	actin filament binding	44	3	0.86	0.052	ENSDARG00000000103,ENSDARG00000005162,ENSDARG00000007219,ENSDARG00000008487,ENSDARG00000009782,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000012586,ENSDARG00000013110,ENSDARG00000013335,ENSDARG00000013755,ENSDARG00000016016,ENSDARG00000024785,ENSDARG00000032630,ENSDARG00000036179,ENSDARG00000045064,ENSDARG00000051876,ENSDARG00000053956,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000057882,ENSDARG00000060326,ENSDARG00000061862,ENSDARG00000062972,ENSDARG00000063068,ENSDARG00000063580,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000073732,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000075295,ENSDARG00000075433,ENSDARG00000076075,ENSDARG00000087402,ENSDARG00000088168,ENSDARG00000090369,ENSDARG00000098650,ENSDARG00000102081,ENSDARG00000103917,ENSDARG00000103962,ENSDARG00000104682,ENSDARG00000104713
GO:0005267	potassium channel activity	21	2	0.41	0.062	ENSDARG00000006568,ENSDARG00000015985,ENSDARG00000019753,ENSDARG00000020609,ENSDARG00000043443,ENSDARG00000055855,ENSDARG00000058117,ENSDARG00000061665,ENSDARG00000061990,ENSDARG00000062687,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000075307,ENSDARG00000076376,ENSDARG00000079484,ENSDARG00000079840,ENSDARG00000087247,ENSDARG00000091306,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000104480
GO:0015079	potassium ion transmembrane transporter ...	23	2	0.45	0.072	ENSDARG00000006568,ENSDARG00000015985,ENSDARG00000019753,ENSDARG00000020609,ENSDARG00000043443,ENSDARG00000055855,ENSDARG00000058117,ENSDARG00000061665,ENSDARG00000061990,ENSDARG00000062058,ENSDARG00000062687,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000075307,ENSDARG00000076376,ENSDARG00000078187,ENSDARG00000079484,ENSDARG00000079840,ENSDARG00000087247,ENSDARG00000091306,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000104480
GO:0046983	protein dimerization activity	24	2	0.47	0.078	ENSDARG00000004714,ENSDARG00000005034,ENSDARG00000009418,ENSDARG00000015731,ENSDARG00000017320,ENSDARG00000020228,ENSDARG00000026806,ENSDARG00000029764,ENSDARG00000031756,ENSDARG00000035732,ENSDARG00000039302,ENSDARG00000040237,ENSDARG00000040917,ENSDARG00000042824,ENSDARG00000043701,ENSDARG00000045930,ENSDARG00000053753,ENSDARG00000058088,ENSDARG00000058710,ENSDARG00000070151,ENSDARG00000077870,ENSDARG00000078784,ENSDARG00000100097,ENSDARG00000104806
GO:0005261	cation channel activity	56	3	1.09	0.094	ENSDARG00000002167,ENSDARG00000005775,ENSDARG00000006568,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000011422,ENSDARG00000013335,ENSDARG00000015985,ENSDARG00000018032,ENSDARG00000019753,ENSDARG00000020609,ENSDARG00000021352,ENSDARG00000021735,ENSDARG00000022518,ENSDARG00000032714,ENSDARG00000032737,ENSDARG00000034307,ENSDARG00000036232,ENSDARG00000037496,ENSDARG00000037498,ENSDARG00000037905,ENSDARG00000040338,ENSDARG00000043443,ENSDARG00000052765,ENSDARG00000055855,ENSDARG00000058117,ENSDARG00000059368,ENSDARG00000061665,ENSDARG00000061990,ENSDARG00000062346,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070626,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000075307,ENSDARG00000076376,ENSDARG00000077560,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000079484,ENSDARG00000079840,ENSDARG00000087247,ENSDARG00000089913,ENSDARG00000091306,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000098856,ENSDARG00000099045,ENSDARG00000101368,ENSDARG00000102312,ENSDARG00000102773,ENSDARG00000104480,ENSDARG00000104559
GO:0003700	DNA-binding transcription factor activit...	91	4	1.77	0.098	ENSDARG00000002795,ENSDARG00000003971,ENSDARG00000004074,ENSDARG00000004415,ENSDARG00000004714,ENSDARG00000005453,ENSDARG00000006120,ENSDARG00000006266,ENSDARG00000007812,ENSDARG00000008203,ENSDARG00000008209,ENSDARG00000009418,ENSDARG00000012078,ENSDARG00000012667,ENSDARG00000013539,ENSDARG00000013575,ENSDARG00000013615,ENSDARG00000014181,ENSDARG00000015536,ENSDARG00000016526,ENSDARG00000018025,ENSDARG00000021163,ENSDARG00000023217,ENSDARG00000023272,ENSDARG00000023362,ENSDARG00000026453,ENSDARG00000028148,ENSDARG00000029263,ENSDARG00000029764,ENSDARG00000030012,ENSDARG00000030297,ENSDARG00000030583,ENSDARG00000031756,ENSDARG00000032578,ENSDARG00000034117,ENSDARG00000034181,ENSDARG00000035732,ENSDARG00000036168,ENSDARG00000037154,ENSDARG00000040237,ENSDARG00000040321,ENSDARG00000040727,ENSDARG00000042477,ENSDARG00000042824,ENSDARG00000043226,ENSDARG00000052654,ENSDARG00000057231,ENSDARG00000061174,ENSDARG00000061836,ENSDARG00000062338,ENSDARG00000062420,ENSDARG00000062510,ENSDARG00000063649,ENSDARG00000067797,ENSDARG00000069440,ENSDARG00000069726,ENSDARG00000070151,ENSDARG00000070339,ENSDARG00000070348,ENSDARG00000074030,ENSDARG00000074321,ENSDARG00000074442,ENSDARG00000074756,ENSDARG00000075904,ENSDARG00000076533,ENSDARG00000077762,ENSDARG00000078416,ENSDARG00000078459,ENSDARG00000078784,ENSDARG00000086892,ENSDARG00000087330,ENSDARG00000087646,ENSDARG00000088332,ENSDARG00000089262,ENSDARG00000090814,ENSDARG00000090903,ENSDARG00000090914,ENSDARG00000095170,ENSDARG00000098236,ENSDARG00000098240,ENSDARG00000099002,ENSDARG00000100097,ENSDARG00000100244,ENSDARG00000101645,ENSDARG00000101959,ENSDARG00000102556,ENSDARG00000103648,ENSDARG00000103862,ENSDARG00000104058,ENSDARG00000104715,ENSDARG00000105127
GO:0003779	actin binding	93	4	1.81	0.104	ENSDARG00000000103,ENSDARG00000002255,ENSDARG00000004372,ENSDARG00000005162,ENSDARG00000007219,ENSDARG00000008487,ENSDARG00000009782,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000012586,ENSDARG00000012729,ENSDARG00000013110,ENSDARG00000013335,ENSDARG00000013755,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000015552,ENSDARG00000016016,ENSDARG00000017105,ENSDARG00000018206,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020395,ENSDARG00000021987,ENSDARG00000024785,ENSDARG00000027600,ENSDARG00000028943,ENSDARG00000032221,ENSDARG00000032630,ENSDARG00000033683,ENSDARG00000034643,ENSDARG00000035868,ENSDARG00000036179,ENSDARG00000037266,ENSDARG00000045064,ENSDARG00000051876,ENSDARG00000053956,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055632,ENSDARG00000056322,ENSDARG00000057882,ENSDARG00000057984,ENSDARG00000060326,ENSDARG00000060434,ENSDARG00000061862,ENSDARG00000062481,ENSDARG00000062590,ENSDARG00000062972,ENSDARG00000063068,ENSDARG00000063195,ENSDARG00000063580,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000068973,ENSDARG00000070991,ENSDARG00000071445,ENSDARG00000073732,ENSDARG00000073843,ENSDARG00000074275,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000075295,ENSDARG00000075433,ENSDARG00000075608,ENSDARG00000076060,ENSDARG00000076075,ENSDARG00000076364,ENSDARG00000078313,ENSDARG00000087402,ENSDARG00000088091,ENSDARG00000088168,ENSDARG00000089310,ENSDARG00000089569,ENSDARG00000089858,ENSDARG00000090369,ENSDARG00000093374,ENSDARG00000094732,ENSDARG00000098650,ENSDARG00000098955,ENSDARG00000099283,ENSDARG00000099510,ENSDARG00000099786,ENSDARG00000101777,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000103917,ENSDARG00000103962,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000114870
GO:0000987	proximal promoter sequence-specific DNA ...	60	3	1.17	0.110	ENSDARG00000002795,ENSDARG00000004074,ENSDARG00000004415,ENSDARG00000004714,ENSDARG00000005453,ENSDARG00000006266,ENSDARG00000007812,ENSDARG00000008203,ENSDARG00000008209,ENSDARG00000009418,ENSDARG00000012078,ENSDARG00000013539,ENSDARG00000013615,ENSDARG00000015536,ENSDARG00000018025,ENSDARG00000023217,ENSDARG00000023362,ENSDARG00000026453,ENSDARG00000028148,ENSDARG00000029764,ENSDARG00000030012,ENSDARG00000030297,ENSDARG00000030583,ENSDARG00000031756,ENSDARG00000032578,ENSDARG00000034181,ENSDARG00000035732,ENSDARG00000037154,ENSDARG00000040237,ENSDARG00000042477,ENSDARG00000042824,ENSDARG00000052654,ENSDARG00000056929,ENSDARG00000061174,ENSDARG00000061759,ENSDARG00000061836,ENSDARG00000062338,ENSDARG00000062510,ENSDARG00000063649,ENSDARG00000069440,ENSDARG00000069726,ENSDARG00000070348,ENSDARG00000074030,ENSDARG00000075904,ENSDARG00000076533,ENSDARG00000077762,ENSDARG00000078416,ENSDARG00000087330,ENSDARG00000087646,ENSDARG00000089262,ENSDARG00000090903,ENSDARG00000090914,ENSDARG00000095170,ENSDARG00000098236,ENSDARG00000098240,ENSDARG00000100097,ENSDARG00000102556,ENSDARG00000103648,ENSDARG00000104715,ENSDARG00000105127
