GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000003841	0		usb1	U6 snRNA biogenesis 1 [Source:NCBI gene;Acc:445066]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000013025	0		ints6	integrator complex subunit 6 [Source:ZFIN;Acc:ZDB-GENE-070906-1]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000019300	0		ints7	integrator complex subunit 7 [Source:NCBI gene;Acc:286776]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000028688	0		exosc2	exosome component 2 [Source:ZFIN;Acc:ZDB-GENE-050417-27]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000041429	0		ints14	integrator complex subunit 14 [Source:ZFIN;Acc:ZDB-GENE-030131-5804]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000100060	0		exosc7	exosome component 7 [Source:ZFIN;Acc:ZDB-GENE-050417-47]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000100419	0		ints1	integrator complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6523]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000101474	0		snapc3	small nuclear RNA activating complex, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-040426-971]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000057986	1		ints8	integrator complex subunit 8 [Source:ZFIN;Acc:ZDB-GENE-050522-556]
GO:0016073	snRNA metabolic process	10	2	0.12	0.0062	ENSDARG00000068755	1		exosc8	exosome component 8 [Source:ZFIN;Acc:ZDB-GENE-030131-1736]
GO:0043628	ncRNA 3'-end processing	12	2	0.15	0.0089	ENSDARG00000003841	0		usb1	U6 snRNA biogenesis 1 [Source:NCBI gene;Acc:445066]
