ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	123,146,153,98,148,174	1,2,1,3,1,1	113,99,68,219,143,199	1,0,0,5,5,2	283	149
1	748,1277,894,756,1142,1015	2,1,2,2,0,0	809,754,634,1386,930,1258	1,0,2,2,2,1	227	149
2	313,394,290,242,367,319	0,0,0,0,0,0	305,252,228,472,405,477	0,0,0,1,0,0	246	149
3	154,200,143,110,181,152	0,0,1,0,0,1	157,188,149,280,209,256	0,0,0,0,0,3	298	149
4	3,3,2,1,2,1	0,0,0,0,0,0	8,4,0,6,1,7	0,0,0,0,2,0	204	149
5	1,0,2,0,0,0	0,0,0,0,0,0	5,1,0,0,1,2	1,0,0,0,0,0	226	149
6	1,0,2,0,1,1	0,0,0,0,0,0	0,0,0,2,3,1	0,0,1,0,0,0	246	149
7	24,29,32,32,32,33	13,19,17,5,10,10	24,22,19,28,25,41	8,5,15,5,16,14	263	149
8	37,44,53,30,44,38	1,0,0,0,0,2	24,21,32,42,33,56	0,1,0,2,2,2	263	149
9	31,39,16,22,33,24	2,0,0,0,0,0	20,9,27,29,31,34	0,0,0,0,0,0	282	149
10	19,20,14,18,21,13	1,0,1,0,0,0	15,2,17,19,17,22	0,0,0,0,0,3	195	149
12	0,1,0,0,0,0	0,0,0,2,1,1	0,0,0,0,1,0	0,0,0,0,0,1	298	149
13	426,721,527,373,501,519	0,2,1,0,0,0	475,424,343,754,496,622	2,1,2,1,2,0	277	149
14	35,84,47,50,82,65	0,0,0,0,0,0	62,48,33,102,54,76	0,0,0,1,0,0	298	149
15	38,52,49,45,67,63	3,0,0,0,2,2	44,40,58,81,56,77	3,2,0,1,0,0	209	149
16	53,69,59,57,84,27	0,0,0,0,0,0	48,43,28,26,37,93	0,0,0,0,1,0	252	149
17	295,312,168,200,214,216	1,0,0,0,0,0	196,263,168,349,286,276	0,0,0,1,0,0	269	149
18	67,85,68,41,69,60	0,0,0,0,0,0	103,66,67,84,86,116	0,0,0,0,0,1	243	149
19	0,6,8,0,0,2	0,0,0,0,0,0	0,7,0,4,0,0	0,2,0,0,0,1	298	149
20	21,18,24,17,20,18	19,42,21,25,34,27	13,5,14,14,29,25	30,18,24,26,29,23	170	149
21	1,22,0,6,16,7	2,0,0,0,0,0	7,5,8,0,9,8	0,0,0,0,0,0	277	149
22	66,74,80,61,128,84	0,0,0,0,2,0	77,76,62,118,87,137	0,0,0,0,0,0	218	149
23	32,57,41,28,37,44	0,2,0,0,0,0	40,36,19,48,37,54	0,0,0,0,0,0	248	149
24	72,85,66,25,78,52	8,6,1,2,11,8	23,41,46,77,31,59	1,4,6,5,7,8	275	149
25	86,128,79,59,119,115	0,1,0,0,0,0	98,69,57,98,90,114	0,0,0,0,0,0	298	149
26	37,69,52,34,87,56	0,0,0,0,0,0	46,43,41,55,65,100	0,0,0,0,0,1	278	149
27	30,80,65,58,82,83	0,0,0,0,0,2	65,56,43,54,69,86	0,0,0,0,0,1	298	149
29	1,1,2,0,0,1	3,3,0,2,0,0	2,1,2,8,0,1	1,3,2,0,1,2	211	149
30	27,57,50,25,67,43	0,0,0,0,0,0	37,31,35,39,37,74	0,0,0,0,2,0	277	149
31	81,88,60,55,91,115	0,0,1,0,0,0	107,64,68,71,124,110	0,0,0,0,0,0	224	149
32	31,38,27,33,39,45	0,0,0,0,0,0	35,45,31,33,42,55	0,0,0,0,0,1	263	149
33	2,0,0,0,0,1	0,0,0,0,0,0	0,0,0,1,2,0	0,0,0,0,0,2	298	149
34	5,13,13,0,4,3	0,0,0,0,0,0	5,6,2,4,10,2	0,0,0,0,1,1	263	149
