ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	15,19,23,12,16,12	0,0,0,0,0,0	7,5,8,18,7,22	0,1,1,0,2,0	782	149
1	25,24,31,20,29,25	0,1,0,0,0,0	26,19,25,39,29,42	0,0,0,0,0,0	262	149
2	0,0,0,1,0,0	22,40,22,4,18,26	0,0,0,0,0,1	19,23,9,11,35,34	161	149
3	3,0,0,0,2,2	15,15,11,11,25,10	0,0,0,0,1,1	21,6,9,20,23,14	152	149
4	1,1,0,0,0,0	79,107,81,57,97,94	0,0,0,0,0,0	77,63,44,111,105,145	179	149
5	0,5,2,1,0,2	26,29,23,14,37,27	5,0,2,3,1,2	23,9,19,7,29,47	152	149
6	3,14,5,1,3,5	6,7,17,4,6,12	3,2,3,1,11,2	17,10,2,8,13,11	178	149
7	2,2,0,0,0,2	7,7,8,3,2,3	0,0,0,0,0,1	4,7,4,3,12,7	158	149
8	13,15,13,7,18,13	9,19,8,6,17,12	12,10,14,10,10,13	7,8,8,13,15,18	207	149
11	4,6,3,1,5,8	25,47,31,26,35,30	0,1,3,1,4,10	27,12,19,28,23,52	214	149
12	5,10,13,3,7,16	31,46,27,15,37,50	6,1,4,7,6,21	40,34,20,38,31,45	229	149
13	26,51,41,28,37,38	31,46,27,15,37,50	33,12,20,34,25,63	40,34,20,38,31,45	164	149
14	43,49,72,41,68,56	0,0,0,0,0,1	47,38,36,70,52,64	1,0,0,0,0,0	1808	149
16	12,8,5,3,13,8	99,129,136,59,109,92	12,3,5,4,11,16	116,81,68,115,121,171	155	149
20	4,14,7,3,8,8	0,0,0,0,1,0	5,5,6,10,15,11	0,0,0,0,0,0	471	149
21	55,88,81,36,82,72	1,0,0,0,0,0	62,49,31,78,59,81	0,0,0,0,0,0	151	149
28	0,0,0,0,0,0	15,34,31,10,36,35	0,1,0,0,0,0	8,22,16,7,26,24	152	149
30	0,2,0,1,0,0	9,13,12,6,17,10	0,0,0,1,0,1	16,13,7,11,19,14	161	149
33	21,27,33,15,13,23	1,0,0,0,0,0	47,32,42,44,44,47	0,0,0,0,0,0	152	149
34	23,70,36,31,58,62	36,36,28,32,48,34	34,27,33,93,40,74	36,14,20,70,43,71	218	149
37	4,14,6,9,12,5	26,49,26,19,47,37	4,6,9,6,13,17	31,42,22,63,27,42	182	149
38	0,0,0,0,0,0	12,10,24,7,9,13	1,0,0,0,4,0	9,27,0,14,12,19	154	149
39	13,24,17,13,14,19	565,1124,713,533,1018,1038	17,12,6,16,20,26	751,596,562,933,871,1248	153	149
40	90,104,78,100,94,95	11,16,21,18,20,17	85,77,59,96,92,139	12,10,4,20,24,4	167	149
44	2,1,1,1,0,0	10,12,20,17,10,12	0,0,0,0,2,1	3,9,6,6,12,15	151	149
55	0,0,0,0,0,0	75,98,69,56,105,86	0,0,1,0,0,0	90,58,49,96,82,119	153	149
56	1,0,2,1,2,0	1,9,2,0,4,3	2,1,0,2,2,4	1,3,0,5,5,0	154	149
57	1,2,8,4,4,1	31,30,44,23,37,28	1,1,3,3,1,2	37,29,27,28,31,44	158	149
60	33,55,45,37,70,44	20,27,31,22,27,17	49,42,51,33,58,88	26,15,17,28,22,48	359	149
63	11,8,3,5,4,11	47,57,33,46,39,23	10,8,7,8,8,6	33,26,41,33,49,58	161	149
65	1,0,0,0,1,0	5,6,4,8,13,8	0,0,1,0,0,4	9,9,9,13,9,18	176	149
66	18,18,17,10,15,12	12,4,7,6,5,5	11,6,7,8,18,32	3,6,5,4,6,9	194	149
67	19,26,14,7,19,12	1,0,2,0,4,1	16,5,11,12,16,31	1,0,0,1,2,2	194	149
68	0,0,0,0,1,0	49,45,35,27,58,64	0,0,0,0,0,0	34,28,23,19,43,44	155	149
69	0,1,1,1,2,0	31,26,22,13,12,22	0,0,1,1,0,2	20,15,14,8,21,20	150	149
70	6,11,6,6,11,4	5,3,5,0,2,2	3,0,7,10,5,3	0,1,1,0,4,3	263	149
71	0,0,0,0,1,1	5,4,2,3,8,1	0,1,0,0,1,0	1,8,3,2,4,5	178	149
72	0,2,1,4,3,2	9,3,6,4,7,4	0,3,0,5,0,0	3,3,6,3,6,6	281	149
74	0,0,0,0,1,1	5,16,7,2,24,5	1,0,1,0,0,0	7,10,4,2,4,6	158	149
78	1,4,6,1,4,4	3,5,3,0,1,1	3,3,0,0,0,3	0,2,0,1,0,3	155	149
79	1,5,0,0,0,1	40,48,46,34,44,33	4,0,1,0,1,3	38,14,17,57,64,47	206	149
80	40,72,26,33,43,35	0,0,0,0,0,1	42,41,14,42,56,33	0,0,0,0,0,0	182	149
84	1,6,2,1,1,0	54,74,33,31,39,56	3,0,1,0,1,1	41,33,44,30,44,42	152	149
85	1,5,0,0,0,0	57,83,98,60,80,57	0,0,0,0,1,0	54,78,49,71,86,124	158	149
88	1,3,1,0,2,3	23,32,30,14,23,27	0,1,0,1,0,0	29,25,16,19,27,24	158	149
89	0,0,0,0,0,0	73,125,82,65,112,92	0,1,0,2,2,0	92,86,69,147,72,159	153	149
