ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	2,0,2,0,0,0	9,3,4,1,4,4	3,1,0,2,0,1	9,4,9,13,6,10	224	149
6	0,0,0,0,0,0	5,13,0,4,0,8	0,0,0,0,0,4	0,1,2,4,0,19	409	149
7	2,0,7,0,0,1	20,18,35,12,21,23	1,0,2,5,0,4	1,6,5,21,10,18	689	149
8	3,2,2,0,3,0	11,26,25,11,17,24	3,3,2,1,6,2	19,13,13,15,30,19	234	149
9	1,1,0,0,0,2	18,18,24,10,31,19	0,0,0,2,0,2	22,19,10,11,19,30	236	149
10	0,1,2,0,1,1	6,8,5,7,6,10	0,1,0,0,1,1	11,3,5,6,12,18	238	149
11	18,6,11,3,5,7	0,8,4,4,2,9	1,6,6,22,11,10	2,0,0,0,2,3	215	149
12	18,6,11,4,5,7	0,1,0,0,0,0	1,6,6,22,11,10	0,0,0,0,0,0	217	149
14	3,4,4,8,2,2	56,90,60,55,74,66	4,1,4,4,6,4	55,28,44,123,77,95	234	149
15	23,196,52,28,213,126	0,5,0,0,9,0	46,40,29,77,32,187	0,2,0,1,0,4	218	149
16	1,1,0,0,0,0	2,0,3,0,0,2	0,0,0,0,0,0	0,0,0,1,4,1	233	149
18	11,15,7,11,10,10	275,351,336,301,292,206	5,11,7,22,22,14	289,271,228,549,326,352	263	149
20	0,0,0,0,0,0	0,0,0,0,0,5	0,0,2,0,0,0	4,0,0,0,1,0	219	149
22	2,11,6,1,8,1	31,70,46,44,45,54	10,16,6,16,7,7	63,37,32,94,74,70	236	149
23	7,10,10,5,10,8	50,66,94,46,72,67	8,7,5,13,12,16	76,53,49,82,71,78	1700	149
24	1,4,0,0,1,1	18,43,30,21,29,25	8,2,1,3,5,3	29,23,12,31,13,30	367	149
25	0,0,1,0,1,0	4,14,6,3,8,8	0,0,0,2,0,0	5,5,6,10,15,11	417	149
26	0,0,2,0,0,0	0,0,0,0,1,0	0,0,0,2,0,0	0,0,0,0,0,0	739	149
27	0,0,2,0,0,0	3,5,2,1,7,1	0,0,0,0,0,0	1,0,1,7,6,7	413	149
29	1,1,0,0,0,0	5,23,11,3,16,9	1,0,0,0,1,2	12,3,10,9,8,8	224	149
30	2,5,6,3,8,4	13,16,18,5,14,9	6,1,5,2,7,12	11,5,10,10,13,31	224	149
31	4,0,1,0,4,3	1,0,0,0,0,0	1,3,0,2,0,2	0,0,0,0,0,0	260	149
32	4,0,0,0,3,3	1,2,5,0,6,0	1,2,0,2,0,1	4,3,4,4,4,5	254	149
33	0,0,0,0,0,0	2,0,1,0,0,0	0,1,0,2,2,0	0,0,0,2,1,2	313	149
34	3,10,4,1,2,9	121,170,193,91,184,118	7,3,4,8,3,4	119,144,79,172,133,207	309	149
35	0,1,0,0,0,0	3,1,7,4,8,3	0,0,0,0,0,0	6,6,4,9,5,7	258	149
37	0,0,1,0,2,1	4,11,33,11,4,3	0,2,0,0,2,1	3,22,0,17,8,9	234	149
38	0,0,1,0,0,0	6,4,1,0,3,2	0,0,0,0,0,0	3,3,1,2,2,2	230	149
39	0,0,0,0,2,0	1,0,1,2,0,1	0,1,0,0,0,0	1,1,0,4,0,0	1233	149
43	0,1,2,2,5,2	82,211,132,131,153,174	3,3,5,5,3,2	157,117,78,228,153,208	295	149
44	0,2,1,0,2,1	41,46,52,42,35,60	1,1,0,1,1,2	52,53,52,16,45,83	292	149
45	5,3,2,3,5,6	12,8,16,14,17,18	9,3,2,11,5,8	10,11,15,3,21,22	229	149
46	5,2,2,3,6,6	5,19,29,15,31,11	9,3,3,11,4,9	9,17,12,15,15,24	234	149
48	0,0,0,0,0,1	15,18,8,4,4,11	0,0,0,0,0,1	12,3,4,6,6,14	248	149
49	22,15,25,17,39,17	400,498,393,474,459,562	17,23,16,20,11,22	323,364,407,510,390,504	233	149
50	0,0,0,0,0,1	0,3,4,0,3,0	0,0,0,0,0,0	1,3,0,3,0,2	249	149
53	1,1,0,0,0,0	17,34,14,10,23,25	1,0,0,2,0,0	12,11,12,12,11,28	230	149
56	17,18,14,5,14,12	83,118,112,51,91,114	13,9,10,16,14,27	100,66,51,113,137,130	250	149
57	2,4,2,0,1,4	48,77,52,45,64,69	3,1,0,1,3,3	46,30,25,56,39,74	224	149
58	4,5,2,3,5,3	47,112,80,51,103,90	3,4,3,11,6,3	72,35,40,120,72,126	242	149
59	3,4,0,2,5,9	7,11,8,4,6,4	2,7,2,0,2,2	5,0,5,5,11,7	324	149
61	0,0,2,0,0,3	0,0,0,0,0,0	0,0,4,1,0,0	1,0,0,0,0,0	284	149
62	1,0,0,0,0,0	3,7,16,7,8,5	1,0,0,1,0,0	4,5,3,10,13,13	236	149
