GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005891	voltage-gated calcium channel complex	28	3	0.26	0.0022	ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000014804,ENSDARG00000021735,ENSDARG00000023683,ENSDARG00000023886,ENSDARG00000029457,ENSDARG00000036457,ENSDARG00000037905,ENSDARG00000042552,ENSDARG00000055565,ENSDARG00000060496,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000070522,ENSDARG00000076030,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000089913,ENSDARG00000095614,ENSDARG00000099045,ENSDARG00000099708,ENSDARG00000102376,ENSDARG00000102773,ENSDARG00000110642,ENSDARG00000115741
GO:0016529	sarcoplasmic reticulum	14	2	0.13	0.0073	ENSDARG00000002840,ENSDARG00000005122,ENSDARG00000011909,ENSDARG00000020574,ENSDARG00000028625,ENSDARG00000029439,ENSDARG00000035458,ENSDARG00000036764,ENSDARG00000041779,ENSDARG00000045676,ENSDARG00000057903,ENSDARG00000061741,ENSDARG00000071331,ENSDARG00000098856
GO:0005840	ribosome	135	5	1.27	0.0086	ENSDARG00000003599,ENSDARG00000003846,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006691,ENSDARG00000007065,ENSDARG00000007320,ENSDARG00000008920,ENSDARG00000009285,ENSDARG00000010160,ENSDARG00000010244,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000011885,ENSDARG00000013075,ENSDARG00000013307,ENSDARG00000014690,ENSDARG00000014867,ENSDARG00000015128,ENSDARG00000015862,ENSDARG00000018073,ENSDARG00000018334,ENSDARG00000019181,ENSDARG00000019222,ENSDARG00000019230,ENSDARG00000019778,ENSDARG00000020197,ENSDARG00000021324,ENSDARG00000021864,ENSDARG00000023298,ENSDARG00000025073,ENSDARG00000025581,ENSDARG00000025850,ENSDARG00000027428,ENSDARG00000029100,ENSDARG00000029500,ENSDARG00000029533,ENSDARG00000030408,ENSDARG00000030602,ENSDARG00000032725,ENSDARG00000032985,ENSDARG00000033973,ENSDARG00000034291,ENSDARG00000034897,ENSDARG00000035167,ENSDARG00000035400,ENSDARG00000035692,ENSDARG00000035860,ENSDARG00000035871,ENSDARG00000036298,ENSDARG00000036316,ENSDARG00000036629,ENSDARG00000036875,ENSDARG00000037071,ENSDARG00000037350,ENSDARG00000038768,ENSDARG00000039347,ENSDARG00000039719,ENSDARG00000041182,ENSDARG00000041306,ENSDARG00000041435,ENSDARG00000041570,ENSDARG00000041811,ENSDARG00000042566,ENSDARG00000042864,ENSDARG00000042905,ENSDARG00000043402,ENSDARG00000043453,ENSDARG00000043509,ENSDARG00000044093,ENSDARG00000045487,ENSDARG00000046157,ENSDARG00000051783,ENSDARG00000053058,ENSDARG00000053365,ENSDARG00000053457,ENSDARG00000054164,ENSDARG00000054606,ENSDARG00000054818,ENSDARG00000055475,ENSDARG00000055996,ENSDARG00000056903,ENSDARG00000057556,ENSDARG00000057805,ENSDARG00000057855,ENSDARG00000058105,ENSDARG00000058451,ENSDARG00000058824,ENSDARG00000060489,ENSDARG00000061505,ENSDARG00000062209,ENSDARG00000062568,ENSDARG00000063249,ENSDARG00000068305,ENSDARG00000068886,ENSDARG00000069624,ENSDARG00000069850,ENSDARG00000070437,ENSDARG00000070849,ENSDARG00000070985,ENSDARG00000075129,ENSDARG00000075325,ENSDARG00000075422,ENSDARG00000075677,ENSDARG00000076334,ENSDARG00000077291,ENSDARG00000077717,ENSDARG00000078500,ENSDARG00000079257,ENSDARG00000088030,ENSDARG00000089836,ENSDARG00000090462,ENSDARG00000090568,ENSDARG00000092807,ENSDARG00000096717,ENSDARG00000099022,ENSDARG00000099380,ENSDARG00000100392,ENSDARG00000100513,ENSDARG00000100588,ENSDARG00000101306,ENSDARG00000101406,ENSDARG00000101794,ENSDARG00000102317,ENSDARG00000103007,ENSDARG00000103198,ENSDARG00000103318,ENSDARG00000103433,ENSDARG00000104011,ENSDARG00000104111,ENSDARG00000109289,ENSDARG00000115271,ENSDARG00000116649
GO:0030017	sarcomere	64	3	0.6	0.0220	ENSDARG00000000474,ENSDARG00000001431,ENSDARG00000002988,ENSDARG00000009280,ENSDARG00000009567,ENSDARG00000011400,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000017676,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000020574,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000022101,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000040917,ENSDARG00000042559,ENSDARG00000045228,ENSDARG00000045302,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000052708,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000073766,ENSDARG00000075433,ENSDARG00000091253,ENSDARG00000098856,ENSDARG00000099870,ENSDARG00000099974,ENSDARG00000100694,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104817,ENSDARG00000104836,ENSDARG00000110698,ENSDARG00000114870
GO:0044449	contractile fiber part	66	3	0.62	0.0238	ENSDARG00000000474,ENSDARG00000001431,ENSDARG00000002988,ENSDARG00000009280,ENSDARG00000009567,ENSDARG00000011400,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000017676,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000020574,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000022101,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000040917,ENSDARG00000042559,ENSDARG00000045228,ENSDARG00000045302,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000052708,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056504,ENSDARG00000056836,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000073766,ENSDARG00000075433,ENSDARG00000091253,ENSDARG00000098856,ENSDARG00000099870,ENSDARG00000099974,ENSDARG00000100694,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104817,ENSDARG00000104836,ENSDARG00000110698,ENSDARG00000114870
GO:0030016	myofibril	67	3	0.63	0.0247	ENSDARG00000000474,ENSDARG00000001431,ENSDARG00000002988,ENSDARG00000009280,ENSDARG00000009567,ENSDARG00000009727,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000017676,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000020574,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000022101,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000040917,ENSDARG00000042559,ENSDARG00000045228,ENSDARG00000045302,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000052708,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056836,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000073766,ENSDARG00000075433,ENSDARG00000091253,ENSDARG00000098856,ENSDARG00000099870,ENSDARG00000099974,ENSDARG00000100694,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104817,ENSDARG00000104836,ENSDARG00000110698,ENSDARG00000114870
GO:0043292	contractile fiber	68	3	0.64	0.0257	ENSDARG00000000474,ENSDARG00000001431,ENSDARG00000002988,ENSDARG00000009280,ENSDARG00000009567,ENSDARG00000009727,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000017676,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000020574,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000022101,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000040917,ENSDARG00000042559,ENSDARG00000045228,ENSDARG00000045302,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000052708,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056504,ENSDARG00000056836,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000073766,ENSDARG00000075433,ENSDARG00000091253,ENSDARG00000098856,ENSDARG00000099870,ENSDARG00000099974,ENSDARG00000100694,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104817,ENSDARG00000104836,ENSDARG00000110698,ENSDARG00000114870
GO:0031674	I band	30	2	0.28	0.0319	ENSDARG00000001431,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000020574,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000040917,ENSDARG00000045228,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000098856,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000114870
GO:0035097	histone methyltransferase complex	30	2	0.28	0.0319	ENSDARG00000002750,ENSDARG00000004537,ENSDARG00000005606,ENSDARG00000010381,ENSDARG00000012519,ENSDARG00000014083,ENSDARG00000015990,ENSDARG00000016903,ENSDARG00000020840,ENSDARG00000024844,ENSDARG00000025718,ENSDARG00000037060,ENSDARG00000038737,ENSDARG00000056929,ENSDARG00000059794,ENSDARG00000060030,ENSDARG00000060392,ENSDARG00000060697,ENSDARG00000060847,ENSDARG00000061759,ENSDARG00000062962,ENSDARG00000071272,ENSDARG00000075560,ENSDARG00000076966,ENSDARG00000079312,ENSDARG00000089456,ENSDARG00000095538,ENSDARG00000099640,ENSDARG00000101848,ENSDARG00000101996
GO:0034708	methyltransferase complex	33	2	0.31	0.0380	ENSDARG00000002750,ENSDARG00000004537,ENSDARG00000005606,ENSDARG00000010381,ENSDARG00000012519,ENSDARG00000014083,ENSDARG00000015990,ENSDARG00000016903,ENSDARG00000020840,ENSDARG00000024844,ENSDARG00000025718,ENSDARG00000037060,ENSDARG00000038737,ENSDARG00000056929,ENSDARG00000059794,ENSDARG00000060030,ENSDARG00000060392,ENSDARG00000060697,ENSDARG00000060847,ENSDARG00000061759,ENSDARG00000062962,ENSDARG00000071272,ENSDARG00000075560,ENSDARG00000076966,ENSDARG00000079312,ENSDARG00000089456,ENSDARG00000095538,ENSDARG00000097465,ENSDARG00000099640,ENSDARG00000101347,ENSDARG00000101848,ENSDARG00000101996,ENSDARG00000103027
GO:0044427	chromosomal part	213	5	2	0.0492	ENSDARG00000000729,ENSDARG00000002591,ENSDARG00000003017,ENSDARG00000003860,ENSDARG00000003877,ENSDARG00000004189,ENSDARG00000005015,ENSDARG00000005327,ENSDARG00000006092,ENSDARG00000006192,ENSDARG00000007198,ENSDARG00000008551,ENSDARG00000008805,ENSDARG00000008904,ENSDARG00000010280,ENSDARG00000011703,ENSDARG00000012219,ENSDARG00000013031,ENSDARG00000013346,ENSDARG00000013822,ENSDARG00000015206,ENSDARG00000016089,ENSDARG00000016871,ENSDARG00000017397,ENSDARG00000017744,ENSDARG00000018691,ENSDARG00000018738,ENSDARG00000018918,ENSDARG00000019004,ENSDARG00000019707,ENSDARG00000019743,ENSDARG00000019969,ENSDARG00000020345,ENSDARG00000020504,ENSDARG00000020840,ENSDARG00000021370,ENSDARG00000021579,ENSDARG00000022493,ENSDARG00000022939,ENSDARG00000024311,ENSDARG00000025309,ENSDARG00000027689,ENSDARG00000028213,ENSDARG00000028335,ENSDARG00000031495,ENSDARG00000033009,ENSDARG00000033160,ENSDARG00000033647,ENSDARG00000034107,ENSDARG00000034624,ENSDARG00000034916,ENSDARG00000035655,ENSDARG00000036754,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000037291,ENSDARG00000038686,ENSDARG00000038786,ENSDARG00000039217,ENSDARG00000039302,ENSDARG00000039616,ENSDARG00000040163,ENSDARG00000040303,ENSDARG00000040559,ENSDARG00000041155,ENSDARG00000041570,ENSDARG00000042056,ENSDARG00000042087,ENSDARG00000042236,ENSDARG00000042337,ENSDARG00000042458,ENSDARG00000043137,ENSDARG00000044282,ENSDARG00000044525,ENSDARG00000044669,ENSDARG00000045248,ENSDARG00000045842,ENSDARG00000046132,ENSDARG00000051955,ENSDARG00000052348,ENSDARG00000052721,ENSDARG00000053666,ENSDARG00000053668,ENSDARG00000053950,ENSDARG00000054442,ENSDARG00000054473,ENSDARG00000054903,ENSDARG00000055133,ENSDARG00000055429,ENSDARG00000055436,ENSDARG00000055639,ENSDARG00000055719,ENSDARG00000055754,ENSDARG00000055969,ENSDARG00000055999,ENSDARG00000056924,ENSDARG00000056984,ENSDARG00000057100,ENSDARG00000058203,ENSDARG00000058533,ENSDARG00000058710,ENSDARG00000058719,ENSDARG00000058729,ENSDARG00000059812,ENSDARG00000060578,ENSDARG00000061159,ENSDARG00000061187,ENSDARG00000061205,ENSDARG00000061414,ENSDARG00000061468,ENSDARG00000061774,ENSDARG00000061810,ENSDARG00000061992,ENSDARG00000062137,ENSDARG00000062267,ENSDARG00000062326,ENSDARG00000062650,ENSDARG00000062765,ENSDARG00000063255,ENSDARG00000068064,ENSDARG00000068434,ENSDARG00000068436,ENSDARG00000068640,ENSDARG00000068820,ENSDARG00000068868,ENSDARG00000068919,ENSDARG00000069045,ENSDARG00000070084,ENSDARG00000070109,ENSDARG00000070432,ENSDARG00000070560,ENSDARG00000070828,ENSDARG00000070951,ENSDARG00000071652,ENSDARG00000071694,ENSDARG00000073737,ENSDARG00000073773,ENSDARG00000075682,ENSDARG00000075826,ENSDARG00000075883,ENSDARG00000075884,ENSDARG00000076169,ENSDARG00000076379,ENSDARG00000076609,ENSDARG00000076781,ENSDARG00000076903,ENSDARG00000077029,ENSDARG00000077038,ENSDARG00000077226,ENSDARG00000077361,ENSDARG00000077946,ENSDARG00000078055,ENSDARG00000078310,ENSDARG00000078433,ENSDARG00000078497,ENSDARG00000078807,ENSDARG00000079352,ENSDARG00000079716,ENSDARG00000079915,ENSDARG00000087238,ENSDARG00000087636,ENSDARG00000087752,ENSDARG00000087897,ENSDARG00000088877,ENSDARG00000088924,ENSDARG00000089456,ENSDARG00000089922,ENSDARG00000090986,ENSDARG00000091271,ENSDARG00000091512,ENSDARG00000091538,ENSDARG00000091821,ENSDARG00000092158,ENSDARG00000092503,ENSDARG00000095046,ENSDARG00000095142,ENSDARG00000095332,ENSDARG00000096566,ENSDARG00000097102,ENSDARG00000098466,ENSDARG00000098605,ENSDARG00000098780,ENSDARG00000098820,ENSDARG00000098919,ENSDARG00000099329,ENSDARG00000099572,ENSDARG00000099927,ENSDARG00000100028,ENSDARG00000100503,ENSDARG00000101161,ENSDARG00000101244,ENSDARG00000101277,ENSDARG00000101611,ENSDARG00000101710,ENSDARG00000101813,ENSDARG00000101891,ENSDARG00000101975,ENSDARG00000102674,ENSDARG00000102889,ENSDARG00000102974,ENSDARG00000103404,ENSDARG00000103409,ENSDARG00000103610,ENSDARG00000103907,ENSDARG00000103919,ENSDARG00000103922,ENSDARG00000104339,ENSDARG00000104709,ENSDARG00000105014,ENSDARG00000110991,ENSDARG00000114038,ENSDARG00000115906,ENSDARG00000116491
