GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000000563,ENSDARG00000001431,ENSDARG00000002084,ENSDARG00000002589,ENSDARG00000002988,ENSDARG00000003259,ENSDARG00000004049,ENSDARG00000004452,ENSDARG00000004680,ENSDARG00000005162,ENSDARG00000005221,ENSDARG00000005915,ENSDARG00000006112,ENSDARG00000006603,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007370,ENSDARG00000008487,ENSDARG00000008803,ENSDARG00000009280,ENSDARG00000009418,ENSDARG00000010472,ENSDARG00000011023,ENSDARG00000011545,ENSDARG00000011615,ENSDARG00000011821,ENSDARG00000011961,ENSDARG00000012944,ENSDARG00000013317,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000014196,ENSDARG00000014248,ENSDARG00000015536,ENSDARG00000015681,ENSDARG00000017128,ENSDARG00000017821,ENSDARG00000018460,ENSDARG00000018820,ENSDARG00000019096,ENSDARG00000019316,ENSDARG00000019342,ENSDARG00000019717,ENSDARG00000019969,ENSDARG00000020610,ENSDARG00000020785,ENSDARG00000020890,ENSDARG00000021987,ENSDARG00000022968,ENSDARG00000023963,ENSDARG00000025641,ENSDARG00000027600,ENSDARG00000028213,ENSDARG00000029069,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000031756,ENSDARG00000031809,ENSDARG00000032630,ENSDARG00000036371,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000039052,ENSDARG00000039878,ENSDARG00000040031,ENSDARG00000040237,ENSDARG00000040334,ENSDARG00000040623,ENSDARG00000040917,ENSDARG00000040926,ENSDARG00000041864,ENSDARG00000044811,ENSDARG00000044968,ENSDARG00000045560,ENSDARG00000045822,ENSDARG00000045930,ENSDARG00000052150,ENSDARG00000052341,ENSDARG00000053254,ENSDARG00000055154,ENSDARG00000055158,ENSDARG00000055185,ENSDARG00000055518,ENSDARG00000055618,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057011,ENSDARG00000057571,ENSDARG00000057698,ENSDARG00000058656,ENSDARG00000060236,ENSDARG00000060415,ENSDARG00000061328,ENSDARG00000061436,ENSDARG00000061752,ENSDARG00000061862,ENSDARG00000062003,ENSDARG00000063197,ENSDARG00000068457,ENSDARG00000068973,ENSDARG00000069774,ENSDARG00000069937,ENSDARG00000074131,ENSDARG00000074849,ENSDARG00000075226,ENSDARG00000075867,ENSDARG00000076229,ENSDARG00000076564,ENSDARG00000079564,ENSDARG00000079578,ENSDARG00000079611,ENSDARG00000079752,ENSDARG00000087704,ENSDARG00000088307,ENSDARG00000088590,ENSDARG00000091253,ENSDARG00000095623,ENSDARG00000099390,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000101209,ENSDARG00000101592,ENSDARG00000101844,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000103643,ENSDARG00000104094,ENSDARG00000104267,ENSDARG00000104314,ENSDARG00000104713,ENSDARG00000114022,ENSDARG00000114870
GO:0042981	regulation of apoptotic process	121	4	0.74	0.0061	ENSDARG00000000804,ENSDARG00000001437,ENSDARG00000001889,ENSDARG00000001929,ENSDARG00000002758,ENSDARG00000003244,ENSDARG00000003495,ENSDARG00000003751,ENSDARG00000003963,ENSDARG00000005786,ENSDARG00000008434,ENSDARG00000010756,ENSDARG00000012397,ENSDARG00000013095,ENSDARG00000014159,ENSDARG00000014259,ENSDARG00000014329,ENSDARG00000014348,ENSDARG00000014956,ENSDARG00000015922,ENSDARG00000016143,ENSDARG00000016412,ENSDARG00000016745,ENSDARG00000018984,ENSDARG00000019732,ENSDARG00000020623,ENSDARG00000020814,ENSDARG00000021239,ENSDARG00000021555,ENSDARG00000022000,ENSDARG00000022280,ENSDARG00000024314,ENSDARG00000026726,ENSDARG00000027234,ENSDARG00000027744,ENSDARG00000029783,ENSDARG00000029865,ENSDARG00000030173,ENSDARG00000030716,ENSDARG00000031420,ENSDARG00000032327,ENSDARG00000032353,ENSDARG00000033443,ENSDARG00000034256,ENSDARG00000035187,ENSDARG00000035859,ENSDARG00000036100,ENSDARG00000036764,ENSDARG00000037283,ENSDARG00000037846,ENSDARG00000038302,ENSDARG00000040076,ENSDARG00000041414,ENSDARG00000041617,ENSDARG00000041864,ENSDARG00000043361,ENSDARG00000044001,ENSDARG00000044619,ENSDARG00000045486,ENSDARG00000045549,ENSDARG00000045733,ENSDARG00000052039,ENSDARG00000052741,ENSDARG00000053574,ENSDARG00000054937,ENSDARG00000055672,ENSDARG00000055966,ENSDARG00000056244,ENSDARG00000056683,ENSDARG00000057513,ENSDARG00000057671,ENSDARG00000058082,ENSDARG00000058868,ENSDARG00000059322,ENSDARG00000059651,ENSDARG00000059725,ENSDARG00000060058,ENSDARG00000060238,ENSDARG00000061631,ENSDARG00000062052,ENSDARG00000062370,ENSDARG00000062972,ENSDARG00000068177,ENSDARG00000069893,ENSDARG00000074059,ENSDARG00000074166,ENSDARG00000074447,ENSDARG00000075369,ENSDARG00000075621,ENSDARG00000077300,ENSDARG00000077339,ENSDARG00000077400,ENSDARG00000077850,ENSDARG00000078864,ENSDARG00000079374,ENSDARG00000079443,ENSDARG00000079652,ENSDARG00000088690,ENSDARG00000089936,ENSDARG00000090194,ENSDARG00000090949,ENSDARG00000091926,ENSDARG00000097615,ENSDARG00000098280,ENSDARG00000098481,ENSDARG00000098696,ENSDARG00000099298,ENSDARG00000099420,ENSDARG00000100020,ENSDARG00000100095,ENSDARG00000101036,ENSDARG00000102004,ENSDARG00000102294,ENSDARG00000102458,ENSDARG00000103007,ENSDARG00000103485,ENSDARG00000103666,ENSDARG00000103791,ENSDARG00000104367,ENSDARG00000104940,ENSDARG00000105185
GO:0008285	negative regulation of cell proliferatio...	24	2	0.15	0.0092	ENSDARG00000015427,ENSDARG00000021372,ENSDARG00000027249,ENSDARG00000030716,ENSDARG00000030981,ENSDARG00000031420,ENSDARG00000032619,ENSDARG00000043182,ENSDARG00000043249,ENSDARG00000056985,ENSDARG00000058868,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000069065,ENSDARG00000071018,ENSDARG00000075825,ENSDARG00000079443,ENSDARG00000079504,ENSDARG00000086254,ENSDARG00000088680,ENSDARG00000092381,ENSDARG00000094300,ENSDARG00000099351
GO:0042692	muscle cell differentiation	82	3	0.5	0.0134	ENSDARG00000000563,ENSDARG00000001431,ENSDARG00000002988,ENSDARG00000005162,ENSDARG00000005915,ENSDARG00000006112,ENSDARG00000006603,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007370,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000009418,ENSDARG00000011821,ENSDARG00000011961,ENSDARG00000012944,ENSDARG00000013317,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000015536,ENSDARG00000015681,ENSDARG00000017128,ENSDARG00000017821,ENSDARG00000018820,ENSDARG00000019096,ENSDARG00000019342,ENSDARG00000019717,ENSDARG00000019969,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000021987,ENSDARG00000023963,ENSDARG00000025641,ENSDARG00000028213,ENSDARG00000029069,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000030980,ENSDARG00000031756,ENSDARG00000032630,ENSDARG00000036371,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000039052,ENSDARG00000039878,ENSDARG00000040237,ENSDARG00000040334,ENSDARG00000040917,ENSDARG00000040926,ENSDARG00000041864,ENSDARG00000044968,ENSDARG00000045560,ENSDARG00000045822,ENSDARG00000045930,ENSDARG00000052150,ENSDARG00000055158,ENSDARG00000055185,ENSDARG00000055518,ENSDARG00000055618,ENSDARG00000056964,ENSDARG00000057571,ENSDARG00000058656,ENSDARG00000060236,ENSDARG00000061752,ENSDARG00000061862,ENSDARG00000068457,ENSDARG00000074849,ENSDARG00000075867,ENSDARG00000076229,ENSDARG00000079564,ENSDARG00000079578,ENSDARG00000079611,ENSDARG00000088307,ENSDARG00000091253,ENSDARG00000099959,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000102490,ENSDARG00000102889,ENSDARG00000104094,ENSDARG00000104713,ENSDARG00000114022
GO:0009617	response to bacterium	37	2	0.23	0.0211	ENSDARG00000002355,ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000010149,ENSDARG00000010423,ENSDARG00000010756,ENSDARG00000015653,ENSDARG00000016771,ENSDARG00000018569,ENSDARG00000032639,ENSDARG00000033227,ENSDARG00000035188,ENSDARG00000035859,ENSDARG00000043182,ENSDARG00000044332,ENSDARG00000052039,ENSDARG00000052673,ENSDARG00000057128,ENSDARG00000057698,ENSDARG00000058285,ENSDARG00000062646,ENSDARG00000062788,ENSDARG00000068910,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000069733,ENSDARG00000074246,ENSDARG00000074501,ENSDARG00000075014,ENSDARG00000075163,ENSDARG00000086254,ENSDARG00000088680,ENSDARG00000092381,ENSDARG00000102889,ENSDARG00000115805,ENSDARG00000116628
GO:0008284	positive regulation of cell proliferatio...	37	2	0.23	0.0211	ENSDARG00000002937,ENSDARG00000004672,ENSDARG00000004782,ENSDARG00000006202,ENSDARG00000009351,ENSDARG00000012078,ENSDARG00000013950,ENSDARG00000016745,ENSDARG00000022712,ENSDARG00000022841,ENSDARG00000026726,ENSDARG00000026736,ENSDARG00000034700,ENSDARG00000036993,ENSDARG00000037677,ENSDARG00000038139,ENSDARG00000043182,ENSDARG00000045856,ENSDARG00000052361,ENSDARG00000056624,ENSDARG00000057598,ENSDARG00000058115,ENSDARG00000069640,ENSDARG00000070917,ENSDARG00000075121,ENSDARG00000077677,ENSDARG00000079443,ENSDARG00000086254,ENSDARG00000086778,ENSDARG00000088680,ENSDARG00000098112,ENSDARG00000098240,ENSDARG00000098481,ENSDARG00000098578,ENSDARG00000100095,ENSDARG00000109371,ENSDARG00000115359
GO:0022402	cell cycle process	179	4	1.09	0.0230	ENSDARG00000000837,ENSDARG00000002165,ENSDARG00000002403,ENSDARG00000002632,ENSDARG00000003642,ENSDARG00000003751,ENSDARG00000004576,ENSDARG00000004713,ENSDARG00000004877,ENSDARG00000005058,ENSDARG00000005098,ENSDARG00000005374,ENSDARG00000005993,ENSDARG00000006092,ENSDARG00000007315,ENSDARG00000008022,ENSDARG00000008141,ENSDARG00000008461,ENSDARG00000009693,ENSDARG00000009942,ENSDARG00000010280,ENSDARG00000010721,ENSDARG00000010953,ENSDARG00000011094,ENSDARG00000011983,ENSDARG00000012078,ENSDARG00000012204,ENSDARG00000012234,ENSDARG00000012485,ENSDARG00000012818,ENSDARG00000014329,ENSDARG00000014817,ENSDARG00000014943,ENSDARG00000015206,ENSDARG00000015538,ENSDARG00000015610,ENSDARG00000016594,ENSDARG00000017140,ENSDARG00000017500,ENSDARG00000017602,ENSDARG00000018918,ENSDARG00000019741,ENSDARG00000020231,ENSDARG00000020258,ENSDARG00000021483,ENSDARG00000021882,ENSDARG00000024488,ENSDARG00000026595,ENSDARG00000026726,ENSDARG00000027234,ENSDARG00000027590,ENSDARG00000030106,ENSDARG00000030176,ENSDARG00000031680,ENSDARG00000032237,ENSDARG00000033345,ENSDARG00000033852,ENSDARG00000034195,ENSDARG00000034855,ENSDARG00000035655,ENSDARG00000035924,ENSDARG00000036031,ENSDARG00000037276,ENSDARG00000037432,ENSDARG00000037892,ENSDARG00000038754,ENSDARG00000039020,ENSDARG00000039616,ENSDARG00000040041,ENSDARG00000040131,ENSDARG00000040649,ENSDARG00000042056,ENSDARG00000042927,ENSDARG00000043720,ENSDARG00000044144,ENSDARG00000044282,ENSDARG00000044484,ENSDARG00000044491,ENSDARG00000044766,ENSDARG00000044956,ENSDARG00000045308,ENSDARG00000045331,ENSDARG00000045675,ENSDARG00000051748,ENSDARG00000051854,ENSDARG00000052673,ENSDARG00000053574,ENSDARG00000053668,ENSDARG00000055022,ENSDARG00000055470,ENSDARG00000055754,ENSDARG00000056683,ENSDARG00000057100,ENSDARG00000057683,ENSDARG00000058203,ENSDARG00000058868,ENSDARG00000058993,ENSDARG00000059322,ENSDARG00000060917,ENSDARG00000060941,ENSDARG00000061052,ENSDARG00000061205,ENSDARG00000061468,ENSDARG00000062137,ENSDARG00000062790,ENSDARG00000062897,ENSDARG00000063276,ENSDARG00000068214,ENSDARG00000068759,ENSDARG00000068919,ENSDARG00000069498,ENSDARG00000070109,ENSDARG00000070239,ENSDARG00000070485,ENSDARG00000071009,ENSDARG00000071458,ENSDARG00000073753,ENSDARG00000074137,ENSDARG00000074166,ENSDARG00000075599,ENSDARG00000075687,ENSDARG00000075826,ENSDARG00000075883,ENSDARG00000076060,ENSDARG00000076667,ENSDARG00000077029,ENSDARG00000077383,ENSDARG00000077442,ENSDARG00000077650,ENSDARG00000077788,ENSDARG00000077815,ENSDARG00000078825,ENSDARG00000078864,ENSDARG00000079128,ENSDARG00000079850,ENSDARG00000079992,ENSDARG00000087238,ENSDARG00000088130,ENSDARG00000089291,ENSDARG00000089480,ENSDARG00000090752,ENSDARG00000091150,ENSDARG00000091326,ENSDARG00000091628,ENSDARG00000093342,ENSDARG00000096433,ENSDARG00000096554,ENSDARG00000098112,ENSDARG00000098317,ENSDARG00000098481,ENSDARG00000098897,ENSDARG00000098907,ENSDARG00000099139,ENSDARG00000099194,ENSDARG00000099236,ENSDARG00000099943,ENSDARG00000100095,ENSDARG00000101277,ENSDARG00000101285,ENSDARG00000101309,ENSDARG00000101510,ENSDARG00000101611,ENSDARG00000102349,ENSDARG00000102531,ENSDARG00000102643,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102889,ENSDARG00000103145,ENSDARG00000103505,ENSDARG00000103754,ENSDARG00000103900,ENSDARG00000103907,ENSDARG00000104225,ENSDARG00000104288,ENSDARG00000104831,ENSDARG00000104943,ENSDARG00000105014,ENSDARG00000115906
GO:0010959	regulation of metal ion transport	41	2	0.25	0.0256	ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000006859,ENSDARG00000009738,ENSDARG00000011091,ENSDARG00000013694,ENSDARG00000014858,ENSDARG00000018105,ENSDARG00000020764,ENSDARG00000021611,ENSDARG00000024744,ENSDARG00000026084,ENSDARG00000039392,ENSDARG00000042961,ENSDARG00000044001,ENSDARG00000054458,ENSDARG00000055565,ENSDARG00000056633,ENSDARG00000060222,ENSDARG00000060723,ENSDARG00000061560,ENSDARG00000062134,ENSDARG00000062174,ENSDARG00000062359,ENSDARG00000062447,ENSDARG00000071325,ENSDARG00000074004,ENSDARG00000077850,ENSDARG00000078992,ENSDARG00000079443,ENSDARG00000088967,ENSDARG00000089838,ENSDARG00000094561,ENSDARG00000097057,ENSDARG00000099014,ENSDARG00000099045,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000103736,ENSDARG00000104767,ENSDARG00000113525
GO:0051704	multi-organism process	107	3	0.65	0.0271	ENSDARG00000002355,ENSDARG00000002949,ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000004618,ENSDARG00000004757,ENSDARG00000004874,ENSDARG00000005774,ENSDARG00000005842,ENSDARG00000006604,ENSDARG00000008192,ENSDARG00000010149,ENSDARG00000010423,ENSDARG00000010756,ENSDARG00000011876,ENSDARG00000014201,ENSDARG00000014373,ENSDARG00000015653,ENSDARG00000016065,ENSDARG00000016691,ENSDARG00000016771,ENSDARG00000018569,ENSDARG00000019362,ENSDARG00000020573,ENSDARG00000020948,ENSDARG00000021115,ENSDARG00000021455,ENSDARG00000022000,ENSDARG00000023369,ENSDARG00000028533,ENSDARG00000032639,ENSDARG00000033227,ENSDARG00000035188,ENSDARG00000035859,ENSDARG00000040041,ENSDARG00000040131,ENSDARG00000040684,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000042637,ENSDARG00000043182,ENSDARG00000043238,ENSDARG00000043249,ENSDARG00000044182,ENSDARG00000044332,ENSDARG00000044852,ENSDARG00000044956,ENSDARG00000045661,ENSDARG00000052039,ENSDARG00000052512,ENSDARG00000052673,ENSDARG00000052747,ENSDARG00000054313,ENSDARG00000054914,ENSDARG00000056625,ENSDARG00000057128,ENSDARG00000057698,ENSDARG00000057853,ENSDARG00000057975,ENSDARG00000058285,ENSDARG00000059794,ENSDARG00000061759,ENSDARG00000062511,ENSDARG00000062646,ENSDARG00000062788,ENSDARG00000062972,ENSDARG00000063229,ENSDARG00000068217,ENSDARG00000068681,ENSDARG00000068910,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000069733,ENSDARG00000070448,ENSDARG00000070471,ENSDARG00000070846,ENSDARG00000074131,ENSDARG00000074246,ENSDARG00000074501,ENSDARG00000075014,ENSDARG00000075163,ENSDARG00000076060,ENSDARG00000079015,ENSDARG00000079443,ENSDARG00000079780,ENSDARG00000079850,ENSDARG00000086254,ENSDARG00000088680,ENSDARG00000089139,ENSDARG00000092381,ENSDARG00000094511,ENSDARG00000099256,ENSDARG00000099315,ENSDARG00000099430,ENSDARG00000101813,ENSDARG00000102742,ENSDARG00000102750,ENSDARG00000102889,ENSDARG00000103846,ENSDARG00000104396,ENSDARG00000104686,ENSDARG00000105177,ENSDARG00000110357,ENSDARG00000115222,ENSDARG00000115805,ENSDARG00000116628
GO:0043066	negative regulation of apoptotic process	45	2	0.27	0.0305	ENSDARG00000001437,ENSDARG00000001889,ENSDARG00000008434,ENSDARG00000012397,ENSDARG00000013095,ENSDARG00000014159,ENSDARG00000014259,ENSDARG00000016143,ENSDARG00000016745,ENSDARG00000018984,ENSDARG00000020814,ENSDARG00000024314,ENSDARG00000031420,ENSDARG00000032353,ENSDARG00000033443,ENSDARG00000034256,ENSDARG00000035859,ENSDARG00000036100,ENSDARG00000036764,ENSDARG00000037283,ENSDARG00000041617,ENSDARG00000041864,ENSDARG00000044001,ENSDARG00000044619,ENSDARG00000045733,ENSDARG00000053574,ENSDARG00000055966,ENSDARG00000056244,ENSDARG00000056683,ENSDARG00000057513,ENSDARG00000058082,ENSDARG00000059725,ENSDARG00000074166,ENSDARG00000075621,ENSDARG00000077339,ENSDARG00000077850,ENSDARG00000079443,ENSDARG00000088690,ENSDARG00000089936,ENSDARG00000090194,ENSDARG00000098696,ENSDARG00000099298,ENSDARG00000100020,ENSDARG00000102004,ENSDARG00000105185
