ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	25,27,39,25,34,30	13,19,13,13,17,21	14,21,35,14,43,36	8,18,18,5,23,13	263	263
2	37,44,55,30,44,39	17,10,19,18,15,22	35,29,48,26,63,57	9,13,10,17,24,17	263	263
3	2,0,0,0,0,0	13,29,9,8,13,14	0,0,0,0,0,0	8,21,38,21,30,13	195	282
4	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,2,0,3,0	323	323
5	23,47,44,34,51,57	26,44,29,19,46,40	51,56,64,44,77,68	28,49,48,39,53,45	293	278
6	25,74,58,41,65,63	11,24,25,16,41,18	45,53,62,74,89,64	25,26,36,31,42,35	400	293
7	19,22,18,9,21,29	11,21,9,10,14,12	10,11,17,12,24,21	9,17,25,20,24,18	292	250
8	10,12,7,7,12,6	11,37,22,27,8,24	11,13,13,15,7,15	19,22,30,29,29,30	246	234
10	0,0,0,0,1,3	0,0,0,0,1,0	0,1,0,0,2,2	4,4,0,0,2,0	323	323
11	3,7,4,1,5,5	6,14,2,7,5,11	5,6,4,5,7,4	9,2,7,6,5,6	203	238
12	57,72,39,81,58,64	36,59,52,46,59,61	61,71,99,68,93,87	33,52,68,40,72,70	267	249
13	21,46,14,27,32,35	46,62,56,48,57,46	30,28,42,61,64,56	41,42,60,47,76,61	225	267
14	17,8,7,3,11,11	24,36,24,17,44,43	4,3,23,1,12,15	15,19,48,27,54,40	216	340
15	118,155,113,92,105,108	6,15,10,11,23,8	98,108,156,111,157,156	10,9,28,4,12,24	242	242
16	23,19,16,1,5,8	15,28,33,14,19,17	9,12,13,4,9,5	10,10,25,14,14,20	243	314
17	21,25,23,10,12,12	6,10,4,2,6,3	19,11,31,11,17,24	4,1,6,4,3,1	254	265
18	6,11,8,4,6,2	9,8,0,2,2,0	5,2,9,7,4,1	1,1,4,2,0,2	279	246
19	55,100,65,55,74,70	10,22,21,10,20,19	53,67,101,89,125,121	11,22,18,10,18,38	527	224
20	11,79,31,30,60,55	12,14,12,9,14,4	44,38,56,29,79,61	15,14,14,16,9,13	257	212
21	9,52,18,22,39,30	58,72,56,47,55,72	28,18,37,10,44,42	51,52,62,43,88,92	257	287
24	23,37,45,25,32,37	11,20,13,15,11,12	28,39,54,24,45,39	5,10,37,12,12,17	593	309
25	21,35,23,15,42,33	23,38,33,8,42,32	42,37,44,34,51,45	37,32,39,36,39,56	297	304
26	45,87,65,48,74,74	36,52,48,34,37,51	39,60,91,35,101,93	31,47,56,26,47,67	214	194
27	21,41,28,18,43,23	46,75,41,52,58,56	15,44,30,46,42,37	45,70,77,56,118,81	245	290
28	124,177,154,132,148,166	41,77,40,41,58,48	108,135,176,170,203,160	49,70,80,54,89,77	256	313
29	68,85,90,46,78,77	44,41,45,30,37,45	70,70,108,68,100,88	20,49,67,21,68,38	504	288
30	12,18,13,2,11,27	11,11,12,9,13,7	10,12,28,19,24,21	10,12,33,9,22,12	242	296
31	275,372,239,147,328,284	153,225,157,85,204,171	295,221,387,313,334,419	171,131,197,189,192,254	290	231
32	10,26,21,15,19,12	23,34,23,33,34,17	13,15,18,9,15,22	20,18,15,7,16,21	320	322
33	67,106,99,53,114,88	29,26,30,19,40,52	112,82,141,84,154,133	37,18,57,35,87,54	626	269
34	30,21,27,18,19,24	13,21,18,12,25,19	12,22,20,9,37,17	18,17,19,24,21,31	306	307
35	3,6,6,8,4,3	5,5,4,4,4,3	2,0,5,6,4,6	3,2,10,4,5,10	203	266
36	7,7,7,3,6,5	13,5,14,2,1,1	7,9,10,1,16,25	5,5,14,6,6,4	278	242
37	6,14,16,9,9,8	8,11,5,10,7,8	6,7,16,2,12,8	13,12,20,14,12,12	254	254
38	6,12,13,7,9,8	8,8,7,8,5,1	5,6,16,3,12,8	4,5,7,2,12,4	254	181
39	2,3,6,3,8,8	124,135,104,111,131,160	2,8,6,4,4,7	113,151,246,98,157,157	298	1012
40	35,79,61,39,56,47	94,142,140,58,124,115	51,43,61,49,82,78	121,103,115,99,163,129	207	241
41	35,68,61,30,53,47	3,5,1,3,2,5	48,39,56,46,82,66	6,6,1,2,6,3	207	241
42	4,2,2,0,5,1	58,125,99,74,104,103	0,1,0,0,12,3	94,125,123,99,110,137	238	207
43	21,25,12,7,11,15	3,6,3,1,14,22	10,9,11,15,13,15	2,2,4,4,24,1	354	277
44	13,11,9,8,8,14	40,48,30,25,54,39	2,7,13,2,21,13	22,35,52,26,47,35	210	288
45	39,52,45,26,62,55	31,52,45,23,36,55	40,54,90,50,87,54	14,44,48,43,51,40	290	225
46	40,40,23,25,41,40	97,102,99,61,105,146	32,37,65,27,53,49	73,88,167,95,149,131	225	335
47	7,9,7,14,8,4	3,5,2,9,13,12	4,2,13,11,3,5	1,1,17,13,8,8	269	230
48	1,1,0,0,1,0	17,28,19,12,21,12	0,0,3,0,0,0	14,10,18,20,25,11	182	191
49	71,105,61,47,60,78	18,9,16,12,20,17	70,68,111,59,117,91	4,19,24,14,25,27	310	185
50	1689,2671,2057,1671,2238,1996	2154,3296,2397,1817,2830,2786	1776,2043,3254,2007,3280,2943	2139,2594,3485,2638,3454,3384	274	277
51	21,29,23,18,46,20	28,56,33,43,67,25	24,26,29,15,28,53	27,45,57,23,46,70	226	238
52	14,7,7,7,9,18	83,121,132,72,120,120	7,9,10,6,8,6	78,114,171,117,146,164	260	245
53	36,49,43,25,40,45	28,43,22,28,35,41	24,29,63,28,64,63	29,29,39,28,46,21	246	222
55	3159,6528,4160,2783,6338,5717	1165,2558,1703,1141,2443,2187	4212,5691,4937,6110,7725,6722	1538,2276,1866,2115,2846,2611	316	236
