ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	124,146,154,98,149,175	1,2,1,3,1,1	102,128,190,142,192,184	0,4,0,0,0,1	283	149
1	749,1277,895,758,1142,1015	2,1,2,2,0,0	694,973,1049,937,1416,1287	2,0,2,2,0,6	227	149
2	474,751,609,499,723,612	0,0,0,0,0,0	418,610,687,618,991,840	0,0,0,2,0,1	307	149
3	159,235,149,136,207,216	0,0,0,0,0,0	193,181,229,199,288,274	0,0,0,0,1,0	257	149
4	40,64,50,16,45,39	0,0,0,0,0,0	37,45,35,43,59,75	0,0,0,0,1,0	213	149
5	314,394,290,244,368,319	0,0,0,0,0,0	272,369,492,336,447,477	0,0,0,0,1,0	246	149
6	174,230,164,124,197,172	0,0,1,0,0,1	200,225,320,219,323,378	0,0,4,0,0,2	329	149
7	25,38,29,18,24,29	0,0,0,0,0,0	28,26,29,17,41,31	0,1,0,0,0,0	263	149
8	24,29,32,32,32,34	13,19,17,5,10,10	14,27,25,29,48,30	22,9,14,13,21,22	263	149
9	17,10,19,18,15,22	1,0,0,0,0,2	9,13,10,17,24,17	0,0,1,0,0,0	263	149
10	37,44,55,30,44,39	1,0,0,0,0,2	35,29,48,26,63,57	0,0,1,0,0,0	263	149
11	34,46,52,39,51,42	0,0,0,0,0,0	21,35,51,26,68,49	1,0,0,0,0,0	263	149
12	34,49,22,26,36,27	2,0,0,0,0,0	28,27,74,46,71,39	0,0,0,0,0,0	282	149
13	19,20,14,18,21,13	1,0,1,0,0,0	13,6,36,24,36,20	0,5,5,0,0,0	195	149
15	0,1,0,0,0,0	0,0,0,2,1,1	0,0,2,0,0,0	0,0,0,0,1,0	323	149
16	426,723,527,374,501,519	0,2,1,0,0,0	370,443,654,438,680,635	0,0,0,2,0,2	277	149
17	38,52,49,45,67,63	3,0,0,0,2,2	46,70,87,37,51,55	0,0,2,0,3,0	209	149
18	297,313,168,201,214,218	1,0,0,0,0,0	222,196,280,179,357,389	1,0,2,1,0,0	269	149
19	67,85,68,41,69,61	0,0,0,0,0,0	60,63,99,70,122,114	0,2,0,0,0,0	243	149
20	0,9,12,0,2,2	0,0,0,0,0,0	0,5,0,0,10,0	0,2,0,0,3,0	467	149
21	21,18,24,17,20,18	19,42,21,25,34,27	15,33,21,22,46,29	23,11,43,27,32,21	170	149
22	1,23,0,6,16,7	2,0,0,0,0,0	15,2,7,4,1,8	0,0,0,1,0,0	277	149
23	66,74,80,61,128,84	0,0,0,0,2,0	78,101,108,78,127,134	0,0,0,0,0,0	218	149
24	32,57,41,28,37,44	0,2,0,0,0,0	19,33,52,40,54,44	0,0,0,0,0,0	248	149
25	75,85,66,26,79,52	8,6,1,2,11,8	33,43,84,51,74,73	6,7,13,4,7,6	275	149
26	90,132,80,60,124,117	0,1,0,0,0,0	90,95,127,111,140,133	0,0,0,0,2,0	306	149
27	38,69,52,34,87,56	0,0,0,0,0,0	52,75,84,71,96,76	0,1,0,1,2,1	278	149
28	33,71,67,49,92,73	0,0,0,0,0,0	75,79,100,75,117,100	0,0,0,0,0,2	293	149
29	48,121,100,76,117,120	0,0,0,0,0,2	95,107,126,118,165,128	0,1,0,0,0,1	400	149
31	1,1,2,0,0,1	3,3,0,2,0,0	0,5,3,0,4,6	0,1,5,2,5,0	211	149
32	99,87,73,66,82,79	0,0,0,0,0,0	58,90,139,58,137,108	0,0,0,0,0,2	293	149
33	13,12,15,18,12,12	0,0,0,0,0,0	5,22,19,13,31,17	1,0,0,0,0,0	248	149
34	28,58,51,25,70,43	0,0,0,0,0,0	41,38,45,45,43,47	0,0,1,0,0,0	277	149
35	81,88,60,55,91,115	0,0,1,0,0,0	60,71,140,98,126,114	0,0,0,1,0,1	224	149
36	32,63,46,28,55,37	0,0,0,0,0,0	56,36,66,52,80,68	0,0,0,0,0,2	243	149
37	4,12,13,0,4,4	0,0,0,0,0,0	4,1,10,4,14,5	0,0,2,0,0,2	257	149
38	291,386,318,233,264,310	0,1,1,0,0,0	197,171,318,227,353,276	0,0,0,0,0,0	2039	149
39	149,183,199,95,165,152	0,1,0,0,0,0	136,169,230,165,202,190	0,0,0,0,0,0	1222	149
40	1,5,0,0,2,2	0,0,2,0,0,7	0,0,9,4,6,0	0,1,0,0,0,1	446	149
41	22,22,33,23,33,20	31,55,31,34,38,37	27,32,58,26,39,49	41,26,42,37,55,47	197	149
42	78,113,78,49,94,64	0,0,0,0,0,0	61,82,131,110,96,101	0,0,0,1,0,0	251	149
43	135,211,151,102,158,109	0,0,0,0,0,0	132,124,217,143,170,170	1,0,0,0,0,0	367	149
44	0,2,3,3,0,1	9,20,11,7,21,19	1,2,7,2,14,2	3,13,19,13,18,10	269	149
45	24,30,16,11,21,21	0,0,0,0,0,0	14,24,35,12,38,16	1,0,0,0,0,1	293	149
46	32,61,93,26,83,62	0,1,0,0,0,0	48,73,92,52,109,105	0,0,0,0,0,0	336	149
47	3,6,3,1,2,3	0,2,0,0,0,0	9,3,9,0,6,6	2,0,0,0,0,0	239	149
48	28,36,21,20,39,41	0,0,1,0,0,0	26,38,28,41,61,45	0,0,0,1,0,0	251	149
49	25,48,20,23,25,36	0,1,0,0,2,0	25,35,48,26,45,36	0,0,1,0,0,2	250	149
50	33,48,30,22,29,54	0,0,0,0,0,0	26,27,39,20,47,37	0,0,0,2,2,0	292	149
52	51,64,56,44,46,54	0,0,0,0,0,1	28,65,56,37,49,49	0,3,0,0,2,3	251	149
53	28,82,56,54,41,61	0,0,0,0,0,0	54,62,57,70,66,65	0,0,0,0,0,1	234	149
