GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0070509	calcium ion import	11	3	0.19	0.0007	ENSDARG00000006923,ENSDARG00000013422,ENSDARG00000021735,ENSDARG00000037905,ENSDARG00000062346,ENSDARG00000077850,ENSDARG00000078599,ENSDARG00000079295,ENSDARG00000089913,ENSDARG00000100592,ENSDARG00000102773
GO:0070588	calcium ion transmembrane transport	33	4	0.57	0.0021	ENSDARG00000002167,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000011091,ENSDARG00000013335,ENSDARG00000013422,ENSDARG00000018228,ENSDARG00000020574,ENSDARG00000021735,ENSDARG00000023445,ENSDARG00000023797,ENSDARG00000032565,ENSDARG00000036232,ENSDARG00000037905,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000060837,ENSDARG00000062346,ENSDARG00000063158,ENSDARG00000063358,ENSDARG00000063433,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000078599,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000089913,ENSDARG00000095614,ENSDARG00000098856,ENSDARG00000099045,ENSDARG00000100592,ENSDARG00000101214,ENSDARG00000102773
GO:0034762	regulation of transmembrane transport	36	3	0.62	0.0225	ENSDARG00000002167,ENSDARG00000005775,ENSDARG00000006923,ENSDARG00000011091,ENSDARG00000011876,ENSDARG00000018032,ENSDARG00000020621,ENSDARG00000021611,ENSDARG00000021735,ENSDARG00000027957,ENSDARG00000032565,ENSDARG00000035056,ENSDARG00000037905,ENSDARG00000039392,ENSDARG00000054458,ENSDARG00000055855,ENSDARG00000062346,ENSDARG00000062359,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070584,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000087247,ENSDARG00000089913,ENSDARG00000091293,ENSDARG00000097057,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000099014,ENSDARG00000099045,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000102773
GO:0034765	regulation of ion transmembrane transpor...	36	3	0.62	0.0225	ENSDARG00000002167,ENSDARG00000005775,ENSDARG00000006923,ENSDARG00000011091,ENSDARG00000011876,ENSDARG00000018032,ENSDARG00000020621,ENSDARG00000021611,ENSDARG00000021735,ENSDARG00000027957,ENSDARG00000032565,ENSDARG00000035056,ENSDARG00000037905,ENSDARG00000039392,ENSDARG00000054458,ENSDARG00000055855,ENSDARG00000062346,ENSDARG00000062359,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070584,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000087247,ENSDARG00000089913,ENSDARG00000091293,ENSDARG00000097057,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000099014,ENSDARG00000099045,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000102773
GO:0044272	sulfur compound biosynthetic process	15	2	0.26	0.0262	ENSDARG00000006773,ENSDARG00000013095,ENSDARG00000027495,ENSDARG00000030514,ENSDARG00000038040,ENSDARG00000039605,ENSDARG00000040535,ENSDARG00000043856,ENSDARG00000055652,ENSDARG00000060678,ENSDARG00000061994,ENSDARG00000074301,ENSDARG00000086269,ENSDARG00000103606,ENSDARG00000103735
GO:0043269	regulation of ion transport	42	3	0.72	0.0338	ENSDARG00000002167,ENSDARG00000005775,ENSDARG00000006859,ENSDARG00000006923,ENSDARG00000011091,ENSDARG00000011876,ENSDARG00000018032,ENSDARG00000020621,ENSDARG00000021611,ENSDARG00000021735,ENSDARG00000027957,ENSDARG00000032565,ENSDARG00000035056,ENSDARG00000037905,ENSDARG00000039392,ENSDARG00000042961,ENSDARG00000054458,ENSDARG00000055855,ENSDARG00000062346,ENSDARG00000062359,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070584,ENSDARG00000077850,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000087247,ENSDARG00000089913,ENSDARG00000091293,ENSDARG00000097057,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000099014,ENSDARG00000099045,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000101759,ENSDARG00000102773,ENSDARG00000103639,ENSDARG00000103736
GO:0010927	cellular component assembly involved in ...	20	2	0.34	0.0450	ENSDARG00000005162,ENSDARG00000006603,ENSDARG00000008487,ENSDARG00000013422,ENSDARG00000019096,ENSDARG00000020610,ENSDARG00000022101,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000031756,ENSDARG00000032630,ENSDARG00000037954,ENSDARG00000040237,ENSDARG00000040917,ENSDARG00000041864,ENSDARG00000045822,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000068457,ENSDARG00000102490
GO:0030239	myofibril assembly	20	2	0.34	0.0450	ENSDARG00000005162,ENSDARG00000006603,ENSDARG00000008487,ENSDARG00000013422,ENSDARG00000019096,ENSDARG00000020610,ENSDARG00000022101,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000031756,ENSDARG00000032630,ENSDARG00000037954,ENSDARG00000040237,ENSDARG00000040917,ENSDARG00000041864,ENSDARG00000045822,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000068457,ENSDARG00000102490
GO:0048646	anatomical structure formation involved ...	80	4	1.38	0.0458	ENSDARG00000001807,ENSDARG00000004246,ENSDARG00000004672,ENSDARG00000005162,ENSDARG00000006603,ENSDARG00000007257,ENSDARG00000008487,ENSDARG00000009418,ENSDARG00000011027,ENSDARG00000012078,ENSDARG00000013422,ENSDARG00000014159,ENSDARG00000015015,ENSDARG00000017105,ENSDARG00000017803,ENSDARG00000018721,ENSDARG00000019096,ENSDARG00000019353,ENSDARG00000020610,ENSDARG00000022101,ENSDARG00000025902,ENSDARG00000026712,ENSDARG00000028148,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000030604,ENSDARG00000031756,ENSDARG00000031809,ENSDARG00000032389,ENSDARG00000032630,ENSDARG00000034368,ENSDARG00000034700,ENSDARG00000036427,ENSDARG00000037883,ENSDARG00000037954,ENSDARG00000038153,ENSDARG00000038428,ENSDARG00000039392,ENSDARG00000039489,ENSDARG00000040237,ENSDARG00000040917,ENSDARG00000041864,ENSDARG00000041869,ENSDARG00000041895,ENSDARG00000042535,ENSDARG00000045822,ENSDARG00000056322,ENSDARG00000056831,ENSDARG00000059770,ENSDARG00000059832,ENSDARG00000060109,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000067990,ENSDARG00000068457,ENSDARG00000069484,ENSDARG00000071018,ENSDARG00000075133,ENSDARG00000075211,ENSDARG00000075707,ENSDARG00000075949,ENSDARG00000076564,ENSDARG00000077388,ENSDARG00000077403,ENSDARG00000077710,ENSDARG00000077818,ENSDARG00000078416,ENSDARG00000079397,ENSDARG00000089871,ENSDARG00000092716,ENSDARG00000096546,ENSDARG00000096728,ENSDARG00000099339,ENSDARG00000101735,ENSDARG00000101980,ENSDARG00000102153,ENSDARG00000102490,ENSDARG00000102750,ENSDARG00000103791,ENSDARG00000104314
GO:0072358	cardiovascular system development	49	3	0.84	0.0500	ENSDARG00000000568,ENSDARG00000001807,ENSDARG00000004672,ENSDARG00000012078,ENSDARG00000012982,ENSDARG00000014159,ENSDARG00000015015,ENSDARG00000017803,ENSDARG00000019103,ENSDARG00000020469,ENSDARG00000020610,ENSDARG00000025902,ENSDARG00000026712,ENSDARG00000030604,ENSDARG00000032389,ENSDARG00000034368,ENSDARG00000034700,ENSDARG00000037883,ENSDARG00000038153,ENSDARG00000038428,ENSDARG00000039392,ENSDARG00000039489,ENSDARG00000040255,ENSDARG00000041869,ENSDARG00000041895,ENSDARG00000044016,ENSDARG00000055255,ENSDARG00000055543,ENSDARG00000056075,ENSDARG00000056831,ENSDARG00000059770,ENSDARG00000059832,ENSDARG00000060109,ENSDARG00000060243,ENSDARG00000069484,ENSDARG00000071018,ENSDARG00000075133,ENSDARG00000075949,ENSDARG00000076564,ENSDARG00000077710,ENSDARG00000089871,ENSDARG00000092716,ENSDARG00000096546,ENSDARG00000096728,ENSDARG00000101980,ENSDARG00000102153,ENSDARG00000103464,ENSDARG00000103606,ENSDARG00000103791
