GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000002167	0		cacnb1	calcium channel, voltage-dependent, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040718-399]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000006923	0		cacna1ab	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-3]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000008398	0		cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit [Source:ZFIN;Acc:ZDB-GENE-020129-1]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000032565	0		cacng2a	calcium channel, voltage-dependent, gamma subunit 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1401]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000062346	0		cacna1ea	calcium channel, voltage-dependent, R type, alpha 1E subunit a [Source:ZFIN;Acc:ZDB-GENE-081104-526]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000078760	0		cacna2d3	calcium channel, voltage dependent, alpha2/delta subunit 3 [Source:ZFIN;Acc:ZDB-GENE-030616-133]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000089913	0		cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:ZFIN;Acc:ZDB-GENE-090514-2]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000095614	0		cacna1eb	calcium channel, voltage-dependent, R type, alpha 1E subunit b [Source:ZFIN;Acc:ZDB-GENE-070705-133]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000099045	0		cacnb2a	calcium channel, voltage-dependent, beta 2a [Source:ZFIN;Acc:ZDB-GENE-080808-7]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000102773	0		cacna1da	calcium channel, voltage-dependent, L type, alpha 1D subunit, a [Source:ZFIN;Acc:ZDB-GENE-030616-135]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000021735	1		cacna1ba	calcium channel, voltage-dependent, N type, alpha 1B subunit, a [Source:ZFIN;Acc:ZDB-GENE-060531-44]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000037905	1		cacna1aa	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, a [Source:ZFIN;Acc:ZDB-GENE-040724-26]
GO:0005891	voltage-gated calcium channel complex	13	3	0.26	0.0018	ENSDARG00000079295	1		cacna1bb	calcium channel, voltage-dependent, N type, alpha 1B subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-4]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000001804	0		zgc:112148	zgc:112148 [Source:ZFIN;Acc:ZDB-GENE-050417-235]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000003699	0		atp7a	ATPase copper transporting alpha [Source:ZFIN;Acc:ZDB-GENE-060825-45]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000007654	0		nsfa	N-ethylmaleimide-sensitive factor a [Source:ZFIN;Acc:ZDB-GENE-030616-37]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000008413	0		atp11a	ATPase phospholipid transporting 11A [Source:ZFIN;Acc:ZDB-GENE-090311-52]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000010681	0		tjap1	tight junction associated protein 1 (peripheral) [Source:ZFIN;Acc:ZDB-GENE-081107-47]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000012745	0		poc1bl	POC1 centriolar protein homolog B (Chlamydomonas), like [Source:ZFIN;Acc:ZDB-GENE-050306-41]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000013838	0		sulf2b	sulfatase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-775]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000016016	0		dbnlb	drebrin-like b [Source:ZFIN;Acc:ZDB-GENE-050522-293]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000027016	0		gbf1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:ZFIN;Acc:ZDB-GENE-081107-54]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000030733	0		b3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:ZFIN;Acc:ZDB-GENE-040801-191]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000036442	0		atp11c	ATPase phospholipid transporting 11C [Source:ZFIN;Acc:ZDB-GENE-030616-51]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000038428	0		sulf1	sulfatase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9242]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000038991	0		nsfb	N-ethylmaleimide-sensitive factor b [Source:ZFIN;Acc:ZDB-GENE-050808-1]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000039459	0		qsox1	quiescin Q6 sulfhydryl oxidase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7019]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000040048	0		GALNTL6	si:ch211-15e22.3 [Source:ZFIN;Acc:ZDB-GENE-090312-115]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000040535	0		csgalnact1a	chondroitin sulfate N-acetylgalactosaminyltransferase 1a [Source:ZFIN;Acc:ZDB-GENE-121129-1]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000042285	0		atp8b3	ATPase phospholipid transporting 8B3 [Source:ZFIN;Acc:ZDB-GENE-050208-424]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000045294	0		sh3glb1a	SH3-domain GRB2-like endophilin B1a [Source:ZFIN;Acc:ZDB-GENE-050417-89]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000045618	0		clta	clathrin, light chain A [Source:ZFIN;Acc:ZDB-GENE-040426-1986]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000046133	0		b3galnt2	beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:NCBI gene;Acc:553716]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000057053	0		SGMS1	zgc:91976 [Source:ZFIN;Acc:ZDB-GENE-041114-201]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000057303	0		galnt7	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7 [Source:ZFIN;Acc:ZDB-GENE-050522-284]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000059244	0		arfip2a	ADP-ribosylation factor interacting protein 2a [Source:ZFIN;Acc:ZDB-GENE-041010-221]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000060678	0		ndst2b	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2b [Source:ZFIN;Acc:ZDB-GENE-100430-2]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000061282	0		glg1a	golgi glycoprotein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6448]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000061335	0		galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2360]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000061951	0		golgb1	golgin B1 [Source:ZFIN;Acc:ZDB-GENE-030429-9]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000063001	0		atp8a1	ATPase phospholipid transporting 8A1 [Source:ZFIN;Acc:ZDB-GENE-060929-36]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000063101	0		man2a2	mannosidase, alpha, class 2A, member 2 [Source:ZFIN;Acc:ZDB-GENE-110331-1]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000063197	0		golga2	golgin A2 [Source:NCBI gene;Acc:565431]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000063330	0		mgat4a	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:ZFIN;Acc:ZDB-GENE-070912-27]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000069807	0		zdhhc18a	zinc finger DHHC-type containing 18a [Source:ZFIN;Acc:ZDB-GENE-060929-424]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000070971	0		furinb	furin (paired basic amino acid cleaving enzyme) b [Source:ZFIN;Acc:ZDB-GENE-040901-2]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000077994	0		b4galt2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-070912-258]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000079377	0		arhgef38	Rho guanine nucleotide exchange factor (GEF) 38 [Source:ZFIN;Acc:ZDB-GENE-090313-83]
GO:0044431	Golgi apparatus part	43	4	0.85	0.0093	ENSDARG00000101094	0		ATP11B	si:dkey-211e20.10 [Source:ZFIN;Acc:ZDB-GENE-081031-13]
