GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000002840	0		si:dkey-28b4.8	si:dkey-28b4.8 [Source:ZFIN;Acc:ZDB-GENE-090501-2]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000011909	0		itpr2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:ZFIN;Acc:ZDB-GENE-050419-192]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000018105	0		casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000035458	0		atp2a1l	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like [Source:ZFIN;Acc:ZDB-GENE-041229-2]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000036764	0		hax1	HCLS1 associated protein X-1 [Source:ZFIN;Acc:ZDB-GENE-040718-26]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000038826	0		jph1b	junctophilin 1b [Source:ZFIN;Acc:ZDB-GENE-060616-389]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000041779	0		trdn	triadin [Source:ZFIN;Acc:ZDB-GENE-041014-193]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000045676	0		calua	calumenin a [Source:NCBI gene;Acc:415241]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000057903	0		si:ch211-266g18.10	si:ch211-266g18.10 [Source:ZFIN;Acc:ZDB-GENE-131127-188]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000061741	0		itpr3	inositol 1,4,5-trisphosphate receptor, type 3 [Source:ZFIN;Acc:ZDB-GENE-070605-1]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000071331	0		ryr3	ryanodine receptor 3 [Source:ZFIN;Acc:ZDB-GENE-041001-165]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000098856	0		ENSDARG00000098856	ryanodine receptor 2a (cardiac) [Source:NCBI gene;Acc:100126126]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000020574	1		atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
GO:0016528	sarcoplasm	14	2	0.17	0.012	ENSDARG00000029439	1		atp2a2a	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000002840	0		si:dkey-28b4.8	si:dkey-28b4.8 [Source:ZFIN;Acc:ZDB-GENE-090501-2]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000011909	0		itpr2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:ZFIN;Acc:ZDB-GENE-050419-192]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000018105	0		casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000035458	0		atp2a1l	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like [Source:ZFIN;Acc:ZDB-GENE-041229-2]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000036764	0		hax1	HCLS1 associated protein X-1 [Source:ZFIN;Acc:ZDB-GENE-040718-26]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000038826	0		jph1b	junctophilin 1b [Source:ZFIN;Acc:ZDB-GENE-060616-389]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000041779	0		trdn	triadin [Source:ZFIN;Acc:ZDB-GENE-041014-193]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000045676	0		calua	calumenin a [Source:NCBI gene;Acc:415241]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000057903	0		si:ch211-266g18.10	si:ch211-266g18.10 [Source:ZFIN;Acc:ZDB-GENE-131127-188]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000061741	0		itpr3	inositol 1,4,5-trisphosphate receptor, type 3 [Source:ZFIN;Acc:ZDB-GENE-070605-1]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000071331	0		ryr3	ryanodine receptor 3 [Source:ZFIN;Acc:ZDB-GENE-041001-165]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000098856	0		ENSDARG00000098856	ryanodine receptor 2a (cardiac) [Source:NCBI gene;Acc:100126126]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000020574	1		atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
GO:0016529	sarcoplasmic reticulum	14	2	0.17	0.012	ENSDARG00000029439	1		atp2a2a	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000000837	0		snx9a	sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000002285	0		mcoln1a	mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000002792	0		arcn1a	archain 1a [Source:ZFIN;Acc:ZDB-GENE-021031-2]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000002880	0		vps50	VPS50 EARP/GARPII complex subunit [Source:ZFIN;Acc:ZDB-GENE-060503-325]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000003113	0		ada	adenosine deaminase [Source:NCBI gene;Acc:436919]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000004173	0		copa	coatomer protein complex, subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020905-2]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000006112	0		myof	myoferlin [Source:ZFIN;Acc:ZDB-GENE-040426-1138]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000006786	0		copz2	coatomer protein complex, subunit zeta 2 [Source:ZFIN;Acc:ZDB-GENE-000406-5]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000007370	0		dysf	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) [Source:ZFIN;Acc:ZDB-GENE-070501-1]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000008170	0		dbnla	drebrin-like a [Source:ZFIN;Acc:ZDB-GENE-040704-42]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000008377	0		epn2	epsin 2 [Source:ZFIN;Acc:ZDB-GENE-071212-1]
GO:0044433	cytoplasmic vesicle part	107	4	1.3	0.040	ENSDARG00000011640	0		syt5b	synaptotagmin Vb [Source:ZFIN;Acc:ZDB-GENE-050522-134]
