GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000004748	0		zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000005616	0		bfb	complement component bfb [Source:ZFIN;Acc:ZDB-GENE-990415-34]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000007276	0		ela3l	elastase 3 like [Source:ZFIN;Acc:ZDB-GENE-060710-2]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000008703	0		apeh	acylaminoacyl-peptide hydrolase [Source:ZFIN;Acc:ZDB-GENE-030131-9870]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000019772	0		si:ch1073-280e3.1	si:ch1073-280e3.1 [Source:ZFIN;Acc:ZDB-GENE-110411-261]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000020679	0		clpp	caseinolytic mitochondrial matrix peptidase proteolytic subunit [Source:ZFIN;Acc:ZDB-GENE-030131-7860]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000020891	0		LO018197.1	presenilin associated rhomboid like [Source:NCBI gene;Acc:792889]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000023111	0		plg	plasminogen [Source:ZFIN;Acc:ZDB-GENE-030131-1411]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000027750	0		dpp7	dipeptidyl-peptidase 7 [Source:ZFIN;Acc:ZDB-GENE-050306-16]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000034862	0		f7	coagulation factor VII [Source:ZFIN;Acc:ZDB-GENE-010814-1]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000036041	0		f2	coagulation factor II (thrombin) [Source:ZFIN;Acc:ZDB-GENE-030131-4606]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000036541	0		rhbdf1a	rhomboid 5 homolog 1a (Drosophila) [Source:NCBI gene;Acc:798402]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000037783	0		proza	protein Z, vitamin K-dependent plasma glycoprotein a [Source:ZFIN;Acc:ZDB-GENE-061013-403]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000039310	0		parla	presenilin associated, rhomboid-like a [Source:NCBI gene;Acc:541485]
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000039579	0		cfd	complement factor D (adipsin) [Source:ZFIN;Acc:ZDB-GENE-050522-411]
