GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0008236	serine-type peptidase activity	70	4	0.91	0.013	ENSDARG00000004748,ENSDARG00000005616,ENSDARG00000007276,ENSDARG00000008703,ENSDARG00000017314,ENSDARG00000019772,ENSDARG00000020679,ENSDARG00000020891,ENSDARG00000023111,ENSDARG00000027750,ENSDARG00000034862,ENSDARG00000036041,ENSDARG00000036541,ENSDARG00000037783,ENSDARG00000038258,ENSDARG00000039310,ENSDARG00000039579,ENSDARG00000039730,ENSDARG00000040072,ENSDARG00000040513,ENSDARG00000042793,ENSDARG00000042993,ENSDARG00000043168,ENSDARG00000043171,ENSDARG00000051914,ENSDARG00000052074,ENSDARG00000052606,ENSDARG00000053315,ENSDARG00000053323,ENSDARG00000055278,ENSDARG00000055970,ENSDARG00000056324,ENSDARG00000056480,ENSDARG00000056744,ENSDARG00000056765,ENSDARG00000057151,ENSDARG00000057498,ENSDARG00000059163,ENSDARG00000060518,ENSDARG00000061173,ENSDARG00000061830,ENSDARG00000061858,ENSDARG00000067537,ENSDARG00000068680,ENSDARG00000068726,ENSDARG00000069833,ENSDARG00000069968,ENSDARG00000070057,ENSDARG00000070971,ENSDARG00000073742,ENSDARG00000075827,ENSDARG00000076602,ENSDARG00000076826,ENSDARG00000076900,ENSDARG00000077573,ENSDARG00000078468,ENSDARG00000079274,ENSDARG00000079420,ENSDARG00000090428,ENSDARG00000093079,ENSDARG00000093844,ENSDARG00000094077,ENSDARG00000095462,ENSDARG00000095807,ENSDARG00000099425,ENSDARG00000101438,ENSDARG00000102765,ENSDARG00000102823,ENSDARG00000103117,ENSDARG00000103184
GO:0017171	serine hydrolase activity	70	4	0.91	0.013	ENSDARG00000004748,ENSDARG00000005616,ENSDARG00000007276,ENSDARG00000008703,ENSDARG00000017314,ENSDARG00000019772,ENSDARG00000020679,ENSDARG00000020891,ENSDARG00000023111,ENSDARG00000027750,ENSDARG00000034862,ENSDARG00000036041,ENSDARG00000036541,ENSDARG00000037783,ENSDARG00000038258,ENSDARG00000039310,ENSDARG00000039579,ENSDARG00000039730,ENSDARG00000040072,ENSDARG00000040513,ENSDARG00000042793,ENSDARG00000042993,ENSDARG00000043168,ENSDARG00000043171,ENSDARG00000051914,ENSDARG00000052074,ENSDARG00000052606,ENSDARG00000053315,ENSDARG00000053323,ENSDARG00000055278,ENSDARG00000055970,ENSDARG00000056324,ENSDARG00000056480,ENSDARG00000056744,ENSDARG00000056765,ENSDARG00000057151,ENSDARG00000057498,ENSDARG00000059163,ENSDARG00000060518,ENSDARG00000061173,ENSDARG00000061830,ENSDARG00000061858,ENSDARG00000067537,ENSDARG00000068680,ENSDARG00000068726,ENSDARG00000069833,ENSDARG00000069968,ENSDARG00000070057,ENSDARG00000070971,ENSDARG00000073742,ENSDARG00000075827,ENSDARG00000076602,ENSDARG00000076826,ENSDARG00000076900,ENSDARG00000077573,ENSDARG00000078468,ENSDARG00000079274,ENSDARG00000079420,ENSDARG00000090428,ENSDARG00000093079,ENSDARG00000093844,ENSDARG00000094077,ENSDARG00000095462,ENSDARG00000095807,ENSDARG00000099425,ENSDARG00000101438,ENSDARG00000102765,ENSDARG00000102823,ENSDARG00000103117,ENSDARG00000103184
GO:0015662	ATPase activity, coupled to transmembran...	16	2	0.21	0.018	ENSDARG00000001870,ENSDARG00000002791,ENSDARG00000002840,ENSDARG00000007739,ENSDARG00000007788,ENSDARG00000010472,ENSDARG00000018259,ENSDARG00000019856,ENSDARG00000020574,ENSDARG00000023445,ENSDARG00000029439,ENSDARG00000030694,ENSDARG00000035458,ENSDARG00000039131,ENSDARG00000043474,ENSDARG00000044902
GO:0140101	catalytic activity, acting on a tRNA	45	3	0.59	0.021	ENSDARG00000003693,ENSDARG00000008237,ENSDARG00000010316,ENSDARG00000010978,ENSDARG00000011152,ENSDARG00000013250,ENSDARG00000016093,ENSDARG00000017605,ENSDARG00000032704,ENSDARG00000032876,ENSDARG00000035913,ENSDARG00000036164,ENSDARG00000037628,ENSDARG00000042057,ENSDARG00000044134,ENSDARG00000044575,ENSDARG00000044628,ENSDARG00000056665,ENSDARG00000056717,ENSDARG00000057089,ENSDARG00000059070,ENSDARG00000060494,ENSDARG00000061100,ENSDARG00000068602,ENSDARG00000069142,ENSDARG00000070043,ENSDARG00000074565,ENSDARG00000075385,ENSDARG00000077607,ENSDARG00000078546,ENSDARG00000079055,ENSDARG00000089260,ENSDARG00000090988,ENSDARG00000091247,ENSDARG00000091851,ENSDARG00000097465,ENSDARG00000098206,ENSDARG00000098441,ENSDARG00000100954,ENSDARG00000101472,ENSDARG00000102846,ENSDARG00000103099,ENSDARG00000103799,ENSDARG00000107385,ENSDARG00000111509
GO:0016874	ligase activity	82	4	1.07	0.022	ENSDARG00000000540,ENSDARG00000002071,ENSDARG00000002215,ENSDARG00000003693,ENSDARG00000003750,ENSDARG00000004078,ENSDARG00000004880,ENSDARG00000006240,ENSDARG00000007715,ENSDARG00000008237,ENSDARG00000008239,ENSDARG00000010316,ENSDARG00000011301,ENSDARG00000012399,ENSDARG00000012468,ENSDARG00000013095,ENSDARG00000013227,ENSDARG00000013250,ENSDARG00000014674,ENSDARG00000016375,ENSDARG00000017571,ENSDARG00000018266,ENSDARG00000026871,ENSDARG00000027930,ENSDARG00000028982,ENSDARG00000030514,ENSDARG00000030700,ENSDARG00000032079,ENSDARG00000032704,ENSDARG00000033539,ENSDARG00000035913,ENSDARG00000036164,ENSDARG00000036237,ENSDARG00000037309,ENSDARG00000037559,ENSDARG00000037781,ENSDARG00000038910,ENSDARG00000040492,ENSDARG00000041895,ENSDARG00000042221,ENSDARG00000044134,ENSDARG00000044575,ENSDARG00000044809,ENSDARG00000046053,ENSDARG00000054400,ENSDARG00000056717,ENSDARG00000057987,ENSDARG00000059070,ENSDARG00000060041,ENSDARG00000060494,ENSDARG00000061100,ENSDARG00000061994,ENSDARG00000062077,ENSDARG00000062806,ENSDARG00000063588,ENSDARG00000067520,ENSDARG00000068602,ENSDARG00000069142,ENSDARG00000070043,ENSDARG00000075385,ENSDARG00000075931,ENSDARG00000078512,ENSDARG00000078546,ENSDARG00000078935,ENSDARG00000079848,ENSDARG00000080019,ENSDARG00000090778,ENSDARG00000090988,ENSDARG00000091247,ENSDARG00000098386,ENSDARG00000098441,ENSDARG00000099517,ENSDARG00000099776,ENSDARG00000100003,ENSDARG00000100954,ENSDARG00000101047,ENSDARG00000101332,ENSDARG00000101378,ENSDARG00000103099,ENSDARG00000103799,ENSDARG00000107385,ENSDARG00000113657
GO:0005212	structural constituent of eye lens	18	2	0.24	0.023	ENSDARG00000007576,ENSDARG00000014803,ENSDARG00000015445,ENSDARG00000016793,ENSDARG00000024548,ENSDARG00000032929,ENSDARG00000036140,ENSDARG00000040738,ENSDARG00000041179,ENSDARG00000053875,ENSDARG00000069792,ENSDARG00000069801,ENSDARG00000069827,ENSDARG00000074001,ENSDARG00000076790,ENSDARG00000087324,ENSDARG00000091148,ENSDARG00000116164
GO:0016798	hydrolase activity, acting on glycosyl b...	54	3	0.71	0.033	ENSDARG00000001897,ENSDARG00000008238,ENSDARG00000008541,ENSDARG00000009443,ENSDARG00000010035,ENSDARG00000010524,ENSDARG00000013856,ENSDARG00000016337,ENSDARG00000016474,ENSDARG00000018061,ENSDARG00000025094,ENSDARG00000029955,ENSDARG00000030357,ENSDARG00000034368,ENSDARG00000035879,ENSDARG00000035890,ENSDARG00000036139,ENSDARG00000036785,ENSDARG00000041589,ENSDARG00000041728,ENSDARG00000042881,ENSDARG00000052113,ENSDARG00000056874,ENSDARG00000058327,ENSDARG00000060671,ENSDARG00000061114,ENSDARG00000061472,ENSDARG00000061600,ENSDARG00000062204,ENSDARG00000063634,ENSDARG00000068460,ENSDARG00000070830,ENSDARG00000074129,ENSDARG00000074282,ENSDARG00000074556,ENSDARG00000074889,ENSDARG00000076058,ENSDARG00000076811,ENSDARG00000076888,ENSDARG00000077911,ENSDARG00000079835,ENSDARG00000079862,ENSDARG00000086450,ENSDARG00000092404,ENSDARG00000099185,ENSDARG00000099313,ENSDARG00000099771,ENSDARG00000100352,ENSDARG00000100635,ENSDARG00000101629,ENSDARG00000102200,ENSDARG00000103811,ENSDARG00000104569,ENSDARG00000104853
GO:0016836	hydro-lyase activity	23	2	0.3	0.036	ENSDARG00000005179,ENSDARG00000007294,ENSDARG00000011166,ENSDARG00000013750,ENSDARG00000014287,ENSDARG00000014806,ENSDARG00000015654,ENSDARG00000022456,ENSDARG00000027491,ENSDARG00000031981,ENSDARG00000038359,ENSDARG00000039007,ENSDARG00000042293,ENSDARG00000045644,ENSDARG00000053500,ENSDARG00000057128,ENSDARG00000060594,ENSDARG00000061697,ENSDARG00000070394,ENSDARG00000070830,ENSDARG00000087657,ENSDARG00000100372,ENSDARG00000101239
GO:0004812	aminoacyl-tRNA ligase activity	24	2	0.31	0.039	ENSDARG00000003693,ENSDARG00000008237,ENSDARG00000010316,ENSDARG00000013250,ENSDARG00000035913,ENSDARG00000036164,ENSDARG00000044134,ENSDARG00000044575,ENSDARG00000056717,ENSDARG00000059070,ENSDARG00000060494,ENSDARG00000061100,ENSDARG00000068602,ENSDARG00000069142,ENSDARG00000070043,ENSDARG00000075385,ENSDARG00000078546,ENSDARG00000090988,ENSDARG00000091247,ENSDARG00000098441,ENSDARG00000100954,ENSDARG00000103099,ENSDARG00000103799,ENSDARG00000107385
GO:0016875	ligase activity, forming carbon-oxygen b...	24	2	0.31	0.039	ENSDARG00000003693,ENSDARG00000008237,ENSDARG00000010316,ENSDARG00000013250,ENSDARG00000035913,ENSDARG00000036164,ENSDARG00000044134,ENSDARG00000044575,ENSDARG00000056717,ENSDARG00000059070,ENSDARG00000060494,ENSDARG00000061100,ENSDARG00000068602,ENSDARG00000069142,ENSDARG00000070043,ENSDARG00000075385,ENSDARG00000078546,ENSDARG00000090988,ENSDARG00000091247,ENSDARG00000098441,ENSDARG00000100954,ENSDARG00000103099,ENSDARG00000103799,ENSDARG00000107385
