ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	40,64,42,28,40,48	0,2,1,2,3,2	25,32,73,39,55,48	0,0,1,1,2,1	152	149
1	5,14,13,9,12,14	21,21,16,27,15,13	15,10,24,23,8,22	11,15,27,12,20,12	167	149
2	15,17,10,7,18,1	1,1,6,3,5,1	13,17,8,16,15,26	9,2,1,1,2,3	152	149
3	9,11,7,5,12,20	69,104,96,54,79,85	12,4,5,14,12,18	70,88,138,75,83,128	152	149
5	0,8,4,5,2,9	0,1,0,0,0,0	3,0,3,4,3,6	0,0,0,0,0,0	151	149
6	13,7,7,1,5,7	6,7,3,11,6,10	5,2,4,3,15,6	13,5,16,17,22,16	152	149
7	12,11,10,6,14,5	0,0,0,0,0,0	8,3,13,3,11,12	0,0,1,0,0,1	179	149
8	278,329,307,249,308,187	0,2,2,0,1,0	297,302,453,247,383,448	3,1,0,1,4,7	153	149
10	29,38,27,16,40,36	13,15,21,12,22,18	22,39,67,41,57,47	12,16,31,23,38,34	152	149
11	61,58,42,48,43,79	0,0,0,0,0,0	44,59,70,47,90,88	0,2,0,2,2,1	177	149
15	13,37,17,8,20,31	19,99,15,35,51,34	8,4,14,7,13,10	5,7,38,8,14,17	152	149
16	150,258,228,117,224,211	1,3,2,3,3,5	201,192,228,178,262,249	3,6,0,5,3,3	152	149
17	6,16,4,9,15,4	0,0,0,0,0,0	6,5,7,6,10,18	0,0,0,2,0,0	152	149
18	25,33,31,21,18,35	1,12,2,9,5,13	16,41,37,18,37,35	5,3,9,6,6,8	185	149
19	18,26,32,24,29,16	0,3,6,6,6,10	23,32,26,31,46,28	5,6,9,12,9,10	176	149
20	1,0,3,0,4,1	0,0,2,0,0,1	2,0,1,1,1,0	0,1,1,1,2,0	152	149
21	0,1,0,0,0,0	1,0,0,0,0,0	0,0,1,0,0,1	0,0,0,0,0,0	152	149
22	2,0,1,1,0,0	1,1,0,2,2,1	0,0,2,1,1,1	0,0,1,0,2,0	152	149
23	29,39,40,4,22,26	0,0,0,0,3,0	56,18,34,21,43,36	0,0,0,2,0,0	158	149
24	1,2,6,0,7,0	1,0,0,0,0,0	6,6,2,0,0,0	0,0,0,0,0,0	155	149
25	110,151,77,73,117,125	5,3,1,2,5,5	77,156,160,106,158,151	6,4,10,0,10,4	167	149
26	1,4,3,1,0,6	40,40,54,20,40,43	3,0,2,4,9,3	33,49,51,28,81,54	152	149
27	3,2,1,1,6,2	10,18,5,14,2,9	4,0,5,7,3,5	12,10,17,11,20,20	152	149
31	1,0,0,0,0,0	12,22,13,15,12,15	0,0,4,0,2,2	9,18,19,13,10,20	165	149
33	7,11,11,9,13,13	0,1,0,1,0,0	13,16,24,5,18,11	0,1,0,0,0,1	161	149
35	2,1,0,0,0,0	13,20,20,7,24,17	0,3,0,0,0,1	11,33,25,23,34,30	177	149
36	38,44,48,37,62,41	42,64,50,24,58,60	42,62,83,52,64,78	23,53,81,56,67,65	152	149
38	34,55,36,38,45,46	0,0,0,0,0,0	40,25,72,27,47,42	0,0,2,0,0,1	153	149
41	15,12,8,14,11,10	14,22,29,16,28,16	2,12,19,21,26,28	32,34,39,25,59,43	152	149
42	12,40,30,12,18,23	8,19,8,7,12,10	29,37,37,37,38,38	11,25,23,19,23,15	152	149
