ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	25,27,37,25,34,29	13,19,12,12,17,21	13,20,33,14,42,35	8,18,18,5,23,13	263	263
2	37,44,53,30,44,38	17,10,19,18,15,21	34,28,46,26,62,56	8,13,10,17,23,17	263	263
3	2,0,0,0,0,0	10,19,3,4,10,11	0,0,0,0,0,0	5,15,27,12,24,9	195	282
4	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,0,0,1,0	298	298
5	22,47,42,33,51,57	25,44,29,19,46,40	50,55,64,44,77,67	28,48,47,38,52,44	293	278
6	7,33,23,23,30,26	10,24,23,15,41,18	8,25,24,31,39,26	24,25,36,31,42,34	298	293
7	19,21,18,5,21,29	11,21,9,10,14,12	10,11,16,12,24,21	9,17,25,20,24,18	292	250
8	10,12,7,7,12,6	11,37,22,27,8,24	11,12,13,14,7,15	19,22,30,29,29,30	246	234
10	0,0,0,0,1,2	0,0,0,0,1,0	0,1,0,0,2,1	0,4,0,0,1,0	298	298
11	3,7,4,1,5,5	6,14,2,6,5,11	5,6,4,5,7,4	9,2,7,6,5,5	203	238
12	56,71,39,80,58,64	36,59,52,46,59,61	60,71,99,67,93,87	33,52,68,40,72,70	267	249
13	21,46,14,27,32,35	45,61,56,47,57,46	30,28,41,61,64,56	40,42,60,46,76,61	225	267
14	17,8,7,3,11,11	14,25,20,13,22,33	4,3,23,1,12,15	11,13,35,20,37,30	216	298
15	118,155,113,92,105,108	6,15,10,11,23,8	98,108,156,111,157,156	10,9,28,4,12,24	242	242
16	23,19,16,1,5,8	14,22,29,14,15,16	9,12,13,4,9,5	10,10,19,11,14,20	243	298
17	21,24,23,10,12,12	6,10,4,2,6,3	19,10,31,11,17,24	4,1,6,4,3,1	254	265
18	6,10,7,4,6,2	9,8,0,2,2,0	5,2,9,7,4,1	1,1,4,2,0,2	279	246
19	15,32,22,30,25,30	10,22,21,10,20,19	17,30,45,36,56,46	11,22,18,10,18,38	298	224
20	10,79,31,30,59,55	12,14,12,9,14,4	44,38,56,29,78,61	15,14,14,16,9,13	257	212
21	8,52,18,22,38,30	56,70,55,46,55,72	28,18,37,10,43,42	51,52,61,43,88,91	257	287
24	14,13,8,10,8,16	8,16,12,13,11,9	7,13,18,8,8,12	5,10,25,9,12,13	298	298
25	21,29,23,15,42,33	23,38,30,6,41,31	41,37,44,33,47,45	36,31,38,34,37,53	297	298
26	45,87,65,48,74,74	36,52,48,34,37,51	39,60,91,35,101,93	31,47,56,26,47,67	214	194
27	21,41,28,18,43,23	44,75,41,51,58,55	15,44,30,45,42,37	45,66,75,55,117,80	245	290
28	122,177,154,132,148,166	32,59,28,34,42,37	108,135,175,170,201,160	41,55,60,45,68,68	256	298
29	30,33,43,22,36,43	43,41,44,30,37,45	28,32,42,23,38,39	20,48,65,21,66,38	298	288
30	12,18,13,2,11,27	9,11,11,9,12,6	10,12,28,19,24,21	9,12,33,9,21,12	242	296
31	271,370,239,143,328,284	151,224,157,84,204,171	295,221,383,309,332,416	171,131,197,189,192,254	290	231
32	10,19,15,13,12,9	18,29,18,26,31,17	11,10,12,5,12,19	15,18,14,7,11,20	298	298
33	10,16,13,6,11,6	29,26,30,19,40,51	11,11,19,7,8,18	37,17,53,34,87,54	298	269
34	29,17,23,16,18,23	13,18,16,12,20,16	11,15,19,9,37,17	18,9,17,23,18,27	298	298
35	3,6,6,8,4,3	5,5,4,4,4,3	2,0,5,6,4,6	3,2,10,4,5,10	203	266
36	7,7,7,3,6,5	13,5,14,2,1,1	7,9,10,1,14,25	5,5,14,6,6,4	278	242
37	6,14,16,9,9,8	8,11,5,10,7,8	6,7,16,2,12,8	13,12,20,14,12,12	254	254
38	6,12,13,7,9,8	8,8,7,8,5,1	5,6,16,3,12,8	4,5,7,2,12,4	254	181
39	2,3,5,3,8,8	29,29,14,12,22,15	2,8,6,4,4,7	19,18,40,13,25,26	298	298
40	34,78,59,37,55,47	92,140,140,57,124,114	51,43,61,49,80,78	118,101,114,99,162,127	207	241
