GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:1990904	ribonucleoprotein complex	287	6	1.87	0.010	ENSDARG00000001057,ENSDARG00000002131,ENSDARG00000002168,ENSDARG00000002264,ENSDARG00000002549,ENSDARG00000003382,ENSDARG00000003599,ENSDARG00000004757,ENSDARG00000005315,ENSDARG00000005551,ENSDARG00000005774,ENSDARG00000005791,ENSDARG00000005945,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006691,ENSDARG00000006766,ENSDARG00000006983,ENSDARG00000007034,ENSDARG00000007065,ENSDARG00000007092,ENSDARG00000007130,ENSDARG00000007135,ENSDARG00000007320,ENSDARG00000007863,ENSDARG00000009178,ENSDARG00000009285,ENSDARG00000009753,ENSDARG00000009871,ENSDARG00000010160,ENSDARG00000010244,ENSDARG00000010516,ENSDARG00000010710,ENSDARG00000010752,ENSDARG00000010873,ENSDARG00000011125,ENSDARG00000011152,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000011597,ENSDARG00000011648,ENSDARG00000012261,ENSDARG00000012505,ENSDARG00000012688,ENSDARG00000012820,ENSDARG00000013307,ENSDARG00000013351,ENSDARG00000013800,ENSDARG00000014329,ENSDARG00000014366,ENSDARG00000014373,ENSDARG00000014420,ENSDARG00000014569,ENSDARG00000014690,ENSDARG00000014790,ENSDARG00000014867,ENSDARG00000015128,ENSDARG00000015206,ENSDARG00000015239,ENSDARG00000015392,ENSDARG00000015638,ENSDARG00000015829,ENSDARG00000015851,ENSDARG00000015862,ENSDARG00000016177,ENSDARG00000016260,ENSDARG00000016775,ENSDARG00000017219,ENSDARG00000017605,ENSDARG00000017675,ENSDARG00000017741,ENSDARG00000018049,ENSDARG00000018334,ENSDARG00000018425,ENSDARG00000018914,ENSDARG00000019181,ENSDARG00000019230,ENSDARG00000019778,ENSDARG00000019842,ENSDARG00000020043,ENSDARG00000020197,ENSDARG00000020573,ENSDARG00000020820,ENSDARG00000021107,ENSDARG00000021324,ENSDARG00000021838,ENSDARG00000021864,ENSDARG00000021945,ENSDARG00000022968,ENSDARG00000023298,ENSDARG00000023299,ENSDARG00000023852,ENSDARG00000024465,ENSDARG00000025073,ENSDARG00000025581,ENSDARG00000025850,ENSDARG00000026723,ENSDARG00000027357,ENSDARG00000029100,ENSDARG00000029252,ENSDARG00000029445,ENSDARG00000029500,ENSDARG00000029533,ENSDARG00000030241,ENSDARG00000030408,ENSDARG00000030602,ENSDARG00000031346,ENSDARG00000031637,ENSDARG00000032614,ENSDARG00000032725,ENSDARG00000032985,ENSDARG00000033175,ENSDARG00000033901,ENSDARG00000033973,ENSDARG00000034291,ENSDARG00000034897,ENSDARG00000034982,ENSDARG00000035167,ENSDARG00000035256,ENSDARG00000035400,ENSDARG00000035692,ENSDARG00000035860,ENSDARG00000035871,ENSDARG00000036190,ENSDARG00000036298,ENSDARG00000036629,ENSDARG00000036875,ENSDARG00000036995,ENSDARG00000037071,ENSDARG00000037109,ENSDARG00000037283,ENSDARG00000037350,ENSDARG00000037675,ENSDARG00000038695,ENSDARG00000038870,ENSDARG00000039466,ENSDARG00000039958,ENSDARG00000039989,ENSDARG00000040184,ENSDARG00000040881,ENSDARG00000041182,ENSDARG00000041226,ENSDARG00000041232,ENSDARG00000041306,ENSDARG00000041435,ENSDARG00000041481,ENSDARG00000041570,ENSDARG00000041887,ENSDARG00000042065,ENSDARG00000042091,ENSDARG00000042094,ENSDARG00000042520,ENSDARG00000042566,ENSDARG00000042637,ENSDARG00000042851,ENSDARG00000042864,ENSDARG00000042905,ENSDARG00000043177,ENSDARG00000043404,ENSDARG00000043453,ENSDARG00000043509,ENSDARG00000044093,ENSDARG00000044325,ENSDARG00000045155,ENSDARG00000045484,ENSDARG00000045487,ENSDARG00000045639,ENSDARG00000045847,ENSDARG00000045913,ENSDARG00000045932,ENSDARG00000046157,ENSDARG00000051783,ENSDARG00000051931,ENSDARG00000052178,ENSDARG00000052344,ENSDARG00000053021,ENSDARG00000053058,ENSDARG00000053101,ENSDARG00000053365,ENSDARG00000053457,ENSDARG00000054540,ENSDARG00000054818,ENSDARG00000055475,ENSDARG00000055868,ENSDARG00000055903,ENSDARG00000055996,ENSDARG00000056150,ENSDARG00000056504,ENSDARG00000056720,ENSDARG00000056903,ENSDARG00000056932,ENSDARG00000057368,ENSDARG00000057556,ENSDARG00000057855,ENSDARG00000057929,ENSDARG00000058105,ENSDARG00000058451,ENSDARG00000058824,ENSDARG00000058962,ENSDARG00000058993,ENSDARG00000059259,ENSDARG00000059398,ENSDARG00000059711,ENSDARG00000060199,ENSDARG00000060767,ENSDARG00000061256,ENSDARG00000061338,ENSDARG00000061505,ENSDARG00000061735,ENSDARG00000061802,ENSDARG00000061864,ENSDARG00000062209,ENSDARG00000062463,ENSDARG00000062550,ENSDARG00000062568,ENSDARG00000062916,ENSDARG00000063050,ENSDARG00000063079,ENSDARG00000063182,ENSDARG00000063249,ENSDARG00000067639,ENSDARG00000068289,ENSDARG00000069850,ENSDARG00000070437,ENSDARG00000070849,ENSDARG00000071375,ENSDARG00000073892,ENSDARG00000074023,ENSDARG00000074031,ENSDARG00000074161,ENSDARG00000074572,ENSDARG00000074611,ENSDARG00000074675,ENSDARG00000075743,ENSDARG00000076509,ENSDARG00000076847,ENSDARG00000077075,ENSDARG00000077291,ENSDARG00000077536,ENSDARG00000077717,ENSDARG00000077842,ENSDARG00000077850,ENSDARG00000078055,ENSDARG00000078500,ENSDARG00000079257,ENSDARG00000079688,ENSDARG00000086425,ENSDARG00000088030,ENSDARG00000090462,ENSDARG00000090568,ENSDARG00000090727,ENSDARG00000091563,ENSDARG00000092807,ENSDARG00000098280,ENSDARG00000098859,ENSDARG00000099022,ENSDARG00000099380,ENSDARG00000099667,ENSDARG00000100013,ENSDARG00000100084,ENSDARG00000100114,ENSDARG00000100136,ENSDARG00000100371,ENSDARG00000100392,ENSDARG00000100499,ENSDARG00000100553,ENSDARG00000100854,ENSDARG00000101306,ENSDARG00000101406,ENSDARG00000101472,ENSDARG00000101744,ENSDARG00000101794,ENSDARG00000102087,ENSDARG00000102317,ENSDARG00000103007,ENSDARG00000103198,ENSDARG00000103318,ENSDARG00000103337,ENSDARG00000103433,ENSDARG00000103672,ENSDARG00000103851,ENSDARG00000104011,ENSDARG00000104111,ENSDARG00000104242,ENSDARG00000104353,ENSDARG00000109961,ENSDARG00000115271
GO:0022625	cytosolic large ribosomal subunit	31	2	0.2	0.017	ENSDARG00000003599,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006691,ENSDARG00000007320,ENSDARG00000009285,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000013307,ENSDARG00000015862,ENSDARG00000018334,ENSDARG00000019230,ENSDARG00000020197,ENSDARG00000021864,ENSDARG00000029533,ENSDARG00000035871,ENSDARG00000041182,ENSDARG00000042864,ENSDARG00000043509,ENSDARG00000044093,ENSDARG00000053365,ENSDARG00000054818,ENSDARG00000057556,ENSDARG00000058451,ENSDARG00000077717,ENSDARG00000088030,ENSDARG00000101406,ENSDARG00000101794,ENSDARG00000102317,ENSDARG00000103433
GO:0030055	cell-substrate junction	31	2	0.2	0.017	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000004672,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019117,ENSDARG00000021200,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000026985,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000040985,ENSDARG00000043710,ENSDARG00000053232,ENSDARG00000056767,ENSDARG00000056964,ENSDARG00000060766,ENSDARG00000061603,ENSDARG00000067711,ENSDARG00000069331,ENSDARG00000088590,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000101858,ENSDARG00000107053,ENSDARG00000110973
GO:0005924	cell-substrate adherens junction	31	2	0.2	0.017	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000004672,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019117,ENSDARG00000021200,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000026985,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000040985,ENSDARG00000043710,ENSDARG00000053232,ENSDARG00000056767,ENSDARG00000056964,ENSDARG00000060766,ENSDARG00000061603,ENSDARG00000067711,ENSDARG00000069331,ENSDARG00000088590,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000101858,ENSDARG00000107053,ENSDARG00000110973
GO:0005925	focal adhesion	31	2	0.2	0.017	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000004672,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019117,ENSDARG00000021200,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000026985,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000040985,ENSDARG00000043710,ENSDARG00000053232,ENSDARG00000056767,ENSDARG00000056964,ENSDARG00000060766,ENSDARG00000061603,ENSDARG00000067711,ENSDARG00000069331,ENSDARG00000088590,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000101858,ENSDARG00000107053,ENSDARG00000110973
GO:0015934	large ribosomal subunit	42	2	0.27	0.030	ENSDARG00000003599,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006691,ENSDARG00000007320,ENSDARG00000009285,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000013307,ENSDARG00000014867,ENSDARG00000015862,ENSDARG00000018334,ENSDARG00000019230,ENSDARG00000020197,ENSDARG00000021324,ENSDARG00000021864,ENSDARG00000029533,ENSDARG00000032985,ENSDARG00000035871,ENSDARG00000037350,ENSDARG00000041182,ENSDARG00000042864,ENSDARG00000042905,ENSDARG00000043509,ENSDARG00000044093,ENSDARG00000053365,ENSDARG00000054818,ENSDARG00000057556,ENSDARG00000058451,ENSDARG00000069850,ENSDARG00000075743,ENSDARG00000077717,ENSDARG00000088030,ENSDARG00000090568,ENSDARG00000101306,ENSDARG00000101406,ENSDARG00000101794,ENSDARG00000102317,ENSDARG00000103433,ENSDARG00000104111,ENSDARG00000109961
GO:0005840	ribosome	114	3	0.74	0.038	ENSDARG00000002264,ENSDARG00000003599,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006691,ENSDARG00000007065,ENSDARG00000007320,ENSDARG00000009285,ENSDARG00000010160,ENSDARG00000010244,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000013307,ENSDARG00000014690,ENSDARG00000014867,ENSDARG00000015128,ENSDARG00000015862,ENSDARG00000018334,ENSDARG00000019181,ENSDARG00000019230,ENSDARG00000019778,ENSDARG00000020197,ENSDARG00000021324,ENSDARG00000021838,ENSDARG00000021864,ENSDARG00000023298,ENSDARG00000024465,ENSDARG00000025073,ENSDARG00000025581,ENSDARG00000025850,ENSDARG00000029100,ENSDARG00000029500,ENSDARG00000029533,ENSDARG00000030408,ENSDARG00000030602,ENSDARG00000032725,ENSDARG00000032985,ENSDARG00000033973,ENSDARG00000034291,ENSDARG00000034897,ENSDARG00000035167,ENSDARG00000035400,ENSDARG00000035692,ENSDARG00000035860,ENSDARG00000035871,ENSDARG00000036298,ENSDARG00000036629,ENSDARG00000036875,ENSDARG00000037071,ENSDARG00000037350,ENSDARG00000041182,ENSDARG00000041232,ENSDARG00000041306,ENSDARG00000041435,ENSDARG00000041570,ENSDARG00000042566,ENSDARG00000042864,ENSDARG00000042905,ENSDARG00000043453,ENSDARG00000043509,ENSDARG00000044093,ENSDARG00000045487,ENSDARG00000045847,ENSDARG00000045913,ENSDARG00000046157,ENSDARG00000051783,ENSDARG00000053058,ENSDARG00000053365,ENSDARG00000053457,ENSDARG00000054818,ENSDARG00000055475,ENSDARG00000055996,ENSDARG00000056903,ENSDARG00000057368,ENSDARG00000057556,ENSDARG00000057855,ENSDARG00000058105,ENSDARG00000058451,ENSDARG00000058824,ENSDARG00000060199,ENSDARG00000061505,ENSDARG00000062209,ENSDARG00000062568,ENSDARG00000062916,ENSDARG00000063249,ENSDARG00000069850,ENSDARG00000070437,ENSDARG00000070849,ENSDARG00000075743,ENSDARG00000077291,ENSDARG00000077717,ENSDARG00000078500,ENSDARG00000079257,ENSDARG00000088030,ENSDARG00000090462,ENSDARG00000090568,ENSDARG00000092807,ENSDARG00000099022,ENSDARG00000099380,ENSDARG00000100392,ENSDARG00000101306,ENSDARG00000101406,ENSDARG00000101794,ENSDARG00000102317,ENSDARG00000103007,ENSDARG00000103198,ENSDARG00000103318,ENSDARG00000103433,ENSDARG00000104011,ENSDARG00000104111,ENSDARG00000109961,ENSDARG00000115271
GO:0022626	cytosolic ribosome	53	2	0.35	0.046	ENSDARG00000003599,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006691,ENSDARG00000007320,ENSDARG00000009285,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000013307,ENSDARG00000015862,ENSDARG00000018334,ENSDARG00000019230,ENSDARG00000020197,ENSDARG00000021838,ENSDARG00000021864,ENSDARG00000023298,ENSDARG00000029533,ENSDARG00000030408,ENSDARG00000030602,ENSDARG00000032725,ENSDARG00000034897,ENSDARG00000035871,ENSDARG00000036298,ENSDARG00000036629,ENSDARG00000036875,ENSDARG00000037071,ENSDARG00000041182,ENSDARG00000041232,ENSDARG00000041435,ENSDARG00000042864,ENSDARG00000043453,ENSDARG00000043509,ENSDARG00000044093,ENSDARG00000045487,ENSDARG00000053058,ENSDARG00000053365,ENSDARG00000054818,ENSDARG00000055475,ENSDARG00000057368,ENSDARG00000057556,ENSDARG00000058451,ENSDARG00000070849,ENSDARG00000077291,ENSDARG00000077717,ENSDARG00000088030,ENSDARG00000099022,ENSDARG00000101406,ENSDARG00000101794,ENSDARG00000102317,ENSDARG00000103007,ENSDARG00000103433
GO:0016459	myosin complex	55	2	0.36	0.050	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001993,ENSDARG00000003872,ENSDARG00000009133,ENSDARG00000010186,ENSDARG00000012944,ENSDARG00000020924,ENSDARG00000024694,ENSDARG00000025218,ENSDARG00000035322,ENSDARG00000035438,ENSDARG00000036104,ENSDARG00000036179,ENSDARG00000041414,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000055607,ENSDARG00000058946,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000063295,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000074143,ENSDARG00000074723,ENSDARG00000075292,ENSDARG00000075752,ENSDARG00000076075,ENSDARG00000076357,ENSDARG00000076729,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000078313,ENSDARG00000078474,ENSDARG00000078603,ENSDARG00000078734,ENSDARG00000079564,ENSDARG00000079782,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000100972,ENSDARG00000102414,ENSDARG00000103969,ENSDARG00000104235,ENSDARG00000112287
GO:0005829	cytosol	426	6	2.77	0.056	ENSDARG00000001888,ENSDARG00000001929,ENSDARG00000001950,ENSDARG00000002037,ENSDARG00000002082,ENSDARG00000002184,ENSDARG00000002355,ENSDARG00000002401,ENSDARG00000002411,ENSDARG00000002880,ENSDARG00000002986,ENSDARG00000003189,ENSDARG00000003421,ENSDARG00000003495,ENSDARG00000003599,ENSDARG00000003681,ENSDARG00000003931,ENSDARG00000003984,ENSDARG00000004130,ENSDARG00000004634,ENSDARG00000004937,ENSDARG00000005034,ENSDARG00000005191,ENSDARG00000005251,ENSDARG00000005372,ENSDARG00000005374,ENSDARG00000005629,ENSDARG00000005791,ENSDARG00000005800,ENSDARG00000006169,ENSDARG00000006215,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006624,ENSDARG00000006691,ENSDARG00000006766,ENSDARG00000007320,ENSDARG00000007385,ENSDARG00000007671,ENSDARG00000008239,ENSDARG00000008439,ENSDARG00000008880,ENSDARG00000009285,ENSDARG00000009299,ENSDARG00000009549,ENSDARG00000010231,ENSDARG00000010250,ENSDARG00000010407,ENSDARG00000010434,ENSDARG00000010516,ENSDARG00000010756,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000011496,ENSDARG00000011665,ENSDARG00000011983,ENSDARG00000012078,ENSDARG00000012381,ENSDARG00000012801,ENSDARG00000012818,ENSDARG00000012981,ENSDARG00000012987,ENSDARG00000013307,ENSDARG00000013379,ENSDARG00000013475,ENSDARG00000013561,ENSDARG00000013708,ENSDARG00000013711,ENSDARG00000013750,ENSDARG00000013795,ENSDARG00000013822,ENSDARG00000013966,ENSDARG00000014179,ENSDARG00000014222,ENSDARG00000014517,ENSDARG00000014790,ENSDARG00000015153,ENSDARG00000015343,ENSDARG00000015474,ENSDARG00000015681,ENSDARG00000015829,ENSDARG00000015862,ENSDARG00000016074,ENSDARG00000016173,ENSDARG00000016239,ENSDARG00000016706,ENSDARG00000016753,ENSDARG00000016754,ENSDARG00000017037,ENSDARG00000017049,ENSDARG00000017219,ENSDARG00000017446,ENSDARG00000017741,ENSDARG00000017772,ENSDARG00000017803,ENSDARG00000017891,ENSDARG00000018153,ENSDARG00000018266,ENSDARG00000018334,ENSDARG00000018653,ENSDARG00000018985,ENSDARG00000018989,ENSDARG00000019230,ENSDARG00000019236,ENSDARG00000019360,ENSDARG00000019364,ENSDARG00000019496,ENSDARG00000019941,ENSDARG00000019962,ENSDARG00000019986,ENSDARG00000020191,ENSDARG00000020197,ENSDARG00000020364,ENSDARG00000020442,ENSDARG00000020454,ENSDARG00000020488,ENSDARG00000020895,ENSDARG00000020956,ENSDARG00000021239,ENSDARG00000021252,ENSDARG00000021366,ENSDARG00000021550,ENSDARG00000021611,ENSDARG00000021702,ENSDARG00000021838,ENSDARG00000021864,ENSDARG00000021882,ENSDARG00000021924,ENSDARG00000022045,ENSDARG00000022456,ENSDARG00000022518,ENSDARG00000023279,ENSDARG00000023298,ENSDARG00000023508,ENSDARG00000024278,ENSDARG00000024398,ENSDARG00000025350,ENSDARG00000025404,ENSDARG00000025920,ENSDARG00000026762,ENSDARG00000028000,ENSDARG00000028164,ENSDARG00000029075,ENSDARG00000029533,ENSDARG00000029885,ENSDARG00000029952,ENSDARG00000030053,ENSDARG00000030340,ENSDARG00000030408,ENSDARG00000030602,ENSDARG00000030786,ENSDARG00000031048,ENSDARG00000031119,ENSDARG00000031496,ENSDARG00000031809,ENSDARG00000032083,ENSDARG00000032327,ENSDARG00000032353,ENSDARG00000032469,ENSDARG00000032725,ENSDARG00000033361,ENSDARG00000033367,ENSDARG00000033539,ENSDARG00000033832,ENSDARG00000034313,ENSDARG00000034470,ENSDARG00000034522,ENSDARG00000034897,ENSDARG00000035400,ENSDARG00000035751,ENSDARG00000035860,ENSDARG00000035871,ENSDARG00000036298,ENSDARG00000036629,ENSDARG00000036678,ENSDARG00000036833,ENSDARG00000036875,ENSDARG00000036942,ENSDARG00000036943,ENSDARG00000037071,ENSDARG00000037121,ENSDARG00000037140,ENSDARG00000037284,ENSDARG00000037654,ENSDARG00000037871,ENSDARG00000038398,ENSDARG00000038703,ENSDARG00000038954,ENSDARG00000038978,ENSDARG00000039007,ENSDARG00000039093,ENSDARG00000039343,ENSDARG00000039392,ENSDARG00000039429,ENSDARG00000039452,ENSDARG00000039605,ENSDARG00000039989,ENSDARG00000040027,ENSDARG00000040286,ENSDARG00000040334,ENSDARG00000040615,ENSDARG00000041062,ENSDARG00000041182,ENSDARG00000041232,ENSDARG00000041435,ENSDARG00000041895,ENSDARG00000042091,ENSDARG00000042122,ENSDARG00000042332,ENSDARG00000042553,ENSDARG00000042864,ENSDARG00000043179,ENSDARG00000043241,ENSDARG00000043361,ENSDARG00000043453,ENSDARG00000043509,ENSDARG00000043511,ENSDARG00000043701,ENSDARG00000043795,ENSDARG00000043856,ENSDARG00000043858,ENSDARG00000043976,ENSDARG00000044016,ENSDARG00000044093,ENSDARG00000044357,ENSDARG00000044521,ENSDARG00000044809,ENSDARG00000044925,ENSDARG00000045019,ENSDARG00000045065,ENSDARG00000045123,ENSDARG00000045140,ENSDARG00000045399,ENSDARG00000045487,ENSDARG00000045540,ENSDARG00000045567,ENSDARG00000045870,ENSDARG00000045900,ENSDARG00000045928,ENSDARG00000045929,ENSDARG00000046081,ENSDARG00000051762,ENSDARG00000051873,ENSDARG00000052010,ENSDARG00000052039,ENSDARG00000052103,ENSDARG00000052816,ENSDARG00000052975,ENSDARG00000053058,ENSDARG00000053082,ENSDARG00000053365,ENSDARG00000053487,ENSDARG00000053746,ENSDARG00000054191,ENSDARG00000054533,ENSDARG00000054818,ENSDARG00000055437,ENSDARG00000055475,ENSDARG00000055540,ENSDARG00000055652,ENSDARG00000055737,ENSDARG00000056150,ENSDARG00000056252,ENSDARG00000056267,ENSDARG00000056601,ENSDARG00000056623,ENSDARG00000056647,ENSDARG00000056717,ENSDARG00000056831,ENSDARG00000056871,ENSDARG00000056985,ENSDARG00000057032,ENSDARG00000057151,ENSDARG00000057368,ENSDARG00000057556,ENSDARG00000058159,ENSDARG00000058229,ENSDARG00000058451,ENSDARG00000058666,ENSDARG00000058818,ENSDARG00000058857,ENSDARG00000059003,ENSDARG00000059259,ENSDARG00000059601,ENSDARG00000059925,ENSDARG00000060021,ENSDARG00000060058,ENSDARG00000060238,ENSDARG00000060766,ENSDARG00000060797,ENSDARG00000060805,ENSDARG00000061023,ENSDARG00000061040,ENSDARG00000061214,ENSDARG00000062237,ENSDARG00000062263,ENSDARG00000062277,ENSDARG00000062385,ENSDARG00000062396,ENSDARG00000062457,ENSDARG00000062532,ENSDARG00000062549,ENSDARG00000062933,ENSDARG00000062964,ENSDARG00000068910,ENSDARG00000069118,ENSDARG00000069298,ENSDARG00000069324,ENSDARG00000069425,ENSDARG00000069583,ENSDARG00000070080,ENSDARG00000070590,ENSDARG00000070598,ENSDARG00000070654,ENSDARG00000070849,ENSDARG00000071018,ENSDARG00000071031,ENSDARG00000071197,ENSDARG00000071403,ENSDARG00000071906,ENSDARG00000074244,ENSDARG00000074246,ENSDARG00000074572,ENSDARG00000074967,ENSDARG00000075008,ENSDARG00000075345,ENSDARG00000075369,ENSDARG00000075570,ENSDARG00000075571,ENSDARG00000075747,ENSDARG00000076143,ENSDARG00000076225,ENSDARG00000076755,ENSDARG00000076844,ENSDARG00000077291,ENSDARG00000077300,ENSDARG00000077339,ENSDARG00000077442,ENSDARG00000077531,ENSDARG00000077653,ENSDARG00000077717,ENSDARG00000077788,ENSDARG00000077826,ENSDARG00000077962,ENSDARG00000078430,ENSDARG00000078441,ENSDARG00000078691,ENSDARG00000078751,ENSDARG00000078992,ENSDARG00000079305,ENSDARG00000079397,ENSDARG00000079605,ENSDARG00000079848,ENSDARG00000079891,ENSDARG00000079983,ENSDARG00000080010,ENSDARG00000087262,ENSDARG00000087517,ENSDARG00000087640,ENSDARG00000088030,ENSDARG00000088078,ENSDARG00000088366,ENSDARG00000088590,ENSDARG00000088959,ENSDARG00000088967,ENSDARG00000089076,ENSDARG00000089139,ENSDARG00000089207,ENSDARG00000089886,ENSDARG00000090654,ENSDARG00000091198,ENSDARG00000093563,ENSDARG00000093978,ENSDARG00000094204,ENSDARG00000098453,ENSDARG00000098700,ENSDARG00000098904,ENSDARG00000098932,ENSDARG00000099022,ENSDARG00000099106,ENSDARG00000099256,ENSDARG00000099336,ENSDARG00000099653,ENSDARG00000099728,ENSDARG00000099755,ENSDARG00000099821,ENSDARG00000099933,ENSDARG00000100021,ENSDARG00000100813,ENSDARG00000100851,ENSDARG00000100944,ENSDARG00000101036,ENSDARG00000101127,ENSDARG00000101145,ENSDARG00000101295,ENSDARG00000101406,ENSDARG00000101482,ENSDARG00000101794,ENSDARG00000102261,ENSDARG00000102291,ENSDARG00000102317,ENSDARG00000102441,ENSDARG00000102477,ENSDARG00000102645,ENSDARG00000102960,ENSDARG00000102977,ENSDARG00000103007,ENSDARG00000103019,ENSDARG00000103027,ENSDARG00000103125,ENSDARG00000103433,ENSDARG00000103505,ENSDARG00000103516,ENSDARG00000103799,ENSDARG00000103826,ENSDARG00000103937,ENSDARG00000104066,ENSDARG00000104068,ENSDARG00000104276,ENSDARG00000104491,ENSDARG00000104782,ENSDARG00000104952,ENSDARG00000105184,ENSDARG00000110361,ENSDARG00000113961,ENSDARG00000117133
