ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,1,0,0	7,4,8,12,4,4	0,0,0,0,0,0	11,1,6,7,10,8	260	149
1	1,2,0,1,2,5	5,1,7,8,19,10	0,0,1,1,0,2	16,4,12,7,14,7	224	149
6	0,1,0,1,0,0	15,3,1,8,8,7	0,1,1,1,1,0	0,14,6,0,11,5	298	149
7	4,2,3,0,1,0	18,17,21,13,14,16	0,2,0,1,2,4	5,35,17,22,29,18	298	149
8	1,1,1,1,2,2	22,17,15,28,15,11	0,4,4,3,1,1	10,10,21,7,27,15	234	149
9	0,3,2,2,1,0	12,15,18,28,24,10	0,1,1,0,0,5	24,17,27,22,22,25	236	149
10	0,1,0,2,0,1	6,5,10,19,5,11	3,1,3,0,1,0	12,15,8,13,18,13	238	149
11	3,3,4,9,12,4	4,4,2,0,5,3	17,2,12,3,11,8	2,0,3,4,3,6	215	149
14	1,3,3,9,3,5	55,60,46,105,63,70	1,9,2,9,4,3	49,77,106,75,96,100	234	149
15	32,166,29,118,56,75	0,1,1,3,0,1	125,35,65,120,65,264	3,1,2,4,0,6	218	149
16	0,0,0,0,0,0	1,0,0,0,1,2	0,1,0,0,0,0	0,1,0,0,0,0	233	149
18	22,10,8,18,8,9	344,257,191,345,276,224	10,12,9,14,16,16	247,337,405,272,395,388	263	149
20	0,0,0,0,0,0	0,0,0,8,0,0	0,0,1,0,0,0	0,0,6,1,0,0	219	149
22	6,4,0,12,6,7	50,64,51,49,55,29	5,3,17,0,4,1	46,74,75,47,56,82	236	149
23	9,5,2,3,14,7	63,50,46,67,62,37	2,5,8,2,2,2	65,63,72,54,71,74	298	149
24	1,2,0,4,2,3	25,15,24,49,34,16	2,0,1,2,1,0	23,20,32,19,36,26	298	149
25	1,0,0,0,0,0	2,6,1,13,7,12	0,0,2,3,0,0	12,9,27,3,18,9	298	149
26	0,0,0,0,0,0	0,2,0,5,3,6	1,0,3,1,0,0	3,3,20,2,12,3	298	149
28	0,0,1,0,1,0	14,6,12,15,3,9	0,1,1,1,2,0	10,6,11,14,7,8	224	149
29	3,6,6,7,7,2	15,13,8,17,28,10	6,3,2,5,6,5	13,24,34,14,14,21	224	149
31	1,0,0,0,0,0	5,3,0,3,2,2	0,0,1,0,1,0	6,2,1,0,0,0	254	149
32	2,1,0,0,0,0	4,0,2,1,0,0	0,0,0,0,1,1	0,0,3,1,2,2	298	149
33	7,2,3,7,7,4	136,137,90,204,178,129	5,6,8,7,5,8	145,164,246,134,196,211	298	149
34	0,0,0,0,0,0	7,1,2,10,5,7	0,0,1,0,3,0	6,2,15,5,4,3	258	149
36	1,0,2,0,0,0	19,3,16,13,0,3	0,4,0,0,2,0	0,20,0,0,7,0	234	149
37	0,0,0,0,0,0	2,1,1,3,1,0	0,0,0,1,0,1	1,0,5,4,2,4	230	149
42	2,2,1,5,4,0	162,110,91,170,135,117	8,1,1,0,3,10	151,133,203,109,170,212	295	149
43	0,1,2,2,1,0	34,42,42,83,60,41	1,2,0,1,0,4	41,40,81,54,90,66	292	149
44	5,5,0,3,7,9	13,22,18,26,26,13	6,1,4,3,7,9	15,24,21,23,34,24	229	149
45	5,6,0,5,8,9	21,21,6,32,14,13	5,1,5,3,9,10	12,31,37,18,48,26	234	149
47	0,0,0,0,0,2	15,5,5,19,7,3	0,0,1,0,0,0	12,4,11,9,13,8	248	149
48	27,21,12,38,11,12	424,440,295,922,520,361	8,27,27,25,47,11	253,481,510,463,581,398	233	149
49	0,0,0,2,0,0	2,1,1,2,1,4	0,0,0,1,1,1	2,4,0,3,1,2	249	149
52	0,1,1,0,0,0	18,17,11,23,21,11	0,0,0,2,0,2	21,25,34,31,30,26	230	149
55	17,12,0,16,21,5	111,84,79,151,115,113	10,6,25,12,15,21	96,75,148,85,155,155	250	149
56	1,1,0,0,2,1	71,33,38,96,50,66	1,0,3,2,3,0	48,47,87,36,83,79	224	149
57	4,3,2,2,4,6	51,77,32,124,61,62	3,3,4,5,9,5	64,45,113,64,104,149	242	149
58	2,5,1,2,3,1	7,14,2,14,12,7	2,2,5,4,6,2	0,6,16,10,10,5	298	149
60	0,0,0,0,2,2	0,0,0,0,0,2	1,1,0,0,2,3	0,0,0,0,0,0	284	149
62	0,4,3,6,2,1	19,19,21,35,25,15	4,2,1,1,5,2	26,37,36,36,38,37	232	149
63	5,6,10,17,7,5	289,216,211,496,280,214	5,9,14,6,17,14	224,262,388,261,405,341	222	149
66	2,18,9,22,15,9	2,1,1,10,6,3	18,4,24,28,19,20	0,1,13,4,3,4	282	149
