ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	26,21,19,14,24,8	0,0,0,0,0,0	10,24,4,22,28,29	0,2,0,0,0,0	782	149
1	35,18,22,43,37,27	1,0,0,0,0,0	17,39,36,28,39,36	2,0,1,0,0,0	262	149
2	0,0,2,1,0,0	21,26,20,34,19,23	0,0,1,0,1,1	17,23,33,19,28,34	161	149
3	0,0,0,1,0,0	13,14,14,18,12,17	1,0,0,0,0,0	13,20,31,9,25,26	152	149
5	2,0,0,2,0,2	28,27,21,42,36,26	2,0,1,0,2,4	23,30,48,34,55,28	152	149
6	6,8,4,14,4,2	11,14,9,16,8,6	7,3,6,5,4,6	8,15,24,12,8,13	178	149
7	0,0,0,0,0,1	3,15,4,7,11,4	0,0,1,0,0,0	2,4,18,7,9,5	158	149
8	19,20,12,31,9,13	13,16,8,12,13,12	13,15,12,11,22,19	15,18,16,6,21,13	207	149
11	4,5,4,3,4,7	40,28,25,46,24,34	4,9,4,4,10,2	28,35,34,21,36,37	214	149
12	8,7,10,9,8,14	35,27,28,46,29,33	6,15,10,6,16,4	37,30,60,34,39,58	229	149
13	44,30,31,52,28,41	35,27,28,46,29,33	30,41,40,23,42,39	37,30,60,34,39,58	164	149
14	68,44,48,69,60,44	0,0,0,1,0,1	48,51,65,58,59,71	0,0,0,0,0,0	1808	149
16	0,0,1,1,1,0	3,0,1,1,2,1	4,0,2,1,5,0	7,1,0,0,10,1	155	149
17	13,6,3,14,14,3	97,86,108,137,92,90	4,3,10,11,14,7	102,112,142,105,130,143	155	149
29	1,0,0,0,0,0	11,6,6,17,10,5	0,1,0,1,1,1	16,17,24,18,14,12	161	149
33	43,40,43,71,48,51	31,25,39,46,36,15	35,62,54,49,64,61	19,41,67,31,42,43	218	149
36	7,6,15,8,10,5	28,16,32,39,30,23	7,3,15,5,11,11	13,33,48,31,34,44	182	149
38	16,13,14,31,23,14	860,753,612,1260,852,651	21,19,26,20,32,27	731,880,995,852,1109,1242	153	149
39	93,99,68,137,75,35	15,5,9,6,17,12	58,80,112,97,107,91	12,7,22,13,19,20	167	149
43	2,0,0,0,2,0	11,13,14,18,22,11	0,0,3,1,3,2	7,8,11,7,16,15	151	149
54	0,0,0,0,1,1	100,90,61,100,78,75	0,0,2,0,0,1	73,65,122,77,151,107	153	149
55	1,1,2,3,1,0	6,3,3,4,7,4	0,2,4,0,0,0	2,7,6,7,3,7	154	149
56	3,1,4,6,1,0	15,33,18,61,45,33	0,2,5,4,3,7	31,45,58,38,46,47	158	149
57	230,190,184,314,260,179	0,0,0,0,0,0	155,231,217,249,330,270	0,0,0,0,1,0	325	149
60	60,56,42,88,46,45	17,25,13,28,33,19	42,92,67,38,62,66	19,25,49,25,30,41	359	149
63	2,6,4,4,12,18	35,44,24,50,35,34	2,2,11,9,10,9	24,36,52,27,78,53	161	149
65	1,0,1,1,0,1	11,0,6,18,7,9	0,1,0,1,0,2	6,15,18,9,10,8	176	149
66	5,19,11,27,15,10	13,5,9,4,2,5	10,17,17,11,28,23	3,5,10,5,6,5	194	149
67	11,9,16,17,18,6	0,0,1,2,0,0	18,15,27,11,18,21	0,0,0,1,0,0	194	149
68	0,0,0,0,0,0	37,40,44,73,25,27	0,0,1,0,0,0	45,43,68,46,53,41	155	149
69	1,2,0,0,0,2	24,22,9,20,20,11	0,1,1,0,2,1	24,33,33,21,34,35	150	149
70	3,2,6,4,6,3	1,1,5,3,1,3	3,5,8,6,12,3	1,4,3,5,3,4	263	149
