ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	29,18,22,38,19,19	13,11,13,27,3,12	14,21,35,14,43,36	8,18,18,5,23,13	263	263
2	38,26,29,51,32,28	16,10,7,23,10,4	35,29,48,26,63,57	9,13,10,17,24,17	263	263
3	2,0,0,0,0,0	0,0,0,6,1,0	0,0,0,0,0,0	0,0,2,0,3,0	323	323
4	41,48,29,82,51,35	40,30,26,44,44,25	51,56,64,44,77,68	28,49,48,39,53,45	293	278
5	54,39,41,83,57,35	25,20,20,42,29,20	45,53,62,74,89,64	25,26,36,31,42,35	400	293
6	14,23,9,27,8,20	14,14,15,20,16,10	10,11,17,12,24,21	9,17,25,20,24,18	292	250
7	6,11,11,14,10,8	37,15,12,20,28,13	11,13,13,15,7,15	19,22,30,29,29,30	246	234
8	21,22,30,31,20,15	22,15,15,24,31,22	7,28,12,16,27,31	26,36,21,36,28,24	295	246
10	1,0,0,4,4,0	4,0,0,0,0,0	0,1,0,0,2,2	4,4,0,0,2,0	323	323
11	61,56,37,94,74,57	55,47,36,57,54,48	61,71,99,68,93,87	33,52,68,40,72,70	267	249
12	31,25,17,41,42,24	54,38,37,74,56,41	30,28,42,61,64,56	41,42,60,47,76,61	225	267
13	100,129,88,146,133,104	19,12,18,12,16,12	98,108,156,111,157,156	10,9,28,4,12,24	242	242
14	15,12,11,16,6,11	8,1,4,1,6,5	19,11,31,11,17,24	4,1,6,4,3,1	254	265
15	57,68,43,125,80,61	9,7,11,27,15,7	53,67,101,89,125,121	11,22,18,10,18,38	527	224
16	31,45,37,71,35,26	10,14,6,11,15,8	44,38,56,29,79,61	15,14,14,16,9,13	257	212
17	15,25,26,42,24,24	52,32,53,78,56,38	28,18,37,10,44,42	51,52,62,43,88,92	257	287
18	0,2,0,1,6,0	80,38,55,91,79,39	0,0,6,0,6,3	56,75,100,54,101,97	194	309
21	19,34,11,41,27,44	28,32,28,45,35,27	42,37,44,34,51,45	37,32,39,36,39,56	297	304
22	29,29,17,50,44,37	51,46,62,86,65,40	15,44,30,46,42,37	45,70,77,56,118,81	245	290
23	158,126,112,195,148,130	47,59,53,83,45,36	108,135,176,170,203,160	49,70,80,54,89,77	256	313
24	73,63,53,96,81,80	48,51,15,54,35,41	70,70,108,68,100,88	20,49,67,21,68,38	504	288
25	17,8,18,23,15,18	16,15,13,18,8,11	10,12,28,19,24,21	10,12,33,9,22,12	242	296
26	248,225,238,309,294,193	189,134,129,186,160,90	295,221,387,313,334,419	171,131,197,189,192,254	290	231
27	66,77,75,109,87,66	41,19,18,56,33,29	112,82,141,84,154,133	37,18,57,35,87,54	626	269
28	9,25,15,25,22,28	24,21,18,26,11,16	12,22,20,9,37,17	18,17,19,24,21,31	306	307
29	9,5,3,7,1,2	4,12,1,6,5,1	2,0,5,6,4,6	3,2,10,4,5,10	203	266
30	22,17,9,20,3,4	21,20,19,31,20,13	29,13,25,17,22,25	18,24,17,27,28,18	263	263
31	12,24,15,40,25,15	38,36,23,57,47,39	21,23,48,28,47,23	38,42,55,29,56,35	294	280
32	17,7,2,11,23,11	14,6,10,14,8,14	11,9,11,12,11,10	7,13,11,7,15,15	275	257
33	19,11,7,9,16,7	21,9,17,21,11,12	6,7,16,2,12,8	13,12,20,14,12,12	254	254
34	19,9,7,9,16,5	13,7,5,8,15,7	5,7,16,2,12,8	6,6,12,6,8,7	254	218
35	19,9,7,9,16,5	7,7,2,9,7,6	5,6,16,3,12,8	4,5,7,2,12,4	254	181
36	39,43,56,63,54,39	111,95,87,149,147,76	51,43,61,49,82,78	121,103,115,99,163,129	207	241
37	34,39,56,56,54,37	6,3,1,2,3,1	48,39,56,46,82,66	6,6,1,2,6,3	207	241
38	4,2,3,5,8,0	109,75,66,151,89,68	0,1,0,0,12,3	94,125,123,99,110,137	238	207
39	11,14,3,12,3,7	40,39,26,34,38,26	2,7,13,2,21,13	22,35,52,26,47,35	210	288
40	47,25,23,60,48,23	81,52,51,71,80,46	23,38,56,24,45,43	56,85,114,70,100,98	242	314
41	41,35,45,74,44,46	52,26,31,45,41,37	40,54,90,50,87,54	14,44,48,43,51,40	290	225
42	35,28,16,62,35,42	78,101,81,129,108,70	32,37,65,27,53,49	73,88,167,95,149,131	225	335
43	1,1,2,7,0,7	4,5,7,3,5,5	4,2,13,11,3,5	1,1,17,13,8,8	269	230
44	0,4,0,1,1,1	26,14,18,23,14,15	0,0,3,0,0,0	14,10,18,20,25,11	182	191
45	2151,1973,1611,3080,2194,1624	2644,2341,2107,3627,2472,1930	1776,2043,3254,2007,3280,2943	2139,2594,3485,2638,3454,3384	274	277
46	20,35,29,17,29,15	36,42,28,39,35,35	24,26,29,15,28,53	27,45,57,23,46,70	226	238
47	1,1,5,2,2,2	1,2,0,2,3,1	2,3,3,4,1,5	2,4,1,1,3,2	242	211
48	8,11,6,13,1,8	104,111,76,172,76,70	7,9,10,6,8,6	78,114,171,117,146,164	260	245
49	30,24,23,29,32,25	113,113,109,170,112,91	26,21,40,23,60,34	91,131,180,104,185,142	213	288
50	47,20,34,35,53,32	20,36,18,46,21,17	24,29,63,28,64,63	29,29,39,28,46,21	246	222
52	10,13,2,15,3,9	10,12,6,15,1,10	7,4,11,13,19,14	6,4,16,7,18,18	255	319
53	5031,4296,3796,5825,4949,4944	1904,1826,1444,2243,1913,1853	4212,5691,4937,6110,7725,6722	1538,2276,1866,2115,2846,2611	316	236
55	75,50,45,103,45,48	36,35,31,38,31,16	44,51,83,50,55,61	18,27,29,27,27,32	263	237
56	42,56,39,82,81,92	96,124,86,147,126,98	63,73,108,55,156,116	109,113,175,104,207,162	301	174
57	38,25,25,47,39,28	21,39,23,46,51,27	26,30,46,23,62,32	25,51,60,21,59,45	398	296
58	70,62,54,104,83,57	21,39,23,46,51,27	56,79,95,47,134,83	25,51,60,21,59,45	395	296
59	48,27,48,78,46,32	67,43,38,111,49,36	40,54,59,36,58,60	38,85,60,41,93,50	329	317
60	11,31,11,32,23,12	21,20,9,31,32,21	10,17,44,22,41,30	19,29,49,14,46,32	280	304
61	23,14,10,26,11,18	35,37,38,41,35,29	5,22,43,13,15,38	31,32,49,17,51,49	242	278
