GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0016712	oxidoreductase activity, acting on paire...	17	3	0.17	0.00054	ENSDARG00000015575,ENSDARG00000021172,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000042956,ENSDARG00000042978,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000060380,ENSDARG00000070775,ENSDARG00000094057,ENSDARG00000101423,ENSDARG00000101861,ENSDARG00000103456,ENSDARG00000104540,ENSDARG00000105151
GO:0004867	serine-type endopeptidase inhibitor acti...	38	3	0.37	0.00581	ENSDARG00000004296,ENSDARG00000005924,ENSDARG00000012467,ENSDARG00000014556,ENSDARG00000015065,ENSDARG00000016412,ENSDARG00000019949,ENSDARG00000021720,ENSDARG00000027867,ENSDARG00000041645,ENSDARG00000041685,ENSDARG00000042684,ENSDARG00000055036,ENSDARG00000055053,ENSDARG00000055543,ENSDARG00000056314,ENSDARG00000056530,ENSDARG00000058053,ENSDARG00000061383,ENSDARG00000069048,ENSDARG00000069476,ENSDARG00000076448,ENSDARG00000077084,ENSDARG00000077139,ENSDARG00000078757,ENSDARG00000079388,ENSDARG00000079752,ENSDARG00000087087,ENSDARG00000090185,ENSDARG00000091801,ENSDARG00000093199,ENSDARG00000095830,ENSDARG00000096888,ENSDARG00000100781,ENSDARG00000102076,ENSDARG00000102332,ENSDARG00000104279,ENSDARG00000112419
GO:0020037	heme binding	46	3	0.45	0.00989	ENSDARG00000006040,ENSDARG00000015575,ENSDARG00000018283,ENSDARG00000019521,ENSDARG00000021172,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000027529,ENSDARG00000031587,ENSDARG00000033594,ENSDARG00000033802,ENSDARG00000035564,ENSDARG00000037550,ENSDARG00000037873,ENSDARG00000037874,ENSDARG00000039499,ENSDARG00000042956,ENSDARG00000042978,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000043997,ENSDARG00000045143,ENSDARG00000053475,ENSDARG00000055159,ENSDARG00000057262,ENSDARG00000061585,ENSDARG00000068910,ENSDARG00000070021,ENSDARG00000070775,ENSDARG00000071429,ENSDARG00000075015,ENSDARG00000086790,ENSDARG00000089124,ENSDARG00000089177,ENSDARG00000094057,ENSDARG00000101423,ENSDARG00000101861,ENSDARG00000102981,ENSDARG00000103295,ENSDARG00000103456,ENSDARG00000104540,ENSDARG00000104702,ENSDARG00000105151,ENSDARG00000113599,ENSDARG00000115405
GO:0008395	steroid hydroxylase activity	17	2	0.17	0.01154	ENSDARG00000015575,ENSDARG00000021172,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000033802,ENSDARG00000037873,ENSDARG00000037874,ENSDARG00000042956,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000070021,ENSDARG00000070775,ENSDARG00000086523,ENSDARG00000094057,ENSDARG00000101423,ENSDARG00000103456
GO:0015662	ATPase activity, coupled to transmembran...	19	2	0.19	0.01434	ENSDARG00000001870,ENSDARG00000002791,ENSDARG00000002840,ENSDARG00000003699,ENSDARG00000007739,ENSDARG00000007788,ENSDARG00000010472,ENSDARG00000018259,ENSDARG00000019856,ENSDARG00000020574,ENSDARG00000023445,ENSDARG00000029439,ENSDARG00000030694,ENSDARG00000035458,ENSDARG00000039131,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000058145,ENSDARG00000060978
GO:0015085	calcium ion transmembrane transporter ac...	55	3	0.54	0.01608	ENSDARG00000002840,ENSDARG00000006760,ENSDARG00000006923,ENSDARG00000007788,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000008912,ENSDARG00000010933,ENSDARG00000011259,ENSDARG00000011422,ENSDARG00000011909,ENSDARG00000014655,ENSDARG00000014804,ENSDARG00000020574,ENSDARG00000023445,ENSDARG00000023683,ENSDARG00000023797,ENSDARG00000023886,ENSDARG00000029439,ENSDARG00000029457,ENSDARG00000031278,ENSDARG00000035458,ENSDARG00000036232,ENSDARG00000037905,ENSDARG00000041431,ENSDARG00000042552,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000055565,ENSDARG00000058848,ENSDARG00000059792,ENSDARG00000059883,ENSDARG00000059993,ENSDARG00000060496,ENSDARG00000060978,ENSDARG00000061741,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062362,ENSDARG00000063435,ENSDARG00000069099,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000076030,ENSDARG00000078363,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000098856,ENSDARG00000098918,ENSDARG00000100420,ENSDARG00000102773,ENSDARG00000103476,ENSDARG00000105344,ENSDARG00000110642,ENSDARG00000112343
GO:0005506	iron ion binding	69	3	0.67	0.02919	ENSDARG00000002764,ENSDARG00000006040,ENSDARG00000007216,ENSDARG00000007975,ENSDARG00000011821,ENSDARG00000015551,ENSDARG00000015575,ENSDARG00000016789,ENSDARG00000018461,ENSDARG00000018691,ENSDARG00000020054,ENSDARG00000020143,ENSDARG00000021172,ENSDARG00000021404,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000023820,ENSDARG00000026582,ENSDARG00000030621,ENSDARG00000031776,ENSDARG00000033537,ENSDARG00000033802,ENSDARG00000035596,ENSDARG00000036061,ENSDARG00000036082,ENSDARG00000037550,ENSDARG00000037873,ENSDARG00000037874,ENSDARG00000038384,ENSDARG00000038996,ENSDARG00000042956,ENSDARG00000042978,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000043997,ENSDARG00000055159,ENSDARG00000055240,ENSDARG00000056211,ENSDARG00000057239,ENSDARG00000057262,ENSDARG00000057879,ENSDARG00000059746,ENSDARG00000061585,ENSDARG00000068125,ENSDARG00000070021,ENSDARG00000070775,ENSDARG00000071082,ENSDARG00000071475,ENSDARG00000073936,ENSDARG00000074356,ENSDARG00000075159,ENSDARG00000075209,ENSDARG00000076487,ENSDARG00000086523,ENSDARG00000089124,ENSDARG00000089177,ENSDARG00000094057,ENSDARG00000094210,ENSDARG00000094609,ENSDARG00000099389,ENSDARG00000101423,ENSDARG00000101861,ENSDARG00000102981,ENSDARG00000103295,ENSDARG00000103456,ENSDARG00000104540,ENSDARG00000104980,ENSDARG00000105151
GO:0140110	transcription regulator activity	309	7	3.01	0.02931	ENSDARG00000000767,ENSDARG00000000966,ENSDARG00000001015,ENSDARG00000001447,ENSDARG00000001621,ENSDARG00000001754,ENSDARG00000001829,ENSDARG00000002582,ENSDARG00000002970,ENSDARG00000003165,ENSDARG00000003200,ENSDARG00000003631,ENSDARG00000003732,ENSDARG00000003820,ENSDARG00000003910,ENSDARG00000003971,ENSDARG00000004060,ENSDARG00000004587,ENSDARG00000004697,ENSDARG00000004714,ENSDARG00000004843,ENSDARG00000004851,ENSDARG00000005453,ENSDARG00000006120,ENSDARG00000006181,ENSDARG00000006514,ENSDARG00000006640,ENSDARG00000006791,ENSDARG00000006896,ENSDARG00000006901,ENSDARG00000007198,ENSDARG00000007996,ENSDARG00000008119,ENSDARG00000008697,ENSDARG00000009473,ENSDARG00000009594,ENSDARG00000009922,ENSDARG00000009953,ENSDARG00000010137,ENSDARG00000010192,ENSDARG00000010432,ENSDARG00000010591,ENSDARG00000011445,ENSDARG00000011570,ENSDARG00000011582,ENSDARG00000012519,ENSDARG00000012887,ENSDARG00000013031,ENSDARG00000013251,ENSDARG00000013794,ENSDARG00000014148,ENSDARG00000014292,ENSDARG00000014463,ENSDARG00000014655,ENSDARG00000014805,ENSDARG00000015072,ENSDARG00000015427,ENSDARG00000015563,ENSDARG00000015793,ENSDARG00000016304,ENSDARG00000017007,ENSDARG00000017115,ENSDARG00000017835,ENSDARG00000018000,ENSDARG00000018257,ENSDARG00000018691,ENSDARG00000018765,ENSDARG00000019004,ENSDARG00000019213,ENSDARG00000019293,ENSDARG00000019457,ENSDARG00000019459,ENSDARG00000019588,ENSDARG00000019950,ENSDARG00000020239,ENSDARG00000020258,ENSDARG00000020465,ENSDARG00000020926,ENSDARG00000021163,ENSDARG00000021855,ENSDARG00000022712,ENSDARG00000023472,ENSDARG00000023903,ENSDARG00000024195,ENSDARG00000025032,ENSDARG00000025808,ENSDARG00000026395,ENSDARG00000027187,ENSDARG00000027978,ENSDARG00000028148,ENSDARG00000028159,ENSDARG00000028335,ENSDARG00000028517,ENSDARG00000029497,ENSDARG00000030012,ENSDARG00000030058,ENSDARG00000030560,ENSDARG00000030583,ENSDARG00000030999,ENSDARG00000031562,ENSDARG00000031647,ENSDARG00000031683,ENSDARG00000031770,ENSDARG00000031894,ENSDARG00000032129,ENSDARG00000032765,ENSDARG00000033160,ENSDARG00000034178,ENSDARG00000034293,ENSDARG00000034734,ENSDARG00000034893,ENSDARG00000035285,ENSDARG00000035558,ENSDARG00000035559,ENSDARG00000035622,ENSDARG00000036281,ENSDARG00000036542,ENSDARG00000036593,ENSDARG00000036687,ENSDARG00000037060,ENSDARG00000037291,ENSDARG00000037514,ENSDARG00000037855,ENSDARG00000037872,ENSDARG00000038133,ENSDARG00000038302,ENSDARG00000038672,ENSDARG00000038687,ENSDARG00000038812,ENSDARG00000039185,ENSDARG00000040445,ENSDARG00000040606,ENSDARG00000040623,ENSDARG00000041072,ENSDARG00000041098,ENSDARG00000041691,ENSDARG00000041921,ENSDARG00000042087,ENSDARG00000042484,ENSDARG00000042652,ENSDARG00000042940,ENSDARG00000043134,ENSDARG00000043249,ENSDARG00000043492,ENSDARG00000043797,ENSDARG00000043973,ENSDARG00000044356,ENSDARG00000044774,ENSDARG00000044852,ENSDARG00000045661,ENSDARG00000045681,ENSDARG00000045936,ENSDARG00000052150,ENSDARG00000052618,ENSDARG00000052826,ENSDARG00000053097,ENSDARG00000053446,ENSDARG00000053586,ENSDARG00000053864,ENSDARG00000053868,ENSDARG00000053884,ENSDARG00000054162,ENSDARG00000054323,ENSDARG00000054903,ENSDARG00000055481,ENSDARG00000055588,ENSDARG00000056030,ENSDARG00000056226,ENSDARG00000056292,ENSDARG00000056438,ENSDARG00000056621,ENSDARG00000056847,ENSDARG00000058127,ENSDARG00000058562,ENSDARG00000058696,ENSDARG00000058729,ENSDARG00000059370,ENSDARG00000059483,ENSDARG00000059653,ENSDARG00000059812,ENSDARG00000060306,ENSDARG00000060734,ENSDARG00000060865,ENSDARG00000061108,ENSDARG00000061174,ENSDARG00000061214,ENSDARG00000061391,ENSDARG00000062060,ENSDARG00000062267,ENSDARG00000062472,ENSDARG00000062510,ENSDARG00000063258,ENSDARG00000063649,ENSDARG00000067832,ENSDARG00000068064,ENSDARG00000068640,ENSDARG00000068641,ENSDARG00000069329,ENSDARG00000069763,ENSDARG00000070019,ENSDARG00000070046,ENSDARG00000070151,ENSDARG00000070162,ENSDARG00000070187,ENSDARG00000070339,ENSDARG00000070371,ENSDARG00000070428,ENSDARG00000070623,ENSDARG00000070721,ENSDARG00000070787,ENSDARG00000070818,ENSDARG00000070864,ENSDARG00000071565,ENSDARG00000073814,ENSDARG00000074030,ENSDARG00000074303,ENSDARG00000075194,ENSDARG00000075226,ENSDARG00000075340,ENSDARG00000075509,ENSDARG00000075545,ENSDARG00000075560,ENSDARG00000075639,ENSDARG00000075670,ENSDARG00000075713,ENSDARG00000075834,ENSDARG00000075904,ENSDARG00000075972,ENSDARG00000076182,ENSDARG00000076229,ENSDARG00000076657,ENSDARG00000076939,ENSDARG00000077353,ENSDARG00000077404,ENSDARG00000077405,ENSDARG00000077428,ENSDARG00000077840,ENSDARG00000077842,ENSDARG00000078066,ENSDARG00000078552,ENSDARG00000078658,ENSDARG00000078676,ENSDARG00000078784,ENSDARG00000078954,ENSDARG00000079012,ENSDARG00000079131,ENSDARG00000079312,ENSDARG00000079382,ENSDARG00000079639,ENSDARG00000079684,ENSDARG00000079716,ENSDARG00000086173,ENSDARG00000087530,ENSDARG00000088123,ENSDARG00000088877,ENSDARG00000089434,ENSDARG00000089697,ENSDARG00000090337,ENSDARG00000090814,ENSDARG00000090998,ENSDARG00000091001,ENSDARG00000091287,ENSDARG00000091726,ENSDARG00000091762,ENSDARG00000092979,ENSDARG00000093846,ENSDARG00000095170,ENSDARG00000095332,ENSDARG00000095896,ENSDARG00000096030,ENSDARG00000096575,ENSDARG00000096711,ENSDARG00000097637,ENSDARG00000098228,ENSDARG00000098311,ENSDARG00000098398,ENSDARG00000098613,ENSDARG00000098696,ENSDARG00000098822,ENSDARG00000098992,ENSDARG00000099445,ENSDARG00000099927,ENSDARG00000099999,ENSDARG00000100179,ENSDARG00000100607,ENSDARG00000100666,ENSDARG00000100826,ENSDARG00000101076,ENSDARG00000101112,ENSDARG00000101369,ENSDARG00000101576,ENSDARG00000101645,ENSDARG00000101883,ENSDARG00000102588,ENSDARG00000102631,ENSDARG00000102997,ENSDARG00000102998,ENSDARG00000103379,ENSDARG00000103380,ENSDARG00000103691,ENSDARG00000103980,ENSDARG00000104058,ENSDARG00000104144,ENSDARG00000104609,ENSDARG00000104710,ENSDARG00000105073,ENSDARG00000105669,ENSDARG00000109830,ENSDARG00000112452
GO:0000987	proximal promoter sequence-specific DNA ...	121	4	1.18	0.02964	ENSDARG00000001015,ENSDARG00000001621,ENSDARG00000002582,ENSDARG00000003165,ENSDARG00000003631,ENSDARG00000003732,ENSDARG00000003820,ENSDARG00000004060,ENSDARG00000004714,ENSDARG00000004843,ENSDARG00000004851,ENSDARG00000005453,ENSDARG00000006514,ENSDARG00000006640,ENSDARG00000006791,ENSDARG00000007996,ENSDARG00000008119,ENSDARG00000009473,ENSDARG00000009594,ENSDARG00000010192,ENSDARG00000011582,ENSDARG00000012887,ENSDARG00000013251,ENSDARG00000013794,ENSDARG00000014463,ENSDARG00000014655,ENSDARG00000015072,ENSDARG00000015793,ENSDARG00000017007,ENSDARG00000018000,ENSDARG00000018765,ENSDARG00000019457,ENSDARG00000019950,ENSDARG00000020926,ENSDARG00000021855,ENSDARG00000022712,ENSDARG00000023903,ENSDARG00000024195,ENSDARG00000025032,ENSDARG00000027978,ENSDARG00000028148,ENSDARG00000028517,ENSDARG00000030012,ENSDARG00000030058,ENSDARG00000030583,ENSDARG00000030999,ENSDARG00000031683,ENSDARG00000031894,ENSDARG00000033160,ENSDARG00000036542,ENSDARG00000037872,ENSDARG00000038672,ENSDARG00000038687,ENSDARG00000038812,ENSDARG00000039185,ENSDARG00000040623,ENSDARG00000041691,ENSDARG00000042652,ENSDARG00000043249,ENSDARG00000044356,ENSDARG00000045661,ENSDARG00000045681,ENSDARG00000045936,ENSDARG00000052150,ENSDARG00000052826,ENSDARG00000053097,ENSDARG00000053586,ENSDARG00000054162,ENSDARG00000054323,ENSDARG00000055481,ENSDARG00000055588,ENSDARG00000056226,ENSDARG00000056438,ENSDARG00000056621,ENSDARG00000056929,ENSDARG00000059370,ENSDARG00000059483,ENSDARG00000059794,ENSDARG00000060306,ENSDARG00000060734,ENSDARG00000061174,ENSDARG00000061391,ENSDARG00000061759,ENSDARG00000062060,ENSDARG00000062510,ENSDARG00000063649,ENSDARG00000070428,ENSDARG00000070818,ENSDARG00000070864,ENSDARG00000071565,ENSDARG00000073814,ENSDARG00000074030,ENSDARG00000075226,ENSDARG00000075545,ENSDARG00000075639,ENSDARG00000075834,ENSDARG00000075904,ENSDARG00000076182,ENSDARG00000076657,ENSDARG00000077840,ENSDARG00000078552,ENSDARG00000079382,ENSDARG00000086173,ENSDARG00000087530,ENSDARG00000088123,ENSDARG00000091762,ENSDARG00000093846,ENSDARG00000095170,ENSDARG00000096030,ENSDARG00000096575,ENSDARG00000098311,ENSDARG00000098696,ENSDARG00000099445,ENSDARG00000099999,ENSDARG00000100607,ENSDARG00000101076,ENSDARG00000101369,ENSDARG00000102588,ENSDARG00000102631,ENSDARG00000103691,ENSDARG00000104144
GO:0000978	RNA polymerase II proximal promoter sequ...	121	4	1.18	0.02964	ENSDARG00000001015,ENSDARG00000001621,ENSDARG00000002582,ENSDARG00000003165,ENSDARG00000003631,ENSDARG00000003732,ENSDARG00000003820,ENSDARG00000004060,ENSDARG00000004714,ENSDARG00000004843,ENSDARG00000004851,ENSDARG00000005453,ENSDARG00000006514,ENSDARG00000006640,ENSDARG00000006791,ENSDARG00000007996,ENSDARG00000008119,ENSDARG00000009473,ENSDARG00000009594,ENSDARG00000010192,ENSDARG00000011582,ENSDARG00000012887,ENSDARG00000013251,ENSDARG00000013794,ENSDARG00000014463,ENSDARG00000014655,ENSDARG00000015072,ENSDARG00000015793,ENSDARG00000017007,ENSDARG00000018000,ENSDARG00000018765,ENSDARG00000019457,ENSDARG00000019950,ENSDARG00000020926,ENSDARG00000021855,ENSDARG00000022712,ENSDARG00000023903,ENSDARG00000024195,ENSDARG00000025032,ENSDARG00000027978,ENSDARG00000028148,ENSDARG00000028517,ENSDARG00000030012,ENSDARG00000030058,ENSDARG00000030583,ENSDARG00000030999,ENSDARG00000031683,ENSDARG00000031894,ENSDARG00000033160,ENSDARG00000036542,ENSDARG00000037872,ENSDARG00000038672,ENSDARG00000038687,ENSDARG00000038812,ENSDARG00000039185,ENSDARG00000040623,ENSDARG00000041691,ENSDARG00000042652,ENSDARG00000043249,ENSDARG00000044356,ENSDARG00000045661,ENSDARG00000045681,ENSDARG00000045936,ENSDARG00000052150,ENSDARG00000052826,ENSDARG00000053097,ENSDARG00000053586,ENSDARG00000054162,ENSDARG00000054323,ENSDARG00000055481,ENSDARG00000055588,ENSDARG00000056226,ENSDARG00000056438,ENSDARG00000056621,ENSDARG00000056929,ENSDARG00000059370,ENSDARG00000059483,ENSDARG00000059794,ENSDARG00000060306,ENSDARG00000060734,ENSDARG00000061174,ENSDARG00000061391,ENSDARG00000061759,ENSDARG00000062060,ENSDARG00000062510,ENSDARG00000063649,ENSDARG00000070428,ENSDARG00000070818,ENSDARG00000070864,ENSDARG00000071565,ENSDARG00000073814,ENSDARG00000074030,ENSDARG00000075226,ENSDARG00000075545,ENSDARG00000075639,ENSDARG00000075834,ENSDARG00000075904,ENSDARG00000076182,ENSDARG00000076657,ENSDARG00000077840,ENSDARG00000078552,ENSDARG00000079382,ENSDARG00000086173,ENSDARG00000087530,ENSDARG00000088123,ENSDARG00000091762,ENSDARG00000093846,ENSDARG00000095170,ENSDARG00000096030,ENSDARG00000096575,ENSDARG00000098311,ENSDARG00000098696,ENSDARG00000099445,ENSDARG00000099999,ENSDARG00000100607,ENSDARG00000101076,ENSDARG00000101369,ENSDARG00000102588,ENSDARG00000102631,ENSDARG00000103691,ENSDARG00000104144
