GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005874	microtubule	112	8	1.94	0.0007	ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000002344,ENSDARG00000002403,ENSDARG00000002659,ENSDARG00000004472,ENSDARG00000005374,ENSDARG00000009733,ENSDARG00000009796,ENSDARG00000010042,ENSDARG00000010280,ENSDARG00000010953,ENSDARG00000013343,ENSDARG00000014854,ENSDARG00000014943,ENSDARG00000015206,ENSDARG00000015610,ENSDARG00000016143,ENSDARG00000016754,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019743,ENSDARG00000020231,ENSDARG00000021582,ENSDARG00000021895,ENSDARG00000022045,ENSDARG00000023369,ENSDARG00000026595,ENSDARG00000028533,ENSDARG00000030463,ENSDARG00000031693,ENSDARG00000032238,ENSDARG00000034871,ENSDARG00000035056,ENSDARG00000037020,ENSDARG00000037276,ENSDARG00000038024,ENSDARG00000039522,ENSDARG00000040110,ENSDARG00000041407,ENSDARG00000041723,ENSDARG00000042368,ENSDARG00000042708,ENSDARG00000042927,ENSDARG00000042946,ENSDARG00000043550,ENSDARG00000043571,ENSDARG00000043982,ENSDARG00000044491,ENSDARG00000045367,ENSDARG00000053026,ENSDARG00000053240,ENSDARG00000053431,ENSDARG00000054456,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000056633,ENSDARG00000059567,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060112,ENSDARG00000060326,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061817,ENSDARG00000062173,ENSDARG00000063159,ENSDARG00000063385,ENSDARG00000068745,ENSDARG00000069594,ENSDARG00000069937,ENSDARG00000071009,ENSDARG00000073859,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074521,ENSDARG00000074597,ENSDARG00000075539,ENSDARG00000075621,ENSDARG00000076228,ENSDARG00000076371,ENSDARG00000078654,ENSDARG00000078722,ENSDARG00000079500,ENSDARG00000079777,ENSDARG00000086985,ENSDARG00000087352,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000088841,ENSDARG00000089314,ENSDARG00000090778,ENSDARG00000091628,ENSDARG00000098317,ENSDARG00000098591,ENSDARG00000098655,ENSDARG00000099943,ENSDARG00000100145,ENSDARG00000100225,ENSDARG00000100236,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000103054,ENSDARG00000103145,ENSDARG00000103922,ENSDARG00000104358,ENSDARG00000104436,ENSDARG00000104663,ENSDARG00000104801,ENSDARG00000104837,ENSDARG00000114038
GO:0098590	plasma membrane region	233	11	4.04	0.0023	ENSDARG00000000068,ENSDARG00000000503,ENSDARG00000001710,ENSDARG00000001880,ENSDARG00000003313,ENSDARG00000003420,ENSDARG00000003642,ENSDARG00000003808,ENSDARG00000004445,ENSDARG00000004618,ENSDARG00000005364,ENSDARG00000005704,ENSDARG00000006202,ENSDARG00000006602,ENSDARG00000006865,ENSDARG00000007906,ENSDARG00000008170,ENSDARG00000008487,ENSDARG00000008735,ENSDARG00000009021,ENSDARG00000009336,ENSDARG00000010583,ENSDARG00000011066,ENSDARG00000011091,ENSDARG00000012019,ENSDARG00000012866,ENSDARG00000012881,ENSDARG00000013414,ENSDARG00000013730,ENSDARG00000013847,ENSDARG00000014137,ENSDARG00000014858,ENSDARG00000014943,ENSDARG00000015502,ENSDARG00000015931,ENSDARG00000016016,ENSDARG00000016153,ENSDARG00000016918,ENSDARG00000017140,ENSDARG00000017391,ENSDARG00000017490,ENSDARG00000017790,ENSDARG00000019881,ENSDARG00000020450,ENSDARG00000021352,ENSDARG00000023771,ENSDARG00000024560,ENSDARG00000025826,ENSDARG00000026726,ENSDARG00000026753,ENSDARG00000026759,ENSDARG00000026796,ENSDARG00000027153,ENSDARG00000027590,ENSDARG00000027828,ENSDARG00000028173,ENSDARG00000028321,ENSDARG00000028824,ENSDARG00000029170,ENSDARG00000031228,ENSDARG00000031720,ENSDARG00000032482,ENSDARG00000032565,ENSDARG00000032639,ENSDARG00000032714,ENSDARG00000032799,ENSDARG00000032865,ENSDARG00000033993,ENSDARG00000034007,ENSDARG00000034307,ENSDARG00000034555,ENSDARG00000036764,ENSDARG00000036864,ENSDARG00000036993,ENSDARG00000037427,ENSDARG00000037498,ENSDARG00000037747,ENSDARG00000037998,ENSDARG00000038089,ENSDARG00000038508,ENSDARG00000039240,ENSDARG00000039406,ENSDARG00000039966,ENSDARG00000040380,ENSDARG00000040523,ENSDARG00000040627,ENSDARG00000042141,ENSDARG00000044016,ENSDARG00000044281,ENSDARG00000044808,ENSDARG00000045067,ENSDARG00000051852,ENSDARG00000052673,ENSDARG00000052764,ENSDARG00000052765,ENSDARG00000052769,ENSDARG00000052779,ENSDARG00000052782,ENSDARG00000052982,ENSDARG00000053381,ENSDARG00000053665,ENSDARG00000054658,ENSDARG00000055253,ENSDARG00000055291,ENSDARG00000055302,ENSDARG00000055313,ENSDARG00000055559,ENSDARG00000055855,ENSDARG00000056101,ENSDARG00000056926,ENSDARG00000057029,ENSDARG00000057468,ENSDARG00000057984,ENSDARG00000058103,ENSDARG00000058108,ENSDARG00000058498,ENSDARG00000058736,ENSDARG00000058953,ENSDARG00000059368,ENSDARG00000059763,ENSDARG00000059798,ENSDARG00000059891,ENSDARG00000060303,ENSDARG00000060532,ENSDARG00000060637,ENSDARG00000061066,ENSDARG00000062323,ENSDARG00000062325,ENSDARG00000062956,ENSDARG00000062972,ENSDARG00000063006,ENSDARG00000063054,ENSDARG00000063144,ENSDARG00000063332,ENSDARG00000068217,ENSDARG00000068923,ENSDARG00000069139,ENSDARG00000069660,ENSDARG00000069774,ENSDARG00000070074,ENSDARG00000070624,ENSDARG00000070626,ENSDARG00000070724,ENSDARG00000070730,ENSDARG00000070903,ENSDARG00000071091,ENSDARG00000071458,ENSDARG00000073765,ENSDARG00000073883,ENSDARG00000074583,ENSDARG00000074680,ENSDARG00000074746,ENSDARG00000075058,ENSDARG00000075532,ENSDARG00000076318,ENSDARG00000076401,ENSDARG00000076416,ENSDARG00000076796,ENSDARG00000077489,ENSDARG00000077499,ENSDARG00000077560,ENSDARG00000077710,ENSDARG00000077761,ENSDARG00000078014,ENSDARG00000078102,ENSDARG00000078149,ENSDARG00000078151,ENSDARG00000078741,ENSDARG00000079251,ENSDARG00000079420,ENSDARG00000079586,ENSDARG00000079637,ENSDARG00000079840,ENSDARG00000086647,ENSDARG00000087224,ENSDARG00000088204,ENSDARG00000088258,ENSDARG00000089076,ENSDARG00000089212,ENSDARG00000089292,ENSDARG00000089536,ENSDARG00000089871,ENSDARG00000090408,ENSDARG00000091459,ENSDARG00000091633,ENSDARG00000093342,ENSDARG00000097826,ENSDARG00000098081,ENSDARG00000098320,ENSDARG00000098481,ENSDARG00000098764,ENSDARG00000098809,ENSDARG00000098816,ENSDARG00000099096,ENSDARG00000099113,ENSDARG00000099226,ENSDARG00000099744,ENSDARG00000100032,ENSDARG00000100095,ENSDARG00000100222,ENSDARG00000100751,ENSDARG00000100752,ENSDARG00000100851,ENSDARG00000101145,ENSDARG00000101293,ENSDARG00000101449,ENSDARG00000101522,ENSDARG00000101557,ENSDARG00000101606,ENSDARG00000101677,ENSDARG00000101984,ENSDARG00000101995,ENSDARG00000102128,ENSDARG00000102443,ENSDARG00000102506,ENSDARG00000102690,ENSDARG00000102773,ENSDARG00000102889,ENSDARG00000104719,ENSDARG00000104786,ENSDARG00000104820,ENSDARG00000110727,ENSDARG00000110804,ENSDARG00000111977,ENSDARG00000111980,ENSDARG00000113411,ENSDARG00000113474,ENSDARG00000113702,ENSDARG00000113737,ENSDARG00000113771,ENSDARG00000114444,ENSDARG00000115540,ENSDARG00000116374
GO:0120038	plasma membrane bounded cell projection ...	213	10	3.7	0.0038	ENSDARG00000000606,ENSDARG00000003313,ENSDARG00000004131,ENSDARG00000004621,ENSDARG00000004672,ENSDARG00000004874,ENSDARG00000005670,ENSDARG00000005704,ENSDARG00000006862,ENSDARG00000008140,ENSDARG00000008170,ENSDARG00000008639,ENSDARG00000008735,ENSDARG00000009336,ENSDARG00000009610,ENSDARG00000010610,ENSDARG00000012138,ENSDARG00000012449,ENSDARG00000012610,ENSDARG00000013472,ENSDARG00000013858,ENSDARG00000014302,ENSDARG00000014953,ENSDARG00000015240,ENSDARG00000016016,ENSDARG00000016260,ENSDARG00000017140,ENSDARG00000017391,ENSDARG00000018228,ENSDARG00000018817,ENSDARG00000018997,ENSDARG00000019231,ENSDARG00000019345,ENSDARG00000021115,ENSDARG00000021352,ENSDARG00000021590,ENSDARG00000022045,ENSDARG00000022841,ENSDARG00000022968,ENSDARG00000023914,ENSDARG00000025826,ENSDARG00000026531,ENSDARG00000026630,ENSDARG00000027234,ENSDARG00000027590,ENSDARG00000027822,ENSDARG00000031228,ENSDARG00000031886,ENSDARG00000032458,ENSDARG00000032482,ENSDARG00000032714,ENSDARG00000032737,ENSDARG00000032799,ENSDARG00000032856,ENSDARG00000032865,ENSDARG00000034007,ENSDARG00000034423,ENSDARG00000034941,ENSDARG00000035056,ENSDARG00000035533,ENSDARG00000035820,ENSDARG00000036189,ENSDARG00000036460,ENSDARG00000036774,ENSDARG00000037020,ENSDARG00000037496,ENSDARG00000037498,ENSDARG00000037747,ENSDARG00000038024,ENSDARG00000038432,ENSDARG00000039406,ENSDARG00000039521,ENSDARG00000039534,ENSDARG00000039577,ENSDARG00000039827,ENSDARG00000039966,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040741,ENSDARG00000040991,ENSDARG00000041062,ENSDARG00000042141,ENSDARG00000042182,ENSDARG00000042329,ENSDARG00000042529,ENSDARG00000044016,ENSDARG00000045067,ENSDARG00000045639,ENSDARG00000045968,ENSDARG00000051852,ENSDARG00000051876,ENSDARG00000052138,ENSDARG00000052765,ENSDARG00000052775,ENSDARG00000053240,ENSDARG00000053326,ENSDARG00000053665,ENSDARG00000054890,ENSDARG00000055206,ENSDARG00000055455,ENSDARG00000055855,ENSDARG00000056101,ENSDARG00000056519,ENSDARG00000056633,ENSDARG00000057029,ENSDARG00000057468,ENSDARG00000057984,ENSDARG00000058108,ENSDARG00000058498,ENSDARG00000058736,ENSDARG00000059368,ENSDARG00000059601,ENSDARG00000060007,ENSDARG00000060085,ENSDARG00000060112,ENSDARG00000060298,ENSDARG00000060639,ENSDARG00000061051,ENSDARG00000061304,ENSDARG00000061486,ENSDARG00000061817,ENSDARG00000061830,ENSDARG00000061940,ENSDARG00000062134,ENSDARG00000062325,ENSDARG00000062531,ENSDARG00000062924,ENSDARG00000062978,ENSDARG00000063054,ENSDARG00000063144,ENSDARG00000063332,ENSDARG00000063580,ENSDARG00000068166,ENSDARG00000068398,ENSDARG00000068468,ENSDARG00000068855,ENSDARG00000068910,ENSDARG00000069269,ENSDARG00000070037,ENSDARG00000070537,ENSDARG00000070730,ENSDARG00000070972,ENSDARG00000071091,ENSDARG00000071353,ENSDARG00000071424,ENSDARG00000071709,ENSDARG00000073765,ENSDARG00000074131,ENSDARG00000074509,ENSDARG00000074575,ENSDARG00000074590,ENSDARG00000074723,ENSDARG00000074746,ENSDARG00000074849,ENSDARG00000075058,ENSDARG00000075133,ENSDARG00000075352,ENSDARG00000075539,ENSDARG00000076055,ENSDARG00000076153,ENSDARG00000076752,ENSDARG00000076974,ENSDARG00000077499,ENSDARG00000078014,ENSDARG00000078102,ENSDARG00000078447,ENSDARG00000079217,ENSDARG00000079420,ENSDARG00000079504,ENSDARG00000079795,ENSDARG00000079905,ENSDARG00000087299,ENSDARG00000087373,ENSDARG00000087538,ENSDARG00000087954,ENSDARG00000088204,ENSDARG00000088258,ENSDARG00000089076,ENSDARG00000089486,ENSDARG00000089871,ENSDARG00000090971,ENSDARG00000091459,ENSDARG00000091633,ENSDARG00000097934,ENSDARG00000098655,ENSDARG00000098816,ENSDARG00000098937,ENSDARG00000099113,ENSDARG00000099196,ENSDARG00000099294,ENSDARG00000099481,ENSDARG00000099744,ENSDARG00000100011,ENSDARG00000100287,ENSDARG00000100851,ENSDARG00000101759,ENSDARG00000101975,ENSDARG00000101984,ENSDARG00000101995,ENSDARG00000102128,ENSDARG00000102424,ENSDARG00000102443,ENSDARG00000102471,ENSDARG00000102902,ENSDARG00000103848,ENSDARG00000104549,ENSDARG00000104820,ENSDARG00000104945,ENSDARG00000105296,ENSDARG00000105391,ENSDARG00000111920,ENSDARG00000113737,ENSDARG00000116374
GO:0005905	clathrin-coated pit	27	3	0.47	0.0110	ENSDARG00000000086,ENSDARG00000000161,ENSDARG00000002790,ENSDARG00000006257,ENSDARG00000012866,ENSDARG00000014137,ENSDARG00000015356,ENSDARG00000015931,ENSDARG00000026967,ENSDARG00000029170,ENSDARG00000033899,ENSDARG00000035389,ENSDARG00000042141,ENSDARG00000042670,ENSDARG00000043493,ENSDARG00000044016,ENSDARG00000045618,ENSDARG00000052368,ENSDARG00000054320,ENSDARG00000054973,ENSDARG00000090716,ENSDARG00000091618,ENSDARG00000097897,ENSDARG00000098809,ENSDARG00000100700,ENSDARG00000101215,ENSDARG00000102458
GO:0035869	ciliary transition zone	10	2	0.17	0.0123	ENSDARG00000005670,ENSDARG00000006862,ENSDARG00000008639,ENSDARG00000051876,ENSDARG00000068166,ENSDARG00000076055,ENSDARG00000076752,ENSDARG00000076974,ENSDARG00000078447,ENSDARG00000090971
GO:0005912	adherens junction	85	5	1.47	0.0158	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000003779,ENSDARG00000004672,ENSDARG00000005343,ENSDARG00000010583,ENSDARG00000011023,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000013414,ENSDARG00000014248,ENSDARG00000014522,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019845,ENSDARG00000021442,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000023026,ENSDARG00000023472,ENSDARG00000023578,ENSDARG00000024785,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000031049,ENSDARG00000032324,ENSDARG00000034555,ENSDARG00000035629,ENSDARG00000038655,ENSDARG00000039577,ENSDARG00000040985,ENSDARG00000044968,ENSDARG00000045302,ENSDARG00000045331,ENSDARG00000051857,ENSDARG00000051861,ENSDARG00000052652,ENSDARG00000054060,ENSDARG00000055843,ENSDARG00000056084,ENSDARG00000056322,ENSDARG00000056525,ENSDARG00000056964,ENSDARG00000057867,ENSDARG00000059067,ENSDARG00000060745,ENSDARG00000061371,ENSDARG00000061603,ENSDARG00000061688,ENSDARG00000062415,ENSDARG00000062590,ENSDARG00000067711,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000070787,ENSDARG00000071113,ENSDARG00000075215,ENSDARG00000075733,ENSDARG00000075960,ENSDARG00000076416,ENSDARG00000076496,ENSDARG00000077996,ENSDARG00000078233,ENSDARG00000079317,ENSDARG00000079850,ENSDARG00000089871,ENSDARG00000091090,ENSDARG00000093349,ENSDARG00000099974,ENSDARG00000100287,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000100973,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102441,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000103962,ENSDARG00000110804,ENSDARG00000114870
GO:0070161	anchoring junction	87	5	1.51	0.0174	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000003779,ENSDARG00000004672,ENSDARG00000005343,ENSDARG00000010583,ENSDARG00000011023,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000013414,ENSDARG00000014248,ENSDARG00000014522,ENSDARG00000014976,ENSDARG00000015851,ENSDARG00000017901,ENSDARG00000019845,ENSDARG00000021442,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000023026,ENSDARG00000023472,ENSDARG00000023578,ENSDARG00000024785,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000031049,ENSDARG00000032324,ENSDARG00000034555,ENSDARG00000035629,ENSDARG00000038655,ENSDARG00000039577,ENSDARG00000040985,ENSDARG00000044968,ENSDARG00000045302,ENSDARG00000045331,ENSDARG00000051857,ENSDARG00000051861,ENSDARG00000052652,ENSDARG00000054060,ENSDARG00000055843,ENSDARG00000056084,ENSDARG00000056322,ENSDARG00000056525,ENSDARG00000056964,ENSDARG00000057867,ENSDARG00000059067,ENSDARG00000060745,ENSDARG00000061371,ENSDARG00000061603,ENSDARG00000061688,ENSDARG00000062415,ENSDARG00000062590,ENSDARG00000067711,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000070787,ENSDARG00000071113,ENSDARG00000075215,ENSDARG00000075733,ENSDARG00000075960,ENSDARG00000076416,ENSDARG00000076496,ENSDARG00000077996,ENSDARG00000078233,ENSDARG00000079317,ENSDARG00000079438,ENSDARG00000079850,ENSDARG00000089871,ENSDARG00000091090,ENSDARG00000093349,ENSDARG00000099974,ENSDARG00000100287,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000100973,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102441,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000103962,ENSDARG00000110804,ENSDARG00000114870
GO:0005901	caveola	12	2	0.21	0.0176	ENSDARG00000001710,ENSDARG00000026759,ENSDARG00000032639,ENSDARG00000037998,ENSDARG00000040523,ENSDARG00000053381,ENSDARG00000057029,ENSDARG00000069774,ENSDARG00000070074,ENSDARG00000078014,ENSDARG00000101145,ENSDARG00000101557
GO:0044853	plasma membrane raft	12	2	0.21	0.0176	ENSDARG00000001710,ENSDARG00000026759,ENSDARG00000032639,ENSDARG00000037998,ENSDARG00000040523,ENSDARG00000053381,ENSDARG00000057029,ENSDARG00000069774,ENSDARG00000070074,ENSDARG00000078014,ENSDARG00000101145,ENSDARG00000101557
GO:0031941	filamentous actin	13	2	0.23	0.0206	ENSDARG00000011023,ENSDARG00000014248,ENSDARG00000019845,ENSDARG00000027600,ENSDARG00000041257,ENSDARG00000043643,ENSDARG00000056322,ENSDARG00000059442,ENSDARG00000068973,ENSDARG00000079895,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000114870
