GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0008092	cytoskeletal protein binding	459	16	7.48	0.0033	ENSDARG00000000103,ENSDARG00000000183,ENSDARG00000000631,ENSDARG00000001014,ENSDARG00000001259,ENSDARG00000001431,ENSDARG00000001558,ENSDARG00000001909,ENSDARG00000002255,ENSDARG00000002571,ENSDARG00000002656,ENSDARG00000002659,ENSDARG00000002682,ENSDARG00000002988,ENSDARG00000003084,ENSDARG00000003216,ENSDARG00000003313,ENSDARG00000003952,ENSDARG00000004372,ENSDARG00000004658,ENSDARG00000004874,ENSDARG00000005162,ENSDARG00000005210,ENSDARG00000005374,ENSDARG00000005456,ENSDARG00000005704,ENSDARG00000005993,ENSDARG00000006283,ENSDARG00000006603,ENSDARG00000006712,ENSDARG00000006862,ENSDARG00000006892,ENSDARG00000007219,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008639,ENSDARG00000008790,ENSDARG00000008808,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009341,ENSDARG00000009689,ENSDARG00000009727,ENSDARG00000009733,ENSDARG00000009782,ENSDARG00000010042,ENSDARG00000010280,ENSDARG00000010300,ENSDARG00000010728,ENSDARG00000011023,ENSDARG00000011459,ENSDARG00000011615,ENSDARG00000011777,ENSDARG00000011961,ENSDARG00000012073,ENSDARG00000012311,ENSDARG00000012586,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000012944,ENSDARG00000013079,ENSDARG00000013110,ENSDARG00000013335,ENSDARG00000013343,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000014731,ENSDARG00000014854,ENSDARG00000014943,ENSDARG00000015059,ENSDARG00000015538,ENSDARG00000015552,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000016429,ENSDARG00000016754,ENSDARG00000017004,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017162,ENSDARG00000017532,ENSDARG00000017901,ENSDARG00000018162,ENSDARG00000018206,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000019128,ENSDARG00000019208,ENSDARG00000019231,ENSDARG00000019304,ENSDARG00000019525,ENSDARG00000019743,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020204,ENSDARG00000020231,ENSDARG00000020395,ENSDARG00000020442,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000020944,ENSDARG00000021115,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021987,ENSDARG00000022045,ENSDARG00000023188,ENSDARG00000023237,ENSDARG00000023318,ENSDARG00000023369,ENSDARG00000023495,ENSDARG00000023916,ENSDARG00000023963,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025091,ENSDARG00000025218,ENSDARG00000026829,ENSDARG00000027172,ENSDARG00000027234,ENSDARG00000027310,ENSDARG00000027547,ENSDARG00000027600,ENSDARG00000028393,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000029019,ENSDARG00000029133,ENSDARG00000029856,ENSDARG00000030106,ENSDARG00000030107,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000030722,ENSDARG00000030980,ENSDARG00000031693,ENSDARG00000032221,ENSDARG00000032238,ENSDARG00000032324,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000032802,ENSDARG00000033609,ENSDARG00000033683,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000035122,ENSDARG00000035322,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000036179,ENSDARG00000036189,ENSDARG00000037020,ENSDARG00000037266,ENSDARG00000037276,ENSDARG00000037432,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000038445,ENSDARG00000038465,ENSDARG00000038938,ENSDARG00000038974,ENSDARG00000039272,ENSDARG00000039309,ENSDARG00000039354,ENSDARG00000039974,ENSDARG00000040110,ENSDARG00000040380,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000041407,ENSDARG00000042114,ENSDARG00000042141,ENSDARG00000042368,ENSDARG00000042840,ENSDARG00000042927,ENSDARG00000042946,ENSDARG00000043571,ENSDARG00000043667,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044491,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045262,ENSDARG00000045298,ENSDARG00000045675,ENSDARG00000045822,ENSDARG00000051876,ENSDARG00000053026,ENSDARG00000053240,ENSDARG00000053431,ENSDARG00000053484,ENSDARG00000053517,ENSDARG00000053547,ENSDARG00000053625,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054456,ENSDARG00000054911,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056250,ENSDARG00000056322,ENSDARG00000057867,ENSDARG00000057882,ENSDARG00000057984,ENSDARG00000058000,ENSDARG00000058038,ENSDARG00000058108,ENSDARG00000058128,ENSDARG00000058243,ENSDARG00000058348,ENSDARG00000058820,ENSDARG00000058868,ENSDARG00000059311,ENSDARG00000059466,ENSDARG00000059475,ENSDARG00000059574,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059604,ENSDARG00000059701,ENSDARG00000059774,ENSDARG00000059818,ENSDARG00000059965,ENSDARG00000060010,ENSDARG00000060112,ENSDARG00000060149,ENSDARG00000060200,ENSDARG00000060326,ENSDARG00000060349,ENSDARG00000060368,ENSDARG00000061131,ENSDARG00000061304,ENSDARG00000061398,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061810,ENSDARG00000061817,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062024,ENSDARG00000062173,ENSDARG00000062187,ENSDARG00000062481,ENSDARG00000062531,ENSDARG00000062590,ENSDARG00000062606,ENSDARG00000062799,ENSDARG00000062806,ENSDARG00000062948,ENSDARG00000062972,ENSDARG00000063007,ENSDARG00000063068,ENSDARG00000063159,ENSDARG00000063195,ENSDARG00000063295,ENSDARG00000063385,ENSDARG00000063457,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000067701,ENSDARG00000067711,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068457,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069113,ENSDARG00000069594,ENSDARG00000069600,ENSDARG00000069937,ENSDARG00000070076,ENSDARG00000070495,ENSDARG00000070537,ENSDARG00000070991,ENSDARG00000071009,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071445,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000073859,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074143,ENSDARG00000074201,ENSDARG00000074275,ENSDARG00000074381,ENSDARG00000074443,ENSDARG00000074521,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074599,ENSDARG00000074723,ENSDARG00000074777,ENSDARG00000075041,ENSDARG00000075215,ENSDARG00000075292,ENSDARG00000075295,ENSDARG00000075433,ENSDARG00000075608,ENSDARG00000075706,ENSDARG00000075752,ENSDARG00000075867,ENSDARG00000075942,ENSDARG00000075989,ENSDARG00000076027,ENSDARG00000076060,ENSDARG00000076075,ENSDARG00000076090,ENSDARG00000076228,ENSDARG00000076229,ENSDARG00000076364,ENSDARG00000076371,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000076687,ENSDARG00000076965,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000077777,ENSDARG00000077950,ENSDARG00000078313,ENSDARG00000078318,ENSDARG00000078440,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078654,ENSDARG00000078722,ENSDARG00000078935,ENSDARG00000079440,ENSDARG00000079500,ENSDARG00000079530,ENSDARG00000079731,ENSDARG00000079777,ENSDARG00000080018,ENSDARG00000086391,ENSDARG00000087260,ENSDARG00000087402,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000087749,ENSDARG00000088091,ENSDARG00000088168,ENSDARG00000088440,ENSDARG00000088492,ENSDARG00000089310,ENSDARG00000089314,ENSDARG00000089569,ENSDARG00000090369,ENSDARG00000090628,ENSDARG00000090778,ENSDARG00000090785,ENSDARG00000090986,ENSDARG00000091006,ENSDARG00000091090,ENSDARG00000091253,ENSDARG00000091548,ENSDARG00000092281,ENSDARG00000092970,ENSDARG00000093374,ENSDARG00000094732,ENSDARG00000094792,ENSDARG00000097487,ENSDARG00000097683,ENSDARG00000098374,ENSDARG00000098650,ENSDARG00000098655,ENSDARG00000098695,ENSDARG00000098749,ENSDARG00000098907,ENSDARG00000098936,ENSDARG00000098955,ENSDARG00000099235,ENSDARG00000099283,ENSDARG00000099385,ENSDARG00000099510,ENSDARG00000099720,ENSDARG00000099786,ENSDARG00000099871,ENSDARG00000099943,ENSDARG00000099974,ENSDARG00000100145,ENSDARG00000100151,ENSDARG00000100222,ENSDARG00000100225,ENSDARG00000100252,ENSDARG00000100708,ENSDARG00000100729,ENSDARG00000100918,ENSDARG00000101127,ENSDARG00000101277,ENSDARG00000101431,ENSDARG00000101687,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000102180,ENSDARG00000102272,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102458,ENSDARG00000102471,ENSDARG00000102540,ENSDARG00000102674,ENSDARG00000102829,ENSDARG00000102878,ENSDARG00000102883,ENSDARG00000103333,ENSDARG00000103394,ENSDARG00000103917,ENSDARG00000103962,ENSDARG00000104181,ENSDARG00000104315,ENSDARG00000104358,ENSDARG00000104404,ENSDARG00000104478,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104836,ENSDARG00000105209,ENSDARG00000109770,ENSDARG00000110192,ENSDARG00000110206,ENSDARG00000110291,ENSDARG00000110698,ENSDARG00000112015,ENSDARG00000114022,ENSDARG00000114038,ENSDARG00000114329,ENSDARG00000114870,ENSDARG00000115712
GO:1990939	ATP-dependent microtubule motor activity	51	4	0.83	0.0093	ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000009733,ENSDARG00000012073,ENSDARG00000013343,ENSDARG00000014717,ENSDARG00000014943,ENSDARG00000017162,ENSDARG00000017532,ENSDARG00000031693,ENSDARG00000037020,ENSDARG00000040110,ENSDARG00000042368,ENSDARG00000043571,ENSDARG00000044491,ENSDARG00000053026,ENSDARG00000053240,ENSDARG00000053431,ENSDARG00000054978,ENSDARG00000059818,ENSDARG00000060165,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061817,ENSDARG00000062024,ENSDARG00000062187,ENSDARG00000062606,ENSDARG00000063385,ENSDARG00000068468,ENSDARG00000069594,ENSDARG00000071009,ENSDARG00000073859,ENSDARG00000074131,ENSDARG00000075024,ENSDARG00000076027,ENSDARG00000076228,ENSDARG00000076687,ENSDARG00000079500,ENSDARG00000079731,ENSDARG00000080018,ENSDARG00000087352,ENSDARG00000087373,ENSDARG00000087538,ENSDARG00000091548,ENSDARG00000094282,ENSDARG00000098655,ENSDARG00000098936,ENSDARG00000100225,ENSDARG00000103394,ENSDARG00000109770,ENSDARG00000113761
GO:0005523	tropomyosin binding	10	2	0.16	0.0109	ENSDARG00000002571,ENSDARG00000002988,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000030270,ENSDARG00000037954,ENSDARG00000045822,ENSDARG00000056111,ENSDARG00000068457,ENSDARG00000078318
GO:0005251	delayed rectifier potassium channel acti...	11	2	0.18	0.0132	ENSDARG00000026084,ENSDARG00000051852,ENSDARG00000055855,ENSDARG00000057468,ENSDARG00000059798,ENSDARG00000060085,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000099038
GO:0004520	endodeoxyribonuclease activity	12	2	0.2	0.0156	ENSDARG00000009748,ENSDARG00000011376,ENSDARG00000012325,ENSDARG00000014161,ENSDARG00000015123,ENSDARG00000023678,ENSDARG00000023861,ENSDARG00000073893,ENSDARG00000078759,ENSDARG00000091538,ENSDARG00000098605,ENSDARG00000105014
GO:0016278	lysine N-methyltransferase activity	33	3	0.54	0.0162	ENSDARG00000005629,ENSDARG00000009280,ENSDARG00000016343,ENSDARG00000025914,ENSDARG00000026225,ENSDARG00000026634,ENSDARG00000033451,ENSDARG00000038858,ENSDARG00000040584,ENSDARG00000041223,ENSDARG00000041243,ENSDARG00000055753,ENSDARG00000060016,ENSDARG00000060021,ENSDARG00000060030,ENSDARG00000060697,ENSDARG00000060705,ENSDARG00000061992,ENSDARG00000062244,ENSDARG00000062765,ENSDARG00000062962,ENSDARG00000068157,ENSDARG00000070981,ENSDARG00000071669,ENSDARG00000075461,ENSDARG00000075560,ENSDARG00000079312,ENSDARG00000091253,ENSDARG00000095224,ENSDARG00000099021,ENSDARG00000101462,ENSDARG00000102325,ENSDARG00000105231
GO:0016279	protein-lysine N-methyltransferase activ...	33	3	0.54	0.0162	ENSDARG00000005629,ENSDARG00000009280,ENSDARG00000016343,ENSDARG00000025914,ENSDARG00000026225,ENSDARG00000026634,ENSDARG00000033451,ENSDARG00000038858,ENSDARG00000040584,ENSDARG00000041223,ENSDARG00000041243,ENSDARG00000055753,ENSDARG00000060016,ENSDARG00000060021,ENSDARG00000060030,ENSDARG00000060697,ENSDARG00000060705,ENSDARG00000061992,ENSDARG00000062244,ENSDARG00000062765,ENSDARG00000062962,ENSDARG00000068157,ENSDARG00000070981,ENSDARG00000071669,ENSDARG00000075461,ENSDARG00000075560,ENSDARG00000079312,ENSDARG00000091253,ENSDARG00000095224,ENSDARG00000099021,ENSDARG00000101462,ENSDARG00000102325,ENSDARG00000105231
GO:0000030	mannosyltransferase activity	14	2	0.23	0.0211	ENSDARG00000012840,ENSDARG00000020447,ENSDARG00000024277,ENSDARG00000031202,ENSDARG00000035273,ENSDARG00000045753,ENSDARG00000054963,ENSDARG00000055027,ENSDARG00000057011,ENSDARG00000062846,ENSDARG00000063149,ENSDARG00000067670,ENSDARG00000079013,ENSDARG00000105011
GO:0004879	nuclear receptor activity	40	3	0.65	0.0270	ENSDARG00000000151,ENSDARG00000000796,ENSDARG00000001910,ENSDARG00000003165,ENSDARG00000003607,ENSDARG00000004861,ENSDARG00000009473,ENSDARG00000009594,ENSDARG00000011696,ENSDARG00000017007,ENSDARG00000017780,ENSDARG00000021163,ENSDARG00000021494,ENSDARG00000021833,ENSDARG00000023362,ENSDARG00000023537,ENSDARG00000025032,ENSDARG00000029766,ENSDARG00000031768,ENSDARG00000031777,ENSDARG00000031848,ENSDARG00000033498,ENSDARG00000034117,ENSDARG00000034181,ENSDARG00000034893,ENSDARG00000042477,ENSDARG00000044525,ENSDARG00000044532,ENSDARG00000045527,ENSDARG00000052654,ENSDARG00000054323,ENSDARG00000055854,ENSDARG00000056783,ENSDARG00000057231,ENSDARG00000057741,ENSDARG00000069266,ENSDARG00000070721,ENSDARG00000071565,ENSDARG00000098439,ENSDARG00000100940
GO:0098531	transcription factor activity, direct li...	40	3	0.65	0.0270	ENSDARG00000000151,ENSDARG00000000796,ENSDARG00000001910,ENSDARG00000003165,ENSDARG00000003607,ENSDARG00000004861,ENSDARG00000009473,ENSDARG00000009594,ENSDARG00000011696,ENSDARG00000017007,ENSDARG00000017780,ENSDARG00000021163,ENSDARG00000021494,ENSDARG00000021833,ENSDARG00000023362,ENSDARG00000023537,ENSDARG00000025032,ENSDARG00000029766,ENSDARG00000031768,ENSDARG00000031777,ENSDARG00000031848,ENSDARG00000033498,ENSDARG00000034117,ENSDARG00000034181,ENSDARG00000034893,ENSDARG00000042477,ENSDARG00000044525,ENSDARG00000044532,ENSDARG00000045527,ENSDARG00000052654,ENSDARG00000054323,ENSDARG00000055854,ENSDARG00000056783,ENSDARG00000057231,ENSDARG00000057741,ENSDARG00000069266,ENSDARG00000070721,ENSDARG00000071565,ENSDARG00000098439,ENSDARG00000100940
