ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	28,18,22,38,19,18	13,10,13,26,2,12	13,20,33,14,42,35	8,18,18,5,23,13	263	263
2	37,26,29,51,32,27	16,10,7,23,9,4	34,28,46,26,62,56	8,13,10,17,23,17	263	263
4	41,48,28,82,51,34	40,30,26,44,44,25	50,55,64,44,77,67	28,48,47,38,52,44	293	278
5	18,17,14,28,19,19	25,20,19,42,29,19	8,25,24,31,39,26	24,25,36,31,42,34	298	293
6	13,22,9,27,8,20	14,14,15,20,16,10	10,11,16,12,24,21	9,17,25,20,24,18	292	250
7	5,11,11,14,9,8	37,15,12,20,28,13	11,12,13,14,7,15	19,22,30,29,29,30	246	234
8	21,22,30,30,19,14	21,15,15,24,30,22	6,28,10,16,27,31	26,35,21,35,28,24	295	246
10	1,0,0,4,3,0	4,0,0,0,0,0	0,1,0,0,2,1	0,4,0,0,1,0	298	298
11	60,56,37,93,73,57	55,47,36,57,54,48	60,71,99,67,93,87	33,52,68,40,72,70	267	249
12	31,25,17,41,41,24	53,38,37,73,55,41	30,28,41,61,64,56	40,42,60,46,76,61	225	267
13	100,129,88,146,132,104	19,12,18,12,16,12	98,108,156,111,157,156	10,9,28,4,12,24	242	242
14	15,11,11,16,6,11	8,1,4,1,6,5	19,10,31,11,17,24	4,1,6,4,3,1	254	265
15	20,30,11,55,36,22	9,7,11,27,15,7	17,30,45,36,56,46	11,22,18,10,18,38	298	224
16	31,45,37,70,35,26	10,14,6,11,15,8	44,38,56,29,78,61	15,14,14,16,9,13	257	212
17	15,25,26,41,24,24	50,31,53,78,53,38	28,18,37,10,43,42	51,52,61,43,88,91	257	287
18	0,2,0,1,6,0	63,33,46,78,64,32	0,0,6,0,6,3	39,65,83,37,80,87	194	298
21	19,34,11,41,27,44	28,30,27,45,35,26	41,37,44,33,47,45	36,31,38,34,37,53	297	298
22	28,29,17,47,44,37	49,46,59,83,63,39	15,44,30,45,42,37	45,66,75,55,117,80	245	290
23	158,125,112,192,148,130	36,44,45,70,35,27	108,135,175,170,201,160	41,55,60,45,68,68	256	298
24	25,28,29,45,25,33	48,50,15,53,35,41	28,32,42,23,38,39	20,48,65,21,66,38	298	288
25	17,8,18,23,15,18	15,15,11,17,8,11	10,12,28,19,24,21	9,12,33,9,21,12	242	296
26	248,225,228,308,291,192	189,133,129,185,159,90	295,221,383,309,332,416	171,131,197,189,192,254	290	231
27	7,12,7,7,11,5	41,19,18,54,32,26	11,11,19,7,8,18	37,17,53,34,87,54	298	269
28	8,24,14,22,20,26	23,20,15,24,11,13	11,15,19,9,37,17	18,9,17,23,18,27	298	298
29	9,5,3,7,1,2	4,12,1,6,5,1	2,0,5,6,4,6	3,2,10,4,5,10	203	266
30	22,17,9,20,3,3	21,19,19,31,20,13	28,13,25,16,21,25	18,23,17,27,28,18	263	263
31	11,22,15,37,24,15	36,36,23,57,47,39	21,22,46,26,46,22	38,41,55,29,54,35	294	280
32	16,7,2,11,23,11	14,6,10,14,8,14	11,9,11,12,11,10	7,13,11,7,15,15	275	257
33	19,11,7,9,16,7	21,9,17,21,11,12	6,7,16,2,12,8	13,12,20,14,12,12	254	254
34	19,9,7,9,16,5	13,7,5,8,15,7	5,7,16,2,12,8	6,6,12,6,8,7	254	218
35	19,9,7,9,16,5	7,7,2,9,7,6	5,6,16,3,12,8	4,5,7,2,12,4	254	181
36	39,43,56,62,53,39	109,94,87,147,145,76	51,43,61,49,80,78	118,101,114,99,162,127	207	241
37	34,39,56,55,53,37	4,2,1,0,1,1	48,39,56,46,80,66	3,4,0,2,5,1	207	241
38	4,2,3,5,8,0	109,75,66,150,88,68	0,1,0,0,11,3	94,125,123,99,108,137	238	207
39	11,14,3,12,3,7	40,39,26,34,38,26	2,7,13,2,21,13	22,35,51,26,46,35	210	288
40	47,25,23,58,47,23	77,47,43,56,71,34	23,38,56,24,45,43	51,68,101,57,89,88	242	298
41	40,35,45,73,44,45	52,26,31,45,41,37	40,52,90,49,87,53	14,44,48,43,51,40	290	225
42	35,28,16,62,35,42	62,67,65,99,80,53	32,37,65,27,53,49	50,59,115,65,109,97	225	298
43	1,1,2,7,0,7	4,5,7,3,5,5	4,2,13,11,3,5	1,1,17,13,8,8	269	230
44	0,4,0,1,1,1	26,14,18,23,14,15	0,0,3,0,0,0	14,10,18,20,25,11	182	191
45	2126,1956,1596,3043,2166,1608	2638,2336,2102,3626,2468,1930	1747,2016,3197,1990,3238,2922	2136,2590,3479,2637,3448,3377	274	277
46	20,34,29,17,29,15	36,42,28,39,35,35	23,26,29,15,28,53	27,45,57,23,46,70	226	238
47	1,1,5,2,2,2	1,2,0,2,3,1	2,3,3,4,1,5	2,4,1,1,3,2	242	211
48	8,11,6,12,1,8	103,111,75,172,74,70	7,8,9,6,5,6	78,112,171,116,146,162	260	245
49	30,24,23,29,32,25	112,112,106,168,112,90	26,21,40,23,60,34	89,130,177,102,185,139	213	288
50	47,20,34,34,53,32	20,36,18,46,21,17	24,29,63,28,64,63	29,29,39,28,46,21	246	222
52	10,13,2,15,3,9	7,11,4,15,0,6	7,4,11,13,19,14	6,4,15,6,15,17	255	298
53	4305,3741,3243,5035,4269,4286	1902,1825,1443,2243,1909,1851	3657,4910,4287,5271,6686,5853	1537,2276,1864,2114,2843,2608	298	236
