ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	45,57,39,67,49,47	0,2,0,2,0,1	25,32,73,39,55,48	0,0,1,1,2,1	152	149
1	7,14,19,25,12,11	15,9,6,22,17,7	15,10,24,23,8,22	11,15,27,12,20,12	167	149
2	22,14,12,14,3,10	7,11,2,5,0,5	13,17,8,16,15,26	9,2,1,1,2,3	152	149
3	11,4,8,24,9,4	69,74,59,114,94,83	12,4,5,14,12,18	70,88,138,75,83,128	152	149
6	3,4,4,13,7,4	6,15,11,14,8,11	5,2,4,3,15,6	13,5,16,17,22,16	152	149
7	5,9,6,9,11,6	0,0,0,0,0,0	8,3,13,3,11,12	0,0,1,0,0,1	179	149
8	345,262,227,390,303,207	1,3,0,4,0,0	297,302,453,247,383,448	3,1,0,1,4,7	153	149
10	38,39,43,45,34,29	33,28,23,42,22,23	22,39,67,41,57,47	12,16,31,23,38,34	152	149
11	56,52,34,91,74,58	0,1,1,0,3,0	44,59,70,47,90,88	0,2,0,2,2,1	177	149
15	7,34,11,67,21,31	21,55,23,66,29,60	8,4,14,7,13,10	5,7,38,8,14,17	152	149
16	206,164,149,278,227,134	5,4,1,1,3,1	201,192,228,178,262,249	3,6,0,5,3,3	152	149
17	5,7,3,14,7,4	0,0,0,0,0,0	6,5,7,6,10,18	0,0,0,2,0,0	152	149
18	31,14,11,52,26,23	4,6,2,9,8,3	16,41,37,18,37,35	5,3,9,6,6,8	185	149
19	31,22,21,46,16,19	9,5,8,2,9,5	23,32,26,31,46,28	5,6,9,12,9,10	176	149
20	2,1,3,0,0,0	0,0,0,0,0,0	2,0,1,1,1,0	0,1,1,1,2,0	152	149
21	0,2,0,0,0,0	2,0,0,0,0,0	0,0,2,1,1,1	0,0,1,0,2,0	152	149
22	1044,835,719,1434,949,504	0,2,0,0,0,0	734,680,1286,790,888,1108	0,0,0,0,0,0	155	149
23	31,18,29,58,26,16	0,0,0,0,0,0	56,18,34,21,43,36	0,0,0,2,0,0	158	149
25	105,93,80,188,110,93	3,1,0,4,2,0	77,156,160,106,158,151	6,4,10,0,10,4	167	149
26	2,0,4,1,7,2	34,37,33,58,51,31	3,0,2,4,9,3	33,49,51,28,81,54	152	149
27	4,0,1,3,3,3	6,3,3,20,13,10	4,0,5,7,3,5	12,10,17,11,20,20	152	149
31	3,0,0,0,0,1	11,9,5,16,10,7	0,0,4,0,2,2	9,18,19,13,10,20	165	149
33	15,17,10,17,14,9	1,1,0,1,3,0	13,16,24,5,18,11	0,1,0,0,0,1	161	149
35	0,0,0,1,0,0	12,25,4,23,20,18	0,3,0,0,0,1	11,33,25,23,34,30	177	149
36	47,27,56,73,37,35	57,32,52,67,52,35	42,62,83,52,64,78	23,53,81,56,67,65	152	149
38	48,27,33,56,34,36	0,0,0,0,1,0	40,25,72,27,47,42	0,0,2,0,0,1	153	149
