GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000003994	0		syt9a	synaptotagmin IXa [Source:ZFIN;Acc:ZDB-GENE-031002-18]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000005775	0		scn8aa	sodium channel, voltage gated, type VIII, alpha subunit a [Source:ZFIN;Acc:ZDB-GENE-000828-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000006859	0		nkain1	sodium/potassium transporting ATPase interacting 1 [Source:NCBI gene;Acc:393517]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000006923	0		cacna1ab	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-3]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000008140	0		kcnab1a	potassium voltage-gated channel, shaker-related subfamily, beta member 1 a [Source:ZFIN;Acc:ZDB-GENE-050327-79]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000008982	0		casq2	calsequestrin 2 [Source:ZFIN;Acc:ZDB-GENE-010724-12]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000011640	0		syt5b	synaptotagmin Vb [Source:ZFIN;Acc:ZDB-GENE-050522-134]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000011876	0		ednraa	endothelin receptor type Aa [Source:ZFIN;Acc:ZDB-GENE-010906-2]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000014169	0		SYT2	synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:11510]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000014804	0		cacna2d1a	calcium channel, voltage-dependent, alpha 2/delta subunit 1a [Source:ZFIN;Acc:ZDB-GENE-041210-215]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000018032	0		scn8ab	sodium channel, voltage gated, type VIII, alpha subunit b [Source:ZFIN;Acc:ZDB-GENE-060906-2]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000020450	0		cacng8a	calcium channel, voltage-dependent, gamma subunit 8a [Source:ZFIN;Acc:ZDB-GENE-050417-239]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000020544	0		rem1	RAS (RAD and GEM)-like GTP-binding 1 [Source:ZFIN;Acc:ZDB-GENE-040317-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000020621	0		ap1b1	adaptor related protein complex 1 subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-061025-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000020764	0		slmapb	sarcolemma associated protein b [Source:ZFIN;Acc:ZDB-GENE-040426-809]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000021735	0		cacna1ba	calcium channel, voltage-dependent, N type, alpha 1B subunit, a [Source:ZFIN;Acc:ZDB-GENE-060531-44]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000021739	0		klhl24a	kelch-like family member 24a [Source:ZFIN;Acc:ZDB-GENE-061013-572]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000023683	0		cacna1fb	calcium channel, voltage-dependent, L type, alpha 1F subunit [Source:ZFIN;Acc:ZDB-GENE-031104-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000023886	0		cacna2d4b	calcium channel, voltage-dependent, alpha 2/delta subunit 4b [Source:ZFIN;Acc:ZDB-GENE-100422-18]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000024167	0		kcnh1a	potassium voltage-gated channel, subfamily H (eag-related), member 1a [Source:ZFIN;Acc:ZDB-GENE-061226-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000024744	0		dpp6b	dipeptidyl-peptidase 6b [Source:ZFIN;Acc:ZDB-GENE-070705-88]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000025206	0		syt2a	synaptotagmin IIa [Source:ZFIN;Acc:ZDB-GENE-060503-315]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000025914	0		si:dkey-190g11.3	si:dkey-190g11.3 [Source:ZFIN;Acc:ZDB-GENE-081104-341]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000026766	0		bcl2l10	BCL2 like 10 [Source:ZFIN;Acc:ZDB-GENE-030825-2]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000027957	0		fgf12a	fibroblast growth factor 12a [Source:ZFIN;Acc:ZDB-GENE-050221-6]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000029112	0		gem	GTP binding protein overexpressed in skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-060825-251]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000029457	0		cacna1sa	calcium channel, voltage-dependent, L type, alpha 1S subunit, a [Source:ZFIN;Acc:ZDB-GENE-090514-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000030614	0		syt1a	synaptotagmin Ia [Source:ZFIN;Acc:ZDB-GENE-040718-165]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000031438	0		kcnj11l	potassium inwardly rectifying channel subfamily J member 11, like [Source:ZFIN;Acc:ZDB-GENE-050222-2]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000033451	0		atpsckmt	fATP synthase c subunit lysine N-methyltransferase [Source:ZFIN;Acc:ZDB-GENE-041114-90]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000034588	0		scn4ab	sodium channel, voltage-gated, type IV, alpha, b [Source:NCBI gene;Acc:564977]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000035056	0		fgf13a	fibroblast growth factor 13a [Source:ZFIN;Acc:ZDB-GENE-041114-101]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000036457	0		cacng6a	calcium channel, voltage-dependent, gamma subunit 6a [Source:ZFIN;Acc:ZDB-GENE-060503-440]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000037905	0		cacna1aa	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, a [Source:ZFIN;Acc:ZDB-GENE-040724-26]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000039240	0		cacng5b	calcium channel, voltage-dependent, gamma subunit 5b [Source:ZFIN;Acc:ZDB-GENE-120104-3]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000039392	0		wnk1b	WNK lysine deficient protein kinase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2656]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000041223	0		antkmt	adenine nucleotide translocase lysine methyltransferase [Source:ZFIN;Acc:ZDB-GENE-040625-59]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000042552	0		cacna1sb	calcium channel, voltage-dependent, L type, alpha 1S subunit, b [Source:ZFIN;Acc:ZDB-GENE-051227-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000043443	0		kcnj13	potassium inwardly rectifying channel subfamily J member 13 [Source:ZFIN;Acc:ZDB-GENE-070129-1]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000045750	0		syt10	synaptotagmin X [Source:ZFIN;Acc:ZDB-GENE-041210-297]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000051852	0		kcnc1a	potassium voltage-gated channel, Shaw-related subfamily, member 1a [Source:ZFIN;Acc:ZDB-GENE-061220-10]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000052011	0		rrad	Ras-related associated with diabetes [Source:ZFIN;Acc:ZDB-GENE-030131-5607]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000054458	0		slmapa	sarcolemma associated protein a [Source:ZFIN;Acc:ZDB-GENE-061013-184]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000055565	0		cacnb2b	calcium channel, voltage-dependent, beta 2b [Source:ZFIN;Acc:ZDB-GENE-050208-129]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000056101	0		kcnd3	potassium voltage-gated channel, Shal-related subfamily, member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5626]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000056105	0		syt11b	synaptotagmin XIb [Source:ZFIN;Acc:ZDB-GENE-090601-7]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000056633	0		fgf13b	fibroblast growth factor 13b [Source:ZFIN;Acc:ZDB-GENE-040426-1793]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000059798	0		kcnq1.1	potassium voltage-gated channel, KQT-like subfamily, member 1.1 [Source:ZFIN;Acc:ZDB-GENE-061214-5]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000060085	0		kcnq3	potassium voltage-gated channel, KQT-like subfamily, member 3 [Source:ZFIN;Acc:ZDB-GENE-070912-301]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000061345	0		wwp2	WW domain containing E3 ubiquitin protein ligase 2 [Source:ZFIN;Acc:ZDB-GENE-000607-82]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000061544	0		ano6	anoctamin 6 [Source:ZFIN;Acc:ZDB-GENE-081104-64]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000061560	0		stim1b	stromal interaction molecule 1b [Source:ZFIN;Acc:ZDB-GENE-060531-4]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062134	0		kcnab2b	potassium voltage-gated channel, shaker-related subfamily, beta member 2 b [Source:ZFIN;Acc:ZDB-GENE-080219-36]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062174	0		cacnb4b	calcium channel, voltage-dependent, beta 4b subunit [Source:ZFIN;Acc:ZDB-GENE-060421-7907]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062346	0		cacna1ea	calcium channel, voltage-dependent, R type, alpha 1E subunit a [Source:ZFIN;Acc:ZDB-GENE-081104-526]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062359	0		scn3b	sodium channel, voltage-gated, type III, beta [Source:ZFIN;Acc:ZDB-GENE-070920-2]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062447	0		hecw2a	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2a [Source:ZFIN;Acc:ZDB-GENE-090311-22]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062565	0		kcnh4a	potassium voltage-gated channel, subfamily H (eag-related), member 4a [Source:ZFIN;Acc:ZDB-GENE-131125-34]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000062687	0		kcnh7	potassium channel, voltage gated eag related subfamily H, member 7 [Source:ZFIN;Acc:ZDB-GENE-120214-39]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000063006	0		cacng7a	calcium channel, voltage-dependent, gamma subunit 7a [Source:ZFIN;Acc:ZDB-GENE-060503-814]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000063144	0		shisa7b	shisa family member 7 [Source:ZFIN;Acc:ZDB-GENE-060503-31]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000063253	0		hecw2b	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2b [Source:ZFIN;Acc:ZDB-GENE-101001-3]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000063293	0		neto2b	neuropilin (NRP) and tolloid (TLL)-like 2b [Source:ZFIN;Acc:ZDB-GENE-060503-638]
GO:0043269	regulation of ion transport	103	5	0.9	0.0020	ENSDARG00000069953	0		kcnq5b	potassium voltage-gated channel, KQT-like subfamily, member 5b [Source:ZFIN;Acc:ZDB-GENE-090312-178]
