GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000000103	0		myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000001014	0		myh9b	myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000001993	0		myhb	myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000003872	0		ccdc102a	coiled-coil domain containing 102A [Source:NCBI gene;Acc:325319]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000009133	0		myo1eb	myosin IEb [Source:ZFIN;Acc:ZDB-GENE-040426-1347]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000009782	0		myh11a	myosin, heavy chain 11a, smooth muscle [Source:ZFIN;Acc:ZDB-GENE-050531-1]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000010186	0		myo3a	myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000012944	0		myhz2	myosin, heavy polypeptide 2, fast muscle specific [Source:ZFIN;Acc:ZDB-GENE-020604-1]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000020924	0		myo1ca	myosin Ic, paralog a [Source:NCBI gene;Acc:567536]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000024694	0		myo1b	myosin IB [Source:ZFIN;Acc:ZDB-GENE-030131-695]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000025218	0		myo5ab	myosin VAb [Source:ZFIN;Acc:ZDB-GENE-050411-72]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000035322	0		myh7bb	myosin, heavy chain 7B, cardiac muscle, beta b [Source:ZFIN;Acc:ZDB-GENE-090311-5]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000035438	0		myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000036104	0		myo1g	myosin IG [Source:ZFIN;Acc:ZDB-GENE-060503-562]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000036179	0		myo1ea	myosin IEa [Source:ZFIN;Acc:ZDB-GENE-030131-5127]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000041414	0		bmf2	BCL2 modifying factor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-319]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000044016	0		myo6a	myosin VIa [Source:ZFIN;Acc:ZDB-GENE-040819-2]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000044632	0		myo7ab	myosin VIIAb [Source:ZFIN;Acc:ZDB-GENE-091110-4]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000055607	0		cgna	cingulin a [Source:ZFIN;Acc:ZDB-GENE-100921-78]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000058946	0		CU856539.2	myosin-IIIb [Source:NCBI gene;Acc:556989]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000061579	0		myo1cb	myosin Ic, paralog b [Source:ZFIN;Acc:ZDB-GENE-090429-3]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000061635	0		myo5aa	myosin VAa [Source:ZFIN;Acc:ZDB-GENE-041027-2]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000061810	0		mbd3b	methyl-CpG binding domain protein 3b [Source:ZFIN;Acc:ZDB-GENE-030131-9792]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000061968	0		myo1ha	myosin IHa [Source:ZFIN;Acc:ZDB-GENE-060531-78]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000062003	0		myo5b	myosin VB [Source:ZFIN;Acc:ZDB-GENE-031219-7]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000063295	0		myh9a	myosin, heavy chain 9a, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-5870]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000067995	0		myhz1.2	myosin, heavy polypeptide 1.2, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-070705-73]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000067997	0		myhz1.3	myosin, heavy polypeptide 1.3, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-070705-74]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000073732	0		myh14	myosin, heavy chain 14, non-muscle [Source:ZFIN;Acc:ZDB-GENE-100921-1]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000073843	0		myo9ab	myosin IXAb [Source:NCBI gene;Acc:562199]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000074143	0		myo10l3	myosin X, like 3 [Source:ZFIN;Acc:ZDB-GENE-070912-237]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000074723	0		myo10l1	myosin X, like 1 [Source:ZFIN;Acc:ZDB-GENE-080425-1]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000075292	0		myo15aa	myosin XVAa [Source:ZFIN;Acc:ZDB-GENE-080425-2]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000075752	0		myo18aa	myosin XVIIIAa [Source:ZFIN;Acc:ZDB-GENE-080425-5]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000076075	0		myh7ba	myosin, heavy chain 7B, cardiac muscle, beta a [Source:ZFIN;Acc:ZDB-GENE-100914-2]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000076357	0		CABZ01102039.1	
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000076729	0		myo9aa	myosin IXAa [Source:NCBI gene;Acc:100006612]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000077201	0		myo7bb	myosin VIIBb [Source:ZFIN;Acc:ZDB-GENE-070912-482]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000077410	0		myo9b	myosin IXb [Source:ZFIN;Acc:ZDB-GENE-030131-938]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000078313	0		MYO9B	si:zfos-588f8.1 [Source:ZFIN;Acc:ZDB-GENE-110411-111]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000078474	0		myo15ab	myosin XVAb [Source:ZFIN;Acc:ZDB-GENE-090312-149]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000078603	0		myo1hb	myosin IHb [Source:ZFIN;Acc:ZDB-GENE-070705-355]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000078734	0		myo1f	myosin IF [Source:ZFIN;Acc:ZDB-GENE-081104-506]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000079564	0		myh7	myosin heavy chain 7 [Source:ZFIN;Acc:ZDB-GENE-991123-5]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000079782	0		myh7l	myosin heavy chain 7-like [Source:ZFIN;Acc:ZDB-GENE-061027-393]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000095930	0		myha	myosin, heavy chain a [Source:ZFIN;Acc:ZDB-GENE-060531-50]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000099871	0		myo7aa	myosin VIIAa [Source:ZFIN;Acc:ZDB-GENE-020709-1]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000099959	0		smyhc1	slow myosin heavy chain 1 [Source:ZFIN;Acc:ZDB-GENE-030131-271]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000100972	0		myh11b	myosin, heavy chain 11b, smooth muscle [Source:ZFIN;Acc:ZDB-GENE-101124-2]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000102414	0		myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000103969	0		smyhc2	slow myosin heavy chain 2 [Source:ZFIN;Acc:ZDB-GENE-070822-12]
GO:0016459	myosin complex	56	3	0.37	0.0059	ENSDARG00000104235	0		myo5c	myosin VC [Source:ZFIN;Acc:ZDB-GENE-131127-196]
