ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	6,5,7,13,7,18	0,1,1,0,2,0	10,21,4,17,25,23	0,2,0,0,0,0	298	149
1	26,19,25,39,29,42	0,0,0,0,0,0	17,39,36,28,39,36	2,0,1,0,0,0	262	149
2	0,0,0,0,0,1	19,23,9,11,35,34	0,0,1,0,1,1	17,23,33,19,28,34	161	149
3	0,0,0,0,1,1	21,6,9,20,23,14	1,0,0,0,0,0	13,20,31,9,25,26	152	149
5	5,0,2,3,1,2	23,9,19,7,29,47	2,0,1,0,2,4	23,30,48,34,55,28	152	149
6	3,2,3,1,11,2	17,10,2,8,13,11	7,3,6,5,4,6	8,15,24,12,8,13	178	149
7	0,0,0,0,0,1	4,7,4,3,12,7	0,0,1,0,0,0	2,4,18,7,9,5	158	149
8	12,10,14,10,10,13	7,8,8,13,15,18	13,15,12,11,22,19	15,18,16,6,21,13	207	149
11	0,1,3,1,4,10	27,12,19,28,23,52	4,9,4,4,10,2	28,35,34,21,36,37	214	149
12	6,1,4,7,6,21	40,34,20,38,31,45	6,15,10,6,16,4	37,30,60,34,39,58	229	149
13	33,12,20,34,25,63	40,34,20,38,31,45	30,41,40,23,42,39	37,30,60,34,39,58	164	149
14	40,31,33,61,43,56	1,0,0,0,0,0	37,43,54,45,49,56	0,0,0,0,0,0	298	149
16	0,0,0,0,1,0	0,0,0,0,3,1	4,0,2,1,5,0	7,1,0,0,10,1	155	149
17	12,3,5,4,11,16	116,81,68,115,121,171	4,3,10,11,14,7	102,112,142,105,130,143	155	149
27	0,1,0,0,0,0	8,22,16,7,26,24	0,0,0,0,0,0	20,42,36,14,60,14	152	149
29	0,0,0,1,0,1	16,13,7,11,19,14	0,1,0,1,1,1	16,17,24,18,14,12	161	149
33	34,27,33,93,40,74	36,14,20,70,43,71	35,62,54,49,64,61	19,41,67,31,42,43	218	149
36	4,6,9,6,13,17	31,42,22,63,27,42	7,3,15,5,11,11	13,33,48,31,34,44	182	149
