ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	3,1,0,2,0,1	9,4,9,13,6,10	0,0,1,1,0,2	16,4,12,7,14,7	224	149
6	0,0,0,0,0,4	0,1,2,4,0,19	0,1,1,1,2,0	0,14,6,0,11,5	409	149
7	1,0,2,5,0,4	1,6,5,21,10,18	0,4,0,5,5,8	5,35,17,22,29,18	689	149
8	3,3,2,1,6,2	19,13,13,15,30,19	0,4,4,3,1,1	10,10,21,7,27,15	234	149
9	0,0,0,2,0,2	22,19,10,11,19,30	0,1,1,0,0,5	24,17,27,22,22,25	236	149
10	0,1,0,0,1,1	11,3,5,6,12,18	3,1,3,0,1,0	12,15,8,13,18,13	238	149
11	1,6,6,22,11,10	2,0,0,0,2,3	17,2,12,3,11,8	2,0,3,4,3,6	215	149
14	4,1,4,4,6,4	55,28,44,123,77,95	1,9,2,9,4,3	49,77,106,75,96,100	234	149
15	46,40,29,77,32,187	0,2,0,1,0,4	125,35,65,120,65,264	3,1,2,4,0,6	218	149
16	0,0,0,0,0,0	0,0,0,1,4,1	0,1,0,0,0,0	0,1,0,0,0,0	233	149
18	5,11,7,22,22,14	289,271,228,549,326,352	10,12,9,14,16,16	247,337,405,272,395,388	263	149
20	0,0,2,0,0,0	4,0,0,0,1,0	0,0,1,0,0,0	0,0,6,1,0,0	219	149
22	10,16,6,16,7,7	63,37,32,94,74,70	5,3,17,0,4,1	46,74,75,47,56,82	236	149
23	8,7,5,13,12,16	76,53,49,82,71,78	11,10,15,12,11,14	65,63,72,54,71,74	1700	149
24	8,2,1,3,5,3	29,23,12,31,13,30	3,0,1,2,1,0	23,20,32,19,36,26	367	149
25	0,0,0,2,0,0	5,5,6,10,15,11	0,0,2,5,0,0	12,9,27,3,18,9	417	149
26	0,0,0,0,0,0	1,0,1,7,6,7	1,0,4,2,0,0	3,3,20,2,12,3	413	149
28	1,0,0,0,1,2	12,3,10,9,8,8	0,1,1,1,2,0	10,6,11,14,7,8	224	149
29	6,1,5,2,7,12	11,5,10,10,13,31	6,3,2,5,6,5	13,24,34,14,14,21	224	149
31	1,2,0,2,0,1	4,3,4,4,4,5	0,0,1,0,1,0	6,2,1,0,0,0	254	149
32	0,1,0,2,2,0	0,0,0,2,1,2	2,0,0,0,1,2	0,0,3,1,2,2	313	149
33	7,3,4,8,3,4	119,144,79,172,133,207	5,6,8,7,5,8	145,164,246,134,196,211	309	149
34	0,0,0,0,0,0	6,6,4,9,5,7	0,0,1,0,3,0	6,2,15,5,4,3	258	149
36	0,2,0,0,2,1	3,22,0,17,8,9	0,4,0,0,2,0	0,20,0,0,7,0	234	149
37	0,0,0,0,0,0	3,3,1,2,2,2	0,0,0,1,0,1	1,0,5,4,2,4	230	149
38	0,1,0,0,0,0	1,1,0,4,0,0	0,0,0,0,2,0	0,1,0,4,0,0	1233	149
42	3,3,5,5,3,2	157,117,78,228,153,208	8,1,1,0,3,10	151,133,203,109,170,212	295	149
43	1,1,0,1,1,2	52,53,52,16,45,83	1,2,0,1,0,4	41,40,81,54,90,66	292	149
44	9,3,2,11,5,8	10,11,15,3,21,22	6,1,4,3,7,9	15,24,21,23,34,24	229	149
45	9,3,3,11,4,9	9,17,12,15,15,24	5,1,5,3,9,10	12,31,37,18,48,26	234	149
47	0,0,0,0,0,1	12,3,4,6,6,14	0,0,1,0,0,0	12,4,11,9,13,8	248	149
48	17,23,16,20,11,22	323,364,407,510,390,504	8,27,27,25,47,11	253,481,510,463,581,398	233	149
49	0,0,0,0,0,0	1,3,0,3,0,2	0,0,0,1,1,1	2,4,0,3,1,2	249	149
52	1,0,0,2,0,0	12,11,12,12,11,28	0,0,0,2,0,2	21,25,34,31,30,26	230	149
55	13,9,10,16,14,27	100,66,51,113,137,130	10,6,25,12,15,21	96,75,148,85,155,155	250	149
56	3,1,0,1,3,3	46,30,25,56,39,74	1,0,3,2,3,0	48,47,87,36,83,79	224	149
57	3,4,3,11,6,3	72,35,40,120,72,126	3,3,4,5,9,5	64,45,113,64,104,149	242	149
58	2,7,2,0,2,2	5,0,5,5,11,7	2,2,5,4,6,3	0,6,16,10,10,5	324	149
60	0,0,4,1,0,0	1,0,0,0,0,0	1,1,0,0,2,3	0,0,0,0,0,0	284	149
61	1,0,0,1,0,0	4,5,3,10,13,13	0,0,0,0,0,0	6,14,14,10,16,12	236	149
62	2,2,2,0,1,2	19,26,25,51,52,70	4,2,1,1,5,2	26,37,36,36,38,37	232	149
63	10,11,9,18,11,14	283,297,212,480,349,388	5,9,14,6,17,14	224,262,388,261,405,341	222	149
66	11,8,9,11,9,19	1,1,0,3,0,1	18,4,24,28,19,20	0,1,13,4,3,4	282	149
67	6,10,8,8,12,7	61,44,25,49,62,50	3,11,8,12,18,7	34,36,73,36,58,52	221	149
77	3,6,4,8,10,6	4,8,4,2,8,8	5,9,5,4,14,5	9,10,11,7,12,8	252	149
78	19,15,12,14,15,16	123,100,80,69,119,153	10,19,23,15,25,18	98,139,183,109,174,157	267	149
79	48,32,58,63,62,86	190,156,130,164,163,299	36,59,78,39,76,78	125,222,311,151,314,292	277	149
80	2,4,0,2,22,6	32,27,42,85,47,61	2,7,3,1,3,1	30,75,80,61,59,43	530	149
81	15,13,16,14,25,32	138,108,106,168,118,210	21,22,24,8,31,18	127,172,188,147,184,227	235	149
82	0,0,0,1,0,0	2,1,4,0,2,6	0,0,0,0,0,0	0,6,6,1,0,2	273	149
83	38,15,18,56,31,61	129,89,108,181,140,164	28,31,67,26,46,67	100,134,220,116,140,184	419	149
85	1,0,0,9,0,3	4,7,3,16,8,2	3,5,5,5,2,4	4,10,14,4,14,7	357	149
87	2,1,0,3,1,2	19,24,12,24,31,31	2,1,6,4,3,2	34,35,46,32,32,48	285	149
91	112,143,92,204,103,162	15,22,10,21,10,25	83,136,181,119,199,145	8,19,7,13,18,20	3546	149
92	2,1,1,0,3,2	61,66,51,77,43,113	4,1,3,3,5,3	50,49,113,70,82,75	232	149
94	3,2,5,4,3,3	75,53,36,144,104,90	2,1,12,6,1,2	59,79,75,72,74,73	339	149
95	1,0,0,0,2,1	17,18,6,15,35,19	2,0,2,3,3,2	16,17,32,27,24,21	224	149
97	0,0,0,0,0,0	1,4,6,1,3,5	0,0,0,0,1,0	2,3,0,2,1,2	257	149
98	0,0,0,0,0,0	16,4,7,16,11,11	0,2,0,0,0,0	12,8,14,18,17,21	244	149
99	1,0,0,0,0,2	20,23,10,16,23,27	0,1,3,2,1,0	18,17,38,29,26,18	236	149
100	0,2,0,1,0,5	31,45,38,65,55,46	0,1,2,0,3,4	22,39,86,29,72,44	230	149
104	0,5,2,1,1,3	33,62,47,112,54,72	1,2,4,3,0,1	34,68,89,45,60,69	238	149
105	1,1,0,0,2,1	30,25,20,49,35,46	3,2,12,3,2,4	17,43,49,17,58,34	266	149
106	7,10,5,6,7,7	194,186,127,175,209,261	5,12,4,5,6,8	149,200,215,209,306,249	236	149
109	1,2,0,4,0,0	26,22,17,41,28,33	1,1,0,0,1,1	24,49,43,36,34,32	248	149
111	4,1,2,1,4,2	15,22,15,13,25,25	0,0,6,0,1,2	12,22,47,19,35,35	251	149
113	3,9,11,6,13,6	27,31,29,40,25,31	0,5,8,6,4,11	32,29,69,19,51,41	547	149
114	1,9,1,10,1,8	53,46,27,85,42,88	2,4,9,2,4,6	53,55,86,42,95,75	256	149
117	0,1,1,4,2,0	7,4,6,9,8,6	1,0,2,6,2,2	4,6,8,0,0,20	514	149
118	1,1,1,0,4,5	1,0,3,2,2,18	0,2,4,4,4,3	6,0,5,2,4,2	410	149
120	199,168,104,216,161,287	1659,1575,1264,2325,1770,2382	125,226,248,180,277,261	1193,2074,2256,1704,2812,2400	710	149
122	143,149,162,370,192,199	5,4,3,7,7,1	90,189,329,147,284,168	4,1,10,2,5,8	675	149
124	7,3,2,1,1,3	9,19,11,14,16,27	1,1,3,3,7,4	10,16,30,14,21,22	339	149
127	1,0,0,2,2,0	0,0,0,0,0,0	2,1,3,3,2,0	0,0,0,0,0,2	569	149
128	17,15,12,34,14,21	0,0,0,0,0,1	29,27,18,16,31,47	1,0,0,1,0,0	271	149
129	1,4,6,5,4,4	18,15,10,28,22,10	4,2,2,0,2,7	16,10,27,22,7,32	742	149
130	91,94,77,59,80,125	0,0,0,1,3,8	73,105,152,114,204,128	4,2,5,0,2,1	433	149
131	2,0,3,1,3,2	26,24,21,48,24,43	6,1,2,5,1,4	31,30,37,24,42,24	242	149
133	0,1,0,1,0,2	9,23,13,18,6,23	4,2,3,0,3,3	14,23,15,15,27,18	233	149
135	2,0,1,1,0,5	28,18,16,32,30,29	1,4,5,1,1,1	20,27,42,13,33,37	360	149
137	5,3,1,5,7,7	102,50,42,85,107,135	3,3,4,3,9,4	78,95,106,76,103,143	233	149
138	21,16,8,19,14,20	0,0,0,0,0,1	9,27,18,10,43,23	3,0,0,0,1,0	209	149
139	196,178,119,251,171,247	0,0,0,1,0,0	177,172,247,189,267,273	0,0,0,0,0,0	266	149
141	1,1,0,4,3,0	34,36,21,65,48,51	3,1,0,1,1,4	25,55,53,53,49,48	233	149
142	0,0,1,2,0,0	1,1,0,5,1,2	0,0,0,0,0,0	2,3,0,2,3,3	224	149
144	52,65,27,29,1,25	0,3,2,0,0,1	35,0,0,23,33,25	0,0,0,0,0,2	440	149
145	25,29,22,57,49,41	233,238,150,394,218,302	27,47,60,22,60,33	176,238,308,250,346,280	236	149
147	12,19,19,39,23,35	65,38,32,85,68,89	17,30,23,22,23,28	50,70,85,69,99,98	270	149
148	12,12,13,37,19,27	90,75,58,164,84,163	27,20,30,26,25,25	100,122,173,127,177,142	237	149
149	4,4,3,4,6,0	24,15,12,18,25,32	0,0,0,1,2,2	17,35,19,24,18,20	517	149
150	4,2,1,4,6,6	3,0,0,1,0,0	9,2,9,5,7,7	0,2,3,3,1,1	226	149
151	0,1,0,1,0,0	56,54,31,71,96,72	0,3,2,1,2,4	59,96,87,76,99,92	269	149
156	0,0,0,2,0,0	1,0,0,2,2,2	0,0,1,0,1,0	4,0,0,0,0,1	1072	149
157	0,0,0,1,0,0	0,1,1,3,0,0	0,0,0,0,0,0	1,2,2,1,2,1	249	149
158	2,0,0,1,1,0	2,8,6,2,5,3	1,1,1,2,0,0	1,4,15,4,6,5	781	149
159	9,5,14,26,7,18	2,4,0,6,1,3	6,11,10,12,29,13	0,0,4,7,2,2	1872	149
160	9,13,9,8,10,13	152,114,102,47,87,165	4,5,4,20,20,18	56,64,47,154,149,145	248	149
162	13,9,6,20,16,19	314,319,284,655,358,567	7,9,19,11,10,16	368,341,603,332,411,479	239	149
163	0,0,0,1,0,0	22,15,23,8,11,30	1,3,2,1,3,1	14,17,10,19,17,35	602	149
164	0,2,1,3,4,2	6,6,7,5,10,22	0,4,10,5,7,3	2,6,13,7,5,6	262	149
