GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0070588	calcium ion transmembrane transport	36	4	0.67	0.0039	ENSDARG00000002167,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000011091,ENSDARG00000011422,ENSDARG00000013422,ENSDARG00000018105,ENSDARG00000018228,ENSDARG00000020574,ENSDARG00000021735,ENSDARG00000023445,ENSDARG00000023797,ENSDARG00000032565,ENSDARG00000036232,ENSDARG00000037905,ENSDARG00000038363,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000062346,ENSDARG00000063158,ENSDARG00000063358,ENSDARG00000063433,ENSDARG00000070626,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000078599,ENSDARG00000079295,ENSDARG00000088121,ENSDARG00000089913,ENSDARG00000095614,ENSDARG00000098856,ENSDARG00000099045,ENSDARG00000100592,ENSDARG00000101214,ENSDARG00000102773
GO:0042127	regulation of cell proliferation	22	3	0.41	0.0072	ENSDARG00000001807,ENSDARG00000002795,ENSDARG00000004672,ENSDARG00000004782,ENSDARG00000008861,ENSDARG00000011027,ENSDARG00000011190,ENSDARG00000012078,ENSDARG00000012982,ENSDARG00000019367,ENSDARG00000027249,ENSDARG00000034700,ENSDARG00000036232,ENSDARG00000039577,ENSDARG00000043182,ENSDARG00000058115,ENSDARG00000061459,ENSDARG00000075825,ENSDARG00000079504,ENSDARG00000087646,ENSDARG00000089871,ENSDARG00000098240
GO:0072503	cellular divalent inorganic cation homeo...	25	3	0.47	0.0103	ENSDARG00000005463,ENSDARG00000011091,ENSDARG00000011422,ENSDARG00000013422,ENSDARG00000018105,ENSDARG00000018228,ENSDARG00000020574,ENSDARG00000021352,ENSDARG00000022372,ENSDARG00000023445,ENSDARG00000023797,ENSDARG00000028845,ENSDARG00000032714,ENSDARG00000036232,ENSDARG00000038363,ENSDARG00000041062,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000063158,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000078599,ENSDARG00000098856,ENSDARG00000100592
GO:0022607	cellular component assembly	171	8	3.19	0.0112	ENSDARG00000000943,ENSDARG00000001710,ENSDARG00000002060,ENSDARG00000002167,ENSDARG00000002255,ENSDARG00000002549,ENSDARG00000002988,ENSDARG00000003779,ENSDARG00000003952,ENSDARG00000004672,ENSDARG00000005092,ENSDARG00000005162,ENSDARG00000005980,ENSDARG00000006300,ENSDARG00000006603,ENSDARG00000006672,ENSDARG00000007257,ENSDARG00000008487,ENSDARG00000008904,ENSDARG00000009280,ENSDARG00000009336,ENSDARG00000010194,ENSDARG00000010280,ENSDARG00000010918,ENSDARG00000011777,ENSDARG00000012603,ENSDARG00000012729,ENSDARG00000013110,ENSDARG00000013422,ENSDARG00000014137,ENSDARG00000014973,ENSDARG00000015538,ENSDARG00000015862,ENSDARG00000015931,ENSDARG00000016016,ENSDARG00000016260,ENSDARG00000016754,ENSDARG00000016783,ENSDARG00000017036,ENSDARG00000017439,ENSDARG00000018206,ENSDARG00000019096,ENSDARG00000019231,ENSDARG00000020497,ENSDARG00000021287,ENSDARG00000021483,ENSDARG00000021948,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000023495,ENSDARG00000025953,ENSDARG00000027234,ENSDARG00000028131,ENSDARG00000028148,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000029170,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000031756,ENSDARG00000032175,ENSDARG00000032630,ENSDARG00000033609,ENSDARG00000034240,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000035907,ENSDARG00000036232,ENSDARG00000037954,ENSDARG00000039577,ENSDARG00000039887,ENSDARG00000040237,ENSDARG00000040874,ENSDARG00000040917,ENSDARG00000040965,ENSDARG00000042252,ENSDARG00000044062,ENSDARG00000044356,ENSDARG00000044852,ENSDARG00000045064,ENSDARG00000045417,ENSDARG00000045618,ENSDARG00000045822,ENSDARG00000051768,ENSDARG00000051824,ENSDARG00000051861,ENSDARG00000052482,ENSDARG00000053652,ENSDARG00000053665,ENSDARG00000053956,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055855,ENSDARG00000055903,ENSDARG00000056138,ENSDARG00000056664,ENSDARG00000056794,ENSDARG00000057882,ENSDARG00000057984,ENSDARG00000058088,ENSDARG00000058451,ENSDARG00000058630,ENSDARG00000058953,ENSDARG00000059244,ENSDARG00000059287,ENSDARG00000059835,ENSDARG00000061688,ENSDARG00000061829,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000062415,ENSDARG00000062590,ENSDARG00000062799,ENSDARG00000062897,ENSDARG00000062972,ENSDARG00000068457,ENSDARG00000068868,ENSDARG00000070080,ENSDARG00000070555,ENSDARG00000073997,ENSDARG00000074443,ENSDARG00000074572,ENSDARG00000074581,ENSDARG00000075806,ENSDARG00000075960,ENSDARG00000076060,ENSDARG00000076566,ENSDARG00000077388,ENSDARG00000077650,ENSDARG00000077710,ENSDARG00000077870,ENSDARG00000078014,ENSDARG00000078233,ENSDARG00000079251,ENSDARG00000079586,ENSDARG00000079647,ENSDARG00000087538,ENSDARG00000088091,ENSDARG00000088168,ENSDARG00000088745,ENSDARG00000088984,ENSDARG00000090624,ENSDARG00000091834,ENSDARG00000094677,ENSDARG00000095817,ENSDARG00000096433,ENSDARG00000097897,ENSDARG00000098809,ENSDARG00000098816,ENSDARG00000098880,ENSDARG00000098955,ENSDARG00000099113,ENSDARG00000099554,ENSDARG00000100170,ENSDARG00000100452,ENSDARG00000100456,ENSDARG00000101161,ENSDARG00000101324,ENSDARG00000101457,ENSDARG00000101602,ENSDARG00000101858,ENSDARG00000102128,ENSDARG00000102490,ENSDARG00000102948,ENSDARG00000102975,ENSDARG00000103011,ENSDARG00000103467,ENSDARG00000103962,ENSDARG00000104314,ENSDARG00000104786,ENSDARG00000114874
GO:0072507	divalent inorganic cation homeostasis	26	3	0.48	0.0115	ENSDARG00000005463,ENSDARG00000011091,ENSDARG00000011422,ENSDARG00000013422,ENSDARG00000018105,ENSDARG00000018228,ENSDARG00000020574,ENSDARG00000021352,ENSDARG00000022372,ENSDARG00000023445,ENSDARG00000023797,ENSDARG00000028845,ENSDARG00000031598,ENSDARG00000032714,ENSDARG00000036232,ENSDARG00000038363,ENSDARG00000041062,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000063158,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000078599,ENSDARG00000098856,ENSDARG00000100592
GO:0006875	cellular metal ion homeostasis	28	3	0.52	0.0141	ENSDARG00000003699,ENSDARG00000005463,ENSDARG00000011091,ENSDARG00000011422,ENSDARG00000013422,ENSDARG00000015551,ENSDARG00000018105,ENSDARG00000018228,ENSDARG00000020574,ENSDARG00000021352,ENSDARG00000022372,ENSDARG00000023445,ENSDARG00000023797,ENSDARG00000028845,ENSDARG00000032714,ENSDARG00000036232,ENSDARG00000038363,ENSDARG00000041062,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000063158,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000078599,ENSDARG00000098856,ENSDARG00000099203,ENSDARG00000100592
GO:0044085	cellular component biogenesis	181	8	3.37	0.0155	ENSDARG00000000943,ENSDARG00000001710,ENSDARG00000002060,ENSDARG00000002167,ENSDARG00000002255,ENSDARG00000002549,ENSDARG00000002988,ENSDARG00000003779,ENSDARG00000003952,ENSDARG00000004672,ENSDARG00000005092,ENSDARG00000005162,ENSDARG00000005980,ENSDARG00000006300,ENSDARG00000006603,ENSDARG00000006672,ENSDARG00000007217,ENSDARG00000007257,ENSDARG00000008487,ENSDARG00000008904,ENSDARG00000009280,ENSDARG00000009336,ENSDARG00000010194,ENSDARG00000010280,ENSDARG00000010918,ENSDARG00000011777,ENSDARG00000012603,ENSDARG00000012729,ENSDARG00000012820,ENSDARG00000013110,ENSDARG00000013422,ENSDARG00000014137,ENSDARG00000014973,ENSDARG00000015538,ENSDARG00000015862,ENSDARG00000015931,ENSDARG00000016016,ENSDARG00000016260,ENSDARG00000016754,ENSDARG00000016783,ENSDARG00000017036,ENSDARG00000017439,ENSDARG00000018206,ENSDARG00000019096,ENSDARG00000019231,ENSDARG00000020497,ENSDARG00000021287,ENSDARG00000021483,ENSDARG00000021948,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000022232,ENSDARG00000023495,ENSDARG00000025953,ENSDARG00000027234,ENSDARG00000028131,ENSDARG00000028148,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000029170,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000031756,ENSDARG00000032175,ENSDARG00000032630,ENSDARG00000033609,ENSDARG00000034240,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000035907,ENSDARG00000036232,ENSDARG00000037954,ENSDARG00000039577,ENSDARG00000039887,ENSDARG00000040237,ENSDARG00000040727,ENSDARG00000040874,ENSDARG00000040917,ENSDARG00000040965,ENSDARG00000042252,ENSDARG00000044062,ENSDARG00000044356,ENSDARG00000044692,ENSDARG00000044852,ENSDARG00000045064,ENSDARG00000045417,ENSDARG00000045618,ENSDARG00000045822,ENSDARG00000051768,ENSDARG00000051783,ENSDARG00000051824,ENSDARG00000051861,ENSDARG00000052482,ENSDARG00000053652,ENSDARG00000053665,ENSDARG00000053956,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055855,ENSDARG00000055868,ENSDARG00000055903,ENSDARG00000056138,ENSDARG00000056664,ENSDARG00000056794,ENSDARG00000057882,ENSDARG00000057984,ENSDARG00000058088,ENSDARG00000058451,ENSDARG00000058630,ENSDARG00000058953,ENSDARG00000059244,ENSDARG00000059287,ENSDARG00000059835,ENSDARG00000061688,ENSDARG00000061829,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000062415,ENSDARG00000062590,ENSDARG00000062799,ENSDARG00000062897,ENSDARG00000062972,ENSDARG00000063229,ENSDARG00000068457,ENSDARG00000068868,ENSDARG00000070080,ENSDARG00000070555,ENSDARG00000073997,ENSDARG00000074443,ENSDARG00000074572,ENSDARG00000074581,ENSDARG00000075806,ENSDARG00000075960,ENSDARG00000076060,ENSDARG00000076566,ENSDARG00000077388,ENSDARG00000077650,ENSDARG00000077710,ENSDARG00000077870,ENSDARG00000078014,ENSDARG00000078233,ENSDARG00000079251,ENSDARG00000079586,ENSDARG00000079647,ENSDARG00000087538,ENSDARG00000088030,ENSDARG00000088091,ENSDARG00000088168,ENSDARG00000088745,ENSDARG00000088984,ENSDARG00000090624,ENSDARG00000091834,ENSDARG00000094677,ENSDARG00000095817,ENSDARG00000096433,ENSDARG00000097897,ENSDARG00000098809,ENSDARG00000098816,ENSDARG00000098880,ENSDARG00000098955,ENSDARG00000099113,ENSDARG00000099554,ENSDARG00000100170,ENSDARG00000100452,ENSDARG00000100456,ENSDARG00000101161,ENSDARG00000101324,ENSDARG00000101457,ENSDARG00000101602,ENSDARG00000101794,ENSDARG00000101858,ENSDARG00000102128,ENSDARG00000102490,ENSDARG00000102948,ENSDARG00000102975,ENSDARG00000103011,ENSDARG00000103467,ENSDARG00000103962,ENSDARG00000104314,ENSDARG00000104786,ENSDARG00000114874
GO:0060401	cytosolic calcium ion transport	11	2	0.2	0.0167	ENSDARG00000011422,ENSDARG00000013422,ENSDARG00000018105,ENSDARG00000018228,ENSDARG00000023797,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000074255,ENSDARG00000078599,ENSDARG00000098856,ENSDARG00000100592
GO:0048593	camera-type eye morphogenesis	11	2	0.2	0.0167	ENSDARG00000004672,ENSDARG00000012078,ENSDARG00000028148,ENSDARG00000032221,ENSDARG00000032389,ENSDARG00000051876,ENSDARG00000054578,ENSDARG00000075707,ENSDARG00000077388,ENSDARG00000079397,ENSDARG00000101794
GO:0008284	positive regulation of cell proliferatio...	12	2	0.22	0.0198	ENSDARG00000002795,ENSDARG00000004672,ENSDARG00000004782,ENSDARG00000011027,ENSDARG00000011190,ENSDARG00000012078,ENSDARG00000034700,ENSDARG00000039577,ENSDARG00000043182,ENSDARG00000058115,ENSDARG00000089871,ENSDARG00000098240
