GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005096	GTPase activator activity	149	8	2.23	0.0018	ENSDARG00000001968,ENSDARG00000002607,ENSDARG00000002656,ENSDARG00000003520,ENSDARG00000005451,ENSDARG00000005482,ENSDARG00000005861,ENSDARG00000007278,ENSDARG00000008548,ENSDARG00000008727,ENSDARG00000009610,ENSDARG00000009693,ENSDARG00000010181,ENSDARG00000010654,ENSDARG00000011333,ENSDARG00000011845,ENSDARG00000012184,ENSDARG00000013667,ENSDARG00000014003,ENSDARG00000014817,ENSDARG00000015627,ENSDARG00000017748,ENSDARG00000019360,ENSDARG00000019526,ENSDARG00000019564,ENSDARG00000020134,ENSDARG00000020488,ENSDARG00000021255,ENSDARG00000021896,ENSDARG00000024874,ENSDARG00000025920,ENSDARG00000026329,ENSDARG00000026482,ENSDARG00000029372,ENSDARG00000029463,ENSDARG00000030020,ENSDARG00000030269,ENSDARG00000031302,ENSDARG00000035420,ENSDARG00000035535,ENSDARG00000036212,ENSDARG00000036257,ENSDARG00000036774,ENSDARG00000036994,ENSDARG00000038151,ENSDARG00000039489,ENSDARG00000039729,ENSDARG00000041317,ENSDARG00000042329,ENSDARG00000042791,ENSDARG00000043475,ENSDARG00000044136,ENSDARG00000044874,ENSDARG00000045789,ENSDARG00000052766,ENSDARG00000052950,ENSDARG00000053272,ENSDARG00000055837,ENSDARG00000056059,ENSDARG00000056080,ENSDARG00000056122,ENSDARG00000056478,ENSDARG00000056554,ENSDARG00000056619,ENSDARG00000059587,ENSDARG00000059600,ENSDARG00000060010,ENSDARG00000060096,ENSDARG00000060631,ENSDARG00000060783,ENSDARG00000061213,ENSDARG00000061459,ENSDARG00000061551,ENSDARG00000061640,ENSDARG00000061699,ENSDARG00000061757,ENSDARG00000061798,ENSDARG00000061915,ENSDARG00000061986,ENSDARG00000062049,ENSDARG00000062056,ENSDARG00000062081,ENSDARG00000062123,ENSDARG00000062221,ENSDARG00000062263,ENSDARG00000063307,ENSDARG00000063371,ENSDARG00000063713,ENSDARG00000067601,ENSDARG00000069056,ENSDARG00000069334,ENSDARG00000069339,ENSDARG00000069484,ENSDARG00000070037,ENSDARG00000070100,ENSDARG00000070565,ENSDARG00000070839,ENSDARG00000073665,ENSDARG00000073741,ENSDARG00000073771,ENSDARG00000073843,ENSDARG00000074184,ENSDARG00000074222,ENSDARG00000074589,ENSDARG00000074742,ENSDARG00000075110,ENSDARG00000075156,ENSDARG00000075334,ENSDARG00000075376,ENSDARG00000075673,ENSDARG00000075990,ENSDARG00000076213,ENSDARG00000076697,ENSDARG00000076729,ENSDARG00000076801,ENSDARG00000076889,ENSDARG00000077410,ENSDARG00000077666,ENSDARG00000077864,ENSDARG00000078105,ENSDARG00000078313,ENSDARG00000078326,ENSDARG00000078775,ENSDARG00000079317,ENSDARG00000079542,ENSDARG00000083189,ENSDARG00000087492,ENSDARG00000087780,ENSDARG00000088899,ENSDARG00000091962,ENSDARG00000095180,ENSDARG00000096701,ENSDARG00000097583,ENSDARG00000098079,ENSDARG00000098650,ENSDARG00000098749,ENSDARG00000098954,ENSDARG00000098967,ENSDARG00000099874,ENSDARG00000100007,ENSDARG00000100518,ENSDARG00000101602,ENSDARG00000101616,ENSDARG00000101735,ENSDARG00000102070,ENSDARG00000102424,ENSDARG00000103125,ENSDARG00000104255,ENSDARG00000104549
GO:0005244	voltage-gated ion channel activity	116	6	1.74	0.0078	ENSDARG00000001803,ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000003269,ENSDARG00000003695,ENSDARG00000005364,ENSDARG00000005775,ENSDARG00000006923,ENSDARG00000007151,ENSDARG00000008140,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000010296,ENSDARG00000010625,ENSDARG00000012269,ENSDARG00000012390,ENSDARG00000013623,ENSDARG00000014804,ENSDARG00000015985,ENSDARG00000018032,ENSDARG00000019556,ENSDARG00000020450,ENSDARG00000020609,ENSDARG00000021735,ENSDARG00000022466,ENSDARG00000022560,ENSDARG00000023683,ENSDARG00000023886,ENSDARG00000024167,ENSDARG00000026084,ENSDARG00000026855,ENSDARG00000027192,ENSDARG00000027828,ENSDARG00000029457,ENSDARG00000029881,ENSDARG00000032565,ENSDARG00000032577,ENSDARG00000032799,ENSDARG00000034588,ENSDARG00000035808,ENSDARG00000036577,ENSDARG00000037905,ENSDARG00000039240,ENSDARG00000040338,ENSDARG00000040701,ENSDARG00000040741,ENSDARG00000042552,ENSDARG00000043443,ENSDARG00000045132,ENSDARG00000046079,ENSDARG00000051852,ENSDARG00000051892,ENSDARG00000055565,ENSDARG00000055855,ENSDARG00000056101,ENSDARG00000057468,ENSDARG00000058117,ENSDARG00000059305,ENSDARG00000059798,ENSDARG00000060085,ENSDARG00000060222,ENSDARG00000060259,ENSDARG00000060439,ENSDARG00000060496,ENSDARG00000061665,ENSDARG00000061990,ENSDARG00000062134,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062362,ENSDARG00000062427,ENSDARG00000062640,ENSDARG00000062672,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000063006,ENSDARG00000069117,ENSDARG00000069560,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070584,ENSDARG00000070624,ENSDARG00000070626,ENSDARG00000074419,ENSDARG00000074746,ENSDARG00000075307,ENSDARG00000076030,ENSDARG00000076401,ENSDARG00000077560,ENSDARG00000078149,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000079484,ENSDARG00000086819,ENSDARG00000087247,ENSDARG00000089490,ENSDARG00000089913,ENSDARG00000090724,ENSDARG00000091130,ENSDARG00000095614,ENSDARG00000096307,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000099038,ENSDARG00000099045,ENSDARG00000099708,ENSDARG00000100420,ENSDARG00000102376,ENSDARG00000102773,ENSDARG00000104480,ENSDARG00000104550,ENSDARG00000104868,ENSDARG00000110642,ENSDARG00000113064,ENSDARG00000115528,ENSDARG00000116680
GO:0008331	high voltage-gated calcium channel activ...	12	2	0.18	0.0133	ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000006923,ENSDARG00000023683,ENSDARG00000029457,ENSDARG00000042552,ENSDARG00000055565,ENSDARG00000062174,ENSDARG00000099045,ENSDARG00000102773,ENSDARG00000110642,ENSDARG00000115528
GO:0000030	mannosyltransferase activity	13	2	0.19	0.0156	ENSDARG00000012840,ENSDARG00000020447,ENSDARG00000024277,ENSDARG00000031202,ENSDARG00000035273,ENSDARG00000054963,ENSDARG00000055027,ENSDARG00000057011,ENSDARG00000062846,ENSDARG00000063149,ENSDARG00000067670,ENSDARG00000079013,ENSDARG00000105011
GO:0005245	voltage-gated calcium channel activity	40	3	0.6	0.0217	ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000014804,ENSDARG00000020450,ENSDARG00000021735,ENSDARG00000023683,ENSDARG00000023886,ENSDARG00000026855,ENSDARG00000029457,ENSDARG00000032565,ENSDARG00000036577,ENSDARG00000037905,ENSDARG00000039240,ENSDARG00000042552,ENSDARG00000046079,ENSDARG00000055565,ENSDARG00000060496,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062362,ENSDARG00000063006,ENSDARG00000070624,ENSDARG00000070626,ENSDARG00000076030,ENSDARG00000076401,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000089913,ENSDARG00000095614,ENSDARG00000096307,ENSDARG00000099045,ENSDARG00000099708,ENSDARG00000100420,ENSDARG00000102376,ENSDARG00000102773,ENSDARG00000110642,ENSDARG00000115528
GO:0003779	actin binding	285	9	4.27	0.0273	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001909,ENSDARG00000002255,ENSDARG00000003084,ENSDARG00000003313,ENSDARG00000003952,ENSDARG00000004372,ENSDARG00000004658,ENSDARG00000005162,ENSDARG00000005210,ENSDARG00000005704,ENSDARG00000006283,ENSDARG00000006712,ENSDARG00000006892,ENSDARG00000007219,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008790,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009341,ENSDARG00000009689,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010728,ENSDARG00000011023,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000012586,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000012944,ENSDARG00000013110,ENSDARG00000013335,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000015059,ENSDARG00000015552,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000017004,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017901,ENSDARG00000018162,ENSDARG00000018206,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000019062,ENSDARG00000019117,ENSDARG00000019128,ENSDARG00000019231,ENSDARG00000019304,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020204,ENSDARG00000020395,ENSDARG00000020890,ENSDARG00000020944,ENSDARG00000021193,ENSDARG00000021200,ENSDARG00000021987,ENSDARG00000022045,ENSDARG00000023188,ENSDARG00000023916,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025091,ENSDARG00000025218,ENSDARG00000026829,ENSDARG00000027172,ENSDARG00000027310,ENSDARG00000027600,ENSDARG00000028327,ENSDARG00000028393,ENSDARG00000028943,ENSDARG00000029856,ENSDARG00000030107,ENSDARG00000030490,ENSDARG00000032221,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000033683,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000035322,ENSDARG00000035398,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035650,ENSDARG00000035868,ENSDARG00000036179,ENSDARG00000037266,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000038445,ENSDARG00000038938,ENSDARG00000039272,ENSDARG00000039974,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000042141,ENSDARG00000044016,ENSDARG00000044405,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045298,ENSDARG00000051876,ENSDARG00000052247,ENSDARG00000053484,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054911,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055632,ENSDARG00000056090,ENSDARG00000056209,ENSDARG00000056250,ENSDARG00000056322,ENSDARG00000056780,ENSDARG00000057867,ENSDARG00000057882,ENSDARG00000057984,ENSDARG00000058108,ENSDARG00000058128,ENSDARG00000058243,ENSDARG00000058348,ENSDARG00000059601,ENSDARG00000059604,ENSDARG00000059701,ENSDARG00000059774,ENSDARG00000060010,ENSDARG00000060149,ENSDARG00000060326,ENSDARG00000060349,ENSDARG00000060368,ENSDARG00000060434,ENSDARG00000060805,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062481,ENSDARG00000062590,ENSDARG00000062948,ENSDARG00000062972,ENSDARG00000063068,ENSDARG00000063195,ENSDARG00000063295,ENSDARG00000063457,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000067701,ENSDARG00000067711,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068973,ENSDARG00000069113,ENSDARG00000069600,ENSDARG00000070076,ENSDARG00000070991,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071445,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000074143,ENSDARG00000074201,ENSDARG00000074275,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074723,ENSDARG00000075041,ENSDARG00000075292,ENSDARG00000075295,ENSDARG00000075433,ENSDARG00000075608,ENSDARG00000075706,ENSDARG00000075752,ENSDARG00000075867,ENSDARG00000075989,ENSDARG00000076060,ENSDARG00000076075,ENSDARG00000076229,ENSDARG00000076364,ENSDARG00000076371,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000077777,ENSDARG00000078313,ENSDARG00000078318,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000079440,ENSDARG00000079900,ENSDARG00000086391,ENSDARG00000087260,ENSDARG00000087402,ENSDARG00000088091,ENSDARG00000088168,ENSDARG00000088440,ENSDARG00000089310,ENSDARG00000089569,ENSDARG00000090369,ENSDARG00000090785,ENSDARG00000091006,ENSDARG00000091090,ENSDARG00000092281,ENSDARG00000092970,ENSDARG00000093374,ENSDARG00000094181,ENSDARG00000094732,ENSDARG00000094760,ENSDARG00000094792,ENSDARG00000097683,ENSDARG00000098374,ENSDARG00000098650,ENSDARG00000098695,ENSDARG00000098955,ENSDARG00000099283,ENSDARG00000099385,ENSDARG00000099510,ENSDARG00000099672,ENSDARG00000099720,ENSDARG00000099786,ENSDARG00000099871,ENSDARG00000099974,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000101441,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000102180,ENSDARG00000102272,ENSDARG00000102398,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102458,ENSDARG00000102829,ENSDARG00000102883,ENSDARG00000103917,ENSDARG00000103962,ENSDARG00000104118,ENSDARG00000104181,ENSDARG00000104315,ENSDARG00000104478,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104836,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110291,ENSDARG00000110698,ENSDARG00000110973,ENSDARG00000112015,ENSDARG00000114022,ENSDARG00000114870,ENSDARG00000115712
GO:0005262	calcium channel activity	77	4	1.15	0.0281	ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000003706,ENSDARG00000006760,ENSDARG00000006923,ENSDARG00000008398,ENSDARG00000008772,ENSDARG00000011259,ENSDARG00000011422,ENSDARG00000011909,ENSDARG00000013335,ENSDARG00000014496,ENSDARG00000014655,ENSDARG00000014804,ENSDARG00000020450,ENSDARG00000021735,ENSDARG00000023683,ENSDARG00000023797,ENSDARG00000023886,ENSDARG00000026855,ENSDARG00000027523,ENSDARG00000029457,ENSDARG00000030417,ENSDARG00000031278,ENSDARG00000031875,ENSDARG00000032565,ENSDARG00000036232,ENSDARG00000036577,ENSDARG00000037905,ENSDARG00000039065,ENSDARG00000039240,ENSDARG00000041431,ENSDARG00000042552,ENSDARG00000046079,ENSDARG00000055565,ENSDARG00000059305,ENSDARG00000059883,ENSDARG00000059993,ENSDARG00000060496,ENSDARG00000060837,ENSDARG00000061203,ENSDARG00000061741,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062362,ENSDARG00000063006,ENSDARG00000063158,ENSDARG00000063435,ENSDARG00000069099,ENSDARG00000070504,ENSDARG00000070507,ENSDARG00000070624,ENSDARG00000070626,ENSDARG00000071331,ENSDARG00000074149,ENSDARG00000076030,ENSDARG00000076401,ENSDARG00000078363,ENSDARG00000078760,ENSDARG00000079295,ENSDARG00000088121,ENSDARG00000089913,ENSDARG00000095614,ENSDARG00000096307,ENSDARG00000098291,ENSDARG00000098856,ENSDARG00000099045,ENSDARG00000099708,ENSDARG00000100420,ENSDARG00000101214,ENSDARG00000102376,ENSDARG00000102773,ENSDARG00000103476,ENSDARG00000105344,ENSDARG00000110642,ENSDARG00000112343,ENSDARG00000115528
GO:0030295	protein kinase activator activity	19	2	0.28	0.0322	ENSDARG00000002020,ENSDARG00000002077,ENSDARG00000009169,ENSDARG00000010155,ENSDARG00000012005,ENSDARG00000017525,ENSDARG00000018643,ENSDARG00000019113,ENSDARG00000021374,ENSDARG00000023214,ENSDARG00000033307,ENSDARG00000036510,ENSDARG00000036658,ENSDARG00000036685,ENSDARG00000046074,ENSDARG00000063677,ENSDARG00000071410,ENSDARG00000078654,ENSDARG00000104314
GO:0019209	kinase activator activity	19	2	0.28	0.0322	ENSDARG00000002020,ENSDARG00000002077,ENSDARG00000009169,ENSDARG00000010155,ENSDARG00000012005,ENSDARG00000017525,ENSDARG00000018643,ENSDARG00000019113,ENSDARG00000021374,ENSDARG00000023214,ENSDARG00000033307,ENSDARG00000036510,ENSDARG00000036658,ENSDARG00000036685,ENSDARG00000046074,ENSDARG00000063677,ENSDARG00000071410,ENSDARG00000078654,ENSDARG00000104314
GO:0008373	sialyltransferase activity	20	2	0.3	0.0354	ENSDARG00000007494,ENSDARG00000015252,ENSDARG00000015374,ENSDARG00000018788,ENSDARG00000021195,ENSDARG00000036584,ENSDARG00000036913,ENSDARG00000037556,ENSDARG00000039335,ENSDARG00000041006,ENSDARG00000043814,ENSDARG00000043816,ENSDARG00000044514,ENSDARG00000054211,ENSDARG00000058473,ENSDARG00000088515,ENSDARG00000098221,ENSDARG00000099289,ENSDARG00000112644,ENSDARG00000112898
