ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	41,33,32,49,40,60	0,0,0,1,1,1	25,32,73,39,55,48	0,0,1,1,2,1	152	149
1	12,11,10,7,12,23	10,7,6,6,5,24	15,10,24,23,8,22	11,15,27,12,20,12	167	149
2	22,8,11,2,8,14	6,2,0,5,2,3	13,17,8,16,15,26	9,2,1,1,2,3	152	149
3	8,7,8,11,7,21	80,62,37,111,97,111	12,4,5,14,12,18	70,88,138,75,83,128	152	149
6	10,3,7,2,5,3	8,10,4,10,13,12	5,2,4,3,15,6	13,5,16,17,22,16	152	149
7	6,13,5,3,5,4	0,0,0,0,0,1	8,3,13,3,11,12	0,0,1,0,0,1	179	149
8	351,266,232,446,394,330	4,3,0,1,0,4	297,302,453,247,383,448	3,1,0,1,4,7	153	149
9	4,3,1,3,3,3	0,0,0,0,0,2	2,4,5,1,5,8	0,0,0,0,0,0	161	149
10	33,21,16,41,41,38	19,25,16,20,23,42	22,39,67,41,57,47	12,16,31,23,38,34	152	149
11	40,40,38,49,38,77	3,0,3,3,0,1	44,59,70,47,90,88	0,2,0,2,2,1	177	149
15	11,5,9,2,4,8	10,4,14,12,12,13	8,4,14,7,13,10	5,7,38,8,14,17	152	149
16	197,153,111,288,239,237	1,3,5,6,3,3	201,192,228,178,262,249	3,6,0,5,3,3	152	149
17	9,5,6,8,11,8	0,0,0,0,0,0	6,5,7,6,10,18	0,0,0,2,0,0	152	149
18	13,9,17,43,31,28	8,5,1,10,1,5	16,41,37,18,37,35	5,3,9,6,6,8	185	149
19	20,15,13,17,35,19	10,3,5,3,5,4	23,32,26,31,46,28	5,6,9,12,9,10	176	149
20	0,0,2,1,1,0	0,0,0,0,0,0	2,0,1,1,1,0	0,1,1,1,2,0	152	149
21	0,0,0,0,1,1	1,2,0,0,1,1	0,0,2,1,1,1	0,0,1,0,2,0	152	149
22	792,666,539,1491,908,975	1,0,0,0,0,0	734,680,1286,790,888,1108	0,0,0,0,0,0	155	149
23	36,17,23,33,39,41	2,0,0,0,0,0	56,18,34,21,43,36	0,0,0,2,0,0	158	149
25	78,93,69,79,102,105	1,3,2,2,3,2	77,156,160,106,158,151	6,4,10,0,10,4	167	149
26	4,3,1,0,1,7	44,38,37,24,39,49	3,0,2,4,9,3	33,49,51,28,81,54	152	149
27	1,0,0,2,3,2	6,16,13,10,11,20	4,0,5,7,3,5	12,10,17,11,20,20	152	149
31	0,0,0,1,0,2	21,14,7,13,10,6	0,0,4,0,2,2	9,18,19,13,10,20	165	149
