ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	113,99,68,219,143,199	1,0,0,5,5,2	102,127,189,141,191,182	0,4,0,0,0,1	283	149
1	809,754,634,1386,930,1258	1,0,2,2,2,1	694,973,1047,937,1413,1287	2,0,2,2,0,6	227	149
2	472,482,419,710,527,625	0,0,0,0,0,0	361,552,606,556,881,746	0,0,0,2,0,1	298	149
3	185,123,119,229,182,301	0,0,0,0,0,0	193,181,229,199,286,273	0,0,0,0,1,0	257	149
4	31,37,23,36,52,61	0,0,0,0,0,0	37,45,35,43,59,75	0,0,0,0,1,0	213	149
5	305,252,228,472,405,477	0,0,0,1,0,0	272,367,492,336,447,476	0,0,0,0,1,0	246	149
6	157,188,149,280,209,256	0,0,0,0,0,3	179,190,281,193,283,321	0,0,4,0,0,2	298	149
7	8,4,0,6,1,7	0,0,0,0,2,0	11,4,4,6,5,2	0,0,0,0,0,0	204	149
8	5,1,0,0,1,2	1,0,0,0,0,0	2,2,1,1,0,0	0,0,0,0,0,0	226	149
9	0,0,0,2,3,1	0,0,1,0,0,0	1,0,1,0,0,4	0,0,0,0,0,0	246	149
10	19,13,22,28,25,29	0,0,0,0,0,0	28,26,29,17,41,31	0,1,0,0,0,0	263	149
11	24,22,19,28,25,41	8,5,15,5,16,14	13,27,25,29,47,30	22,9,14,13,21,22	263	149
12	18,9,7,13,15,16	0,1,0,2,2,2	8,13,10,17,23,17	0,0,1,0,0,0	263	149
13	24,21,32,42,33,56	0,1,0,2,2,2	34,28,46,26,62,56	0,0,1,0,0,0	263	149
14	23,29,29,52,28,68	0,0,0,0,0,0	20,34,49,26,67,48	1,0,0,0,0,0	263	149
15	15,2,17,19,17,22	0,0,0,0,0,3	13,6,36,24,36,20	0,5,5,0,0,0	195	149
17	0,0,0,0,1,0	0,0,0,0,0,1	0,0,2,0,0,0	0,0,0,0,1,0	298	149
