Comparison	Event	Sig	Type
random-1	A3SS	104	random
random-1	A5SS	79	random
random-1	MXE	52	random
random-1	RI	139	random
random-1	SE	233	random
random-2	A3SS	53	random
random-2	A5SS	50	random
random-2	MXE	23	random
random-2	RI	79	random
random-2	SE	144	random
random-3	A3SS	77	random
random-3	A5SS	41	random
random-3	MXE	44	random
random-3	RI	59	random
random-3	SE	180	random
random-4	A3SS	114	random
random-4	A5SS	57	random
random-4	MXE	48	random
random-4	RI	107	random
random-4	SE	182	random
random-5	A3SS	91	random
random-5	A5SS	56	random
random-5	MXE	52	random
random-5	RI	76	random
random-5	SE	237	random
random-6	A3SS	116	random
random-6	A5SS	61	random
random-6	MXE	77	random
random-6	RI	149	random
random-6	SE	271	random
random-7	A3SS	86	random
random-7	A5SS	46	random
random-7	MXE	50	random
random-7	RI	97	random
random-7	SE	207	random
random-8	A3SS	87	random
random-8	A5SS	34	random
random-8	MXE	51	random
random-8	RI	98	random
random-8	SE	182	random
random-9	A3SS	85	random
random-9	A5SS	51	random
random-9	MXE	37	random
random-9	RI	124	random
random-9	SE	207	random
random-10	A3SS	51	random
random-10	A5SS	39	random
random-10	MXE	36	random
random-10	RI	66	random
random-10	SE	176	random
srpk3_hom_ttnb_het_vs_srpk3_hom_ttnb_wt	A3SS	71	expt
srpk3_hom_ttnb_het_vs_srpk3_hom_ttnb_wt	A5SS	51	expt
srpk3_hom_ttnb_het_vs_srpk3_hom_ttnb_wt	MXE	16	expt
srpk3_hom_ttnb_het_vs_srpk3_hom_ttnb_wt	RI	55	expt
srpk3_hom_ttnb_het_vs_srpk3_hom_ttnb_wt	SE	166	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_het	A3SS	109	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_het	A5SS	79	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_het	MXE	63	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_het	RI	89	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_het	SE	222	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_wt	A3SS	132	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_wt	A5SS	60	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_wt	MXE	82	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_wt	RI	108	expt
srpk3_hom_ttnb_het_vs_srpk3_wt_ttnb_wt	SE	245	expt
srpk3_hom_ttnb_wt_vs_srpk3_wt_ttnb_wt	A3SS	83	expt
srpk3_hom_ttnb_wt_vs_srpk3_wt_ttnb_wt	A5SS	56	expt
srpk3_hom_ttnb_wt_vs_srpk3_wt_ttnb_wt	MXE	68	expt
srpk3_hom_ttnb_wt_vs_srpk3_wt_ttnb_wt	RI	76	expt
srpk3_hom_ttnb_wt_vs_srpk3_wt_ttnb_wt	SE	233	expt
srpk3_wt_ttnb_het_vs_srpk3_wt_ttnb_wt	A3SS	124	expt
srpk3_wt_ttnb_het_vs_srpk3_wt_ttnb_wt	A5SS	65	expt
srpk3_wt_ttnb_het_vs_srpk3_wt_ttnb_wt	MXE	59	expt
srpk3_wt_ttnb_het_vs_srpk3_wt_ttnb_wt	RI	130	expt
srpk3_wt_ttnb_het_vs_srpk3_wt_ttnb_wt	SE	217	expt
