A3	srpk3_wt_ttnb_het_9
A5	srpk3_hom_ttnb_het_2
A8	srpk3_wt_ttnb_het_7
A11	srpk3_hom_ttnb_wt_5
A12	srpk3_wt_ttnb_het_1
B1	srpk3_wt_ttnb_wt_3
B3	srpk3_wt_ttnb_wt_7
B4	srpk3_hom_ttnb_het_9
B5	srpk3_hom_ttnb_wt_1
B8	srpk3_wt_ttnb_het_3
B9	srpk3_hom_ttnb_het_1
B11	srpk3_hom_ttnb_wt_8
B12	srpk3_wt_ttnb_wt_2
C4	srpk3_hom_ttnb_wt_4
C5	srpk3_hom_ttnb_wt_7
C6	srpk3_wt_ttnb_wt_4
C7	srpk3_hom_ttnb_wt_6
C8	srpk3_hom_ttnb_het_10
C10	srpk3_hom_ttnb_het_7
D2	srpk3_hom_ttnb_het_8
D4	srpk3_wt_ttnb_het_2
D5	srpk3_wt_ttnb_wt_5
D7	srpk3_wt_ttnb_het_8
D11	srpk3_wt_ttnb_wt_6
