Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000004861	4.01724020715e-09	8.11676178978e-05	17	29797876	29902187	-1	protein_coding	esrrga	estrogen-related receptor gamma a [Source:ZFIN;Acc:ZDB-GENE-030821-2]
ENSDARG00000006899	7.07713121439e-09	8.11676178978e-05	25	16079913	16129678	1	protein_coding	far1	fatty acyl CoA reductase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2908]
ENSDARG00000006899	3.44229406091e-08	0.000173997970571	25	16079913	16129678	1	protein_coding	far1	fatty acyl CoA reductase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2908]
ENSDARG00000012625	3.480474986e-08	0.000173997970571	24	28252520	28381437	-1	protein_coding	prkag2a	protein kinase, AMP-activated, gamma 2 non-catalytic subunit a [Source:ZFIN;Acc:ZDB-GENE-060929-160]
ENSDARG00000010400	3.79278861651e-08	0.000173997970571	13	42621205	42674001	-1	protein_coding	lrrfip2	leucine rich repeat (in FLII) interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7781]
ENSDARG00000097537	6.83637724208e-08	0.000261354701965	24	42127983	42141008	1	protein_coding	wwp1	WW domain containing E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-131120-84]
ENSDARG00000006691	8.3098166237e-08	0.000272300819592	5	32882688	32887020	1	protein_coding	rpl12	ribosomal protein L12 [Source:ZFIN;Acc:ZDB-GENE-030131-5297]
ENSDARG00000037677	1.18764747592e-07	0.000340528222533	14	5506983	5546497	-1	protein_coding	fgf24	fibroblast growth factor 24 [Source:ZFIN;Acc:ZDB-GENE-030708-1]
ENSDARG00000103505	1.68410807078e-07	0.000429223010306	9	16867458	16877567	-1	protein_coding	fbxl3a	F-box and leucine-rich repeat protein 3a [Source:ZFIN;Acc:ZDB-GENE-030912-5]
ENSDARG00000044521	7.37629212266e-07	0.0016919738871	6	13189563	13206255	-1	protein_coding	eef1b2	eukaryotic translation elongation factor 1 beta 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7310]
ENSDARG00000045776	1.5092375969e-06	0.00290536969185	23	4699144	4705253	-1	protein_coding	cnbpa	CCHC-type zinc finger, nucleic acid binding protein a [Source:ZFIN;Acc:ZDB-GENE-030131-5045]
ENSDARG00000111246	1.51994229236e-06	0.00290536969185	8	24799688	24803111	-1	protein_coding	BX324132.3	
ENSDARG00000076122	1.84698664751e-06	0.00325893690158	9	34978867	34986827	-1	protein_coding	si:ch211-160b11.4	si:ch211-160b11.4 [Source:ZFIN;Acc:ZDB-GENE-081104-142]
ENSDARG00000043680	2.19775783128e-06	0.00354057713754	20	9172301	9199721	-1	protein_coding	ylpm1	YLP motif containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2196]
ENSDARG00000101903	2.31531332562e-06	0.00354057713754	2	19280829	19354622	-1	protein_coding	zfyve9a	zinc finger, FYVE domain containing 9a [Source:ZFIN;Acc:ZDB-GENE-070705-182]
ENSDARG00000078691	4.08134466123e-06	0.00561298120651	10	22510280	22533793	1	protein_coding	gigyf1b	GRB10 interacting GYF protein 1b [Source:ZFIN;Acc:ZDB-GENE-091204-310]
ENSDARG00000021200	4.15993898817e-06	0.00561298120651	2	21076585	21082695	-1	protein_coding	nebl	nebulette [Source:ZFIN;Acc:ZDB-GENE-050320-151]
ENSDARG00000101722	4.71083142506e-06	0.00577601301503	21	45856443	45871866	-1	protein_coding	larp1	La ribonucleoprotein 1, translational regulator [Source:ZFIN;Acc:ZDB-GENE-030131-5386]
ENSDARG00000029952	4.9011287222e-06	0.00577601301503	8	25247245	25293690	1	protein_coding	ampd2b	adenosine monophosphate deaminase 2b [Source:ZFIN;Acc:ZDB-GENE-070713-5]
ENSDARG00000062423	5.03619584535e-06	0.00577601301503	9	24208533	24212884	1	protein_coding	zgc:153901	zgc:153901 [Source:ZFIN;Acc:ZDB-GENE-060929-820]
ENSDARG00000036888	7.04612040281e-06	0.00747079620199	25	27714932	27735763	-1	protein_coding	zgc:153935	zgc:153935 [Source:ZFIN;Acc:ZDB-GENE-061103-148]
ENSDARG00000018997	7.16529411648e-06	0.00747079620199	1	12262980	12278581	-1	protein_coding	cplx2l	complexin 2, like [Source:ZFIN;Acc:ZDB-GENE-040718-160]
ENSDARG00000077339	8.94445074551e-06	0.00892033961741	10	28306749	28309317	1	protein_coding	ptrh2	peptidyl-tRNA hydrolase 2 [Source:ZFIN;Acc:ZDB-GENE-050522-163]
ENSDARG00000036086	1.11038981871e-05	0.0106125506923	7	33176517	33248773	-1	protein_coding	itga11a	integrin, alpha 11a [Source:ZFIN;Acc:ZDB-GENE-050324-1]
ENSDARG00000060849	1.20035173182e-05	0.0110134672098	23	42836125	42883522	-1	protein_coding	dlgap4a	discs, large (Drosophila) homolog-associated protein 4a [Source:ZFIN;Acc:ZDB-GENE-080219-51]
ENSDARG00000079824	1.33602756217e-05	0.0117794825405	4	8168514	8208654	1	protein_coding	ninj2	ninjurin 2 [Source:ZFIN;Acc:ZDB-GENE-100422-19]
ENSDARG00000039392	1.38654646697e-05	0.0117794825405	4	8045564	8155571	-1	protein_coding	wnk1b	WNK lysine deficient protein kinase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2656]
ENSDARG00000100944	1.59413531823e-05	0.0129127229122	22	24214665	24219083	1	protein_coding	glrx2	glutaredoxin 2 [Source:ZFIN;Acc:ZDB-GENE-040718-101]
ENSDARG00000007990	1.63252665644e-05	0.0129127229122	18	45594085	45617146	-1	protein_coding	wt1b	WT1 transcription factor b [Source:ZFIN;Acc:ZDB-GENE-050420-319]
ENSDARG00000100944	1.81279835932e-05	0.0138606562554	22	24214665	24219083	1	protein_coding	glrx2	glutaredoxin 2 [Source:ZFIN;Acc:ZDB-GENE-040718-101]
ENSDARG00000103759	1.98323315044e-05	0.014674645808	8	41186027	41228534	-1	protein_coding	fahd2a	fumarylacetoacetate hydrolase domain containing 2A [Source:ZFIN;Acc:ZDB-GENE-040426-2499]
ENSDARG00000086416	2.1920908689e-05	0.0157131813596	10	22912251	22916096	1	protein_coding	med11	mediator complex subunit 11 [Source:NCBI gene;Acc:100148504]
ENSDARG00000092693	2.46653375968e-05	0.017120735044	1	34707932	34713868	-1	protein_coding	tpt1	tumor protein, translationally-controlled 1 [Source:NCBI gene;Acc:30723]
ENSDARG00000059244	2.53773211046e-05	0.017120735044	15	32249062	32267153	1	protein_coding	arfip2a	ADP-ribosylation factor interacting protein 2a [Source:ZFIN;Acc:ZDB-GENE-041010-221]
ENSDARG00000051756	2.70558361086e-05	0.0177316219617	25	37428187	37435076	-1	protein_coding	pdhx	pyruvate dehydrogenase complex, component X [Source:ZFIN;Acc:ZDB-GENE-040426-1539]
ENSDARG00000022659	2.84791091439e-05	0.018106084988	9	38588081	38621202	1	protein_coding	snx4	sorting nexin 4 [Source:ZFIN;Acc:ZDB-GENE-030131-1923]
ENSDARG00000005397	2.92059091707e-05	0.018106084988	10	26129830	26179805	-1	protein_coding	trim3b	tripartite motif containing 3b [Source:ZFIN;Acc:ZDB-GENE-070112-1132]
ENSDARG00000103988	3.12582864609e-05	0.0187052140595	5	65946222	65954173	1	protein_coding	mymk	myomaker, myoblast fusion factor [Source:NCBI gene;Acc:415178]
ENSDARG00000069733	3.18032674305e-05	0.0187052140595	13	15182149	15213869	1	protein_coding	mavs	mitochondrial antiviral signaling protein [Source:ZFIN;Acc:ZDB-GENE-070112-1402]
ENSDARG00000091607	3.67552411149e-05	0.0210772930173	15	35004547	35031523	-1	protein_coding	arhgef28b	Rho guanine nucleotide exchange factor (GEF) 28b [Source:ZFIN;Acc:ZDB-GENE-131121-157]
ENSDARG00000045019	4.34178525796e-05	0.0242907000603	6	59913147	59922078	1	protein_coding	aamp	angio-associated, migratory cell protein [Source:ZFIN;Acc:ZDB-GENE-040426-2370]
ENSDARG00000026842	5.24569098004e-05	0.0286489665953	7	24069421	24097070	1	protein_coding	acin1b	apoptotic chromatin condensation inducer 1b [Source:ZFIN;Acc:ZDB-GENE-030826-12]
ENSDARG00000071325	5.67954179733e-05	0.0302970534296	22	18786797	18824801	1	protein_coding	cbarpb	CACN subunit beta associated regulatory protein b [Source:ZFIN;Acc:ZDB-GENE-050208-507]
ENSDARG00000045518	6.63306548585e-05	0.034565306639	4	25251855	25271455	-1	protein_coding	tmem110l	transmembrane protein 110, like [Source:ZFIN;Acc:ZDB-GENE-040426-912]
ENSDARG00000060569	6.88455741955e-05	0.034565306639	17	37624704	37649828	1	protein_coding	tmem229b	transmembrane protein 229B [Source:NCBI gene;Acc:767735]
ENSDARG00000016477	6.93174690642e-05	0.034565306639	2	7715810	7727248	1	protein_coding	eif4a2	eukaryotic translation initiation factor 4A, isoform 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2802]
ENSDARG00000101139	7.34861061484e-05	0.0358643468688	21	7188943	7223168	1	protein_coding	agpat2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta) [Source:ZFIN;Acc:ZDB-GENE-061103-541]
ENSDARG00000045019	8.08026099295e-05	0.0378282745951	6	59913147	59922078	1	protein_coding	aamp	angio-associated, migratory cell protein [Source:ZFIN;Acc:ZDB-GENE-040426-2370]
ENSDARG00000020764	8.08085035819e-05	0.0378282745951	23	19590006	19604413	1	protein_coding	slmapb	sarcolemma associated protein b [Source:ZFIN;Acc:ZDB-GENE-040426-809]
ENSDARG00000060954	9.56987187956e-05	0.0439027442347	11	18205766	18244561	1	protein_coding	tmcc1b	transmembrane and coiled-coil domain family 1b [Source:ZFIN;Acc:ZDB-GENE-061013-154]
ENSDARG00000099256	0.000101755894205	0.0457662098289	19	43037657	43090728	1	protein_coding	pum1	pumilio RNA-binding family member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2074]
