ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353	1	25,27,39,25,34,30	13,19,13,13,17,21	14,21,35,14,43,36	8,18,18,5,23,13	263	263	0.894612454434	1.0	0.658,0.587,0.75,0.658,0.667,0.588	0.636,0.538,0.66,0.737,0.652,0.735	-0.008
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353	2	37,44,55,30,44,39	17,10,19,18,15,22	35,29,48,26,63,57	9,13,10,17,24,17	263	263	0.47406132225	1.0	0.685,0.815,0.743,0.625,0.746,0.639	0.795,0.69,0.828,0.605,0.724,0.77	-0.026
3	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16601	11206	11402	16717	16760	3	2,0,0,0,0,0	13,29,9,8,13,14	0,0,0,0,0,0	8,21,38,21,30,13	195	282	1	1.0	0.182,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.03
4	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496	4	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,2,0,3,0	323	323	1	1.0	NA,1.0,NA,0.0,0.0,0.0	NA,NA,0.0,NA,0.0,NA	0.25
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071	5	23,47,44,34,51,57	26,44,29,19,46,40	51,56,64,44,77,68	28,49,48,39,53,45	293	278	0.572396972691	1.0	0.456,0.503,0.59,0.629,0.513,0.575	0.633,0.52,0.559,0.517,0.58,0.589	-0.022
6	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870	6	25,74,58,41,65,63	11,24,25,16,41,18	45,53,62,74,89,64	25,26,36,31,42,35	400	293	0.182309230723	1.0	0.625,0.693,0.63,0.652,0.537,0.719	0.569,0.599,0.558,0.636,0.608,0.573	0.052
7	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400	7	19,22,18,9,21,29	11,21,9,10,14,12	10,11,17,12,24,21	9,17,25,20,24,18	292	250	0.0110941118167	0.386686071292	0.597,0.473,0.631,0.435,0.562,0.674	0.488,0.356,0.368,0.339,0.461,0.5	0.143
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	8	10,12,7,7,12,6	11,37,22,27,8,24	11,13,13,15,7,15	19,22,30,29,29,30	246	234	0.848404102709	1.0	0.464,0.236,0.232,0.198,0.588,0.192	0.355,0.36,0.292,0.33,0.187,0.322	0.011
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	10	0,0,0,0,1,3	0,0,0,0,1,0	0,1,0,0,2,2	4,4,0,0,2,0	323	323	1	1.0	NA,NA,NA,NA,0.5,1.0	0.0,0.2,NA,NA,0.5,1.0	0.325
11	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167994	168048	167538	167595	168131	168418	11	3,7,4,1,5,5	6,14,2,7,5,11	5,6,4,5,7,4	9,2,7,6,5,6	203	238	0.248764759603	1.0	0.37,0.37,0.701,0.143,0.54,0.348	0.394,0.779,0.401,0.494,0.621,0.439	-0.109
12	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	12	57,72,39,81,58,64	36,59,52,46,59,61	61,71,99,68,93,87	33,52,68,40,72,70	267	249	0.171325158392	1.0	0.596,0.532,0.412,0.622,0.478,0.495	0.633,0.56,0.576,0.613,0.546,0.537	-0.055
13	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	13	21,46,14,27,32,35	46,62,56,48,57,46	30,28,42,61,64,56	41,42,60,47,76,61	225	267	0.0101663837002	0.377816876528	0.351,0.468,0.229,0.4,0.4,0.474	0.465,0.442,0.454,0.606,0.5,0.521	-0.111
14	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33258653	33258844	33256011	33256563	33259472	33259779	14	17,8,7,3,11,11	24,36,24,17,44,43	4,3,23,1,12,15	15,19,48,27,54,40	216	340	0.567397345067	1.0	0.527,0.259,0.315,0.217,0.282,0.287	0.296,0.199,0.43,0.055,0.259,0.371	0.046
15	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	15	118,155,113,92,105,108	6,15,10,11,23,8	98,108,156,111,157,156	10,9,28,4,12,24	242	242	0.787760821804	1.0	0.952,0.912,0.919,0.893,0.82,0.931	0.907,0.923,0.848,0.965,0.929,0.867	-0.002
