GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000011400	0	-0.0728099976670222	tnnc1a	troponin C type 1a (slow) [Source:ZFIN;Acc:ZDB-GENE-030523-1]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000015543	0	-0.22217284069784368	s100a1	S100 calcium binding protein A1 [Source:ZFIN;Acc:ZDB-GENE-040916-1]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000025254	0	-0.16393176319933353	s100a10b	S100 calcium binding protein A10b [Source:ZFIN;Acc:ZDB-GENE-040426-1937]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000037425	0	-0.058768086522485524	s100a10a	S100 calcium binding protein A10a [Source:ZFIN;Acc:ZDB-GENE-041010-35]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000037539	0	-0.03723800874245813	tnnc1b	troponin C type 1b (slow) [Source:ZFIN;Acc:ZDB-GENE-040625-62]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000055589	0	-0.07032194596172446	s100t	S100 calcium binding protein T [Source:ZFIN;Acc:ZDB-GENE-050320-61]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000070702	0	-0.07568616460755818	s100v2	S100 calcium binding protein V2 [Source:ZFIN;Acc:ZDB-GENE-030131-8909]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000070835	0	-0.020341281119015266	tnnc2	troponin C type 2 (fast) [Source:ZFIN;Acc:ZDB-GENE-000322-2]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000089441	0	-0.3804309356678	si:ch211-105c13.3	si:ch211-105c13.3 [Source:ZFIN;Acc:ZDB-GENE-030131-4483]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000101181	0	-0.34829519953233157	s100w	S100 calcium binding protein W [Source:ZFIN;Acc:ZDB-GENE-080407-2]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000009978	1	-0.4677603999582365	icn	ictacalcin [Source:ZFIN;Acc:ZDB-GENE-030131-8599]
GO:0048306	calcium-dependent protein binding	12	2	0.1	0.0039	ENSDARG00000055514	1	-0.47767618828407954	icn2	ictacalcin 2 [Source:ZFIN;Acc:ZDB-GENE-070822-9]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000002613	0	-0.07459023823701817	rpa3	replication protein A3 [Source:ZFIN;Acc:ZDB-GENE-040426-977]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000018022	0	-0.10236450721664929	msh2	mutS homolog 2 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-040426-2932]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000021550	0	-0.07927253872437644	rad23b	RAD23 homolog B, nucleotide excision repair protein [Source:ZFIN;Acc:ZDB-GENE-040426-1487]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000021985	0	-0.08377921888111846	ercc2	excision repair cross-complementation group 2 [Source:ZFIN;Acc:ZDB-GENE-040426-997]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000031680	0	-0.02968445602077035	ercc1	excision repair cross-complementation group 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2606]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000032263	0	-0.2406793429287981	zgc:110224	zgc:110224 [Source:ZFIN;Acc:ZDB-GENE-050417-120]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000038114	0	-0.036075427047340076	xpa	xeroderma pigmentosum, complementation group A [Source:ZFIN;Acc:ZDB-GENE-040426-1205]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000060002	0	-0.16981105663136206	ogg1	8-oxoguanine DNA glycosylase [Source:ZFIN;Acc:ZDB-GENE-070112-932]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000070231	0	-0.01959678060930193	polh	polymerase (DNA directed), eta [Source:ZFIN;Acc:ZDB-GENE-060421-4949]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000071551	0	-0.055497023633442444	xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:ZFIN;Acc:ZDB-GENE-030131-6420]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000091821	0	-0.04041718480873804	smc6	structural maintenance of chromosomes 6 [Source:ZFIN;Acc:ZDB-GENE-110303-1]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000099298	0	-0.06962554877274459	xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5 [Source:ZFIN;Acc:ZDB-GENE-041008-108]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000104541	0	-0.19579918307123745	msh6	mutS homolog 6 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-020905-3]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000039754	1	-0.6013027026667155	xpc	xeroderma pigmentosum, complementation group C [Source:ZFIN;Acc:ZDB-GENE-030131-8461]
GO:0003684	damaged DNA binding	15	2	0.12	0.0061	ENSDARG00000041140	1	-0.5439140090489937	ddb2	damage-specific DNA binding protein 2 [Source:NCBI gene;Acc:100004133]
GO:0004364	glutathione transferase activity	17	2	0.14	0.0078	ENSDARG00000022183	0	-0.4707707307524612	gsto1	glutathione S-transferase omega 1 [Source:ZFIN;Acc:ZDB-GENE-040718-365]
GO:0004364	glutathione transferase activity	17	2	0.14	0.0078	ENSDARG00000032618	0	-0.18143814866573843	mgst1.1	microsomal glutathione S-transferase 1.1 [Source:ZFIN;Acc:ZDB-GENE-041010-30]
GO:0004364	glutathione transferase activity	17	2	0.14	0.0078	ENSDARG00000033285	0	-0.234031971774618	gsto2	glutathione S-transferase omega 2 [Source:ZFIN;Acc:ZDB-GENE-041114-67]
GO:0004364	glutathione transferase activity	17	2	0.14	0.0078	ENSDARG00000033364	0	-0.10293693891937625	mgst3b	microsomal glutathione S-transferase 3b [Source:ZFIN;Acc:ZDB-GENE-061215-48]
GO:0004364	glutathione transferase activity	17	2	0.14	0.0078	ENSDARG00000039832	0	-0.14600706835029406	gsta.2	glutathione S-transferase, alpha tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070822-30]
GO:0004364	glutathione transferase activity	17	2	0.14	0.0078	ENSDARG00000042428	0	-0.0939946819460261	gstt1a	glutathione S-transferase theta 1a [Source:ZFIN;Acc:ZDB-GENE-031001-13]
