ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2618	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	2808	2878	3129	3199	2552	2728	4349	4450
2619	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	31484	31526	17590	18648	31620	31641
2620	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	31484	31526	17590	18648	31620	31641
2621	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29150	29178	31484	31526	28932	29058	31620	31641
2622	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	12718	12826	5108	5348	13226	13340
2623	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	12718	12826	5108	5348	13226	13340
2624	"ENSDARG00000104276"	NA	chrKN150326.1	-	96088	96203	102054	102197	91206	91364	104319	104400
2625	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	27388	27562	28320	28494	18026	20081	42185	42359
2626	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	287490	287940	288572	288746	286134	286305	292064	292238
2627	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471427	37471496	37471649	37471911	37470378	37470822	37473277	37473474
2628	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462199	37460725	37461492	37462533	37462609
2629	"ENSDARG00000061421"	NA	chr25	-	24926889	24926973	24948936	24949033	24904819	24904914	25058100	25058508
2630	"ENSDARG00000062632"	"duox"	chr25	+	31976402	31976463	31977201	31977262	31975623	31975790	31981355	31981452
2631	"ENSDARG00000101185"	"CABZ01095001.1"	chr25	+	37480882	37481094	37481615	37481833	37480284	37480393	37481959	37482041
2632	"ENSDARG00000103002"	"nptna"	chr25	-	29322682	29322903	29323107	29323117	29315923	29319882	29329914	29330191
2633	"ENSDARG00000103002"	"nptna"	chr25	-	29322682	29322903	29323107	29323129	29315923	29319882	29329914	29330191
2634	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29322903	29323107	29323117	29315923	29319882	29329914	29330191
2635	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29322903	29323107	29323129	29315923	29319882	29329914	29330191
2636	"ENSDARG00000103002"	"nptna"	chr25	-	29324400	29324417	29324422	29324470	29323107	29323129	29329914	29330191
2637	"ENSDARG00000103666"	"dapk2b"	chr25	+	26505953	26506005	26531924	26532002	26497940	26498162	26576622	26576752
2638	"ENSDARG00000103666"	"dapk2b"	chr25	+	26505953	26506005	26547036	26547175	26497940	26498162	26576622	26576752
