GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000017882,ENSDARG00000028048,ENSDARG00000037191,ENSDARG00000044982,ENSDARG00000054914,ENSDARG00000070140,ENSDARG00000091633,ENSDARG00000096594,ENSDARG00000098746,ENSDARG00000099217,ENSDARG00000101145,ENSDARG00000103503
GO:0070509	calcium ion import	29	4	0.34	0.00033	ENSDARG00000006923,ENSDARG00000009939,ENSDARG00000013422,ENSDARG00000013623,ENSDARG00000014496,ENSDARG00000016964,ENSDARG00000021735,ENSDARG00000023683,ENSDARG00000024560,ENSDARG00000025032,ENSDARG00000031278,ENSDARG00000037905,ENSDARG00000042552,ENSDARG00000043406,ENSDARG00000044001,ENSDARG00000055154,ENSDARG00000059883,ENSDARG00000060496,ENSDARG00000062346,ENSDARG00000070522,ENSDARG00000074255,ENSDARG00000077850,ENSDARG00000078599,ENSDARG00000079295,ENSDARG00000089913,ENSDARG00000100592,ENSDARG00000102773,ENSDARG00000110642,ENSDARG00000115528
GO:0006639	acylglycerol metabolic process	24	3	0.28	0.00259	ENSDARG00000003635,ENSDARG00000005332,ENSDARG00000014439,ENSDARG00000015563,ENSDARG00000018716,ENSDARG00000020239,ENSDARG00000020956,ENSDARG00000027724,ENSDARG00000042780,ENSDARG00000053456,ENSDARG00000053575,ENSDARG00000054914,ENSDARG00000060626,ENSDARG00000061214,ENSDARG00000062696,ENSDARG00000069834,ENSDARG00000074169,ENSDARG00000074183,ENSDARG00000075016,ENSDARG00000092071,ENSDARG00000101145,ENSDARG00000103380,ENSDARG00000103503,ENSDARG00000113111
GO:0007268	chemical synaptic transmission	183	7	2.13	0.00536	ENSDARG00000000503,ENSDARG00000001154,ENSDARG00000001414,ENSDARG00000001880,ENSDARG00000001881,ENSDARG00000001994,ENSDARG00000002167,ENSDARG00000002230,ENSDARG00000002300,ENSDARG00000003420,ENSDARG00000004445,ENSDARG00000004455,ENSDARG00000005092,ENSDARG00000006602,ENSDARG00000006923,ENSDARG00000007195,ENSDARG00000007257,ENSDARG00000009738,ENSDARG00000009941,ENSDARG00000010477,ENSDARG00000011066,ENSDARG00000011091,ENSDARG00000011640,ENSDARG00000012553,ENSDARG00000012823,ENSDARG00000012874,ENSDARG00000013312,ENSDARG00000013414,ENSDARG00000014439,ENSDARG00000016480,ENSDARG00000017391,ENSDARG00000017490,ENSDARG00000017790,ENSDARG00000018228,ENSDARG00000018534,ENSDARG00000018817,ENSDARG00000018997,ENSDARG00000020405,ENSDARG00000020450,ENSDARG00000021735,ENSDARG00000023771,ENSDARG00000025206,ENSDARG00000026753,ENSDARG00000026796,ENSDARG00000027153,ENSDARG00000027828,ENSDARG00000029290,ENSDARG00000030614,ENSDARG00000030832,ENSDARG00000031720,ENSDARG00000032131,ENSDARG00000032565,ENSDARG00000034307,ENSDARG00000034423,ENSDARG00000035820,ENSDARG00000036232,ENSDARG00000037905,ENSDARG00000038363,ENSDARG00000038508,ENSDARG00000039240,ENSDARG00000040156,ENSDARG00000040627,ENSDARG00000040965,ENSDARG00000041062,ENSDARG00000041133,ENSDARG00000041431,ENSDARG00000043661,ENSDARG00000043835,ENSDARG00000043902,ENSDARG00000045945,ENSDARG00000052769,ENSDARG00000052782,ENSDARG00000052982,ENSDARG00000053665,ENSDARG00000055206,ENSDARG00000055559,ENSDARG00000055565,ENSDARG00000056347,ENSDARG00000056926,ENSDARG00000057029,ENSDARG00000058736,ENSDARG00000059340,ENSDARG00000059763,ENSDARG00000059897,ENSDARG00000059945,ENSDARG00000059997,ENSDARG00000060025,ENSDARG00000060368,ENSDARG00000060637,ENSDARG00000060639,ENSDARG00000060711,ENSDARG00000060849,ENSDARG00000060871,ENSDARG00000061454,ENSDARG00000061829,ENSDARG00000061940,ENSDARG00000062058,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062376,ENSDARG00000062382,ENSDARG00000063006,ENSDARG00000063144,ENSDARG00000063158,ENSDARG00000063314,ENSDARG00000067676,ENSDARG00000068217,ENSDARG00000068989,ENSDARG00000069101,ENSDARG00000069139,ENSDARG00000069339,ENSDARG00000069660,ENSDARG00000069981,ENSDARG00000070567,ENSDARG00000070624,ENSDARG00000070626,ENSDARG00000070730,ENSDARG00000070972,ENSDARG00000071091,ENSDARG00000071596,ENSDARG00000071709,ENSDARG00000073756,ENSDARG00000073883,ENSDARG00000074583,ENSDARG00000074680,ENSDARG00000075058,ENSDARG00000075565,ENSDARG00000075815,ENSDARG00000076401,ENSDARG00000076404,ENSDARG00000076508,ENSDARG00000077053,ENSDARG00000077329,ENSDARG00000077560,ENSDARG00000077654,ENSDARG00000077710,ENSDARG00000077761,ENSDARG00000078060,ENSDARG00000078149,ENSDARG00000078151,ENSDARG00000078187,ENSDARG00000079251,ENSDARG00000079295,ENSDARG00000079586,ENSDARG00000079603,ENSDARG00000086207,ENSDARG00000086790,ENSDARG00000087346,ENSDARG00000088293,ENSDARG00000089212,ENSDARG00000089486,ENSDARG00000090106,ENSDARG00000091459,ENSDARG00000098081,ENSDARG00000098320,ENSDARG00000098826,ENSDARG00000099045,ENSDARG00000099096,ENSDARG00000099113,ENSDARG00000099196,ENSDARG00000099793,ENSDARG00000100032,ENSDARG00000101054,ENSDARG00000101234,ENSDARG00000101449,ENSDARG00000101776,ENSDARG00000101995,ENSDARG00000102690,ENSDARG00000103848,ENSDARG00000104101,ENSDARG00000104786,ENSDARG00000104945,ENSDARG00000110183,ENSDARG00000111812,ENSDARG00000111920,ENSDARG00000111980,ENSDARG00000112435,ENSDARG00000113411,ENSDARG00000113702,ENSDARG00000113737,ENSDARG00000113771,ENSDARG00000115540,ENSDARG00000115552
GO:0097581	lamellipodium organization	11	2	0.13	0.00688	ENSDARG00000009387,ENSDARG00000009727,ENSDARG00000013110,ENSDARG00000019117,ENSDARG00000039969,ENSDARG00000040466,ENSDARG00000045064,ENSDARG00000055223,ENSDARG00000088168,ENSDARG00000100252,ENSDARG00000110291
GO:0034765	regulation of ion transmembrane transpor...	107	5	1.24	0.00805	ENSDARG00000001803,ENSDARG00000001881,ENSDARG00000002167,ENSDARG00000005775,ENSDARG00000006923,ENSDARG00000008140,ENSDARG00000008275,ENSDARG00000008772,ENSDARG00000009738,ENSDARG00000010625,ENSDARG00000011091,ENSDARG00000011876,ENSDARG00000013694,ENSDARG00000014804,ENSDARG00000014953,ENSDARG00000018032,ENSDARG00000018105,ENSDARG00000020450,ENSDARG00000020544,ENSDARG00000020621,ENSDARG00000020764,ENSDARG00000021611,ENSDARG00000021735,ENSDARG00000021739,ENSDARG00000023683,ENSDARG00000023886,ENSDARG00000024167,ENSDARG00000024744,ENSDARG00000025914,ENSDARG00000026084,ENSDARG00000027957,ENSDARG00000032131,ENSDARG00000032565,ENSDARG00000032799,ENSDARG00000033451,ENSDARG00000035056,ENSDARG00000037905,ENSDARG00000038363,ENSDARG00000039240,ENSDARG00000039392,ENSDARG00000040701,ENSDARG00000040741,ENSDARG00000041223,ENSDARG00000042552,ENSDARG00000043443,ENSDARG00000051852,ENSDARG00000054458,ENSDARG00000055565,ENSDARG00000055855,ENSDARG00000056101,ENSDARG00000056633,ENSDARG00000056926,ENSDARG00000057468,ENSDARG00000059798,ENSDARG00000060222,ENSDARG00000060259,ENSDARG00000060723,ENSDARG00000061345,ENSDARG00000061560,ENSDARG00000062134,ENSDARG00000062174,ENSDARG00000062346,ENSDARG00000062359,ENSDARG00000062447,ENSDARG00000062640,ENSDARG00000062672,ENSDARG00000062687,ENSDARG00000062744,ENSDARG00000063006,ENSDARG00000063144,ENSDARG00000069662,ENSDARG00000069953,ENSDARG00000069954,ENSDARG00000070584,ENSDARG00000070624,ENSDARG00000070626,ENSDARG00000074004,ENSDARG00000074746,ENSDARG00000075931,ENSDARG00000076401,ENSDARG00000076826,ENSDARG00000077983,ENSDARG00000078760,ENSDARG00000078992,ENSDARG00000079295,ENSDARG00000086819,ENSDARG00000087247,ENSDARG00000089838,ENSDARG00000089913,ENSDARG00000090724,ENSDARG00000091232,ENSDARG00000091293,ENSDARG00000094561,ENSDARG00000097057,ENSDARG00000098076,ENSDARG00000098816,ENSDARG00000099014,ENSDARG00000099045,ENSDARG00000099108,ENSDARG00000100958,ENSDARG00000100971,ENSDARG00000102773,ENSDARG00000104767,ENSDARG00000110642,ENSDARG00000113525,ENSDARG00000115528,ENSDARG00000115540
GO:0008202	steroid metabolic process	40	3	0.47	0.01106	ENSDARG00000004130,ENSDARG00000006257,ENSDARG00000014013,ENSDARG00000016213,ENSDARG00000017781,ENSDARG00000021991,ENSDARG00000023820,ENSDARG00000028048,ENSDARG00000030616,ENSDARG00000033802,ENSDARG00000036237,ENSDARG00000036636,ENSDARG00000036966,ENSDARG00000042014,ENSDARG00000042677,ENSDARG00000043587,ENSDARG00000052734,ENSDARG00000059824,ENSDARG00000062297,ENSDARG00000063319,ENSDARG00000069926,ENSDARG00000070798,ENSDARG00000076058,ENSDARG00000079532,ENSDARG00000079946,ENSDARG00000088013,ENSDARG00000088140,ENSDARG00000089177,ENSDARG00000089369,ENSDARG00000095968,ENSDARG00000099217,ENSDARG00000099336,ENSDARG00000100731,ENSDARG00000101062,ENSDARG00000101145,ENSDARG00000101324,ENSDARG00000103226,ENSDARG00000105060,ENSDARG00000105206,ENSDARG00000113367
GO:0071383	cellular response to steroid hormone sti...	14	2	0.16	0.01113	ENSDARG00000002006,ENSDARG00000004861,ENSDARG00000011696,ENSDARG00000020956,ENSDARG00000025032,ENSDARG00000026726,ENSDARG00000029766,ENSDARG00000034181,ENSDARG00000057737,ENSDARG00000071565,ENSDARG00000078954,ENSDARG00000098481,ENSDARG00000100095,ENSDARG00000101655
GO:0006641	triglyceride metabolic process	16	2	0.19	0.01446	ENSDARG00000003635,ENSDARG00000005332,ENSDARG00000015563,ENSDARG00000020239,ENSDARG00000020956,ENSDARG00000042780,ENSDARG00000053456,ENSDARG00000053575,ENSDARG00000054914,ENSDARG00000061214,ENSDARG00000069834,ENSDARG00000074169,ENSDARG00000075016,ENSDARG00000101145,ENSDARG00000103380,ENSDARG00000103503
GO:0120031	plasma membrane bounded cell projection ...	124	5	1.44	0.01461	ENSDARG00000000943,ENSDARG00000002344,ENSDARG00000002587,ENSDARG00000003313,ENSDARG00000003695,ENSDARG00000004621,ENSDARG00000005092,ENSDARG00000005670,ENSDARG00000005704,ENSDARG00000006196,ENSDARG00000007257,ENSDARG00000007444,ENSDARG00000009336,ENSDARG00000009387,ENSDARG00000009727,ENSDARG00000010721,ENSDARG00000011222,ENSDARG00000011257,ENSDARG00000012747,ENSDARG00000013110,ENSDARG00000013858,ENSDARG00000015506,ENSDARG00000016016,ENSDARG00000016260,ENSDARG00000018820,ENSDARG00000019117,ENSDARG00000020840,ENSDARG00000021124,ENSDARG00000021483,ENSDARG00000021895,ENSDARG00000022350,ENSDARG00000022968,ENSDARG00000023495,ENSDARG00000025091,ENSDARG00000027234,ENSDARG00000027590,ENSDARG00000028148,ENSDARG00000028943,ENSDARG00000031228,ENSDARG00000032005,ENSDARG00000033227,ENSDARG00000034941,ENSDARG00000035578,ENSDARG00000035629,ENSDARG00000035957,ENSDARG00000037406,ENSDARG00000038228,ENSDARG00000038879,ENSDARG00000039217,ENSDARG00000039969,ENSDARG00000042182,ENSDARG00000044056,ENSDARG00000045064,ENSDARG00000052575,ENSDARG00000052673,ENSDARG00000052783,ENSDARG00000053666,ENSDARG00000054302,ENSDARG00000055223,ENSDARG00000055678,ENSDARG00000056050,ENSDARG00000056794,ENSDARG00000057074,ENSDARG00000057984,ENSDARG00000058108,ENSDARG00000058280,ENSDARG00000058638,ENSDARG00000058953,ENSDARG00000059287,ENSDARG00000059600,ENSDARG00000059774,ENSDARG00000060361,ENSDARG00000061095,ENSDARG00000061899,ENSDARG00000062198,ENSDARG00000062390,ENSDARG00000062978,ENSDARG00000069269,ENSDARG00000074137,ENSDARG00000074265,ENSDARG00000075714,ENSDARG00000076055,ENSDARG00000076752,ENSDARG00000076965,ENSDARG00000077639,ENSDARG00000078014,ENSDARG00000078106,ENSDARG00000078447,ENSDARG00000079217,ENSDARG00000079795,ENSDARG00000087260,ENSDARG00000087299,ENSDARG00000087373,ENSDARG00000087538,ENSDARG00000088168,ENSDARG00000088984,ENSDARG00000089936,ENSDARG00000090971,ENSDARG00000093431,ENSDARG00000098257,ENSDARG00000098753,ENSDARG00000099161,ENSDARG00000099279,ENSDARG00000099481,ENSDARG00000100170,ENSDARG00000100252,ENSDARG00000100584,ENSDARG00000100973,ENSDARG00000101032,ENSDARG00000101120,ENSDARG00000101161,ENSDARG00000101209,ENSDARG00000101457,ENSDARG00000101814,ENSDARG00000102128,ENSDARG00000102261,ENSDARG00000102798,ENSDARG00000102889,ENSDARG00000102948,ENSDARG00000103594,ENSDARG00000103926,ENSDARG00000104837,ENSDARG00000111106,ENSDARG00000116680
