ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2422	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16616	11206	11402	16717	16784
2423	"ENSDARG00000105154"	"creg1"	chrKN150699.1	+	17488	17550	17693	17901	15386	16064	19021	19509
2424	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	2808	2878	3129	3199	2552	2728	4349	4450
2425	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29058	31484	31526	17590	18648	31620	31641
2426	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29086	31484	31526	17590	18648	31620	31641
2427	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29058	31484	31526	17590	18648	31620	31641
2428	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	29023	29086	31484	31526	17590	18648	31620	31641
2429	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5738	5846	12718	12826	5108	5348	13226	13340
2430	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	5741	5846	12718	12826	5108	5348	13226	13340
2431	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	34418	34476	37733	37792	17942	18116	38371	38545
2432	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	287490	287940	288572	288746	286134	286305	292064	292238
2433	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462199	37460725	37461492	37462533	37462609
2434	"ENSDARG00000062632"	"duox"	chr25	+	31976402	31976463	31977201	31977262	31975623	31975790	31981355	31981452
2435	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26547036	26547175	26497940	26498162	26576622	26576752
2436	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26554065	26554096	26497940	26498162	26576622	26576752
2437	"ENSDARG00000103666"	"dapk2b"	chr25	+	26531924	26532002	26554065	26554126	26497940	26498162	26576622	26576752
2438	"ENSDARG00000103666"	"dapk2b"	chr25	+	26547036	26547175	26554065	26554096	26497940	26498162	26576622	26576752
2439	"ENSDARG00000103666"	"dapk2b"	chr25	+	26547036	26547175	26554065	26554126	26497940	26498162	26576622	26576752
2440	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203430	202322	202507	203904	204019
2441	"ENSDARG00000001259"	"gas2a"	chr25	+	35328921	35329077	35329603	35329639	35326106	35326248	35329929	35329993
2442	"ENSDARG00000105296"	NA	chr25	-	5714340	5714379	5716478	5716538	5713687	5713802	5718943	5719062
2443	"ENSDARG00000009941"	"erc1a"	chr25	+	21246117	21246159	21246558	21246615	21240171	21240273	21252995	21253162
2444	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19279756	19279798	19307628	19307699	19275187	19275313	19308675	19308797
2445	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340209	19340276	19318808	19318905	19341375	19341486
2446	"ENSDARG00000025189"	"cpne8"	chr25	+	35840800	35841046	35843550	35843597	35840628	35840682	35845204	35845386
2447	"ENSDARG00000025189"	"cpne8"	chr25	+	35840811	35841046	35843550	35843597	35840628	35840682	35845204	35845386
2448	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16992378	16992542	16982322	16982482	17044734	17044779
2449	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16985062	16985278	16992378	16992723	16982322	16982482	17044734	17044779
2450	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608591	27608684	27605186	27605951	27609809	27610005
2451	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608591	27608838	27605186	27605951	27609809	27610005
2452	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608597	27608684	27605186	27605951	27609809	27610005
2453	"ENSDARG00000038166"	"hyal6"	chr25	-	27606963	27607118	27608597	27608838	27605186	27605951	27609809	27610005
2454	"ENSDARG00000038166"	"hyal6"	chr25	-	27608591	27608838	27609809	27610005	27605186	27605951	27621096	27621271
2455	"ENSDARG00000038166"	"hyal6"	chr25	-	27608597	27608838	27609809	27610005	27605186	27605951	27621096	27621271
2456	"ENSDARG00000061282"	"glg1a"	chr25	-	37221383	37221385	37222025	37222132	37219995	37220058	37223286	37223407
