Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_1 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000055120	0.2674979852927118	0.9998557456288198	-0.8419217014849814	17	32622931	32631514	1	protein_coding	ctsba	cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]	461	247	1544	490	471	366	307	435	1342	1381	1300	403.96157701041125	352.25678381917123	1100.1865665917348	378.2664855556858	434.205195215184	479.19370803634206	352.7859425576617	403.88389588906995	1387.6555321969497	1313.2707010222111	1411.00160831521	1.5446712490581205
ENSDARG00000058225	0.7976314114629662	0.9998557456288198	0.5690885480191361	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	8	2	3	4	1	2	307	442	2	1	316	7.01017921059282	2.8522816503576616	2.1376681993362725	3.087889678005598	0.9218793953613249	2.6185448526576067	352.7859425576617	410.3831769723423	2.068041031590089	0.9509563367286105	342.9819294058511	1.3867799817440674
ENSDARG00000036767	0.7219484310214386	0.9998557456288198	0.26234986190237025	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	650	380	745	850	764	383	51	229	586	518	485	569.5770608606666	541.9335135679557	530.854269501841	656.1765565761896	704.3158580560522	501.4513392839317	58.60613377993729	212.61933829562534	605.9360222558961	492.5953824254202	526.4121384868283	1.05448587387461
ENSDARG00000043093	0.2953111386010745	0.9998557456288198	0.7725052928148844	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	944	483	516	1265	978	600	65	165	555	703	899	827.2011468499527	688.8260185613753	367.6789302858389	976.5451106692705	901.5980486633757	785.563455797282	74.69409207246909	153.19733981999204	573.8813862662497	668.5223047202131	975.7618814425953	0.9835832294112797
ENSDARG00000097973	0.8368973402457929	0.9998557456288198	-0.4541592620950724	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	448	288	618	252	374	411	208	194	0	0	179	392.5700357931979	410.7285576515033	440.3596490632721	194.5370497143527	344.7828938651355	538.1109672211383	239.0210946319011	180.12293287926337	0	0	194.2840676064789	0.8384498338258952
ENSDARG00000088885	0.8533574069521339	0.9998557456288198	-0.22233745633646665	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	698	434	720	398	582	774	247	319	33	29	333	611.6381361242235	618.9451181276125	513.0403678407054	307.245022961557	536.533808100291	1013.3768579784938	283.83754987538254	296.1815236519846	34.12267702123647	27.577733765129704	361.43348889920384	0.8367320676074425
ENSDARG00000062788	0.673476709765351	0.9998557456288198	0.3141480083524833	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	1027	780	659	1512	956	1065	109	437	970	922	1059	899.9317561598532	1112.3898436394882	469.57444778753455	1167.222298286116	881.3167019654265	1394.3751340401757	125.25624670614047	405.7408333414335	1002.9999003211931	876.7817424637789	1149.4236178506212	0.7995941096294245
ENSDARG00000079227	0.8055055202053166	0.9998557456288198	0.19774320690578365	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	599	459	351	625	594	397	38	129	350	312	648	524.8871683931374	654.5986387570833	250.10717932234388	482.4827621883747	547.5963608446269	519.781153252535	43.66731536544347	119.77246567744832	361.90718052826554	296.69837705932645	703.3300324525047	0.7963760910822235
ENSDARG00000117485	0.058452868386866	0.9998557456288198	1.2710831359429764	1	40693323	40705186	1	lincRNA	FO681323.1	NA	224	72	110	316	232	441	195	200	92	121	160	196.28501789659896	102.68213941287583	78.38116730899665	243.94328456244224	213.87601972382737	577.3891400110023	224.08227621740727	185.693745236354	95.1298874531441	115.06571674416186	173.66173640802586	0.7726576638896009
ENSDARG00000096655	0.9573911178526704	0.9998557456288198	-0.053899888701180274	20	14657141	14661432	1	antisense	BX901920.1	NA	887	721	130	737	295	332	131	413	141	463	93	777.2536199744789	1028.247534953937	92.63228863790515	568.9436731725315	271.95442163159083	434.6784455411627	150.53732402297618	383.457583913071	145.79689272710127	440.29278390534665	100.94088428716503	0.7422648585457718
ENSDARG00000104919	0.829915089100577	0.9998557456288198	0.1882614998557151	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	567	495	384	906	517	747	42	268	617	542	586	496.84645155076606	705.9397084635212	273.6215295150429	699.4070120682679	476.61164740180493	978.0265024676162	48.26387487759541	248.82961861671436	637.9906582455425	515.4183345069068	636.0361095943947	0.7406056522665219
ENSDARG00000092788	0.33179907975965	0.9998557456288198	1.3734406248787516	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	38	98	1	502	133	228	272	365	290	170	361	33.298351250315896	139.76180086752544	0.7125560664454241	387.5301545897026	122.60995958305621	298.51411320296717	312.5660468263322	338.89108505634607	299.86594958056287	161.66257724386378	391.82429277060834	0.7281666939532213
ENSDARG00000010423	0.18089311224600585	0.9998557456288198	0.6159207141389176	7	38653481	38659477	-1	protein_coding	npsn	nephrosin [Source:ZFIN;Acc:ZDB-GENE-040420-2]	236	152	211	447	314	225	325	444	188	145	287	206.80028671248817	216.7734054271823	150.3493300199845	345.0716715171256	289.470130143456	294.5862959239808	373.4704603623455	412.2401144247059	194.39585696946835	137.88866882564852	311.5057396818964	0.677269017839747
ENSDARG00000068006	0.03034621695441759	0.9112830688353405	3.5272658009838813	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	74	13	23	342	298	14	789	13	24	293	302	64.84415769798358	18.5398307273248	16.388789528244757	264.01456746947866	274.7200598176748	18.329813968603247	906.671363771971	12.07009344036301	24.816492379081065	278.6302066614829	327.7865274701488	0.6763469741302756
ENSDARG00000055133	0.354431294816151	0.9998557456288198	-0.49912659170788115	17	32720413	32743249	-1	protein_coding	cenpf	centromere protein F [Source:ZFIN;Acc:ZDB-GENE-041111-205]	156	79	422	198	164	88	127	189	264	344	172	136.69849460656	112.66512518912764	300.698660039969	152.85053906127712	151.18822083925727	115.21597351693471	145.94076451082424	175.48058924835453	272.98141616989176	327.128979834642	186.6863666386278	0.6395228788001137
ENSDARG00000032010	0.9169487062604473	0.9998557456288198	0.11030234436381874	9	37320222	37339656	1	protein_coding	slc15a2	solute carrier family 15 member 2 [Source:NCBI gene;Acc:556684]	304	206	53	49	251	160	220	219	37	187	186	266.38681000252717	293.78500998683916	37.76547152160748	37.826648555568575	231.39172823569254	209.48358821260854	252.81077316835692	203.33465103380763	38.258759084416646	177.82883496825016	201.88176857433007	0.6236378640588842
