Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000015654	0	0.0	12	4320041	4331117	-1	protein_coding	ca15a	carbonic anhydrase XVa [Source:ZFIN;Acc:ZDB-GENE-070424-7]
ENSDARG00000000212	1.16573417586e-14	9.57397124545e-11	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000020574	1.64313007645e-14	9.57397124545e-11	3	26081343	26157066	1	protein_coding	atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
ENSDARG00000075395	1.848521336e-13	8.07803823832e-10	5	69702602	69707794	-1	protein_coding	dguok	deoxyguanosine kinase [Source:ZFIN;Acc:ZDB-GENE-040625-14]
ENSDARG00000069415	2.2986834658e-11	8.03619739644e-08	1	49568335	49605854	1	protein_coding	col17a1a	collagen, type XVII, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090313-107]
ENSDARG00000067990	1.61445079527e-10	4.70343331689e-07	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000076790	4.20264267831e-10	1.04945991453e-06	9	22157282	22158325	-1	protein_coding	crygm2d16	crystallin, gamma M2d16 [Source:ZFIN;Acc:ZDB-GENE-071004-53]
ENSDARG00000098786	5.17006215617e-10	1.12965858112e-06	5	54280135	54294086	1	protein_coding	rangrf	RAN guanine nucleotide release factor [Source:NCBI gene;Acc:559102]
ENSDARG00000116052	1.30802069176e-09	2.54046685466e-06	3	44002300	44012804	-1	protein_coding	il4r.2	interleukin 4 receptor, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-140107-1]
ENSDARG00000090185	1.5059498093e-09	2.63240026666e-06	25	26754578	26758253	-1	protein_coding	si:dkeyp-73b11.8	si:dkeyp-73b11.8 [Source:ZFIN;Acc:ZDB-GENE-131120-176]
ENSDARG00000077967	1.70012848244e-09	2.70165871573e-06	9	19489304	19510927	1	protein_coding	si:ch211-140m22.7	si:ch211-140m22.7 [Source:ZFIN;Acc:ZDB-GENE-070912-73]
ENSDARG00000067990	1.85731419133e-09	2.70548767204e-06	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000016443	4.79657069619e-09	6.44954275149e-06	12	3944229	3962372	-1	protein_coding	eif3c	eukaryotic translation initiation factor 3, subunit C [Source:NCBI gene;Acc:334234]
ENSDARG00000037941	6.7200248699e-09	8.39043105185e-06	3	32142382	32151167	1	protein_coding	syt5a	synaptotagmin Va [Source:ZFIN;Acc:ZDB-GENE-040718-110]
ENSDARG00000025858	1.22047234541e-08	1.42225710652e-05	8	49092039	49115695	1	protein_coding	zgc:56525	zgc:56525 [Source:ZFIN;Acc:ZDB-GENE-040426-1060]
ENSDARG00000061858	2.02863199572e-08	2.21628045532e-05	3	21225750	21230668	1	protein_coding	zgc:153968	zgc:153968 [Source:ZFIN;Acc:ZDB-GENE-061027-211]
ENSDARG00000062198	3.5525967057e-08	3.65290531857e-05	1	16621345	16654161	1	protein_coding	pcm1	pericentriolar material 1 [Source:ZFIN;Acc:ZDB-GENE-030131-428]
ENSDARG00000069827	3.77919433525e-08	3.67001761001e-05	9	22098575	22099536	-1	protein_coding	crygm2d11	crystallin, gamma M2d11 [Source:ZFIN;Acc:ZDB-GENE-071004-42]
ENSDARG00000076752	5.8981184603e-08	5.42626898348e-05	16	27564270	27581488	1	protein_coding	tmem67	transmembrane protein 67 [Source:ZFIN;Acc:ZDB-GENE-080716-1]
ENSDARG00000037870	1.81592916704e-07	0.000158712209199	3	40526107	40529804	-1	protein_coding	actb2	actin, beta 2 [Source:NCBI gene;Acc:57935]
ENSDARG00000090369	2.26542161252e-07	0.000188569379937	3	36275633	36286650	1	protein_coding	zgc:86896	zgc:86896 [Source:ZFIN;Acc:ZDB-GENE-040625-80]
ENSDARG00000016889	3.36047719651e-07	0.000267005188159	3	54581987	54589823	1	protein_coding	eif3g	eukaryotic translation initiation factor 3, subunit G [Source:NCBI gene;Acc:393974]
ENSDARG00000020574	3.93028739887e-07	0.000298701842314	3	26081343	26157066	1	protein_coding	atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
ENSDARG00000045936	4.21034073717e-07	0.000306653150357	7	15871156	15900606	1	protein_coding	pax6b	paired box 6b [Source:ZFIN;Acc:ZDB-GENE-001031-1]
ENSDARG00000000212	5.62767675683e-07	0.000393487158838	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000037968	5.95876953446e-07	0.000400612659471	3	32698424	32711280	1	protein_coding	fus	FUS RNA binding protein [Source:ZFIN;Acc:ZDB-GENE-040426-1010]
ENSDARG00000015537	8.9350753707e-07	0.000578463398073	24	6133147	6158933	-1	protein_coding	gad2	glutamate decarboxylase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-9]
ENSDARG00000015829	1.0952716174e-06	0.000664479400649	6	48348415	48376245	1	protein_coding	mov10a	Mov10 RISC complex RNA helicase a [Source:ZFIN;Acc:ZDB-GENE-091230-8]
ENSDARG00000054849	1.10239717499e-06	0.000664479400649	3	29949984	29968055	-1	protein_coding	bcat2	branched chain amino-acid transaminase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040718-425]
ENSDARG00000089139	1.62462225928e-06	0.000946613236407	25	9013342	9040912	1	protein_coding	im:7145024	im:7145024 [Source:ZFIN;Acc:ZDB-GENE-050208-187]
ENSDARG00000014976	2.48851638085e-06	0.00140320213991	9	94884	100579	-1	protein_coding	lims2	LIM and senescent cell antigen-like domains 2 [Source:ZFIN;Acc:ZDB-GENE-050522-56]
ENSDARG00000091306	3.10971937179e-06	0.00169868420684	2	24410494	24462277	-1	protein_coding	kcnn1a	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1a [Source:ZFIN;Acc:ZDB-GENE-070912-703]
ENSDARG00000024708	3.63897392119e-06	0.00190544890536	3	34220194	34230565	1	protein_coding	slc25a23b	solute carrier family 25 member 23b [Source:ZFIN;Acc:ZDB-GENE-040724-220]
ENSDARG00000045482	3.83861150599e-06	0.00190544890536	4	20224099	20235904	-1	protein_coding	stk38l	serine/threonine kinase 38 like [Source:ZFIN;Acc:ZDB-GENE-040426-798]
ENSDARG00000067990	3.95420381538e-06	0.00190544890536	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000094300	4.02633967611e-06	0.00190544890536	5	1997765	1999488	-1	protein_coding	nupr1a	
ENSDARG00000100402	4.03327285459e-06	0.00190544890536	8	7737062	7772319	1	protein_coding	fgd1	FYVE, RhoGEF and PH domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-33]
ENSDARG00000013946	5.23010015885e-06	0.00240584607307	2	23379401	23391266	-1	protein_coding	ivns1abpb	influenza virus NS1A binding protein b [Source:NCBI gene;Acc:334334]
ENSDARG00000068967	5.84043016338e-06	0.00261771075015	15	29727799	29809715	1	protein_coding	zgc:153372	zgc:153372 [Source:ZFIN;Acc:ZDB-GENE-060929-680]
ENSDARG00000105131	6.10431151626e-06	0.00266758413261	3	36401105	36420397	-1	protein_coding	cog1	component of oligomeric golgi complex 1 [Source:ZFIN;Acc:ZDB-GENE-050302-128]
ENSDARG00000000212	7.56846287975e-06	0.00322674953995	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000009178	8.8041554116e-06	0.00366420563321	24	11083146	11087183	1	protein_coding	zfand1	zinc finger, AN1-type domain 1 [Source:ZFIN;Acc:ZDB-GENE-040801-269]
ENSDARG00000067990	9.22139202852e-06	0.00374860308508	5	32298624	32309129	-1	protein_coding	myhz1.1	myosin, heavy polypeptide 1.1, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-5]
ENSDARG00000059870	9.82594021504e-06	0.00390357806725	16	54474621	54498109	-1	protein_coding	clk2b	CDC-like kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060929-1126]
ENSDARG00000029500	1.24283651627e-05	0.00475689210385	7	59649399	59664545	1	protein_coding	rpl34	ribosomal protein L34 [Source:NCBI gene;Acc:394097]
ENSDARG00000013174	1.25181371154e-05	0.00475689210385	19	44009473	44036792	1	protein_coding	nkd3	NKD inhibitor of WNT signaling pathway 3 [Source:ZFIN;Acc:ZDB-GENE-060503-63]
ENSDARG00000015072	1.43310322261e-05	0.00532992432579	5	45007962	45013409	1	protein_coding	dmrt2a	doublesex and mab-3 related transcription factor 2a [Source:ZFIN;Acc:ZDB-GENE-990621-7]
ENSDARG00000009390	1.54839955563e-05	0.00563875504842	8	19489854	19500354	1	protein_coding	npl	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) [Source:NCBI gene;Acc:100148292]
ENSDARG00000013252	1.8327314508e-05	0.00653798893061	3	26734162	26751819	1	protein_coding	tmc5	transmembrane channel like 5 [Source:ZFIN;Acc:ZDB-GENE-120411-6]
ENSDARG00000099213	2.08905659193e-05	0.00730334184539	3	36441306	36458165	-1	protein_coding	glyr1	glyoxylate reductase 1 homolog (Arabidopsis) [Source:NCBI gene;Acc:493611]
ENSDARG00000003971	2.17037466458e-05	0.00737879615644	25	32746014	32751982	-1	protein_coding	isl2a	ISL LIM homeobox 2a [Source:NCBI gene;Acc:30157]
ENSDARG00000019253	2.23156422818e-05	0.00737879615644	20	14014813	14054083	-1	protein_coding	rhag	Rh associated glycoprotein [Source:ZFIN;Acc:ZDB-GENE-030131-8229]
ENSDARG00000092970	2.23727801082e-05	0.00737879615644	14	34486629	34488993	1	protein_coding	tmsb2	thymosin beta 2 [Source:ZFIN;Acc:ZDB-GENE-070126-5]
ENSDARG00000095312	2.87217074022e-05	0.00929732306279	3	54776117	54814530	1	protein_coding	sc:d0202	sc:d0202 [Source:ZFIN;Acc:ZDB-GENE-080226-9]
ENSDARG00000055370	3.00820603558e-05	0.00956062572763	2	27877908	27900535	-1	protein_coding	zgc:163121	zgc:163121 [Source:ZFIN;Acc:ZDB-GENE-070424-80]
ENSDARG00000075025	3.09989386936e-05	0.0095983282474	4	7876197	7883731	1	protein_coding	cdc123	cell division cycle 123 homolog (S. cerevisiae) [Source:NCBI gene;Acc:393694]
ENSDARG00000023151	3.12988964589e-05	0.0095983282474	1	53374454	53388914	1	protein_coding	ucp1	uncoupling protein 1 [Source:ZFIN;Acc:ZDB-GENE-010503-1]
ENSDARG00000037943	3.26090378399e-05	0.00972225948262	3	32228901	32290096	-1	protein_coding	cpt1cb	carnitine palmitoyltransferase 1Cb [Source:ZFIN;Acc:ZDB-GENE-050417-155]
ENSDARG00000062182	3.28154067205e-05	0.00972225948262	17	21982617	21993707	-1	protein_coding	slc22a7b.3	solute carrier family 22 member 7b, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-131120-103]
ENSDARG00000095090	3.66914901986e-05	0.0106894541445	2	37136662	37140423	-1	protein_coding	tspan37	tetraspanin 37 [Source:ZFIN;Acc:ZDB-GENE-070912-550]
ENSDARG00000093043	3.81551637547e-05	0.0109336436464	5	9377005	9391846	1	protein_coding	ugt2a7	UDP glucuronosyltransferase 2 family, polypeptide A7 [Source:ZFIN;Acc:ZDB-GENE-141215-33]
ENSDARG00000030514	4.15320706938e-05	0.0116382167659	1	17537451	17587552	-1	protein_coding	acsl1a	acyl-CoA synthetase long chain family member 1a [Source:ZFIN;Acc:ZDB-GENE-050809-115]
