GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000010519	0	-0.15631672123644572	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000011890	0	-0.15928450860846652	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000021882	0	-0.15107734330366665	fbxl3b	F-box and leucine-rich repeat protein 3b [Source:ZFIN;Acc:ZDB-GENE-041010-178]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000037738	0	-0.15483083540989367	fbxl3l	F-box and leucine-rich repeat protein 3, like [Source:ZFIN;Acc:ZDB-GENE-130530-598]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000069074	0	-0.19376021132682578	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000102403	0	-0.02824135411894612	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000019498	1	-0.5522690924128613	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000034503	1	-0.7690287082689146	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000045768	1	-0.18756608717163117	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0043153	entrainment of circadian clock by photop...	10	4	0.09	1.2e-06	ENSDARG00000091131	1	-0.7330900489321739	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
