Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	% variance explained
ENSDARG00000115161	0.9599059920955957	0.9998677203547853	0.06227730590928508	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	507	443	432	253	303	660	563	460	472	3	488	562.7034549402334	355.991227839819	663.1407759459534	315.3441549915055	232.591023181821	480.975780561916	398.1631381070964	469.922369516041	583.2328806394152	2.9942582234328246	542.1938267695155	1.2469500370645688
ENSDARG00000058225	0.5033331935824278	0.9998677203547853	1.6718599808155687	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	0	4	2	0	3	0	618	1	307	442	2	0	3.214367745732	3.070096184934969	0	2.302881417641792	0	437.06006989375766	1.0215703685131325	379.348504992162	441.1540449191028	2.2221058474160467	1.2431700064727995
ENSDARG00000020711	NA	NA	0.814610189749317	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	11	4	2	361	540	14	491	395	584	15	681	12.208556221582974	3.214367745732	3.070096184934969	449.95747016574495	414.51865517552255	10.202516557373976	347.2435183136489	403.52029556268735	721.6271235030052	14.971291117164123	756.6270410451639	1.1502678391390146
ENSDARG00000078069	0.887318735601326	0.9998677203547853	-0.18170610495144648	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	690	917	416	322	556	703	522	329	19	809	12	765.8094357174774	736.893805709061	638.5800064664736	401.34710635282516	426.8006894029454	512.3120814167075	369.16724350249433	336.0966512408206	23.477594771501884	807.451634252385	13.33263508449628	0.9390355998954446
ENSDARG00000023656	3.2679983880695804e-4	0.10224408084714298	-7.734583935285503	22	14093306	14094746	1	protein_coding	he1.1	hatching enzyme 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021211-3]	27	25	0	49	0	81	490	52	40	0	87	29.966456180249118	20.089798410825	0	61.074559662386434	0	59.028845796235146	346.53630137207324	53.12165916268289	49.42651530842502	0	96.66160436259803	0.7985861314378945
ENSDARG00000031776	0.06049849899899934	0.9998677203547853	-0.8136096031683264	3	32099507	32100999	1	protein_coding	fthl27	ferritin, heavy polypeptide-like 27 [Source:ZFIN;Acc:ZDB-GENE-040718-72]	1398	1837	944	1133	708	3503	1794	2078	457	464	492	1551.5965088884543	1476.1983872274209	1449.0853992893053	1412.193389744568	543.4800145634629	2552.8153928915026	1268.7471931867335	2122.8232257702894	564.6979373987558	463.1119385576102	546.6380384643475	0.7708684791958449
ENSDARG00000102241	0.6589282568553486	0.9998677203547853	0.3332209485227492	21	44505613	44512893	-1	protein_coding	zgc:136410	zgc:136410 [Source:ZFIN;Acc:ZDB-GENE-060421-6071]	249	235	133	39	374	365	489	207	225	272	58	276.35731810674184	188.844105061755	204.16139629817545	48.610363812919815	287.09255006601006	265.99418167439296	345.8290844304976	211.46506628221843	278.02414860989074	271.4794122579094	64.44106957506536	0.7103827017058332
ENSDARG00000101816	0.6450598530810066	0.9998677203547853	0.2383923894398171	1	59252435	59287507	-1	protein_coding	col5a3b	collagen, type V, alpha 3b [Source:ZFIN;Acc:ZDB-GENE-110728-4]	2818	3613	1195	1329	4455	1678	3991	1297	1615	2550	1210	3127.6101302200746	2903.377666332429	1834.3824704986441	1656.4916283941138	3419.778905198061	1222.844484519538	2822.502813828458	1324.976767961533	1995.59555557766	2545.119489917901	1344.3740376867083	0.7098029298416487
ENSDARG00000098063	0.5114604288828252	0.9998677203547853	-0.6636868591639172	15	44618623	44637492	-1	protein_coding	alp3	alkaline phosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-120919-1]	29	193	37	25	34	58	39	124	65	46	257	32.186193675082386	155.093243731569	56.796779421296925	31.16048962366655	26.09932273327364	42.26756859483504	27.58146072145073	126.67472569562844	80.31808737619065	45.911959425969975	285.540601392962	0.7061774700248552
ENSDARG00000088885	0.5267722573002342	0.9998677203547853	0.44999912550249627	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	531	343	434	319	720	716	390	253	247	319	33	589.3403048782327	275.632034196519	666.2108721308883	397.60784759798514	552.6915402340301	521.7858467914119	275.81460721450725	258.45730323382253	305.20873202952447	318.38945775835697	36.66474648236477	0.7017036565625258
ENSDARG00000068431	0.825292664216889	0.9998677203547853	-0.1941113500587628	2	43920461	43955410	1	protein_coding	si:ch211-195h23.3	si:ch211-195h23.3 [Source:ZFIN;Acc:ZDB-GENE-070912-174]	42	291	172	176	98	376	101	211	74	198	368	46.61448739149863	233.845253502003	264.02827190440735	219.3698469506125	75.2274596429652	274.0104446837582	71.42891109914163	215.55134775627096	91.43905332058628	197.62104274656642	408.8674759245526	0.68630023612001545
ENSDARG00000097973	0.818658944528284	0.9998677203547853	0.30436715378082363	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	379	312	288	305	618	594	305	201	208	194	0	420.6402552709043	250.72068416709598	442.09385063063553	380.1579734087319	474.3935720342091	432.8782025057244	215.7011671805762	205.33564407113963	257.01787960381006	193.62869844865597	0	0.6568445419158647
ENSDARG00000003523	0.23190938493890684	0.9998677203547853	1.041293374226664	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	45	92	117	78	264	206	112	107	60	210	11	49.94409363374853	73.93045815183599	179.6006268186957	97.22072762583963	202.65356475247768	150.12274362993136	79.20829745647389	109.30802943090518	74.13977296263752	209.5980756402977	12.221582160788257	0.6370966673459294
ENSDARG00000041433	0.43947547719192726	0.9998677203547853	0.7026571306031327	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	584	764	291	171	1108	164	44	276	437	657	830	648.1633484913143	613.944239434812	446.698994908038	213.1377490258792	850.5308702490352	119.51519395780943	31.117545429329027	281.9534217096246	539.9846797445433	655.7425509317885	922.1739266776594	0.631746827918678
ENSDARG00000117011	0.3077991016091786	0.9998677203547853	-0.8573734248545817	13	159504	178764	1	protein_coding	ewsr1b	EWS RNA-binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-030131-1600]	175	242	12	135	214	151	151	24	70	181	74	194.22703079791094	194.469248616786	18.420577109609816	168.26664396779935	164.27220779178114	110.04142858310503	106.78975817792461	24.51768884431518	86.49640178974379	180.65357948044706	82.21791635439372	0.6228924520721718
