ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16601	11206	11402	16717	16760	1	2,0,0,0,0,0	10,19,3,4,10,11	0,0,0,0,0,0	5,6,7,9,12,14	195	282	1	1.0	0.224,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.037
2	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496	2	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,0,0,0,1	298	298	1	1.0	NA,1.0,NA,0.0,0.0,0.0	NA,NA,NA,NA,NA,0.0	0.25
3	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910	3	10,12,7,7,12,6	11,37,22,27,8,24	12,5,1,12,3,12	13,15,15,20,17,33	246	234	0.571160904304	1.0	0.464,0.236,0.232,0.198,0.588,0.192	0.468,0.241,0.06,0.363,0.144,0.257	0.063
4	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	42185	42359	205549	205723	28320	28494	207096	207143	4	0,0,0,0,0,0	0,0,0,0,0,1	0,0,0,0,1,0	0,0,1,3,0,0	298	298	1	1.0	NA,NA,NA,NA,NA,0.0	NA,NA,0.0,0.0,1.0,NA	-0.333
5	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	5	0,0,0,0,1,2	0,0,0,0,1,0	0,0,0,2,3,0	0,0,0,0,0,0	298	298	1	1.0	NA,NA,NA,NA,0.5,1.0	NA,NA,NA,1.0,1.0,NA	-0.25
6	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167994	168048	167538	167595	168131	168418	6	3,7,4,1,5,5	6,14,2,6,5,11	6,4,3,8,9,8	14,3,4,4,9,9	203	238	0.240207031532	1.0	0.37,0.37,0.701,0.163,0.54,0.348	0.334,0.61,0.468,0.701,0.54,0.51	-0.112
7	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471419	37471496	37471649	37471911	37470378	37470822	37473277	37473474	7	16,18,7,3,8,18	53,27,33,21,26,41	12,10,10,7,9,11	17,26,20,26,25,47	226	298	0.708927197038	1.0	0.285,0.468,0.219,0.159,0.289,0.367	0.482,0.336,0.397,0.262,0.322,0.236	-0.041
8	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	8	56,71,39,80,58,64	36,59,52,46,59,61	51,51,49,62,51,92	22,37,40,78,25,74	267	249	0.394256025593	1.0	0.592,0.529,0.412,0.619,0.478,0.495	0.684,0.562,0.533,0.426,0.655,0.537	-0.045
9	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	9	21,46,14,27,32,35	45,61,56,47,57,46	27,22,25,56,27,44	42,60,25,66,35,95	225	267	0.443927107158	1.0	0.356,0.472,0.229,0.405,0.4,0.474	0.433,0.303,0.543,0.502,0.478,0.355	-0.046
10	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33258653	33258844	33256011	33256563	33259472	33259779	10	17,8,7,3,11,11	14,25,20,13,22,33	11,8,4,15,10,16	26,9,16,31,29,40	216	298	0.938757557175	1.0	0.626,0.306,0.326,0.241,0.408,0.315	0.369,0.551,0.256,0.4,0.322,0.356	-0.005
11	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	11	118,155,113,92,105,108	6,15,10,11,23,8	118,92,50,141,103,143	16,12,7,20,7,20	242	242	0.318905050502	1.0	0.952,0.912,0.919,0.893,0.82,0.931	0.881,0.885,0.877,0.876,0.936,0.877	0.016
12	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37454627	37454792	37453996	37454178	37455015	37455089	12	23,19,16,1,5,8	14,22,29,14,15,16	16,14,2,11,21,8	20,8,4,8,24,16	243	298	0.161108806285	1.0	0.668,0.514,0.404,0.081,0.29,0.38	0.495,0.682,0.38,0.628,0.518,0.38	-0.124
13	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190	13	21,24,23,10,12,12	6,10,4,2,6,3	17,15,4,19,19,27	1,5,1,7,7,2	254	265	0.310668354976	1.0	0.785,0.715,0.857,0.839,0.676,0.807	0.947,0.758,0.807,0.739,0.739,0.934	-0.041
14	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37458430	37458527	37457826	37457942	37458600	37458676	14	6,10,7,4,6,2	9,8,0,2,2,0	4,5,1,8,7,3	2,4,2,1,3,3	279	246	0.677991677388	1.0	0.37,0.524,1.0,0.638,0.726,1.0	0.638,0.524,0.306,0.876,0.673,0.469	0.129
15	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276	15	10,79,31,30,59,55	12,14,12,9,14,4	31,38,28,46,45,68	17,17,9,15,10,11	257	212	0.616068560381	1.0	0.407,0.823,0.681,0.733,0.777,0.919	0.601,0.648,0.72,0.717,0.788,0.836	0.005
16	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486	16	8,52,18,22,38,30	56,70,55,46,55,72	25,25,19,27,31,51	62,56,27,88,43,78	257	287	0.493124924396	1.0	0.138,0.453,0.268,0.348,0.436,0.318	0.31,0.333,0.44,0.255,0.446,0.422	-0.041
17	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	17044734	17044779	16977705	16977861	17238928	17239043	17	4,3,2,4,0,0	64,88,44,33,64,61	0,3,4,2,3,0	57,46,43,46,65,90	194	298	0.978652198802	1.0	0.088,0.05,0.065,0.157,0.0,0.0	0.0,0.091,0.125,0.063,0.066,0.0	0.002
19	"ENSDARG00000014113"	"wasla"	chr25	+	27763502	27763589	27769580	27769604	27759881	27760016	27788062	27788243	19	25,33,21,13,31,18	10,6,11,5,13,16	25,28,11,17,34,34	17,14,1,7,9,12	236	173	0.691755515305	1.0	0.647,0.801,0.583,0.656,0.636,0.452	0.519,0.595,0.89,0.64,0.735,0.675	-0.047
21	"ENSDARG00000100206"	"klhdc4"	chr25	-	12721495	12721574	12723845	12724008	12719782	12719991	12725189	12725282	21	31,30,27,23,23,26	11,27,13,15,18,17	26,28,26,35,32,32	15,6,8,21,14,18	298	228	0.140636787926	1.0	0.683,0.459,0.614,0.54,0.494,0.539	0.57,0.781,0.713,0.56,0.636,0.576	-0.085
22	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35666733	35667177	35668490	35668650	35663932	35664911	35669972	35670178	22	14,13,8,10,8,16	8,16,12,13,11,9	7,8,4,9,10,13	6,11,5,14,19,9	298	298	0.463839060709	1.0	0.636,0.448,0.4,0.435,0.421,0.64	0.538,0.421,0.444,0.391,0.345,0.591	0.042
23	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30173653	30173671	30178939	30179035	30171954	30172002	30182513	30182654	23	0,0,0,0,0,0	37,68,44,21,45,37	0,0,0,1,0,0	20,49,35,54,41,39	167	245	1	1.0	0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.026,0.0,0.0	-0.004
24	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178939	30179035	30182513	30182654	30173115	30173671	30192071	30192167	24	21,41,28,18,43,23	44,75,41,51,58,55	31,30,24,33,17,51	79,58,47,88,64,75	245	290	0.324145290998	1.0	0.361,0.393,0.447,0.295,0.467,0.331	0.317,0.38,0.377,0.307,0.239,0.446	0.038
25	"ENSDARG00000061282"	"glg1a"	chr25	-	37223740	37223842	37224164	37224307	37223493	37223601	37224436	37224560	25	130,190,190,125,186,178	74,93,101,59,99,93	136,140,132,171,163,210	80,77,59,112,88,123	292	251	0.397518538517	1.0	0.602,0.637,0.618,0.646,0.618,0.622	0.594,0.61,0.658,0.568,0.614,0.595	0.017
26	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37194504	37194618	37195661	37195810	37194269	37194400	37202546	37202657	26	20,12,19,13,23,23	7,22,10,11,26,21	10,17,20,20,10,26	5,8,9,27,11,19	298	263	0.615968682655	1.0	0.716,0.325,0.626,0.511,0.438,0.492	0.638,0.652,0.662,0.395,0.445,0.547	-0.038
27	"ENSDARG00000097652"	"si:dkey-234i14.2"	chr25	-	37195661	37195810	37202546	37202657	37194504	37194618	37204899	37205061	27	5,10,8,5,14,5	16,18,10,16,20,18	3,6,6,7,5,14	17,7,20,24,8,41	260	298	0.365258691817	1.0	0.264,0.389,0.478,0.264,0.445,0.241	0.168,0.496,0.256,0.251,0.417,0.281	0.035
28	"ENSDARG00000009299"	"dusp8a"	chr25	-	23015607	23015746	23030310	23030665	22982691	22982858	23052425	23052707	28	30,33,43,22,36,43	43,41,44,30,37,45	27,20,20,14,25,34	26,24,17,9,44,43	298	288	0.869643961653	1.0	0.403,0.438,0.486,0.415,0.485,0.48	0.501,0.446,0.532,0.601,0.354,0.433	-0.027
29	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3007561	3007708	3001179	3001388	3008045	3008297	29	12,18,13,2,11,27	9,11,11,9,12,6	17,16,12,12,16,29	13,8,7,11,19,22	242	296	0.968380877095	1.0	0.62,0.667,0.591,0.214,0.529,0.846	0.615,0.71,0.677,0.572,0.507,0.617	-0.038
30	"ENSDARG00000103878"	"anpepb"	chr25	+	10825827	10825968	10826834	10826916	10825573	10825741	10827258	10827771	30	271,370,239,143,328,284	151,224,157,84,204,171	531,197,166,274,322,493	257,148,81,166,168,287	290	231	0.405709187427	1.0	0.588,0.568,0.548,0.576,0.562,0.57	0.622,0.515,0.62,0.568,0.604,0.578	-0.016
31	"ENSDARG00000018681"	"saal1"	chr25	-	8183651	8183824	8186533	8186704	8180904	8180997	8188464	8188547	31	10,19,15,13,12,9	18,29,18,26,31,17	17,11,7,24,15,18	18,12,5,26,31,19	298	298	0.0743257743278	0.901903856284	0.357,0.396,0.455,0.333,0.279,0.346	0.486,0.478,0.583,0.48,0.326,0.486	-0.112
32	"ENSDARG00000018061"	"neil1"	chr25	-	26830496	26830616	26831697	26832174	26830063	26830166	26833053	26833100	32	10,16,13,6,11,6	29,26,30,19,40,51	13,8,8,11,15,14	35,30,29,62,38,41	298	269	0.760786861075	1.0	0.237,0.357,0.281,0.222,0.199,0.096	0.251,0.194,0.199,0.138,0.263,0.236	0.019
33	"ENSDARG00000089207"	"ankrd27"	chr25	+	36414543	36414700	36416416	36416574	36414341	36414452	36417585	36417645	33	29,17,23,16,18,23	13,18,16,12,20,16	20,13,8,17,18,19	12,9,12,10,10,29	298	298	0.706374875991	1.0	0.69,0.486,0.59,0.571,0.474,0.59	0.625,0.591,0.4,0.63,0.643,0.396	0.019
34	"ENSDARG00000045641"	"usp3"	chr25	-	26744941	26745055	26745359	26745473	26743329	26743476	26747958	26748041	34	19,13,17,10,13,15	13,36,19,10,30,20	13,18,9,36,11,29	18,17,16,20,18,33	263	263	0.341766541443	1.0	0.594,0.265,0.472,0.5,0.302,0.429	0.419,0.514,0.36,0.643,0.379,0.468	-0.037
35	"ENSDARG00000020395"	"mical2b"	chr25	+	16251462	16251591	16253983	16254076	16248923	16249055	16255620	16255731	35	7,7,7,3,6,5	13,5,14,2,1,1	10,4,8,5,7,7	11,12,3,1,10,7	278	242	0.660994983582	1.0	0.319,0.549,0.303,0.566,0.839,0.813	0.442,0.225,0.699,0.813,0.379,0.465	0.061
36	"ENSDARG00000020395"	"mical2b"	chr25	+	16253983	16254076	16259939	16259972	16248923	16249055	16261275	16261462	36	0,1,0,1,0,0	1,1,2,0,0,3	0,0,0,0,0,0	1,0,2,1,2,1	242	182	1	1.0	0.0,0.429,0.0,1.0,NA,0.0	0.0,NA,0.0,0.0,0.0,0.0	0.286
37	"ENSDARG00000102820"	"cib2"	chr25	-	25692554	25692666	25711311	25711346	25670190	25670338	25736690	25736958	37	3,6,12,4,6,8	30,30,31,24,33,26	10,7,4,14,13,12	30,28,24,50,38,47	184	261	0.317892852967	1.0	0.124,0.221,0.354,0.191,0.205,0.304	0.321,0.262,0.191,0.284,0.327,0.266	-0.042
38	"ENSDARG00000076025"	"dgkzb"	chr25	+	7855465	7855570	7857438	7857543	7850434	7850634	7857928	7857997	38	6,14,16,9,9,8	8,11,5,10,7,8	12,8,4,20,4,11	9,14,5,6,13,12	254	254	0.420697790053	1.0	0.429,0.56,0.762,0.474,0.563,0.5	0.571,0.364,0.444,0.769,0.235,0.478	0.071
39	"ENSDARG00000079917"	"rassf7a"	chr25	+	25487635	25487784	25488072	25488935	25453220	25453653	25490862	25491034	39	2,3,5,3,8,8	29,29,14,12,22,15	4,4,5,8,8,6	22,21,15,34,30,16	298	298	0.978556073539	1.0	0.065,0.094,0.263,0.2,0.267,0.348	0.154,0.16,0.25,0.19,0.211,0.273	-0.0
40	"ENSDARG00000012603"	"eif3ja"	chr25	-	31905464	31905556	31906800	31906858	31904755	31905055	31907328	31907603	40	34,78,59,37,55,47	92,140,140,57,124,114	44,52,44,73,99,92	104,97,67,163,134,140	207	241	0.108575750129	1.0	0.301,0.393,0.329,0.43,0.341,0.324	0.33,0.384,0.433,0.343,0.462,0.433	-0.044
41	"ENSDARG00000012603"	"eif3ja"	chr25	-	31906800	31906858	31907328	31907417	31905464	31905556	31907554	31907590	41	4,2,2,0,5,1	57,124,97,72,103,103	2,0,2,2,6,3	98,64,60,157,112,107	238	207	0.937841968562	1.0	0.058,0.014,0.018,0.0,0.041,0.008	0.017,0.0,0.028,0.011,0.045,0.024	0.002
42	"ENSDARG00000062204"	"sigirr"	chr25	+	22115812	22116017	22126995	22127123	22107642	22107796	22132220	22132361	42	13,15,8,5,5,12	3,6,3,1,14,22	5,12,11,17,5,19	2,5,11,2,9,4	298	277	0.43980598761	1.0	0.801,0.699,0.713,0.823,0.249,0.336	0.699,0.69,0.482,0.888,0.341,0.815	-0.049
43	"ENSDARG00000029168"	"ppfibp2b"	chr25	+	16020732	16020793	16022409	16022548	16016611	16016679	16027781	16027917	43	13,11,9,8,8,14	40,48,30,25,52,38	10,12,7,13,7,15	20,28,17,44,31,52	210	288	0.344152725733	1.0	0.308,0.239,0.291,0.305,0.174,0.336	0.407,0.37,0.361,0.288,0.236,0.283	-0.049
44	"ENSDARG00000040427"	"acot19"	chr25	-	31727717	31727837	31731524	31731694	31722706	31722789	31734072	31734263	44	6,5,4,7,6,4	7,14,6,18,3,6	4,8,2,4,2,1	12,10,2,8,1,9	298	269	0.49087402792	1.0	0.436,0.244,0.376,0.26,0.644,0.376	0.231,0.419,0.474,0.311,0.644,0.091	0.028
45	"ENSDARG00000062477"	"kiaa1549la"	chr25	+	15438637	15438798	15440826	15440862	15434437	15434609	15450741	15450929	45	62,88,52,40,56,60	18,9,16,12,20,17	58,55,42,39,57,70	15,6,12,9,16,29	298	185	1	1.0	0.681,0.859,0.669,0.674,0.635,0.687	0.706,0.851,0.685,0.729,0.689,0.6	-0.009
46	"ENSDARG00000062477"	"kiaa1549la"	chr25	+	15467289	15467522	15470274	15470404	15465060	15465185	15472013	15472382	46	66,82,99,63,74,77	70,75,92,66,80,59	78,65,48,67,57,107	54,59,39,73,86,97	298	279	0.984791508598	1.0	0.469,0.506,0.502,0.472,0.464,0.55	0.575,0.508,0.535,0.462,0.383,0.508	-0.001
47	"ENSDARG00000025566"	"slc25a3b"	chr25	+	3310340	3310465	3312202	3312330	3307053	3307203	3314065	3314245	47	1670,2633,2041,1646,2221,1971	2149,3290,2392,1812,2827,2783	1803,1799,1546,3205,2170,2659	2395,1890,1973,3647,2400,3690	274	277	0.618381051186	1.0	0.44,0.447,0.463,0.479,0.443,0.417	0.432,0.49,0.442,0.47,0.478,0.421	-0.007
48	"ENSDARG00000070971"	"furinb"	chr25	-	8805620	8805709	8832728	8832805	8803225	8803398	8834958	8835087	48	21,29,23,18,46,20	28,56,33,43,67,25	18,26,19,42,14,31	28,27,12,67,33,38	226	238	0.364055289326	1.0	0.441,0.353,0.423,0.306,0.42,0.457	0.404,0.503,0.625,0.398,0.309,0.462	-0.05
49	"ENSDARG00000031198"	"hmg20a"	chr25	+	7327577	7327787	7330314	7330447	7324513	7324589	7330889	7330927	49	65,55,66,41,49,55	43,51,44,26,47,64	41,59,29,68,63,74	44,38,21,77,43,51	298	282	0.924622380564	1.0	0.589,0.505,0.587,0.599,0.497,0.448	0.469,0.595,0.567,0.455,0.581,0.579	-0.003
50	"ENSDARG00000089663"	"lsm3"	chr22	-	31668030	31668126	31671866	31671977	31660963	31662010	31672170	31672566	50	14,7,7,7,8,18	83,121,130,70,120,117	7,5,1,21,7,16	92,107,62,186,120,157	260	245	0.319467255335	1.0	0.137,0.052,0.048,0.086,0.059,0.127	0.067,0.042,0.015,0.096,0.052,0.088	0.025
51	"ENSDARG00000079475"	"nckipsd"	chr22	+	96677	96741	98490	98629	96352	96578	98727	98808	51	24,37,19,24,35,33	109,153,161,85,151,143	26,14,25,25,28,22	139,79,69,177,146,141	213	288	0.397616514362	1.0	0.229,0.246,0.138,0.276,0.239,0.238	0.202,0.193,0.329,0.16,0.206,0.174	0.017
53	"ENSDARG00000053973"	"fetub"	chr22	+	37891973	37892140	37894950	37895037	37891398	37891486	37897709	37900135	53	2735,5651,3593,2376,5523,4937	1163,2557,1701,1141,2441,2186	3938,4280,2758,2615,3911,6102	1677,2002,1147,1265,1617,2605	298	236	0.602758982521	1.0	0.651,0.636,0.626,0.623,0.642,0.641	0.65,0.629,0.656,0.621,0.657,0.65	-0.007
54	"ENSDARG00000099775"	"CABZ01074307.1"	chrKN150487.1	+	43414	43531	49678	49795	41843	41960	55382	57290	54	1,0,0,1,0,0	1,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,1,1	266	266	1	1.0	0.5,NA,NA,1.0,NA,NA	NA,NA,NA,NA,0.0,0.0	0.75
55	"ENSDARG00000057016"	"cdc14ab"	chr22	-	16241362	16241442	16247995	16248088	16231965	16232032	16258169	16258245	55	12,14,10,6,13,16	16,23,12,8,17,9	17,12,16,11,17,30	13,10,11,14,14,24	242	229	0.146658219225	1.0	0.415,0.365,0.441,0.415,0.42,0.627	0.553,0.532,0.579,0.426,0.535,0.542	-0.081
56	"ENSDARG00000042484"	"tle2a"	chr22	+	21624674	21624835	21641194	21641258	21618120	21618744	21644598	21644643	56	57,66,47,44,70,61	29,42,15,15,43,43	67,44,53,55,57,89	26,33,24,40,32,43	298	213	0.815175319518	1.0	0.584,0.529,0.691,0.677,0.538,0.503	0.648,0.488,0.612,0.496,0.56,0.597	0.02
57	"ENSDARG00000068478"	"gpx4a"	chr22	-	17590189	17590214	17591595	17591747	17590004	17590064	17594404	17594499	57	4,1,1,0,0,0	109,147,93,117,130,130	0,5,0,0,0,0	146,102,55,201,120,98	298	174	1	1.0	0.021,0.004,0.006,0.0,0.0,0.0	0.0,0.028,0.0,0.0,0.0,0.0	0.0
58	"ENSDARG00000104609"	"crebbpa"	chr22	+	26771305	26771554	26774049	26774196	26771028	26771208	26774630	26774811	58	0,3,0,0,0,4	28,52,44,34,27,54	3,2,1,0,2,6	20,26,21,12,38,39	298	296	0.00580572075313	0.279678592972	0.0,0.054,0.0,0.0,0.0,0.069	0.13,0.071,0.045,0.0,0.05,0.133	-0.051
59	"ENSDARG00000104609"	"crebbpa"	chr22	+	26771308	26771554	26774049	26774196	26771028	26771208	26774630	26774811	59	40,40,54,20,40,43	28,52,44,34,27,54	45,39,37,24,40,49	20,26,21,12,38,39	298	296	0.0243501722154	0.576375289386	0.587,0.433,0.549,0.369,0.595,0.442	0.691,0.598,0.636,0.665,0.511,0.555	-0.114
60	"ENSDARG00000103760"	"cfhl2"	chr22	-	23737927	23738095	23745056	23745236	23734803	23734980	23745586	23745742	60	50,33,48,36,39,70	65,44,72,45,88,102	34,53,21,39,32,44	51,57,28,65,58,65	298	298	0.84052226548	1.0	0.435,0.429,0.4,0.444,0.307,0.407	0.4,0.482,0.429,0.375,0.356,0.404	-0.004
