Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000033832	0	0.0	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000057035	0	0.0	10	24641229	24648231	-1	protein_coding	stoml3b	stomatin (EPB72)-like 3b [Source:ZFIN;Acc:ZDB-GENE-050417-366]
ENSDARG00000033832	2.99760216649e-15	2.40075181957e-11	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]
ENSDARG00000087788	3.10862446895e-15	2.40075181957e-11	4	39158005	39186901	-1	protein_coding	si:ch211-22k7.9	si:ch211-22k7.9 [Source:ZFIN;Acc:ZDB-GENE-070424-160]
ENSDARG00000069415	3.44169137634e-15	2.40075181957e-11	1	49568335	49605854	1	protein_coding	col17a1a	collagen, type XVII, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090313-107]
ENSDARG00000068457	5.09148279093e-13	3.0441975607e-09	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000030215	1.8376189459e-11	9.61373321784e-08	19	43314700	43338280	1	protein_coding	matn1	matrilin 1 [Source:ZFIN;Acc:ZDB-GENE-050307-3]
ENSDARG00000087911	1.63020685839e-09	7.5810052938e-06	13	35689749	35744963	1	protein_coding	psme4a	proteasome activator subunit 4a [Source:NCBI gene;Acc:793897]
ENSDARG00000068457	1.89010795903e-09	7.91066884093e-06	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000091592	2.25677021515e-09	8.58660034679e-06	1	55044658	55068941	-1	protein_coding	peli1a	pellino E3 ubiquitin protein ligase 1a [Source:ZFIN;Acc:ZDB-GENE-110310-6]
ENSDARG00000104314	9.58291379582e-09	3.34228075914e-05	10	7284121	7472359	-1	protein_coding	nrg1	neuregulin 1 [Source:ZFIN;Acc:ZDB-GENE-050302-113]
ENSDARG00000030157	1.32880505488e-08	4.2780367663e-05	3	30257582	30318595	1	protein_coding	mybpc2a	myosin binding protein C, fast type a [Source:ZFIN;Acc:ZDB-GENE-060901-1]
ENSDARG00000068457	1.80933732441e-08	5.24104177009e-05	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000055045	1.87837494448e-08	5.24104177009e-05	14	4125363	4145594	-1	protein_coding	casp3b	caspase 3, apoptosis-related cysteine peptidase b [Source:ZFIN;Acc:ZDB-GENE-070607-1]
ENSDARG00000056985	4.02256427057e-08	0.00010522273901	10	24690534	24707956	1	protein_coding	tpte	transmembrane phosphatase with tensin homology [Source:ZFIN;Acc:ZDB-GENE-030131-5503]
ENSDARG00000062790	4.50619748182e-08	0.000110203767024	13	28819768	28902920	1	protein_coding	CU639469.1	transforming, acidic coiled-coil containing protein 2 [Source:NCBI gene;Acc:569976]
ENSDARG00000056985	4.96300939234e-08	0.000110203767024	10	24690534	24707956	1	protein_coding	tpte	transmembrane phosphatase with tensin homology [Source:ZFIN;Acc:ZDB-GENE-030131-5503]
ENSDARG00000004415	5.00291872374e-08	0.000110203767024	12	30977736	31103906	-1	protein_coding	tcf7l2	transcription factor 7 like 2 [Source:ZFIN;Acc:ZDB-GENE-991110-8]
ENSDARG00000069356	5.38589874921e-08	0.000112708010175	11	7432533	7737642	1	protein_coding	adgrl2a	adhesion G protein-coupled receptor L2a [Source:ZFIN;Acc:ZDB-GENE-000607-49]
ENSDARG00000069265	7.12067054209e-08	0.000141914963904	13	32627444	32635885	-1	protein_coding	matn3b	matrilin 3b [Source:ZFIN;Acc:ZDB-GENE-050221-9]
ENSDARG00000045249	9.57590873263e-08	0.000182172958267	12	3871452	3909738	1	protein_coding	nif3l1	NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050706-80]
ENSDARG00000058100	1.37409502554e-07	0.000250043474365	8	13630492	13641022	-1	protein_coding	b3gnt3.4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-030131-8875]
ENSDARG00000043701	1.92476352856e-07	0.000335654699837	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]
ENSDARG00000079280	2.6863337288e-07	0.000449724502206	1	33383644	33487375	1	protein_coding	dhrsx	dehydrogenase/reductase (SDR family) X-linked [Source:ZFIN;Acc:ZDB-GENE-060620-2]
ENSDARG00000023903	2.87575234181e-07	0.00046192128325	9	2343096	2382588	1	protein_coding	atf2	activating transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030911-8]
ENSDARG00000021163	2.97992369669e-07	0.00046192128325	19	17514631	17658253	-1	protein_coding	thrb	thyroid hormone receptor beta [Source:NCBI gene;Acc:30607]
ENSDARG00000101766	3.33758673254e-07	0.000498885776846	2	5131964	5135125	-1	protein_coding	ptmab	prothymosin alpha b [Source:NCBI gene;Acc:559194]
ENSDARG00000023903	3.50375378377e-07	0.000505664162456	9	2343096	2382588	1	protein_coding	atf2	activating transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030911-8]
ENSDARG00000014746	4.67433222906e-07	0.000652116089276	3	27982269	28428198	-1	protein_coding	rbfox1	RNA binding fox-1 homolog 1 [Source:NCBI gene;Acc:449554]
ENSDARG00000002656	6.90568333628e-07	0.000932334079591	20	31745949	31905968	-1	protein_coding	stxbp5a	syntaxin binding protein 5a (tomosyn) [Source:ZFIN;Acc:ZDB-GENE-041001-161]
ENSDARG00000060149	7.83205186816e-07	0.00102435895887	13	43507383	43599939	-1	protein_coding	ablim1a	actin binding LIM protein 1a [Source:ZFIN;Acc:ZDB-GENE-080219-41]
ENSDARG00000101145	9.34184789636e-07	0.00116584710357	16	26081481	26132122	-1	protein_coding	lipeb	lipase, hormone-sensitive b [Source:ZFIN;Acc:ZDB-GENE-100921-71]
ENSDARG00000043701	9.47095823989e-07	0.00116584710357	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]
ENSDARG00000019353	1.00850040441e-06	0.00120596478359	14	25937948	25956860	-1	protein_coding	sparc	secreted protein, acidic, cysteine-rich (osteonectin) [Source:ZFIN;Acc:ZDB-GENE-030131-9]
ENSDARG00000087780	1.07732428478e-06	0.00121752766508	17	49081828	49218502	1	protein_coding	tiam2a	TIAM Rac1 associated GEF 2a [Source:ZFIN;Acc:ZDB-GENE-030219-98]
ENSDARG00000006526	1.10116876861e-06	0.00121752766508	1	5504128	5543065	-1	protein_coding	fn1b	fibronectin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-6545]
ENSDARG00000068457	1.10544169529e-06	0.00121752766508	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000061096	1.25969887876e-06	0.00135185069674	7	29278580	29292206	-1	protein_coding	dapk2a	death-associated protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-080402-8]
ENSDARG00000075292	1.36608833823e-06	0.0014293723805	3	40056485	40136743	-1	protein_coding	myo15aa	myosin XVAa [Source:ZFIN;Acc:ZDB-GENE-080425-2]
ENSDARG00000056554	1.6809952057e-06	0.00171596810596	23	22267374	22425257	1	protein_coding	rap1gap	RAP1 GTPase activating protein [Source:ZFIN;Acc:ZDB-GENE-080402-9]
ENSDARG00000006219	1.80176553544e-06	0.00179545935607	11	3959495	3971035	1	protein_coding	gnl3	guanine nucleotide binding protein-like 3 (nucleolar) [Source:NCBI gene;Acc:321897]
ENSDARG00000098671	1.92728771187e-06	0.00187587843267	14	16034447	16044793	1	protein_coding	prelid1a	PRELI domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1341]
ENSDARG00000034043	2.15134266546e-06	0.00202043564318	7	35706765	35710263	-1	protein_coding	irx5a	iroquois homeobox 5a [Source:ZFIN;Acc:ZDB-GENE-010716-2]
ENSDARG00000006299	2.17235571986e-06	0.00202043564318	9	21535885	21570566	1	protein_coding	arhgef7a	Rho guanine nucleotide exchange factor (GEF) 7a [Source:ZFIN;Acc:ZDB-GENE-060322-11]
ENSDARG00000008142	2.46728312969e-06	0.00224485219189	23	1661743	1698431	1	protein_coding	stxbp3	syntaxin binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2833]
ENSDARG00000098350	2.54894755702e-06	0.00226981068306	14	16068318	16082806	-1	protein_coding	mxd3	MAX dimerization protein 3 [Source:NCBI gene;Acc:394031]
ENSDARG00000033916	2.85618683538e-06	0.00247325777112	20	38620666	38670696	1	protein_coding	si:ch211-243j20.2	si:ch211-243j20.2 [Source:ZFIN;Acc:ZDB-GENE-041014-345]
ENSDARG00000086851	2.98232347873e-06	0.00247325777112	11	40148181	40168378	1	protein_coding	si:dkey-264d12.5	si:dkey-264d12.5 [Source:ZFIN;Acc:ZDB-GENE-141215-20]
ENSDARG00000059483	3.01691838589e-06	0.00247325777112	7	65813301	65924821	1	protein_coding	tead1b	TEA domain family member 1b [Source:ZFIN;Acc:ZDB-GENE-091013-5]
ENSDARG00000045027	3.09027424961e-06	0.00247325777112	9	54686686	54704498	1	protein_coding	rab9a	RAB9A, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-060825-293]
ENSDARG00000031658	3.12874680741e-06	0.00247325777112	2	29795833	29896572	1	protein_coding	si:ch211-207d6.2	si:ch211-207d6.2 [Source:ZFIN;Acc:ZDB-GENE-070912-185]
ENSDARG00000053535	3.1690134964e-06	0.00247325777112	1	34365845	34450784	-1	protein_coding	lmo7b	LIM domain 7b [Source:ZFIN;Acc:ZDB-GENE-060825-242]
ENSDARG00000094088	3.19107159918e-06	0.00247325777112	8	14085894	14091886	-1	protein_coding	si:ch211-229n2.7	si:ch211-229n2.7 [Source:ZFIN;Acc:ZDB-GENE-030131-8579]
ENSDARG00000003081	3.27535260369e-06	0.00249242422768	6	55032439	55082533	1	protein_coding	mybphb	myosin binding protein Hb [Source:ZFIN;Acc:ZDB-GENE-030131-9794]
ENSDARG00000075156	3.40743208549e-06	0.00254662955489	9	30585552	30639362	1	protein_coding	tbc1d4	TBC1 domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9881]
ENSDARG00000007813	3.69639564957e-06	0.00267033102224	18	45862414	45887894	1	protein_coding	rnpepl1	arginyl aminopeptidase like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5522]
ENSDARG00000022000	3.70055191479e-06	0.00267033102224	17	29227502	29249258	-1	protein_coding	traf3	TNF receptor-associated factor 3 [Source:ZFIN;Acc:ZDB-GENE-040801-257]
ENSDARG00000030107	3.77763202009e-06	0.00267974971079	20	21638397	21806170	-1	protein_coding	si:ch211-207i1.2	si:ch211-207i1.2 [Source:ZFIN;Acc:ZDB-GENE-041014-149]
ENSDARG00000103735	4.1667157894e-06	0.0029064925989	11	13094179	13152524	-1	protein_coding	elovl1b	ELOVL fatty acid elongase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2755]
ENSDARG00000029556	4.2972794293e-06	0.00293403996926	8	51304099	51340931	-1	protein_coding	kansl3	KAT8 regulatory NSL complex subunit 3 [Source:NCBI gene;Acc:555951]
ENSDARG00000061096	4.34641430946e-06	0.00293403996926	7	29278580	29292206	-1	protein_coding	dapk2a	death-associated protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-080402-8]
ENSDARG00000111326	4.59644887074e-06	0.00305357419979	4	19903784	19921410	-1	protein_coding	BX323820.1	cadherin-related family member 5, related sequence [Source:NCBI gene;Acc:561298]
ENSDARG00000037646	4.92796821083e-06	0.00322266021137	1	9886991	9914630	1	protein_coding	rgs11	regulator of G protein signaling 11 [Source:ZFIN;Acc:ZDB-GENE-080220-46]
ENSDARG00000076622	5.03108755534e-06	0.00323947857621	11	34116734	34188346	-1	protein_coding	atp13a3	ATPase 13A3 [Source:ZFIN;Acc:ZDB-GENE-120521-1]
ENSDARG00000068457	5.16856927402e-06	0.00325317817952	7	39444843	39460363	1	protein_coding	tnnt3b	troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]
ENSDARG00000016443	5.20782113655e-06	0.00325317817952	12	3944229	3962372	-1	protein_coding	eif3c	eukaryotic translation initiation factor 3, subunit C [Source:NCBI gene;Acc:334234]
ENSDARG00000103735	5.45291771081e-06	0.00333166670247	11	13094179	13152524	-1	protein_coding	elovl1b	ELOVL fatty acid elongase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2755]
ENSDARG00000103435	5.4926768086e-06	0.00333166670247	13	23132666	23226460	1	protein_coding	sorbs1	sorbin and SH3 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-090313-168]
ENSDARG00000075133	5.68821613378e-06	0.00340098442639	16	37470717	37630250	1	protein_coding	adgrb1a	adhesion G protein-coupled receptor B1a [Source:ZFIN;Acc:ZDB-GENE-060607-12]
