Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000015654	3.69883013107e-11	6.50698196658e-07	12	4320041	4331117	-1	protein_coding	ca15a	carbonic anhydrase XVa [Source:ZFIN;Acc:ZDB-GENE-070424-7]
ENSDARG00000075670	1.05647490756e-10	7.0359672577e-07	6	40671336	40689042	1	protein_coding	rereb	arginine-glutamic acid dipeptide (RE) repeats b [Source:ZFIN;Acc:ZDB-GENE-070212-3]
ENSDARG00000020574	1.2621836909e-10	7.0359672577e-07	3	26081343	26157066	1	protein_coding	atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
ENSDARG00000002710	2.23261964472e-10	7.0359672577e-07	22	36673312	36690751	-1	protein_coding	ncl	nucleolin [Source:ZFIN;Acc:ZDB-GENE-030131-6986]
ENSDARG00000053878	2.29031349441e-10	7.0359672577e-07	8	38421333	38477817	-1	protein_coding	inpp5l	inositol polyphosphate-5-phosphatase L [Source:ZFIN;Acc:ZDB-GENE-051127-29]
ENSDARG00000042319	2.39971598148e-10	7.0359672577e-07	20	26939742	26946248	1	protein_coding	cdca4	cell division cycle associated 4 [Source:ZFIN;Acc:ZDB-GENE-030131-1695]
ENSDARG00000017067	5.704059447e-10	1.43351162559e-06	10	25204626	25213025	1	protein_coding	chordc1b	cysteine and histidine-rich domain (CHORD) containing 1b [Source:NCBI gene;Acc:393310]
ENSDARG00000075670	1.00481967191e-09	2.20959845853e-06	6	40671336	40689042	1	protein_coding	rereb	arginine-glutamic acid dipeptide (RE) repeats b [Source:ZFIN;Acc:ZDB-GENE-070212-3]
ENSDARG00000104808	3.90907972658e-09	7.64094783889e-06	21	249970	294747	1	protein_coding	jak2a	Janus kinase 2a [Source:ZFIN;Acc:ZDB-GENE-980526-481]
ENSDARG00000104177	1.62831833572e-08	2.8645376162e-05	24	31374324	31404622	1	protein_coding	cpne3	copine III [Source:ZFIN;Acc:ZDB-GENE-040426-763]
ENSDARG00000020574	3.26418481134e-08	5.22032174555e-05	3	26081343	26157066	1	protein_coding	atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
ENSDARG00000058371	6.43752854357e-08	9.43741684487e-05	23	10173196	10177458	-1	protein_coding	krt5	keratin 5 [Source:ZFIN;Acc:ZDB-GENE-991110-23]
ENSDARG00000035556	1.21991471813e-07	0.000165082613241	5	24009668	24029228	-1	protein_coding	rps6ka3a	ribosomal protein S6 kinase a, polypeptide 3a [Source:ZFIN;Acc:ZDB-GENE-030219-119]
ENSDARG00000061858	4.13280203948e-07	0.000505180356548	3	21225750	21230668	1	protein_coding	zgc:153968	zgc:153968 [Source:ZFIN;Acc:ZDB-GENE-061027-211]
ENSDARG00000075380	4.30747234437e-07	0.000505180356548	3	19336286	19355200	1	protein_coding	kri1	KRI1 homolog [Source:NCBI gene;Acc:402800]
ENSDARG00000041595	6.77228641721e-07	0.000657052487189	18	17418254	17426306	1	protein_coding	ces3	carboxylesterase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9563]
