Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_het_3 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_1 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000091783	0.10733565070677048	0.7336771500946294	-0.9376956627358379	3	30998362	31019832	-1	protein_coding	si:dkeyp-71f10.5	si:dkeyp-71f10.5 [Source:ZFIN;Acc:ZDB-GENE-131121-547]	197	100	67	244	64	140	95	92	72	68	239	80	193	458	405	32	328	177	241	95	32	87	366	211.38129040693582	77.47613272202959	61.10992643191252	361.8245255705806	69.65944714671399	168.70999690695007	120.66392565290118	66.37354521559679	53.383066235826355	54.56024991563669	168.29858586354612	76.75028608474841	184.39216329489958	312.9878789910532	551.62289296483425	31.542036423830655	392.12107450331763	170.9633286515223	259.13826415714755	124.47759241003678	32.10498724597733	86.07831409759982	413.38307913938263	1.1394584583450384
ENSDARG00000104773	0.6372931311160688	0.9894778713865061	-0.8607607249492438	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	0	684	2	0	0	222	0	1	333	332	385	271	331	519	282	517	0	274	0	237	292	0	310	0	529.9367478186824	1.824176908415299	0	0	267.5258522381637	0	0.7214515784304	246.8966813406969	266.3823966469321	271.10860065885043	259.99159411208524	316.23733704980185	354.67403754663013	384.09297732366235	509.60102597251404	0	264.6550963306051	0	310.5388358018812	292.95800861954314	0	350.13320910712736	1.0837428989727478
ENSDARG00000092788	0.6477762232549809	0.9894778713865061	-0.3489821288495291	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	216	371	38	98	35	248	43	196	1	502	327	133	308	16	228	73	272	365	290	275	356	170	361	231.76831841572658	287.4364523987298	34.65936125989068	145.322965188184	38.09501015835921	298.85770880659726	54.61630319026054	141.4045093723584	0.7414314754975883	402.7830214360238	230.2662660141405	127.59735061589423	294.26314142398485	10.9340743752333	310.54325826168446	71.95527059186368	325.173573978361	352.551496936755	311.826126994078	360.3298727658959	357.1679831114978	168.19900455852837	407.73576931507415	0.9545269944798455
ENSDARG00000071644	0.7633453987871504	0.9929141661946842	-0.37655934537106994	22	6487048	6499077	-1	protein_coding	si:dkey-19a16.7	si:dkey-19a16.7 [Source:ZFIN;Acc:ZDB-GENE-060503-903]	219	326	152	204	113	225	121	189	149	215	155	138	308	412	138	0	0	132	120	0	0	0	132	234.98732283816722	252.57219267381646	138.63744503956272	302.5090295754034	122.99246136841688	271.1410664575983	153.68773688422152	136.3543483233456	110.47328984914066	172.50667252738072	109.14761844706966	132.39424349619102	294.26314142398485	281.5524151622575	187.96039315838797	0	0	127.4980756045251	129.0315008251357	0	0	0	149.08897936174455	0.8966128466943014
ENSDARG00000094077	0.6755222169264836	0.9894778713865061	-0.2835067162021449	22	19311411	19313738	1	protein_coding	si:dkey-21e2.16	si:dkey-21e2.16 [Source:ZFIN;Acc:ZDB-GENE-050208-698]	189	336	41	70	44	175	44	183	4	354	249	92	283	15	191	55	155	261	181	164	187	116	239	202.79727861376074	260.3198059460194	37.39562662251363	103.80211799156001	47.89086991336587	210.8874961336876	55.88644977608055	132.0256388527632	2.965725901990353	284.0342422078733	175.34036769884094	88.26282899746067	270.3781461785315	10.250694726781218	260.1480803858848	54.21287510345894	185.30111752443364	252.0984676725837	194.6225137445797	214.88763321311612	187.61351921868	114.77108546346642	269.9414096019466	0.8477164069496317
ENSDARG00000045835	0.5053117564379156	0.9766341178179344	-0.6544672094336029	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	2321	932	0	711	756	660	34	2128	185	897	1887	1038	755	2	651	142	631	581	806	82	1146	649	653	2490.4364214949137	722.0775569693158	0	1054.3329413142737	822.852219420559	795.3471282756218	43.18498391788042	1535.2489588998912	137.16482296705382	719.7138849165605	1328.7842323201319	995.8349619496106	721.3268564126901	1.3667592969041624	886.682724247178	139.96778663074852	754.3548719865653	561.1847115623415	866.6615805421616	107.44381660655806	1149.759855746563	642.1244350499112	737.5386630546909	0.8060003156020737
ENSDARG00000019763	0.838893704845797	0.9943998131610338	-0.10346771906356685	6	8355122	8362516	-1	protein_coding	acp5a	acid phosphatase 5a, tartrate resistant [Source:ZFIN;Acc:ZDB-GENE-040426-2864]	46	147	116	93	57	98	93	101	52	51	171	131	107	86	151	46	141	120	54	28	81	22	309	49.35806781075659	113.8899151013835	105.80226068808734	137.90852818878687	62.04044511504215	118.09699783486505	118.12363248126117	72.8666094214704	38.55443672587459	40.92018743672752	120.41446938354137	125.67859346377553	102.22777965054019	58.77064976687899	205.6668070066419	45.341677359256565	168.56424239319446	115.90734145865918	58.06417537131107	36.68813249980031	81.26574896638012	21.766930001691907	349.0037471422657	0.7586828732501203
ENSDARG00000088885	0.8549604425104471	0.9950404932537883	-0.10692233955686052	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	531	343	698	434	480	319	202	768	720	398	716	582	309	390	774	253	247	319	33	219	36	29	333	569.7637827719944	265.7431352365615	636.6377410369394	643.573131547672	522.4458536003549	384.41777866655053	256.56961033564255	554.0748122345472	533.8306623582636	319.3379333297559	504.1915794071089	558.3583312665447	295.21854123380297	266.5180628963117	1054.21263988835	249.3792254759111	295.286296958291	308.1203493776023	35.48366272691232	286.9536077662953	36.11811065172449	28.692771365866605	376.1108342989465	0.7448666448046444
ENSDARG00000024278	0.27260254064461875	0.9077631805922914	-0.3268115160505895	13	12633223	12646752	-1	protein_coding	adh8b	alcohol dehydrogenase 8b [Source:ZFIN;Acc:ZDB-GENE-030529-2]	2790	2112	1721	1133	1464	750	1191	3159	3615	2109	3639	1688	1383	2564	561	1695	2103	1718	1707	1856	1610	2393	541	2993.674112869802	1636.2959230892648	1569.7042296913648	1680.1114240633926	1593.4598534810825	903.8035548586611	1512.744583711635	2279.0655362616335	2680.2747839237813	1692.1701040011437	2562.504409863784	1619.4310363881914	1321.3179369784773	1752.1854186311364	764.0998591438815	1670.74224182478	2514.1177429282834	1659.4067718831373	1835.4730992375555	2431.899068558192	1615.2821708132342	2367.6483406385787	611.0389229901804	0.7164938520808808
ENSDARG00000058794	0.413454467605113	0.9570420910790566	-0.4962619109944486	22	6073628	6082447	-1	protein_coding	si:dkey-19a16.2	si:dkey-19a16.2 [Source:ZFIN;Acc:ZDB-GENE-050208-493]	293	377	174	209	140	236	131	210	181	194	262	174	319	438	105	13	18	172	132	16	10	22	140	314.3894319250365	292.0850203620515	158.703391032131	309.9234665748006	152.38004063343683	284.39685192885867	166.38920274242165	151.504831470384	134.19909706506348	155.65718358284585	184.4946840847242	166.93187223432778	304.77253933198426	299.3202860220116	143.0133426205126	12.813952297181203	21.518839454450358	166.1338560907448	141.93465090764929	20.964647142743036	10.032808514367915	21.766930001691907	158.12467508063816	0.711663391232699
ENSDARG00000103973	0.9800051216411702	0.9996252315481121	-0.03262408956802979	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	136	333	4	428	618	215	442	3	435	754	1	0	4	1	0	0	2	2	1	0	4	1	4	145.92820048397598	257.99552196435855	3.648353816830598	634.6758071483955	672.6490365104569	259.09035239281616	561.4047909324455	2.1643547352912	322.5226918414509	604.9768887704421	0.7041781835294817	0	3.82159923927253	0.6833796484520812	0	0	2.3909821616055953	1.9317890243109863	1.075262506876131	0	4.013123405747166	0.9894059091678139	4.517847859446805	0.7091518484275295
ENSDARG00000091209	0.2221330729621619	0.8760306801406477	-0.33792762297174134	10	36650222	36656693	1	protein_coding	ucp3	uncoupling protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1317]	306	699	335	285	467	444	248	518	361	380	819	297	392	459	1022	420	417	464	614	296	515	525	1016	328.338451088946	541.5581677269868	305.5496321595626	422.6229089656372	508.2962783986786	535.0517044763274	314.99635328336313	373.7119176269472	267.65676265462935	304.8955142344403	576.7219323106455	284.93543708962846	374.516725448708	313.6712586395053	1391.9965348396559	413.98922806277733	498.5197806947666	448.1750536401488	660.2111792219445	387.84597214074614	516.6896384899476	519.4381023131023	1147.5333562994883	0.6733144541088214
ENSDARG00000091847	0.724549375978591	0.9924367303530299	-0.3408980580692185	15	42723126	42736433	-1	protein_coding	si:ch211-181d7.1	si:ch211-181d7.1 [Source:ZFIN;Acc:ZDB-GENE-121214-14]	279	159	130	235	310	207	124	423	334	155	494	285	180	167	283	169	147	151	0	144	0	0	171	299.36741128698014	123.18705102802704	118.57149904699443	348.4785389716657	337.41294711689585	249.44978114099047	157.49817664168157	305.1740176760592	247.63811281619448	124.36527554299539	347.86402266356396	273.4228941769162	171.97196576726387	114.12440129149756	385.4550091581434	166.58137986335564	175.73718887801127	145.85007133547947	0	188.6818242846873	0	0	193.1379959913509	0.6677529761735543
ENSDARG00000103634	0.912262325029283	0.9971419805250347	-0.2799355088872976	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	178	257	0	427	547	203	390	0	635	723	0	0	0	0	0	0	0	0	0	0	0	0	0	190.99426239814505	199.11366109561604	0	633.192919748516	595.3705873320711	244.6294955150776	495.3571684698049	0	470.80898694096857	580.103833661843	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65967886530957065
ENSDARG00000090600	0.08672733582434905	0.6924985106432097	1.203616383282551	22	8979955	8996337	1	protein_coding	si:ch211-213a13.1	si:ch211-213a13.1 [Source:ZFIN;Acc:ZDB-GENE-050208-471]	14	9	155	3	142	12	101	173	186	201	192	126	18	17	94	241	214	117	122	192	263	274	125	15.022020638056352	6.972851944982663	141.37371040218568	4.448662199638286	154.55689835677165	14.460856877738577	128.28480516782128	124.8111230684592	137.90625444255141	161.2736798976908	135.2022112376605	120.88170058347875	17.197196576726387	11.617454023685381	128.03099244122077	237.55096181697462	255.8350912917987	113.0096579221927	131.18202583888797	251.57576571291642	263.86286392787616	271.097219111981	141.18274560771266	0.640498768338554
ENSDARG00000058225	0.3430479889667561	0.9373843281177936	1.306348696314661	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	0	4	8	2	6	0	2	2	3	4	0	1	2	618	2	1	307	442	2	3	2	1	316	0	3.0990453088811836	7.296707633661196	2.9657747997588575	6.530573170004436	0	2.540293171640025	1.4429031568608	2.2242944264927647	3.2094264656256875	0	0.9593785760593552	1.910799619636265	422.3286227433862	2.7240636689621445	0.985688638244708	367.0157618064589	426.92537437272796	2.150525013752262	3.930871339264319	2.006561702873583	0.9894059091678139	356.90998089629755	0.636343905517801
ENSDARG00000077058	0.0683883768732671	0.6431637693143369	1.807189529172675	22	7742211	7754391	1	protein_coding	cela1.5	chymotrypsin like elastase family member 1, tandem duplicate 5 [Source:ZFIN;Acc:ZDB-GENE-040801-186]	5	1	202	1	73	0	21	123	164	107	43	193	5	4	65	110	147	105	121	328	472	104	85	5.3650073707344115	0.7747613272202959	184.24186774994521	1.4828873998794287	79.45530690172065	0	26.673078302220265	88.7385441469392	121.59476198160448	85.85215795548714	30.279661891767713	185.16006517945556	4.776999049090663	2.733518593808325	88.5320692412697	108.42575020691788	175.73718887801127	101.41892377632678	130.10676333201184	429.77526642623224	473.5485618781656	102.89821455345265	96.0042670132446	0.6358793849758896
ENSDARG00000068621	0.8502846601059934	0.9943998131610338	-0.18281359355063684	15	42741272	42760110	-1	protein_coding	si:ch211-181d7.3	si:ch211-181d7.3 [Source:ZFIN;Acc:ZDB-GENE-121214-30]	340	178	191	199	398	254	149	468	450	285	501	335	163	214	307	194	134	154	0	132	0	0	196	364.82050120993995	137.90751624521266	174.20889475366107	295.0945925760063	433.1946869436276	306.08813724546656	189.25184128718186	337.6393387054272	333.6441639739147	228.67163567583023	352.79326994827034	321.39182297988395	155.7301690003556	146.24324476874537	418.14377318568916	191.22359581947336	160.19580482757488	148.74775487194594	0	172.95833892763005	0	0	221.37454511289343	0.6126579081060277
ENSDARG00000056080	0.842435264905213	0.9943998131610338	-0.06925782735705177	13	21712284	21739142	-1	protein_coding	si:dkey-191g9.5	si:dkey-191g9.5 [Source:ZFIN;Acc:ZDB-GENE-090313-217]	493	521	469	155	453	196	201	673	571	252	725	227	538	354	159	461	655	474	649	514	406	793	212	528.9897267544129	403.65065148177416	427.76948502338763	229.84754698131144	493.05827433533494	236.1939956697301	255.2994637498225	485.5369122836592	423.3573725091229	202.19386733441831	510.52918305887425	217.77893676547362	514.0050976821553	241.91639555203676	216.56306168249048	454.4024622308104	783.0466579258325	457.83399876170375	697.845366962609	673.4892894606201	407.33202568333735	784.5988859700765	239.44593655068064	0.6085160156958113
ENSDARG00000007906	0.3024048693424129	0.9249771949864536	-0.4296247739844566	12	16132612	16229402	1	protein_coding	lrp2b	low density lipoprotein receptor-related protein 2b [Source:ZFIN;Acc:ZDB-GENE-111115-1]	121	361	149	81	107	325	160	137	122	199	173	100	180	74	188	83	201	279	306	240	118	225	376	129.83317837177276	279.68883912652683	135.9011796769398	120.11387939023372	116.46188819841244	391.64820710541983	203.223453731202	98.83886624496479	90.45464001070577	159.66896666487796	121.82282575060033	95.93785760593552	171.97196576726387	50.57009398545401	256.06198488244155	81.81215697431077	240.29370724136234	269.4845688913826	329.03032710409605	314.46970714114553	118.3871404695414	222.61632956275812	424.67769878799965	0.6042961206923708
ENSDARG00000097973	0.759608938889418	0.9929141661946842	-0.3018016693002715	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	379	312	448	288	359	305	173	593	618	252	594	374	196	305	411	201	208	194	0	175	0	0	179	406.6675587016684	241.72553409273232	408.615627485027	427.07157116527543	390.74596133859876	367.5467789758555	219.73535934686217	427.82078600922716	458.20465185750953	202.19386733441831	418.28184101651215	358.80758744619885	187.258362724354	208.4307927778848	559.7950839717207	198.1234162871863	248.66214480698193	187.38353535816566	0	229.30082812375196	0	0	202.17369171024453	0.5974191381255219
ENSDARG00000092532	0.5034291651760787	0.9766341178179344	-0.4223475359738903	22	19188809	19268278	1	protein_coding	si:dkey-21e2.8	si:dkey-21e2.8 [Source:ZFIN;Acc:ZDB-GENE-050208-459]	75	134	23	24	26	87	16	70	4	159	113	33	78	14	82	12	89	110	91	112	85	62	130	80.47511056101617	103.81801784751964	20.97803444677594	35.58929759710629	28.299150403352556	104.84121236360468	20.3223453731202	50.501610490128	2.965725901990353	127.57470200862107	79.57213473883144	31.65949300995872	74.52118516581434	9.567315078329138	111.68661042744792	11.828263658936496	106.398706191449	106.24839633710424	97.84888812572791	146.75252999920124	85.27887237212728	61.34316636840446	146.83005543202117	0.592104359301077
ENSDARG00000035438	0.8993955755165389	0.9970051087054285	0.07916827478183787	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	1023	1910	1026	756	1117	573	908	1504	615	1027	1761	1127	1261	1374	1188	35	574	32	19	607	794	710	681	1097.6805080522606	1479.794134990765	935.8027540170484	1121.062874308848	1215.7750384824926	690.505915912017	1153.2930999245714	1085.0631739593216	455.9803574310168	824.0202450493953	1240.0577811954172	1081.2196552188932	1204.759160180665	938.9636369731596	1618.0938193635138	34.49910233856478	686.2118803808058	30.90862438897578	20.429987630646487	795.3463009778139	796.6049960408125	702.4781955091479	769.1635980708185	0.577233625704607
ENSDARG00000095147	0.5952499356182082	0.9866941193886402	0.17807099573740853	22	11775269	11779560	1	protein_coding	krt96	keratin 96 [Source:ZFIN;Acc:ZDB-GENE-030131-221]	217	503	365	211	406	355	256	268	229	453	366	282	456	611	309	59	205	261	266	133	261	174	352	232.84131988987346	389.70494759180883	332.91228578579205	312.88924137455945	441.90211783696685	427.80034929976625	325.1575259699232	193.3490230193472	169.78780788894773	363.4675472321091	257.7292151717903	270.54475844873815	435.66231327706845	417.5449652042216	420.86783685465133	58.15562965643777	245.07567156457353	252.0984676725837	286.0198268290508	174.26862937405147	261.8563022250026	172.15662819519963	397.5706116313188	0.5739517840160138
ENSDARG00000068194	0.18123930792110812	0.8368780261177396	-0.26967019601256625	5	26075230	26078165	1	protein_coding	klf9	Kruppel-like factor 9 [Source:ZFIN;Acc:ZDB-GENE-060526-244]	815	2172	1057	1106	1100	869	1010	1621	1278	1228	2402	898	1225	1545	1870	1153	896	1589	1394	1154	1291	1190	2031	874.496201429709	1682.7816027224826	964.0774960974856	1640.073464266648	1197.2717478341467	1047.2070522295687	1282.8480516782126	1169.4730086356783	947.5494256859178	985.2939249470861	1691.435996837815	861.521961301301	1170.3647670272123	1055.8215568584656	2546.999530479605	1136.4989998961482	1071.1600083993067	1534.8063798150786	1498.9159345853266	1512.0751751703415	1295.2355792048977	1177.3930319096985	2293.937250634115	0.5620391765205517
ENSDARG00000101026	0.21874734740479745	0.87339972997395	-0.7738640155218226	KN150709.1	28312	30914	-1	protein_coding	CABZ01038709.1	NA	36	201	32	24	27	161	117	44	41	37	39	26	38	37	85	17	121	136	135	109	29	162	247	38.62805306928776	155.72702677127947	29.186830534644784	35.58929759710629	29.387579265019962	194.01649644299258	148.60715054094146	31.7438694509376	30.39869049540112	29.68719480703761	27.462949157649785	24.943842977543234	36.30519277308904	25.285046992727004	115.77270593089114	16.756706850160036	144.6544207771385	131.36165365314707	145.16043842827767	142.82165865993693	29.095144691666952	160.28375728518586	278.97710532084017	0.5482647237368464
