GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000000212	0	-0.2074297462717054	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000003146	0	-0.2346501333336359	si:dkey-27m7.4	si:dkey-27m7.4 [Source:ZFIN;Acc:ZDB-GENE-090313-297]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000007751	0	-0.1256041238286203	lmnl3	lamin L3 [Source:ZFIN;Acc:ZDB-GENE-020424-4]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000010008	0	-0.3728457048940984	vim	vimentin [Source:ZFIN;Acc:ZDB-GENE-011212-3]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000011998	0	-0.0084178480264691935	bfsp2	beaded filament structural protein 2, phakinin [Source:ZFIN;Acc:ZDB-GENE-041212-58]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000012281	0	-0.05715124999689965	zgc:65851	zgc:65851 [Source:ZFIN;Acc:ZDB-GENE-030131-9669]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000013415	0	-0.15666644995020543	lmna	lamin A [Source:ZFIN;Acc:ZDB-GENE-020424-3]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000014356	0	-0.5593253390738867	krt95	kertain 95 [Source:ZFIN;Acc:ZDB-GENE-040718-88]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000019365	0	-0.037011017107383595	krt99	keratin 99 [Source:ZFIN;Acc:ZDB-GENE-050417-50]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000021351	0	-0.012663363709874335	nefma	neurofilament, medium polypeptide a [Source:ZFIN;Acc:ZDB-GENE-050522-205]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000025301	0	-0.1908535331227961	gfap	glial fibrillary acidic protein [Source:NCBI gene;Acc:30646]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000026979	0	-0.06856496612641642	krt1-c5	keratin, type 1, gene c5 [Source:ZFIN;Acc:ZDB-GENE-060316-3]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000028306	0	-0.1453790698260413	prph	peripherin [Source:ZFIN;Acc:ZDB-GENE-990415-207]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000028533	0	-0.10691481958501634	macf1a	microtubule actin crosslinking factor 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3606]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000028618	0	-0.25493004083467175	krt18b	keratin 18b [Source:ZFIN;Acc:ZDB-GENE-040426-1508]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000034836	0	-0.33828970998663427	si:dkey-222n6.2	si:dkey-222n6.2 [Source:ZFIN;Acc:ZDB-GENE-031118-10]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000036830	0	-0.17117486676058272	krt91	keratin 91 [Source:ZFIN;Acc:ZDB-GENE-040801-181]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000036834	0	-0.23303935875500753	krt92	keratin 92 [Source:ZFIN;Acc:ZDB-GENE-050417-363]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000041339	0	-0.31804542098774935	zgc:92380	zgc:92380 [Source:ZFIN;Acc:ZDB-GENE-040801-221]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000043242	0	-0.16692217936234513	si:dkey-222f2.1	si:dkey-222f2.1 [Source:ZFIN;Acc:ZDB-GENE-050208-726]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000043697	0	-0.20498393156635467	nefmb	neurofilament, medium polypeptide b [Source:ZFIN;Acc:ZDB-GENE-070103-4]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000044976	0	-0.5411623188140142	krt93	keratin 93 [Source:ZFIN;Acc:ZDB-GENE-060421-4592]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000053201	0	-0.01614315982807634	zgc:172323	zgc:172323 [Source:ZFIN;Acc:ZDB-GENE-080204-113]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000054321	0	-0.3328065311467284	ngs	notochord granular surface [Source:ZFIN;Acc:ZDB-GENE-080722-29]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000055192	0	-0.21277027504878798	zgc:136930	zgc:136930 [Source:ZFIN;Acc:ZDB-GENE-060312-16]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000056248	0	-0.19106363800625986	si:dkey-183i3.5	si:dkey-183i3.5 [Source:ZFIN;Acc:ZDB-GENE-030131-8568]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000057568	0	-0.011058384100124871	nefla	neurofilament, light polypeptide a [Source:ZFIN;Acc:ZDB-GENE-091117-1]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000058332	0	-0.15007844141619145	krt18a.2	keratin 18a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-090312-205]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000058358	0	-0.2449711349093771	krt8	keratin 8 [Source:NCBI gene;Acc:797433]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000058371	0	-0.11290943577180912	krt5	keratin 5 [Source:ZFIN;Acc:ZDB-GENE-991110-23]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000058462	0	-0.006839003468386242	zgc:158846	zgc:158846 [Source:ZFIN;Acc:ZDB-GENE-070209-50]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000062101	0	-0.15754719912202708	iffo2a	intermediate filament family orphan 2a [Source:ZFIN;Acc:ZDB-GENE-090313-342]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000062108	0	-0.12307564166235861	iffo1b	intermediate filament family orphan 1b [Source:ZFIN;Acc:ZDB-GENE-050208-308]
GO:0005882	intermediate filament	52	7	0.6	1.9e-06	ENSDARG00000062590	0	-0.07726341318086453	pleca	plectin a [Source:ZFIN;Acc:ZDB-GENE-030131-8984]
