ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	4247	4261	4862	4876	2400	2465	5093	5187
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7075	7189	8092	8206	5967	6102	8711	9353
2	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	7598	7712	8092	8206	7075	7189	8711	9353
3	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496
4	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	21691	21820	28357	28501	20488	21274	28820	29071
5	"ENSDARG00000102793"	"slc16a6a"	chrKN150708.1	-	28357	28501	28820	29071	21691	21820	31494	31870
6	"ENSDARG00000104276"	NA	chrKN150326.1	-	96102	96203	102054	102197	91206	91364	104319	104400
7	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	51719	51804	55044	55141	44639	44839	57764	57910
8	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	55044	55141	57764	57910	51719	51804	58292	58376
9	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	42185	42359	205549	205723	28320	28494	207096	207143
10	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672
11	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609
12	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874
13	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019
14	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190
15	"ENSDARG00000009941"	"erc1a"	chr25	+	21194354	21194732	21197687	21197762	21180613	21181462	21202330	21202486
16	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276
17	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486
18	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	17044734	17044779	16977705	16977861	17238928	17239043
19	"ENSDARG00000061131"	"kif21a"	chr25	+	35742092	35742135	35743768	35743823	35742016	35742074	35744431	35744634
20	"ENSDARG00000073769"	"magi2b"	chr25	-	20788239	20788280	20800266	20800298	20785203	20785381	20811972	20812138
21	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4465344	4465499	4467553	4467701	4463285	4463361	4469397	4469458
22	"ENSDARG00000096922"	"CR376745.1"	chr25	+	30178939	30179035	30182513	30182654	30173115	30173671	30192071	30192167
23	"ENSDARG00000061282"	"glg1a"	chr25	-	37221383	37221547	37222025	37222132	37219995	37220058	37223286	37223407
24	"ENSDARG00000009299"	"dusp8a"	chr25	-	23015607	23015746	23030310	23030665	22982691	22982858	23052425	23052707
25	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3007561	3007708	3001179	3001388	3008045	3008297
26	"ENSDARG00000103878"	"anpepb"	chr25	+	10825827	10825968	10826834	10826916	10825573	10825741	10827258	10827771
27	"ENSDARG00000018061"	"neil1"	chr25	-	26830496	26830616	26831697	26832174	26830063	26830166	26833053	26833100
