GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000000563	0		ttn.1	titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000001431	0		actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000002084	0		lamb2	laminin, beta 2 (laminin S) [Source:ZFIN;Acc:ZDB-GENE-081030-4]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000002589	0		mylpfb	myosin light chain, phosphorylatable, fast skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-040912-115]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000002988	0		tnnt2d	troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000003259	0		loxa	lysyl oxidase a [Source:ZFIN;Acc:ZDB-GENE-040426-2398]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000004049	0		marcksa	myristoylated alanine-rich protein kinase C substrate a [Source:ZFIN;Acc:ZDB-GENE-050522-145]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000004452	0		tardbpl	TAR DNA binding protein, like [Source:ZFIN;Acc:ZDB-GENE-031030-1]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000004680	0		dnajb6a	DnaJ heat shock protein family (Hsp40) member B6a [Source:ZFIN;Acc:ZDB-GENE-040718-45]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000005162	0		tpm3	tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000005221	0		desmb	desmin b [Source:ZFIN;Acc:ZDB-GENE-061027-102]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000005915	0		tcf3a	transcription factor 3a [Source:ZFIN;Acc:ZDB-GENE-990415-51]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000006603	0		csrp1a	cysteine and glycine-rich protein 1a [Source:ZFIN;Acc:ZDB-GENE-030909-4]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000006757	0		klhl41b	kelch-like family member 41b [Source:NCBI gene;Acc:321064]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000007219	0		actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000007370	0		dysf	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) [Source:ZFIN;Acc:ZDB-GENE-070501-1]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000008487	0		dmd	dystrophin [Source:ZFIN;Acc:ZDB-GENE-010426-1]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000008803	0		marcksb	myristoylated alanine-rich protein kinase C substrate b [Source:ZFIN;Acc:ZDB-GENE-030131-1921]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000009280	0		smyd1a	SET and MYND domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9825]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000009418	0		mef2cb	myocyte enhancer factor 2cb [Source:ZFIN;Acc:ZDB-GENE-040901-7]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000010472	0		atp1a2a	ATPase Na+/K+ transporting subunit alpha 2 [Source:ZFIN;Acc:ZDB-GENE-001212-6]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000011023	0		pdlim3a	PDZ and LIM domain 3a [Source:ZFIN;Acc:ZDB-GENE-050505-1]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000011545	0		arrb2b	arrestin, beta 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1332]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000011615	0		mybpc3	myosin binding protein C, cardiac [Source:ZFIN;Acc:ZDB-GENE-070112-2362]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000011821	0		plod2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000011961	0		csrp2	cysteine and glycine-rich protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1863]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000012944	0		myhz2	myosin, heavy polypeptide 2, fast muscle specific [Source:ZFIN;Acc:ZDB-GENE-020604-1]
GO:0061061	muscle structure development	135	5	0.82	0.0013	ENSDARG00000013317	0		pygmb	phosphorylase, glycogen, muscle b [Source:ZFIN;Acc:ZDB-GENE-040426-1206]
