ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSDARG00000061345"	"wwp2"	chr25	+	34762289	34762441	34762292	34762441	34760607	34760683
1	"ENSDARG00000045803"	"mfge8b"	chr25	+	19181292	19181495	19181310	19181495	19180096	19180241
2	"ENSDARG00000102889"	"sept15"	chr25	-	12901489	12901589	12901489	12901586	12902015	12902242
3	"ENSDARG00000101332"	"uba2"	chr25	-	12818896	12819048	12818896	12819045	12819141	12819241
4	"ENSDARG00000061131"	"kif21a"	chr25	+	35713119	35713299	35713128	35713299	35712490	35712625
5	"ENSDARG00000045606"	"alkbh3"	chr25	+	30238020	30238113	30238022	30238113	30237874	30237954
6	"ENSDARG00000086450"	"tdg.2"	chr25	+	18956870	18957067	18956873	18957067	18955179	18955361
7	"ENSDARG00000104384"	"agbl1"	chr25	+	11531550	11531643	11531580	11531643	11527733	11527817
8	"ENSDARG00000036671"	"tnni4b.2"	chr25	+	20091277	20091326	20091281	20091326	20091020	20091070
9	"ENSDARG00000100231"	"ccdc135"	chr25	+	13737708	13737867	13737720	13737867	13736067	13736262
10	"ENSDARG00000013990"	"ube2q2"	chr25	-	29450079	29450235	29450079	29450232	29450319	29450376
11	"ENSDARG00000070917"	"kitlga"	chr25	-	18118905	18119441	18118905	18119413	18120553	18120610
12	"ENSDARG00000002347"	"cyp11a1"	chr25	+	22321990	22322264	22321996	22322264	22321192	22321226
13	"ENSDARG00000002347"	"cyp11a1"	chr25	+	22321990	22322264	22321999	22322264	22321192	22321226
14	"ENSDARG00000002347"	"cyp11a1"	chr25	+	22321996	22322264	22321999	22322264	22321192	22321226
15	"ENSDARG00000018566"	"flnca"	chr25	+	35034054	35034302	35034057	35034302	35033941	35033965
16	"ENSDARG00000012603"	"eif3ja"	chr25	-	31904937	31905055	31904937	31905052	31905464	31905556
17	"ENSDARG00000012603"	"eif3ja"	chr25	-	31904937	31905055	31904937	31905052	31906800	31906858
