GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0048306	calcium-dependent protein binding	10	3	0.11	0.00015	ENSDARG00000009978,ENSDARG00000011400,ENSDARG00000015543,ENSDARG00000025254,ENSDARG00000037539,ENSDARG00000055514,ENSDARG00000055589,ENSDARG00000070702,ENSDARG00000089441,ENSDARG00000101181
GO:0005509	calcium ion binding	393	12	4.34	0.00124	ENSDARG00000000086,ENSDARG00000000161,ENSDARG00000001572,ENSDARG00000001721,ENSDARG00000002192,ENSDARG00000002336,ENSDARG00000002632,ENSDARG00000003216,ENSDARG00000003706,ENSDARG00000003994,ENSDARG00000004232,ENSDARG00000004470,ENSDARG00000005023,ENSDARG00000005112,ENSDARG00000005115,ENSDARG00000005783,ENSDARG00000006257,ENSDARG00000006467,ENSDARG00000006990,ENSDARG00000007219,ENSDARG00000007561,ENSDARG00000007804,ENSDARG00000007869,ENSDARG00000007906,ENSDARG00000008030,ENSDARG00000008127,ENSDARG00000008494,ENSDARG00000008553,ENSDARG00000008568,ENSDARG00000008982,ENSDARG00000009153,ENSDARG00000009311,ENSDARG00000009315,ENSDARG00000009346,ENSDARG00000009401,ENSDARG00000009637,ENSDARG00000009939,ENSDARG00000009978,ENSDARG00000010524,ENSDARG00000010572,ENSDARG00000010728,ENSDARG00000010758,ENSDARG00000010785,ENSDARG00000010791,ENSDARG00000010962,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011490,ENSDARG00000011640,ENSDARG00000011825,ENSDARG00000011909,ENSDARG00000012060,ENSDARG00000012138,ENSDARG00000012535,ENSDARG00000013168,ENSDARG00000013613,ENSDARG00000013649,ENSDARG00000013653,ENSDARG00000013755,ENSDARG00000013804,ENSDARG00000013976,ENSDARG00000014098,ENSDARG00000014169,ENSDARG00000014215,ENSDARG00000014246,ENSDARG00000014522,ENSDARG00000014793,ENSDARG00000015050,ENSDARG00000015156,ENSDARG00000015199,ENSDARG00000015543,ENSDARG00000015559,ENSDARG00000015662,ENSDARG00000015947,ENSDARG00000016470,ENSDARG00000016936,ENSDARG00000017141,ENSDARG00000017441,ENSDARG00000017591,ENSDARG00000017649,ENSDARG00000018397,ENSDARG00000018423,ENSDARG00000018441,ENSDARG00000018693,ENSDARG00000019096,ENSDARG00000019353,ENSDARG00000019726,ENSDARG00000019902,ENSDARG00000019990,ENSDARG00000020053,ENSDARG00000020187,ENSDARG00000020219,ENSDARG00000020279,ENSDARG00000020574,ENSDARG00000020581,ENSDARG00000020811,ENSDARG00000021389,ENSDARG00000021442,ENSDARG00000021811,ENSDARG00000022763,ENSDARG00000022817,ENSDARG00000023479,ENSDARG00000023989,ENSDARG00000024317,ENSDARG00000024433,ENSDARG00000024708,ENSDARG00000025206,ENSDARG00000025254,ENSDARG00000026406,ENSDARG00000026726,ENSDARG00000027724,ENSDARG00000028053,ENSDARG00000028071,ENSDARG00000028448,ENSDARG00000028485,ENSDARG00000028533,ENSDARG00000030153,ENSDARG00000030215,ENSDARG00000030289,ENSDARG00000031427,ENSDARG00000033738,ENSDARG00000033840,ENSDARG00000034187,ENSDARG00000034268,ENSDARG00000034714,ENSDARG00000035028,ENSDARG00000035329,ENSDARG00000035660,ENSDARG00000035682,ENSDARG00000035891,ENSDARG00000036175,ENSDARG00000036424,ENSDARG00000036456,ENSDARG00000036505,ENSDARG00000037256,ENSDARG00000037286,ENSDARG00000037488,ENSDARG00000037539,ENSDARG00000037598,ENSDARG00000037655,ENSDARG00000037961,ENSDARG00000038123,ENSDARG00000038428,ENSDARG00000039272,ENSDARG00000039273,ENSDARG00000039378,ENSDARG00000039576,ENSDARG00000039677,ENSDARG00000039757,ENSDARG00000040198,ENSDARG00000040362,ENSDARG00000040466,ENSDARG00000040684,ENSDARG00000040695,ENSDARG00000041062,ENSDARG00000041728,ENSDARG00000041864,ENSDARG00000042245,ENSDARG00000042670,ENSDARG00000043035,ENSDARG00000043130,ENSDARG00000044053,ENSDARG00000044167,ENSDARG00000044254,ENSDARG00000044319,ENSDARG00000044433,ENSDARG00000044629,ENSDARG00000044954,ENSDARG00000045129,ENSDARG00000045262,ENSDARG00000045420,ENSDARG00000045676,ENSDARG00000045737,ENSDARG00000045758,ENSDARG00000045947,ENSDARG00000045958,ENSDARG00000052094,ENSDARG00000052139,ENSDARG00000052223,ENSDARG00000052277,ENSDARG00000052375,ENSDARG00000052494,ENSDARG00000052702,ENSDARG00000052739,ENSDARG00000052748,ENSDARG00000052917,ENSDARG00000053130,ENSDARG00000053254,ENSDARG00000053625,ENSDARG00000054302,ENSDARG00000054362,ENSDARG00000054572,ENSDARG00000055093,ENSDARG00000055514,ENSDARG00000055539,ENSDARG00000055589,ENSDARG00000055592,ENSDARG00000055825,ENSDARG00000056105,ENSDARG00000056328,ENSDARG00000056535,ENSDARG00000056745,ENSDARG00000056805,ENSDARG00000056922,ENSDARG00000056978,ENSDARG00000057975,ENSDARG00000058259,ENSDARG00000058348,ENSDARG00000058579,ENSDARG00000058593,ENSDARG00000058732,ENSDARG00000059121,ENSDARG00000059123,ENSDARG00000059900,ENSDARG00000059960,ENSDARG00000060165,ENSDARG00000060298,ENSDARG00000060410,ENSDARG00000060626,ENSDARG00000060637,ENSDARG00000060638,ENSDARG00000060662,ENSDARG00000060723,ENSDARG00000060846,ENSDARG00000060877,ENSDARG00000061371,ENSDARG00000061909,ENSDARG00000062430,ENSDARG00000062632,ENSDARG00000062696,ENSDARG00000063097,ENSDARG00000063264,ENSDARG00000063358,ENSDARG00000068191,ENSDARG00000068261,ENSDARG00000068726,ENSDARG00000069360,ENSDARG00000069463,ENSDARG00000070006,ENSDARG00000070025,ENSDARG00000070074,ENSDARG00000070425,ENSDARG00000070688,ENSDARG00000070702,ENSDARG00000070953,ENSDARG00000071331,ENSDARG00000071904,ENSDARG00000073810,ENSDARG00000073883,ENSDARG00000074057,ENSDARG00000074129,ENSDARG00000074323,ENSDARG00000074794,ENSDARG00000075209,ENSDARG00000075441,ENSDARG00000075444,ENSDARG00000075549,ENSDARG00000075707,ENSDARG00000075800,ENSDARG00000075846,ENSDARG00000075960,ENSDARG00000076004,ENSDARG00000076250,ENSDARG00000076290,ENSDARG00000076564,ENSDARG00000076594,ENSDARG00000076768,ENSDARG00000077383,ENSDARG00000077570,ENSDARG00000077641,ENSDARG00000077864,ENSDARG00000077938,ENSDARG00000078088,ENSDARG00000078216,ENSDARG00000078226,ENSDARG00000078599,ENSDARG00000078898,ENSDARG00000079199,ENSDARG00000079253,ENSDARG00000079327,ENSDARG00000079388,ENSDARG00000079519,ENSDARG00000079572,ENSDARG00000079850,ENSDARG00000087013,ENSDARG00000087599,ENSDARG00000088100,ENSDARG00000088157,ENSDARG00000088475,ENSDARG00000088581,ENSDARG00000089297,ENSDARG00000089435,ENSDARG00000089441,ENSDARG00000089519,ENSDARG00000089874,ENSDARG00000089904,ENSDARG00000090081,ENSDARG00000090348,ENSDARG00000090381,ENSDARG00000090690,ENSDARG00000091043,ENSDARG00000091072,ENSDARG00000091667,ENSDARG00000092470,ENSDARG00000092659,ENSDARG00000092825,ENSDARG00000093413,ENSDARG00000093480,ENSDARG00000093628,ENSDARG00000094055,ENSDARG00000094171,ENSDARG00000094324,ENSDARG00000094380,ENSDARG00000095002,ENSDARG00000095360,ENSDARG00000096932,ENSDARG00000097063,ENSDARG00000097170,ENSDARG00000097535,ENSDARG00000097993,ENSDARG00000098237,ENSDARG00000098239,ENSDARG00000098431,ENSDARG00000098566,ENSDARG00000098645,ENSDARG00000098652,ENSDARG00000098788,ENSDARG00000098791,ENSDARG00000098824,ENSDARG00000098963,ENSDARG00000099008,ENSDARG00000099092,ENSDARG00000099137,ENSDARG00000099183,ENSDARG00000099344,ENSDARG00000099446,ENSDARG00000099487,ENSDARG00000099535,ENSDARG00000099646,ENSDARG00000099766,ENSDARG00000099786,ENSDARG00000099931,ENSDARG00000099996,ENSDARG00000100104,ENSDARG00000100506,ENSDARG00000100700,ENSDARG00000100747,ENSDARG00000100786,ENSDARG00000100825,ENSDARG00000101181,ENSDARG00000101232,ENSDARG00000101318,ENSDARG00000101338,ENSDARG00000101567,ENSDARG00000101667,ENSDARG00000101865,ENSDARG00000102095,ENSDARG00000102185,ENSDARG00000102198,ENSDARG00000102210,ENSDARG00000102415,ENSDARG00000102506,ENSDARG00000102626,ENSDARG00000102777,ENSDARG00000102808,ENSDARG00000102977,ENSDARG00000103013,ENSDARG00000103313,ENSDARG00000103498,ENSDARG00000103515,ENSDARG00000103533,ENSDARG00000103554,ENSDARG00000103602,ENSDARG00000103713,ENSDARG00000103750,ENSDARG00000103950,ENSDARG00000104007,ENSDARG00000104467,ENSDARG00000104493,ENSDARG00000104497,ENSDARG00000104722,ENSDARG00000104756,ENSDARG00000104826,ENSDARG00000105285,ENSDARG00000107353,ENSDARG00000109361,ENSDARG00000109513,ENSDARG00000109726,ENSDARG00000110781,ENSDARG00000112739,ENSDARG00000112930,ENSDARG00000112943,ENSDARG00000115651
GO:0051015	actin filament binding	112	6	1.24	0.00145	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001909,ENSDARG00000004049,ENSDARG00000005162,ENSDARG00000005210,ENSDARG00000007219,ENSDARG00000008803,ENSDARG00000009133,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010728,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011661,ENSDARG00000012972,ENSDARG00000013755,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000018162,ENSDARG00000019062,ENSDARG00000019128,ENSDARG00000021124,ENSDARG00000021200,ENSDARG00000023963,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025218,ENSDARG00000026829,ENSDARG00000032482,ENSDARG00000034240,ENSDARG00000035598,ENSDARG00000036104,ENSDARG00000036179,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000039272,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000042141,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000045262,ENSDARG00000051876,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000056090,ENSDARG00000057867,ENSDARG00000058348,ENSDARG00000059342,ENSDARG00000059574,ENSDARG00000059680,ENSDARG00000060010,ENSDARG00000060805,ENSDARG00000061579,ENSDARG00000061904,ENSDARG00000062003,ENSDARG00000062972,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073860,ENSDARG00000074201,ENSDARG00000074396,ENSDARG00000075041,ENSDARG00000075295,ENSDARG00000075989,ENSDARG00000076075,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000078211,ENSDARG00000078318,ENSDARG00000078474,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078803,ENSDARG00000079366,ENSDARG00000079900,ENSDARG00000087402,ENSDARG00000089616,ENSDARG00000090369,ENSDARG00000094181,ENSDARG00000095514,ENSDARG00000095969,ENSDARG00000098374,ENSDARG00000098650,ENSDARG00000098695,ENSDARG00000099672,ENSDARG00000099871,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000100810,ENSDARG00000100972,ENSDARG00000101441,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102180,ENSDARG00000102415,ENSDARG00000102458,ENSDARG00000103837,ENSDARG00000103962,ENSDARG00000104263,ENSDARG00000104682,ENSDARG00000110596,ENSDARG00000110698,ENSDARG00000110973,ENSDARG00000112015,ENSDARG00000112527
GO:0050662	coenzyme binding	138	6	1.52	0.00413	ENSDARG00000001873,ENSDARG00000002021,ENSDARG00000002197,ENSDARG00000002305,ENSDARG00000003675,ENSDARG00000003795,ENSDARG00000004251,ENSDARG00000004632,ENSDARG00000005891,ENSDARG00000006019,ENSDARG00000007429,ENSDARG00000007526,ENSDARG00000008785,ENSDARG00000009160,ENSDARG00000010415,ENSDARG00000011821,ENSDARG00000011890,ENSDARG00000012199,ENSDARG00000013236,ENSDARG00000015228,ENSDARG00000015343,ENSDARG00000016074,ENSDARG00000016415,ENSDARG00000016494,ENSDARG00000016721,ENSDARG00000016733,ENSDARG00000017034,ENSDARG00000017126,ENSDARG00000018976,ENSDARG00000019236,ENSDARG00000019498,ENSDARG00000019529,ENSDARG00000019838,ENSDARG00000020054,ENSDARG00000020149,ENSDARG00000020529,ENSDARG00000021154,ENSDARG00000023536,ENSDARG00000023648,ENSDARG00000025375,ENSDARG00000026348,ENSDARG00000026369,ENSDARG00000027070,ENSDARG00000029259,ENSDARG00000030278,ENSDARG00000030743,ENSDARG00000030765,ENSDARG00000030781,ENSDARG00000031976,ENSDARG00000033537,ENSDARG00000034270,ENSDARG00000034883,ENSDARG00000035544,ENSDARG00000035603,ENSDARG00000036438,ENSDARG00000036942,ENSDARG00000037378,ENSDARG00000038297,ENSDARG00000038845,ENSDARG00000038865,ENSDARG00000038900,ENSDARG00000038996,ENSDARG00000039456,ENSDARG00000040024,ENSDARG00000040190,ENSDARG00000040566,ENSDARG00000042122,ENSDARG00000042821,ENSDARG00000042853,ENSDARG00000042995,ENSDARG00000043514,ENSDARG00000044062,ENSDARG00000045398,ENSDARG00000045411,ENSDARG00000045768,ENSDARG00000051939,ENSDARG00000052734,ENSDARG00000052816,ENSDARG00000053087,ENSDARG00000053644,ENSDARG00000055370,ENSDARG00000055620,ENSDARG00000055679,ENSDARG00000057007,ENSDARG00000057128,ENSDARG00000057879,ENSDARG00000058088,ENSDARG00000058410,ENSDARG00000059035,ENSDARG00000060288,ENSDARG00000060594,ENSDARG00000060645,ENSDARG00000060679,ENSDARG00000061634,ENSDARG00000062237,ENSDARG00000062562,ENSDARG00000063319,ENSDARG00000068264,ENSDARG00000068876,ENSDARG00000068893,ENSDARG00000068910,ENSDARG00000069074,ENSDARG00000069333,ENSDARG00000069630,ENSDARG00000070029,ENSDARG00000071065,ENSDARG00000071082,ENSDARG00000071212,ENSDARG00000075209,ENSDARG00000075454,ENSDARG00000075551,ENSDARG00000075608,ENSDARG00000076317,ENSDARG00000076780,ENSDARG00000077549,ENSDARG00000078481,ENSDARG00000079946,ENSDARG00000088357,ENSDARG00000091131,ENSDARG00000093411,ENSDARG00000094609,ENSDARG00000094730,ENSDARG00000096045,ENSDARG00000098831,ENSDARG00000099528,ENSDARG00000099546,ENSDARG00000100304,ENSDARG00000100374,ENSDARG00000101561,ENSDARG00000101631,ENSDARG00000101791,ENSDARG00000101886,ENSDARG00000102403,ENSDARG00000102412,ENSDARG00000102906,ENSDARG00000103026,ENSDARG00000103523,ENSDARG00000104414
GO:0016758	transferase activity, transferring hexos...	103	5	1.14	0.00552	ENSDARG00000001890,ENSDARG00000001939,ENSDARG00000002021,ENSDARG00000002197,ENSDARG00000006220,ENSDARG00000008953,ENSDARG00000010301,ENSDARG00000011026,ENSDARG00000012840,ENSDARG00000015449,ENSDARG00000016460,ENSDARG00000016479,ENSDARG00000016875,ENSDARG00000017617,ENSDARG00000019207,ENSDARG00000019746,ENSDARG00000020447,ENSDARG00000021408,ENSDARG00000024026,ENSDARG00000026811,ENSDARG00000035273,ENSDARG00000035555,ENSDARG00000037879,ENSDARG00000038097,ENSDARG00000038348,ENSDARG00000038414,ENSDARG00000040048,ENSDARG00000040535,ENSDARG00000041199,ENSDARG00000041616,ENSDARG00000042925,ENSDARG00000042983,ENSDARG00000043482,ENSDARG00000044627,ENSDARG00000044775,ENSDARG00000045175,ENSDARG00000045753,ENSDARG00000045851,ENSDARG00000046133,ENSDARG00000046150,ENSDARG00000051940,ENSDARG00000052025,ENSDARG00000052408,ENSDARG00000053463,ENSDARG00000053917,ENSDARG00000054373,ENSDARG00000054963,ENSDARG00000055027,ENSDARG00000056648,ENSDARG00000057011,ENSDARG00000058048,ENSDARG00000058100,ENSDARG00000058299,ENSDARG00000059056,ENSDARG00000059961,ENSDARG00000061335,ENSDARG00000061432,ENSDARG00000061444,ENSDARG00000061672,ENSDARG00000062089,ENSDARG00000062846,ENSDARG00000063149,ENSDARG00000063636,ENSDARG00000068947,ENSDARG00000069472,ENSDARG00000070399,ENSDARG00000070605,ENSDARG00000073917,ENSDARG00000076317,ENSDARG00000077352,ENSDARG00000077583,ENSDARG00000078299,ENSDARG00000078392,ENSDARG00000079013,ENSDARG00000079027,ENSDARG00000086603,ENSDARG00000089233,ENSDARG00000091936,ENSDARG00000093521,ENSDARG00000094253,ENSDARG00000094415,ENSDARG00000094579,ENSDARG00000097024,ENSDARG00000097231,ENSDARG00000097491,ENSDARG00000097979,ENSDARG00000099276,ENSDARG00000099455,ENSDARG00000099524,ENSDARG00000099821,ENSDARG00000100322,ENSDARG00000101019,ENSDARG00000101176,ENSDARG00000101495,ENSDARG00000102402,ENSDARG00000103155,ENSDARG00000103811,ENSDARG00000104953,ENSDARG00000107385,ENSDARG00000108649,ENSDARG00000113928,ENSDARG00000115505,ENSDARG00000116986
GO:0000146	microfilament motor activity	14	2	0.15	0.01006	ENSDARG00000009133,ENSDARG00000024694,ENSDARG00000036104,ENSDARG00000036179,ENSDARG00000042141,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000061579,ENSDARG00000062003,ENSDARG00000078474,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000099871
GO:0008374	O-acyltransferase activity	17	2	0.19	0.01471	ENSDARG00000003635,ENSDARG00000036549,ENSDARG00000037278,ENSDARG00000040248,ENSDARG00000040352,ENSDARG00000054914,ENSDARG00000058285,ENSDARG00000059770,ENSDARG00000069044,ENSDARG00000074169,ENSDARG00000074401,ENSDARG00000075178,ENSDARG00000077652,ENSDARG00000078770,ENSDARG00000101139,ENSDARG00000103271,ENSDARG00000103503
GO:0050660	flavin adenine dinucleotide binding	48	3	0.53	0.01574	ENSDARG00000005891,ENSDARG00000007429,ENSDARG00000008785,ENSDARG00000009160,ENSDARG00000011890,ENSDARG00000013236,ENSDARG00000015228,ENSDARG00000016721,ENSDARG00000017034,ENSDARG00000019236,ENSDARG00000019498,ENSDARG00000020054,ENSDARG00000020149,ENSDARG00000021154,ENSDARG00000030781,ENSDARG00000031976,ENSDARG00000035603,ENSDARG00000038845,ENSDARG00000038865,ENSDARG00000038900,ENSDARG00000042821,ENSDARG00000042853,ENSDARG00000043514,ENSDARG00000045411,ENSDARG00000045768,ENSDARG00000053087,ENSDARG00000055620,ENSDARG00000055679,ENSDARG00000058088,ENSDARG00000060679,ENSDARG00000061634,ENSDARG00000063319,ENSDARG00000068910,ENSDARG00000069074,ENSDARG00000069333,ENSDARG00000075551,ENSDARG00000075608,ENSDARG00000076780,ENSDARG00000077549,ENSDARG00000079946,ENSDARG00000088357,ENSDARG00000091131,ENSDARG00000098831,ENSDARG00000099528,ENSDARG00000100304,ENSDARG00000100374,ENSDARG00000101631,ENSDARG00000102403
GO:0004364	glutathione transferase activity	18	2	0.2	0.01643	ENSDARG00000022183,ENSDARG00000032618,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000039832,ENSDARG00000042428,ENSDARG00000042533,ENSDARG00000042620,ENSDARG00000056510,ENSDARG00000071345,ENSDARG00000088116,ENSDARG00000090228,ENSDARG00000092052,ENSDARG00000095464,ENSDARG00000102744,ENSDARG00000103019,ENSDARG00000104068,ENSDARG00000113274
GO:0005198	structural molecule activity	300	8	3.31	0.01757	ENSDARG00000001777,ENSDARG00000001889,ENSDARG00000002255,ENSDARG00000002344,ENSDARG00000002696,ENSDARG00000002831,ENSDARG00000002916,ENSDARG00000003235,ENSDARG00000003487,ENSDARG00000003599,ENSDARG00000004173,ENSDARG00000004280,ENSDARG00000005791,ENSDARG00000006260,ENSDARG00000006580,ENSDARG00000006603,ENSDARG00000007065,ENSDARG00000007576,ENSDARG00000007912,ENSDARG00000008219,ENSDARG00000009014,ENSDARG00000009194,ENSDARG00000009215,ENSDARG00000010078,ENSDARG00000011201,ENSDARG00000011407,ENSDARG00000011961,ENSDARG00000012066,ENSDARG00000012281,ENSDARG00000012405,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000013075,ENSDARG00000014059,ENSDARG00000014690,ENSDARG00000014803,ENSDARG00000015053,ENSDARG00000015445,ENSDARG00000015610,ENSDARG00000015964,ENSDARG00000016081,ENSDARG00000016212,ENSDARG00000016301,ENSDARG00000016307,ENSDARG00000016793,ENSDARG00000016908,ENSDARG00000018073,ENSDARG00000018404,ENSDARG00000018562,ENSDARG00000018797,ENSDARG00000019222,ENSDARG00000019278,ENSDARG00000019778,ENSDARG00000019917,ENSDARG00000020007,ENSDARG00000020031,ENSDARG00000020527,ENSDARG00000021590,ENSDARG00000021987,ENSDARG00000022698,ENSDARG00000023082,ENSDARG00000024465,ENSDARG00000024785,ENSDARG00000024847,ENSDARG00000025301,ENSDARG00000026165,ENSDARG00000027618,ENSDARG00000028213,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000029533,ENSDARG00000030022,ENSDARG00000030215,ENSDARG00000030349,ENSDARG00000030723,ENSDARG00000030980,ENSDARG00000031678,ENSDARG00000032929,ENSDARG00000033950,ENSDARG00000033965,ENSDARG00000034823,ENSDARG00000035809,ENSDARG00000036298,ENSDARG00000036558,ENSDARG00000036700,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000037071,ENSDARG00000037350,ENSDARG00000037402,ENSDARG00000037997,ENSDARG00000038743,ENSDARG00000039522,ENSDARG00000039828,ENSDARG00000040118,ENSDARG00000041171,ENSDARG00000041179,ENSDARG00000041295,ENSDARG00000041301,ENSDARG00000041339,ENSDARG00000041340,ENSDARG00000041723,ENSDARG00000041729,ENSDARG00000042530,ENSDARG00000042566,ENSDARG00000042708,ENSDARG00000042864,ENSDARG00000042992,ENSDARG00000043309,ENSDARG00000043402,ENSDARG00000043442,ENSDARG00000043493,ENSDARG00000043697,ENSDARG00000043716,ENSDARG00000044093,ENSDARG00000044261,ENSDARG00000044973,ENSDARG00000044975,ENSDARG00000045014,ENSDARG00000045268,ENSDARG00000045367,ENSDARG00000045618,ENSDARG00000045696,ENSDARG00000045913,ENSDARG00000046157,ENSDARG00000051763,ENSDARG00000052061,ENSDARG00000052063,ENSDARG00000052368,ENSDARG00000053058,ENSDARG00000053365,ENSDARG00000053875,ENSDARG00000053956,ENSDARG00000054321,ENSDARG00000054616,ENSDARG00000054799,ENSDARG00000054807,ENSDARG00000055216,ENSDARG00000055475,ENSDARG00000055996,ENSDARG00000056903,ENSDARG00000057855,ENSDARG00000058332,ENSDARG00000058451,ENSDARG00000058543,ENSDARG00000058824,ENSDARG00000058880,ENSDARG00000058906,ENSDARG00000058930,ENSDARG00000058937,ENSDARG00000058960,ENSDARG00000059067,ENSDARG00000059558,ENSDARG00000060199,ENSDARG00000060489,ENSDARG00000061505,ENSDARG00000062209,ENSDARG00000062325,ENSDARG00000062531,ENSDARG00000062590,ENSDARG00000062756,ENSDARG00000062916,ENSDARG00000063054,ENSDARG00000063249,ENSDARG00000063332,ENSDARG00000068305,ENSDARG00000068460,ENSDARG00000068507,ENSDARG00000069017,ENSDARG00000069046,ENSDARG00000069093,ENSDARG00000069624,ENSDARG00000069792,ENSDARG00000069801,ENSDARG00000069817,ENSDARG00000069826,ENSDARG00000069850,ENSDARG00000070155,ENSDARG00000070589,ENSDARG00000070597,ENSDARG00000070787,ENSDARG00000070985,ENSDARG00000071518,ENSDARG00000073699,ENSDARG00000074001,ENSDARG00000074289,ENSDARG00000074531,ENSDARG00000074919,ENSDARG00000074955,ENSDARG00000075422,ENSDARG00000075677,ENSDARG00000075743,ENSDARG00000075989,ENSDARG00000076137,ENSDARG00000076321,ENSDARG00000076364,ENSDARG00000076572,ENSDARG00000076790,ENSDARG00000077084,ENSDARG00000077291,ENSDARG00000077403,ENSDARG00000077637,ENSDARG00000078189,ENSDARG00000079011,ENSDARG00000079257,ENSDARG00000080031,ENSDARG00000080201,ENSDARG00000082753,ENSDARG00000083345,ENSDARG00000084441,ENSDARG00000084589,ENSDARG00000086917,ENSDARG00000087301,ENSDARG00000087324,ENSDARG00000087805,ENSDARG00000089435,ENSDARG00000090268,ENSDARG00000090462,ENSDARG00000090568,ENSDARG00000090716,ENSDARG00000090768,ENSDARG00000091148,ENSDARG00000092567,ENSDARG00000092855,ENSDARG00000092947,ENSDARG00000092954,ENSDARG00000093318,ENSDARG00000093374,ENSDARG00000093606,ENSDARG00000094277,ENSDARG00000094466,ENSDARG00000096620,ENSDARG00000098237,ENSDARG00000098294,ENSDARG00000098591,ENSDARG00000098679,ENSDARG00000098695,ENSDARG00000098972,ENSDARG00000099380,ENSDARG00000099536,ENSDARG00000099930,ENSDARG00000100105,ENSDARG00000100288,ENSDARG00000100729,ENSDARG00000100781,ENSDARG00000100844,ENSDARG00000101109,ENSDARG00000101209,ENSDARG00000101286,ENSDARG00000101380,ENSDARG00000101660,ENSDARG00000101816,ENSDARG00000102883,ENSDARG00000103198,ENSDARG00000103318,ENSDARG00000103459,ENSDARG00000103732,ENSDARG00000104031,ENSDARG00000104111,ENSDARG00000104467,ENSDARG00000104801,ENSDARG00000105042,ENSDARG00000105888,ENSDARG00000106135,ENSDARG00000107053,ENSDARG00000107169,ENSDARG00000107847,ENSDARG00000108141,ENSDARG00000108250,ENSDARG00000109042,ENSDARG00000109289,ENSDARG00000109364,ENSDARG00000109961,ENSDARG00000110964,ENSDARG00000110973,ENSDARG00000110985,ENSDARG00000111412,ENSDARG00000111902,ENSDARG00000112019,ENSDARG00000112129,ENSDARG00000112334,ENSDARG00000112529,ENSDARG00000113292,ENSDARG00000113463,ENSDARG00000113498,ENSDARG00000113741,ENSDARG00000114854,ENSDARG00000115608,ENSDARG00000115701,ENSDARG00000115759,ENSDARG00000115956,ENSDARG00000116218,ENSDARG00000116478,ENSDARG00000116577,ENSDARG00000116630,ENSDARG00000116649,ENSDARG00000116947,ENSDARG00000117044
