Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000070057	1.2485862344e-09	8.45045147606e-06	9	11587629	11595736	1	protein_coding	si:dkey-69o16.5	si:dkey-69o16.5 [Source:ZFIN;Acc:ZDB-GENE-081104-432]
ENSDARG00000078599	2.4230685236e-09	8.45045147606e-06	1	16396870	16458257	1	protein_coding	micu3a	mitochondrial calcium uptake family, member 3a [Source:ZFIN;Acc:ZDB-GENE-070713-1]
ENSDARG00000056781	1.78651216043e-08	4.153640773e-05	7	26326462	26365420	1	protein_coding	zanl	zonadhesin, like [Source:ZFIN;Acc:ZDB-GENE-060131-2]
ENSDARG00000070858	3.65522964119e-08	5.17892891472e-05	1	46500436	46505310	-1	protein_coding	si:busm1-105l16.2	si:busm1-105l16.2 [Source:ZFIN;Acc:ZDB-GENE-030616-108]
ENSDARG00000102750	3.71249384568e-08	5.17892891472e-05	7	53059299	53117237	-1	protein_coding	cdh1	cadherin 1, type 1, E-cadherin (epithelial) [Source:ZFIN;Acc:ZDB-GENE-010606-1]
ENSDARG00000017036	1.64248363133e-07	0.000190938722142	3	39112898	39171968	-1	protein_coding	svilc	supervillin c [Source:ZFIN;Acc:ZDB-GENE-041008-237]
ENSDARG00000078599	3.27586223925e-07	0.000326416273125	1	16396870	16458257	1	protein_coding	micu3a	mitochondrial calcium uptake family, member 3a [Source:ZFIN;Acc:ZDB-GENE-070713-1]
ENSDARG00000021378	4.35351655059e-07	0.000379572224255	25	7718967	7764083	-1	protein_coding	phf21ab	PHD finger protein 21Ab [Source:ZFIN;Acc:ZDB-GENE-030131-6456]
ENSDARG00000012078	6.53821758512e-07	0.000506711862847	13	5490551	5569562	-1	protein_coding	meis1b	Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]
ENSDARG00000073688	1.94389911434e-06	0.00135586963225	7	16806473	17015002	1	protein_coding	nav2a	neuron navigator 2a [Source:ZFIN;Acc:ZDB-GENE-120502-3]
ENSDARG00000004672	2.50672803226e-06	0.00154268936136	16	30735426	30870170	-1	protein_coding	ptk2ab	protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]
ENSDARG00000073926	2.65408922384e-06	0.00154268936136	15	15885849	15983428	-1	protein_coding	synrg	synergin, gamma [Source:ZFIN;Acc:ZDB-GENE-030131-9396]
ENSDARG00000012078	3.10404678372e-06	0.00158702982708	13	5490551	5569562	-1	protein_coding	meis1b	Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]
ENSDARG00000037954	3.37174708742e-06	0.00158702982708	3	32157140	32170878	-1	protein_coding	tnnt1	troponin T type 1 (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-080723-27]
ENSDARG00000109276	3.50547067995e-06	0.00158702982708	12	45339637	45349849	-1	protein_coding	CABZ01068367.1	uncharacterized LOC100332446 [Source:NCBI gene;Acc:100332446]
ENSDARG00000021633	3.64049852808e-06	0.00158702982708	15	5923851	5958803	1	protein_coding	sh3bgr	SH3 domain binding glutamate-rich protein [Source:ZFIN;Acc:ZDB-GENE-040801-27]
