GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000001015	0		znf384l	zinc finger protein 384 like [Source:ZFIN;Acc:ZDB-GENE-030616-498]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000001621	0		nfyal	nuclear transcription factor Y, alpha, like [Source:ZFIN;Acc:ZDB-GENE-040718-491]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000002582	0		tbx15	T-box transcription factor 15 [Source:ZFIN;Acc:ZDB-GENE-020529-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000002795	0		meis3	myeloid ecotropic viral integration site 3 [Source:ZFIN;Acc:ZDB-GENE-010406-2]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000002937	0		meis1a	Meis homeobox 1 a [Source:ZFIN;Acc:ZDB-GENE-020122-3]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000003165	0		nr2f6b	nuclear receptor subfamily 2, group F, member 6b [Source:ZFIN;Acc:ZDB-GENE-040426-2351]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000003398	0		rbpja	recombination signal binding protein for immunoglobulin kappa J region a [Source:ZFIN;Acc:ZDB-GENE-031117-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000003607	0		nr2f6a	nuclear receptor subfamily 2, group F, member 6a [Source:ZFIN;Acc:ZDB-GENE-030131-4362]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000003631	0		clockb	clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000003820	0		nr1d2a	nuclear receptor subfamily 1, group D, member 2a [Source:ZFIN;Acc:ZDB-GENE-040504-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000004060	0		bhlhe40	basic helix-loop-helix family, member e40 [Source:ZFIN;Acc:ZDB-GENE-030131-3133]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000004415	0		tcf7l2	transcription factor 7 like 2 [Source:ZFIN;Acc:ZDB-GENE-991110-8]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000004712	0		tbr1b	T-box brain transcription factor 1b [Source:ZFIN;Acc:ZDB-GENE-000323-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000004714	0		tcf12	transcription factor 12 [Source:ZFIN;Acc:ZDB-GENE-040516-11]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000004851	0		hinfp	histone H4 transcription factor [Source:ZFIN;Acc:ZDB-GENE-040426-2764]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000005453	0		foxp2	forkhead box P2 [Source:ZFIN;Acc:ZDB-GENE-041203-2]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000005883	0		rfx1a	regulatory factor X, 1a (influences HLA class II expression) [Source:ZFIN;Acc:ZDB-GENE-070424-94]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000006181	0		hif1aa	hypoxia inducible factor 1 subunit alpha a [Source:ZFIN;Acc:ZDB-GENE-080917-55]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000006266	0		stat1a	signal transducer and activator of transcription 1a [Source:ZFIN;Acc:ZDB-GENE-980526-499]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000006640	0		eomesa	eomesodermin homolog a [Source:ZFIN;Acc:ZDB-GENE-001228-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000006791	0		arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000006896	0		lhx6	LIM homeobox 6 [Source:ZFIN;Acc:ZDB-GENE-041025-1]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000007812	0		sp3b	Sp3b transcription factor [Source:ZFIN;Acc:ZDB-GENE-110815-3]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000007944	0		lhx1b	LIM homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-116]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000007996	0		pou2f1b	POU class 2 homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2422]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000008034	0		skib	v-ski avian sarcoma viral oncogene homolog b [Source:ZFIN;Acc:ZDB-GENE-990715-10]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000008119	0		si:ch211-195d17.2	si:ch211-195d17.2 [Source:ZFIN;Acc:ZDB-GENE-030131-513]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000008203	0		pax1a	paired box 1a [Source:ZFIN;Acc:ZDB-GENE-070112-182]
GO:0000977	RNA polymerase II regulatory region sequ...	295	6	1.63	0.0052	ENSDARG00000008209	0		myt1la	myelin transcription factor 1-like, a [Source:ZFIN;Acc:ZDB-GENE-041001-172]
