Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	% variance explained
ENSDARG00000041433	0.22818746456969763	0.8072139851270281	0.9023841895426855	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	397	1738	678	1409	1202	522	1144	399	170	783	199	743	434.7816945131605	1351.3475985886992	652.1427557690853	1860.1912306671354	1063.9294838570775	486.513464147902	1114.2312932919217	421.5141893699482	216.51701072227624	547.631685405281	184.9369357349691	916.3911090225488	1.2062060091493862
ENSDARG00000007769	0.47176958567736266	0.9162812565799866	-0.4398011525172663	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]	328	360	137	111	326	105	364	246	82	611	154	304	359.2151027715785	279.910894989604	131.7751586141072	146.54451852665156	288.55325435724393	97.86190370791132	354.52813877470237	259.88092878447935	104.43761693662736	427.33455910935726	143.11702564414693	374.9433339742326	1.0638209606330382
ENSDARG00000099099	0.2963527231002898	0.8457317477949791	0.7927909678525108	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	230	325	211	26	286	263	46	208	153	224	178	29	251.88863913860686	252.6973357545036	202.9529815151578	34.32574307831478	253.14794707414654	245.1207683350541	44.8030065484514	219.7367202730557	194.8653096500486	156.66602494352867	165.4209776925854	35.767620675173504	0.990847618094095
ENSDARG00000094104	0.1620711908991785	0.7586801083961571	1.9051403067235273	20	45989179	45996430	1	lincRNA	AL929237.1	si:ch211-213i16.3 [Source:NCBI gene;Acc:100536429]	8	342	63	196	235	112	128	7	5	112	2	96	8.7613439700385	265.91535024012376	60.597335713056594	258.7632939749883	208.00618028819733	104.38603062177208	124.66923561308217	7.3949857784201445	6.368147374184595	78.33301247176433	1.858662670703207	118.40315809712608	0.9338969339765082
ENSDARG00000052917	0.21523004007164587	0.8020868571130624	-0.7114681371050477	17	45577326	45599190	1	protein_coding	si:ch211-202f3.3	si:ch211-202f3.3 [Source:ZFIN;Acc:ZDB-GENE-080917-19]	274	279	307	190	321	273	589	228	146	1325	226	219	300.0760309738186	216.9309436169431	295.2917787921964	250.84196864922336	284.1275909468568	254.44094964056944	573.6732795008234	240.86525106854185	185.94990332619017	926.7075136168548	210.0288817894624	270.10720440906886	0.9336466381415488
ENSDARG00000100131	0.6505408068189846	0.9618391317602386	-0.3403822315181054	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	230	434	241	45	285	122	561	124	76	818	291	173	251.88863913860686	337.4481345152448	231.80885566423237	59.40993994323711	252.2628143920691	113.70621192728744	546.4018842104616	130.996890932014	96.79584008760584	572.1107518027073	270.43541858731663	213.37235782086265	0.9201980298938672
ENSDARG00000045835	0.7713052635194328	0.9719362520357896	-0.4492654665348813	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	1146	756	82	2128	755	34	715.1447015543926	697.44464668243	624.2487440916465	859.4637978454969	0	967.4348195124949	1116.1792500983763	798.6584640693756	104.43761693662736	1488.3272369635224	701.6451581904606	41.93445182606549	0.9032386297938974
ENSDARG00000094990	0.035293297298017355	0.534473380154916	-0.9300120375586413	6	21053548	21066911	1	protein_coding	si:dkey-91f15.1	si:dkey-91f15.1 [Source:ZFIN;Acc:ZDB-GENE-060601-4]	258	159	170	190	147	124	400	120	130	598	197	169	282.5533430337416	123.62731195374175	163.51662017808923	250.84196864922336	130.114504265383	115.57024818839052	389.59136129088176	126.77118477291675	165.57183172879948	418.242334447456	183.0782730642659	208.43889290014906	0.892857776932328
ENSDARG00000089382	0.6180694634585777	0.9548120593226088	-0.40457841916504045	5	824709	825920	-1	protein_coding	zgc:158463	zgc:158463 [Source:ZFIN;Acc:ZDB-GENE-070410-9]	93	145	1126	209	90	401	142	190	58	558	299	105	101.85062365169756	112.74188825970161	1083.0571430619323	275.9261655141457	79.66194138696919	373.7392703511661	138.30493325826302	200.7210425571182	73.8705095405413	390.266258564683	277.8700692701294	129.50345416873165	0.8580836670655086
ENSDARG00000076321	0.43927809313612853	0.9089690301158467	-0.5850027858427561	9	48297412	48371379	-1	protein_coding	col28a2a	collagen, type XXVIII, alpha 2a [Source:ZFIN;Acc:ZDB-GENE-030131-4444]	304	507	462	294	79	97	333	526	283	394	241	44	332.93107086146296	394.20784377702563	444.38046189574834	388.14494096248245	69.9254818841174	90.40575866349904	324.33480827465905	555.6803599212851	360.4371413788481	275.56434744531384	223.96885181973644	54.26811412784946	0.8561702854181655
