GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000017882	0		rdh1	retinol dehydrogenase 1 [Source:ZFIN;Acc:ZDB-GENE-030912-15]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000028048	0		rdh8a	retinol dehydrogenase 8a [Source:ZFIN;Acc:ZDB-GENE-021115-3]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000037191	0		ttr	transthyretin (prealbumin, amyloidosis type I) [Source:ZFIN;Acc:ZDB-GENE-040927-14]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000044982	0		dhrs3a	dehydrogenase/reductase (SDR family) member 3a [Source:ZFIN;Acc:ZDB-GENE-040801-217]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000054914	0		dgat1b	diacylglycerol O-acyltransferase 1b [Source:ZFIN;Acc:ZDB-GENE-040718-158]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000070140	0		RETSAT	zgc:154169 [Source:ZFIN;Acc:ZDB-GENE-061110-141]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000091633	0		si:dkey-177p2.18	si:dkey-177p2.18 [Source:ZFIN;Acc:ZDB-GENE-130603-12]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000096594	0		lratb.1	lecithin retinol acyltransferase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060810-31]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000098746	0		dhrs13l1	dehydrogenase/reductase (SDR family) member 13 like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1907]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000099217	1		RDH8	zgc:109982 [Source:ZFIN;Acc:ZDB-GENE-050522-139]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000101145	1		lipeb	lipase, hormone-sensitive b [Source:ZFIN;Acc:ZDB-GENE-100921-71]
GO:0042572	retinol metabolic process	12	3	0.14	0.00031	ENSDARG00000103503	1		dgat1a	diacylglycerol O-acyltransferase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4600]
