Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000000212	0	0.0	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000000212	0	0.0	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000000212	2.22044604925e-16	1.2847500841e-12	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000079012	2.0276114121e-11	8.79881972281e-08	7	55660263	55675617	-1	protein_coding	cbfa2t3	CBFA2/RUNX1 partner transcriptional co-repressor 3 [Source:ZFIN;Acc:ZDB-GENE-070209-2]
ENSDARG00000000212	6.71646072092e-11	2.33168650387e-07	22	11756040	11759106	1	protein_coding	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
ENSDARG00000015654	2.47694675881e-09	6.68832726442e-06	12	4320041	4331117	-1	protein_coding	ca15a	carbonic anhydrase XVa [Source:ZFIN;Acc:ZDB-GENE-070424-7]
ENSDARG00000098786	2.69721689428e-09	6.68832726442e-06	5	54280135	54294086	1	protein_coding	rangrf	RAN guanine nucleotide release factor [Source:NCBI gene;Acc:559102]
ENSDARG00000015072	5.13687148374e-09	1.11457269018e-05	5	45007962	45013409	1	protein_coding	dmrt2a	doublesex and mab-3 related transcription factor 2a [Source:ZFIN;Acc:ZDB-GENE-990621-7]
ENSDARG00000090185	1.36537652295e-08	2.63335618726e-05	25	26754578	26758253	-1	protein_coding	si:dkeyp-73b11.8	si:dkeyp-73b11.8 [Source:ZFIN;Acc:ZDB-GENE-131120-176]
ENSDARG00000045936	3.31605612969e-08	5.75601022992e-05	7	15871156	15900606	1	protein_coding	pax6b	paired box 6b [Source:ZFIN;Acc:ZDB-GENE-001031-1]
ENSDARG00000075706	7.97472732295e-08	0.000125841197156	2	31599963	31664615	-1	protein_coding	si:ch211-106h4.9	si:ch211-106h4.9 [Source:ZFIN;Acc:ZDB-GENE-070705-17]
ENSDARG00000014976	1.00181710705e-07	0.000144912844535	9	94884	100579	-1	protein_coding	lims2	LIM and senescent cell antigen-like domains 2 [Source:ZFIN;Acc:ZDB-GENE-050522-56]
ENSDARG00000041595	1.53777126144e-07	0.000205327950431	18	17418254	17426306	1	protein_coding	ces3	carboxylesterase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9563]
ENSDARG00000011582	1.67106529059e-07	0.000207188223672	4	16982249	17055950	-1	protein_coding	sox5	SRY-box transcription factor 5 [Source:ZFIN;Acc:ZDB-GENE-000607-13]
ENSDARG00000027586	2.39812866787e-07	0.000277511449446	5	13211452	13251907	-1	protein_coding	top3b	DNA topoisomerase III beta [Source:ZFIN;Acc:ZDB-GENE-070705-37]
ENSDARG00000020574	3.88556539721e-07	0.00042153527603	3	26081343	26157066	1	protein_coding	atp2a1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:ZFIN;Acc:ZDB-GENE-020905-1]
ENSDARG00000102128	4.33540140787e-07	0.000442669986105	4	151506	178510	-1	protein_coding	eps8a	epidermal growth factor receptor pathway substrate 8a [Source:ZFIN;Acc:ZDB-GENE-040426-871]
ENSDARG00000102825	1.13427158621e-06	0.00109381589964	1	59244159	59251874	-1	protein_coding	olfm2b	olfactomedin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-2402]
ENSDARG00000058695	2.86321758869e-06	0.00260557647987	2	6963296	6996486	1	protein_coding	ddr2b	discoidin domain receptor tyrosine kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060503-361]
ENSDARG00000075625	3.00216209226e-06	0.00260557647987	11	16329776	16395956	-1	protein_coding	lrig1	leucine-rich repeats and immunoglobulin-like domains 1 [Source:ZFIN;Acc:ZDB-GENE-031113-23]
ENSDARG00000035891	3.32210889598e-06	0.00274596029602	7	48761646	48787379	1	protein_coding	acana	aggrecan a [Source:ZFIN;Acc:ZDB-GENE-050208-221]
ENSDARG00000021556	3.98156249304e-06	0.00314145280701	14	30854553	30876708	-1	protein_coding	ubl3b	ubiquitin-like 3b [Source:ZFIN;Acc:ZDB-GENE-040630-4]
ENSDARG00000007207	4.70338480774e-06	0.0035496240649	11	2540139	2549140	-1	protein_coding	cnpy2	canopy FGF signaling regulator 2 [Source:ZFIN;Acc:ZDB-GENE-060315-4]
ENSDARG00000069356	6.08298365723e-06	0.00439951793009	11	7432533	7737642	1	protein_coding	adgrl2a	adhesion G protein-coupled receptor L2a [Source:ZFIN;Acc:ZDB-GENE-000607-49]
ENSDARG00000010281	7.37118370719e-06	0.00501405081572	9	21306902	21357841	1	protein_coding	xpo4	exportin 4 [Source:NCBI gene;Acc:324342]
ENSDARG00000029439	7.51038836322e-06	0.00501405081572	8	11687254	11744994	1	protein_coding	atp2a2a	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]
ENSDARG00000038024	8.05144267491e-06	0.00517618303523	3	28831450	28853935	1	protein_coding	flr	fleer [Source:NCBI gene;Acc:797829]
ENSDARG00000037941	8.47602786369e-06	0.00525453184493	3	32142382	32151167	1	protein_coding	syt5a	synaptotagmin Va [Source:ZFIN;Acc:ZDB-GENE-040718-110]
ENSDARG00000014804	9.85154793742e-06	0.00589666100337	4	19768679	19884440	-1	protein_coding	cacna2d1a	calcium channel, voltage-dependent, alpha 2/delta subunit 1a [Source:ZFIN;Acc:ZDB-GENE-041210-215]
ENSDARG00000054849	1.02451892567e-05	0.00592786650393	3	29949984	29968055	-1	protein_coding	bcat2	branched chain amino-acid transaminase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040718-425]
ENSDARG00000078169	1.10060898868e-05	0.00616270026629	22	9472814	9513061	1	protein_coding	cacna2d2b	calcium channel, voltage-dependent, alpha 2/delta subunit 2b [Source:ZFIN;Acc:ZDB-GENE-060503-99]
ENSDARG00000037121	1.26647503172e-05	0.00686983550019	5	69199198	69212184	-1	protein_coding	mat2ab	methionine adenosyltransferase II, alpha b [Source:ZFIN;Acc:ZDB-GENE-050327-6]
ENSDARG00000003087	1.67548370448e-05	0.00881304428556	22	22260210	22274393	1	protein_coding	ubxn6	UBX domain protein 6 [Source:ZFIN;Acc:ZDB-GENE-030131-5680]
ENSDARG00000042982	1.72896213898e-05	0.00882686023777	20	25575391	25580002	1	protein_coding	cyp2p8	cytochrome P450, family 2, subfamily P, polypeptide 8 [Source:ZFIN;Acc:ZDB-GENE-061030-1]
ENSDARG00000101861	1.79909301972e-05	0.00892247332466	3	12732382	12740310	1	protein_coding	cyp2k19	cytochrome P450, family 2, subfamily k, polypeptide 19 [Source:ZFIN;Acc:ZDB-GENE-091211-1]
ENSDARG00000054251	2.03298527989e-05	0.00968637913538	13	32807419	32812903	1	protein_coding	slc66a3	solute carrier family 66 member 3 [Source:ZFIN;Acc:ZDB-GENE-040912-40]
ENSDARG00000104175	2.06473112115e-05	0.00968637913538	KN150350.1	486	9210	1	protein_coding	USP30	ubiquitin specific peptidase 30 [Source:HGNC Symbol;Acc:HGNC:20065]
ENSDARG00000102631	2.13454450131e-05	0.00975037459309	11	2180072	2185174	1	protein_coding	hoxc11b	homeobox C11b [Source:ZFIN;Acc:ZDB-GENE-000822-3]
ENSDARG00000103684	2.69616860232e-05	0.0120000242562	25	4855549	4886009	1	protein_coding	ap4e1	adaptor related protein complex 4 subunit epsilon 1 [Source:ZFIN;Acc:ZDB-GENE-061221-3]
ENSDARG00000036299	2.92738039379e-05	0.0124711422016	7	27021368	27038532	-1	protein_coding	nucb2a	nucleobindin 2a [Source:ZFIN;Acc:ZDB-GENE-030826-14]
ENSDARG00000032327	2.94571281406e-05	0.0124711422016	3	57583656	57630791	-1	protein_coding	usp36	ubiquitin specific peptidase 36 [Source:ZFIN;Acc:ZDB-GENE-030131-5450]
ENSDARG00000002082	3.46593230278e-05	0.0143242030742	16	31434524	31452507	-1	protein_coding	csnk2a1	casein kinase 2, alpha 1 polypeptide [Source:ZFIN;Acc:ZDB-GENE-990415-27]
ENSDARG00000034836	3.55306387093e-05	0.0143428099236	8	7084974	7093507	-1	protein_coding	si:dkey-222n6.2	si:dkey-222n6.2 [Source:ZFIN;Acc:ZDB-GENE-031118-10]
ENSDARG00000060506	3.94369008363e-05	0.0155578573799	13	36638955	36663358	-1	protein_coding	sos2	son of sevenless homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-090319-5]
ENSDARG00000026348	4.65707667048e-05	0.0179638970769	23	36424768	36441693	-1	protein_coding	csad	cysteine sulfinic acid decarboxylase [Source:ZFIN;Acc:ZDB-GENE-041114-36]
ENSDARG00000077139	4.82583613964e-05	0.0182101877635	9	23914317	23990416	-1	protein_coding	col6a3	collagen, type VI, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-070501-8]
ENSDARG00000079782	5.28629733428e-05	0.0194938164448	2	24274293	24289726	-1	protein_coding	myh7l	myosin heavy chain 7-like [Source:ZFIN;Acc:ZDB-GENE-061027-393]
ENSDARG00000087994	5.42180398598e-05	0.0194938164448	14	45488922	45512807	-1	protein_coding	si:ch211-114c17.1	si:ch211-114c17.1 [Source:ZFIN;Acc:ZDB-GENE-140106-201]
ENSDARG00000110836	5.50292087681e-05	0.0194938164448	24	8736497	8741830	1	protein_coding	tmem14ca	transmembrane protein 14Ca [Source:NCBI gene;Acc:751728]
ENSDARG00000005015	5.91424027798e-05	0.0204260812484	8	25708067	25716074	-1	protein_coding	tspy	testis specific protein Y-linked [Source:ZFIN;Acc:ZDB-GENE-030131-9158]
ENSDARG00000036888	6.00144108578e-05	0.0204260812484	25	27714932	27735763	-1	protein_coding	zgc:153935	zgc:153935 [Source:ZFIN;Acc:ZDB-GENE-061103-148]
ENSDARG00000059070	6.47194551725e-05	0.0216020104569	24	20536056	20554969	1	protein_coding	gars1	glycyl-tRNA synthetase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9174]
ENSDARG00000079745	6.59584372749e-05	0.0216020104569	8	4445232	4508248	-1	protein_coding	si:ch211-166a6.5	si:ch211-166a6.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9913]
ENSDARG00000056314	7.05487227847e-05	0.0226774950018	15	21113965	21132480	-1	protein_coding	a2ml	alpha-2-macroglobulin-like [Source:ZFIN;Acc:ZDB-GENE-090212-1]
ENSDARG00000033440	7.33763533608e-05	0.0231575771207	13	12606821	12633160	1	protein_coding	metap1	methionyl aminopeptidase 1 [Source:NCBI gene;Acc:503783]
ENSDARG00000059870	7.54195126399e-05	0.0233773553643	16	54474621	54498109	-1	protein_coding	clk2b	CDC-like kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060929-1126]
ENSDARG00000011445	8.13685957401e-05	0.0247115452804	20	25886491	25902141	-1	protein_coding	elmsan1a	ELM2 and Myb/SANT-like domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-151]
ENSDARG00000008697	8.25711272188e-05	0.0247115452804	12	25775734	25830268	1	protein_coding	epas1a	endothelial PAS domain protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4490]
ENSDARG00000062084	8.75822799271e-05	0.0249740850043	19	9612163	9662958	-1	protein_coding	clcn1a	chloride channel, voltage-sensitive 1a [Source:ZFIN;Acc:ZDB-GENE-060503-333]
ENSDARG00000014378	8.76852862102e-05	0.0249740850043	7	35282885	35314347	-1	protein_coding	slc12a4	solute carrier family 12 member 4 [Source:ZFIN;Acc:ZDB-GENE-090218-27]
ENSDARG00000096651	8.77646725005e-05	0.0249740850043	1	59142783	59151058	1	protein_coding	gpr108	G protein-coupled receptor 108 [Source:ZFIN;Acc:ZDB-GENE-121214-129]
ENSDARG00000069998	9.02922264078e-05	0.0249781333162	1	26025292	26027337	-1	protein_coding	si:ch211-145b13.6	si:ch211-145b13.6 [Source:ZFIN;Acc:ZDB-GENE-090313-36]
ENSDARG00000030155	9.06568958935e-05	0.0249781333162	8	18010568	18036639	1	protein_coding	ssbp3b	single stranded DNA binding protein 3b [Source:ZFIN;Acc:ZDB-GENE-040426-2801]
ENSDARG00000094328	0.000100167542645	0.0271673157067	3	15635946	15645405	-1	protein_coding	si:dkey-93n13.1	si:dkey-93n13.1 [Source:ZFIN;Acc:ZDB-GENE-091204-23]
ENSDARG00000036375	0.000118137936607	0.0315482815942	14	33982007	34044452	-1	protein_coding	cyfip2	cytoplasmic FMR1 interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-080724-2]
ENSDARG00000009014	0.000123586276453	0.0325031907071	2	15389193	15563194	-1	protein_coding	col11a1b	collagen, type XI, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-070912-607]
ENSDARG00000019636	0.000134100086802	0.0347419299509	14	30753666	30759503	1	protein_coding	yif1a	Yip1 interacting factor homolog A (S. cerevisiae) [Source:NCBI gene;Acc:334982]
ENSDARG00000045153	0.000150840433388	0.0377077417885	12	19191787	19198771	1	protein_coding	slc16a8	solute carrier family 16 member 8 [Source:ZFIN;Acc:ZDB-GENE-121128-1]
ENSDARG00000012140	0.000151296957587	0.0377077417885	2	36664173	36674005	-1	protein_coding	ccnl1b	cyclin L1b [Source:NCBI gene;Acc:326088]
ENSDARG00000022650	0.000152064864915	0.0377077417885	20	25548425	25551676	-1	protein_coding	cyp2ad3	cytochrome P450, family 2, subfamily AD, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-041001-156]
ENSDARG00000010553	0.00018173452528	0.0439215292269	14	31615577	31619408	-1	protein_coding	mmgt1	membrane magnesium transporter 1 [Source:NCBI gene;Acc:402891]
ENSDARG00000062381	0.000182184013385	0.0439215292269	18	20541316	20560059	-1	protein_coding	dennd11	DENN domain containing 11 [Source:NCBI gene;Acc:556432]
ENSDARG00000009764	0.000190560389782	0.0453116061073	5	55160348	55201172	-1	protein_coding	srek1	splicing regulatory glutamine/lysine-rich protein 1 [Source:ZFIN;Acc:ZDB-GENE-040801-132]
ENSDARG00000005015	0.000197861352659	0.0464118562089	8	25708067	25716074	-1	protein_coding	tspy	testis specific protein Y-linked [Source:ZFIN;Acc:ZDB-GENE-030131-9158]
ENSDARG00000104808	0.000202830725498	0.0465014138584	21	249970	294747	1	protein_coding	jak2a	Janus kinase 2a [Source:ZFIN;Acc:ZDB-GENE-980526-481]
ENSDARG00000036189	0.000203601074619	0.0465014138584	14	36393854	36397876	-1	protein_coding	spata4	spermatogenesis associated 4 [Source:ZFIN;Acc:ZDB-GENE-050417-153]
