ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	12096	12229	16555	16601	11206	11402	16717	16760	1	2,0,0,0,0,0	13,29,9,8,13,14	0,0,0,0,0,0	13,17,7,18,16,7	195	282	1	1.0	0.182,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0	0.03
2	"ENSDARG00000100540"	"CABZ01114105.1"	chrKN150574.1	-	9750	9924	11435	11609	6810	8923	13322	13496	2	0,1,0,0,0,0	0,0,0,2,1,2	2,0,0,0,0,0	0,0,0,6,1,0	323	323	1	1.0	NA,1.0,NA,0.0,0.0,0.0	1.0,NA,NA,0.0,0.0,NA	-0.083
3	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	55044	55141	57764	57910	51719	51804	58292	58376	3	16,31,18,14,21,10	15,36,26,23,30,27	21,22,30,31,20,15	22,15,15,24,31,22	295	246	0.0546180517951	0.981195708908	0.471,0.418,0.366,0.337,0.369,0.236	0.443,0.55,0.625,0.519,0.35,0.362	-0.109
4	"ENSDARG00000105095"	"AL929028.8"	chrKN149688.2	+	42185	42359	205549	205723	28320	28494	207096	207143	4	0,0,0,0,0,0	0,0,0,0,0,1	2,0,1,0,0,0	0,1,1,0,0,0	323	323	1	1.0	NA,NA,NA,NA,NA,0.0	1.0,0.0,0.5,NA,NA,NA	-0.5
5	"ENSDARG00000103584"	"BX927374.1"	chrKN149690.1	-	47071	47245	48182	48356	45578	45761	60953	62672	5	0,0,0,0,1,3	0,0,0,0,1,0	1,0,0,4,4,0	4,0,0,0,0,0	323	323	1	1.0	NA,NA,NA,NA,0.5,1.0	0.2,NA,NA,1.0,1.0,NA	0.017
6	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	167917	167994	168048	167538	167595	168131	168418	6	3,7,4,1,5,5	6,14,2,7,5,11	8,1,6,11,6,2	5,4,5,8,14,2	203	238	0.280199528366	1.0	0.37,0.37,0.701,0.143,0.54,0.348	0.652,0.227,0.585,0.617,0.334,0.54	-0.081
7	"ENSDARG00000110991"	NA	chr25	-	37461595	37461695	37462084	37462202	37460725	37461492	37462533	37462609	7	57,72,39,81,58,64	36,59,52,46,59,61	61,56,37,94,74,57	55,47,36,57,54,48	267	249	0.637811762851	1.0	0.596,0.532,0.412,0.622,0.478,0.495	0.508,0.526,0.489,0.606,0.561,0.525	-0.013
8	"ENSDARG00000110991"	NA	chr25	-	37462084	37462202	37462533	37462609	37461595	37461695	37462778	37462874	8	21,46,14,27,32,35	46,62,56,48,57,46	31,25,17,41,42,24	54,38,37,74,56,41	225	267	0.561305450467	1.0	0.351,0.468,0.229,0.4,0.4,0.474	0.405,0.438,0.353,0.397,0.471,0.41	-0.025
9	"ENSDARG00000040803"	"lactb"	chr25	+	33257448	33257515	33258653	33258844	33256011	33256563	33259472	33259779	9	17,8,7,3,11,11	24,36,24,17,44,43	10,9,5,8,4,2	32,33,30,37,33,15	216	340	0.156021680477	1.0	0.527,0.259,0.315,0.217,0.282,0.287	0.33,0.3,0.208,0.254,0.16,0.173	0.077
10	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203036	203346	203439	202322	202507	203904	204019	10	118,155,113,92,105,108	6,15,10,11,23,8	100,129,88,146,133,104	19,12,18,12,16,12	242	242	0.269721048003	1.0	0.952,0.912,0.919,0.893,0.82,0.931	0.84,0.915,0.83,0.924,0.893,0.897	0.021
11	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37454315	37454409	37454627	37454792	37453996	37454178	37455015	37455089	11	23,19,16,1,5,8	15,28,33,14,19,17	5,20,17,18,6,2	10,13,2,11,13,5	243	314	0.0390942614871	0.879221962424	0.665,0.467,0.385,0.084,0.254,0.378	0.393,0.665,0.917,0.679,0.374,0.341	-0.189
12	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457464	37457569	37457826	37457942	37457288	37457348	37458060	37458190	12	21,25,23,10,12,12	6,10,4,2,6,3	15,12,11,16,6,11	8,1,4,1,6,5	254	265	0.907945551911	1.0	0.785,0.723,0.857,0.839,0.676,0.807	0.662,0.926,0.742,0.943,0.511,0.697	0.034
13	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458060	37458190	37458430	37458527	37457826	37457942	37458600	37458676	13	6,11,8,4,6,2	9,8,0,2,2,0	8,1,3,2,7,5	1,2,0,1,1,1	279	246	0.00912279882173	0.474960203223	0.37,0.548,1.0,0.638,0.726,1.0	0.876,0.306,1.0,0.638,0.861,0.815	-0.036
14	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19325293	19325356	19318808	19318905	19340138	19340276	14	11,79,31,30,60,55	12,14,12,9,14,4	31,45,37,71,35,26	10,14,6,11,15,8	257	212	0.989472044161	1.0	0.431,0.823,0.681,0.733,0.78,0.919	0.719,0.726,0.836,0.842,0.658,0.728	-0.024
15	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19322560	19322668	19340138	19340276	19318808	19318905	19341375	19341486	15	9,52,18,22,39,30	58,72,56,47,55,72	15,25,26,42,24,24	52,32,53,78,56,38	257	287	0.512562266408	1.0	0.148,0.446,0.264,0.343,0.442,0.318	0.244,0.466,0.354,0.376,0.324,0.414	-0.036
16	"ENSDARG00000051748"	"ccnd2a"	chr25	-	16982322	16982482	17044734	17044779	16977705	16977861	17238928	17239043	16	4,3,2,4,0,0	76,106,59,40,71,75	0,2,0,1,6,0	80,38,55,91,79,39	194	309	0.305385818431	1.0	0.077,0.043,0.051,0.137,0.0,0.0	0.0,0.077,0.0,0.017,0.108,0.0	0.018
19	"ENSDARG00000076899"	"slc2a13b"	chr25	+	35666733	35667177	35668490	35668650	35663932	35664911	35669972	35670178	19	23,37,45,25,32,37	11,20,13,15,11,12	41,40,30,59,29,10	8,5,6,20,12,16	593	309	0.435613188323	1.0	0.521,0.491,0.643,0.465,0.603,0.616	0.728,0.807,0.723,0.606,0.557,0.246	-0.055
20	"ENSDARG00000020718"	"slc25a22a"	chr25	-	4465344	4465499	4467553	4467701	4463285	4463361	4469397	4469458	20	21,35,23,15,42,33	23,38,33,8,42,32	19,34,11,41,27,44	28,32,28,45,35,27	297	304	0.585641139363	1.0	0.483,0.485,0.416,0.657,0.506,0.514	0.41,0.521,0.287,0.483,0.441,0.625	0.049
21	"ENSDARG00000061282"	"glg1a"	chr25	-	37221383	37221547	37222025	37222132	37219995	37220058	37223286	37223407	21	124,177,154,132,148,166	41,77,40,41,58,48	158,126,112,195,148,130	47,59,53,83,45,36	256	313	0.408378517846	1.0	0.787,0.738,0.825,0.797,0.757,0.809	0.804,0.723,0.721,0.742,0.801,0.815	0.018
22	"ENSDARG00000009299"	"dusp8a"	chr25	-	23015607	23015746	23030310	23030665	22982691	22982858	23052425	23052707	22	68,85,90,46,78,77	44,41,45,30,37,45	73,63,53,96,81,80	48,51,15,54,35,41	504	288	0.87555652904	1.0	0.469,0.542,0.533,0.467,0.546,0.494	0.465,0.414,0.669,0.504,0.569,0.527	-0.016
23	"ENSDARG00000075100"	"neo1b"	chr25	+	3005931	3006024	3007561	3007708	3001179	3001388	3008045	3008297	23	12,18,13,2,11,27	11,11,12,9,13,7	17,8,18,23,15,18	16,15,13,18,8,11	242	296	0.929422163843	1.0	0.572,0.667,0.57,0.214,0.509,0.825	0.565,0.395,0.629,0.61,0.696,0.667	-0.034
24	"ENSDARG00000103878"	"anpepb"	chr25	+	10825827	10825968	10826834	10826916	10825573	10825741	10827258	10827771	24	275,372,239,147,328,284	153,225,157,85,204,171	248,225,238,309,294,193	189,134,129,186,160,90	290	231	0.701215201141	1.0	0.589,0.568,0.548,0.579,0.562,0.57	0.511,0.572,0.595,0.57,0.594,0.631	-0.009
25	"ENSDARG00000018681"	"saal1"	chr25	-	8183651	8183824	8186533	8186704	8180904	8180997	8188464	8188547	25	10,26,21,15,19,12	23,34,23,33,34,17	12,20,11,23,4,14	23,25,12,11,9,20	320	322	0.289079165947	1.0	0.304,0.435,0.479,0.314,0.36,0.415	0.344,0.446,0.48,0.678,0.309,0.413	-0.06
26	"ENSDARG00000018061"	"neil1"	chr25	-	26830496	26830616	26831697	26832174	26830063	26830166	26833053	26833100	26	67,106,99,53,114,88	29,26,30,19,40,52	66,77,75,109,87,66	41,19,18,56,33,29	626	269	0.725882940139	1.0	0.498,0.637,0.586,0.545,0.55,0.421	0.409,0.635,0.642,0.455,0.531,0.494	0.012
27	"ENSDARG00000089207"	"ankrd27"	chr25	+	36417721	36417775	36418040	36418157	36417585	36417645	36418739	36418816	27	3,6,6,8,4,3	5,5,4,4,4,3	9,5,3,7,1,2	4,12,1,6,5,1	203	266	0.712072695369	1.0	0.44,0.611,0.663,0.724,0.567,0.567	0.747,0.353,0.797,0.605,0.208,0.724	0.023
28	"ENSDARG00000045641"	"usp3"	chr25	-	26744941	26745055	26745359	26745473	26743329	26743476	26747958	26748041	28	19,13,18,10,13,15	13,37,19,11,30,21	22,17,9,20,3,4	21,20,19,31,20,13	263	263	0.403063467038	1.0	0.594,0.26,0.486,0.476,0.302,0.417	0.512,0.459,0.321,0.392,0.13,0.235	0.081
29	"ENSDARG00000020395"	"mical2b"	chr25	+	16251462	16251591	16253983	16254076	16248923	16249055	16255620	16255731	29	7,7,7,3,6,5	13,5,14,2,1,1	8,3,3,3,9,3	5,6,7,4,6,6	278	242	0.316157239204	1.0	0.319,0.549,0.303,0.566,0.839,0.813	0.582,0.303,0.272,0.395,0.566,0.303	0.161
