Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000043093	1.135343664063281e-114	2.8190583178691265e-110	4.28464176480552	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	899	1265	703	600	944	978	31	62	48	60	81	30	1066.3911937851094	1068.132346716319	731.3429933233459	858.8020620288247	905.2320739305868	985.8240368076516	39.26600377208476	64.34273690014297	34.509362402364914	67.75285141024537	59.997858376178435	24.46182216537183
ENSDARG00000062788	6.508827016399416e-107	8.080708740859874e-103	3.3608821094965275	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	1059	1512	922	1065	1027	956	110	104	175	70	180	112	1256.1827299426373	1276.6925756799008	959.1724606602062	1524.3736601011638	984.8234533121955	963.6480359796676	139.33098112675236	107.92975221959465	125.81538375862209	79.04499331195292	133.32857416928542	91.32413608405484
ENSDARG00000007344	2.8502525980791653e-105	2.359059067010189e-101	3.120657621667844	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	1675	3061	1493	1880	2189	1896	208	270	386	153	296	319	1986.8801441491191	2584.626967034508	1553.1935832599652	2690.913127690317	2099.1027646547186	1911.168071357165	263.462218857859	280.20224133933226	277.5127893190179	172.76977109612568	219.25143307838044	260.11070902512046
ENSDARG00000078674	8.001330600814996e-98	4.966825970455908e-94	4.296217993869674	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	581	1524	825	684	1410	1211	35	37	104	39	57	96	689.1805156720228	1286.825056439265	858.2616920224189	979.0343507128601	1352.0945172056433	1220.6880455767548	44.33258490396666	38.39808492427886	74.77028520512398	44.03935341665949	42.220715153607046	78.27783092918986
ENSDARG00000113315	6.038265755030859e-84	2.9986027739483247e-80	3.240161195878749	12	46098784	46112892	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	398	550	265	276	418	351	33	53	41	32	55	59	472.1064461918504	464.40536813753005	275.68405864962546	395.04894853325936	400.8336937531624	353.8080132101081	41.79929433802571	55.002662188831884	29.476747052020034	36.1348540854642	40.739286551726096	48.1082502585646
ENSDARG00000104919	1.3151973451980356e-83	5.442725013544537e-80	3.727875449347859	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	586	906	542	747	567	517	35	55	70	39	98	53	695.1115011769456	765.002297332004	563.8519237286679	1069.2085672258868	543.7146037273758	521.1360194576235	44.33258490396666	57.07823434690101	50.326153503448836	44.03935341665949	72.59000149216651	43.21588582549023
ENSDARG00000002204	6.241678347847091e-57	2.214012476814904e-53	2.984034669917761	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	857	2043	713	867	1462	1075	115	146	183	126	159	273	1016.5709155437584	1725.0548492817707	741.7461653478601	1240.9689796316518	1401.9589958543622	1083.6000404583083	145.66420754160475	151.51676753904633	131.56694415901623	142.28098796151528	117.77357384953545	222.60258170488368
ENSDARG00000041294	4.113108999153274e-56	1.2766062056121974e-52	2.137569155984634	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]	230	393	202	190	321	288	42	59	82	67	79	93	272.8253332264462	331.8387448691806	210.14407489518618	271.9539863091278	307.81726242766774	290.30401083906304	53.19910188475999	61.22937866303927	58.95349410404007	75.65735074144067	58.516429774297485	75.83164871265268
ENSDARG00000055618	5.684423379161076e-50	1.5682692500507724e-46	-1.440443551381361	13	24279021	24284442	1	protein_coding	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]	4583	8048	6657	4007	5819	6594	16337	16724	23423	14933	19557	17816	5436.341313812187	6795.517095946985	6925.391616719081	5735.366437582501	5580.02694724797	6646.752248169381	20693.183987888668	17355.934385774046	16839.84990730403	16862.5555018199	14486.149583492861	14527.060789942152
ENSDARG00000077169	1.9377615157287304e-49	4.8114618435544376e-46	2.1987829453126952	14	11450498	11456724	-1	protein_coding	si:ch211-153b23.4	si:ch211-153b23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-7332]	394	582	300	284	327	366	78	81	145	72	89	99	467.36165778791224	491.42531682916814	312.095160735425	406.4996426936437	313.57085611790455	368.92801377464264	98.79833207169713	84.06067240179968	104.24703225714401	81.30342169229444	65.92357278370223	80.72401314572704
